Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.422,10.669,10.422,10.669,98905,0
20050228,10.707,10.851,10.478,10.851,180706,0
20050301,10.841,10.906,10.678,10.887,308984,0
20050302,10.793,10.936,10.717,10.851,166344,0
20050303,10.936,10.946,10.821,10.926,113528,0
20050304,10.887,11.088,10.793,11.05,167159,0
20050307,11.165,11.241,10.984,11.146,103902,0
20050308,11.184,11.184,10.803,10.974,118584,0
20050309,10.812,10.926,10.661,10.707,100009,0
20050310,10.717,10.746,10.432,10.526,137666,0
20050311,10.422,10.517,10.376,10.469,123995,0
20050314,10.336,10.641,10.316,10.641,103675,0
20050315,10.651,10.841,10.385,10.621,50074,0
20050316,10.556,10.612,10.288,10.586,46297,0
20050317,10.651,10.651,9.786,10.469,125935,0
20050318,10.414,10.546,9.718,10.442,242552,0
20050321,10.556,10.556,10.306,10.346,63935,0
20050322,10.25,10.25,10.023,10.059,108170,0
20050323,9.908,10.088,9.756,9.976,148140,0
20050324,10.088,10.316,9.995,10.088,114304,0
20050328,9.995,10.316,9.986,10.279,100682,0
20050329,10.27,10.366,9.898,10.326,155053,0
20050330,10.366,10.497,10.195,10.469,359295,0
20050331,10.366,10.488,10.326,10.459,207639,0
20050401,10.526,10.526,10.108,10.166,60801,0
20050404,10.214,10.507,10.032,10.497,129408,0
20050405,10.517,10.517,10.27,10.432,97532,0
20050406,10.469,10.469,10.232,10.288,71154,0
20050407,10.195,10.346,10.005,10.175,99648,0
20050408,10.146,10.195,9.85,9.956,108919,0
20050411,9.986,9.986,9.613,9.651,78787,0
20050412,9.613,9.651,9.2705,9.4511,189560,0
20050413,9.3279,9.671,9.29,9.3279,102632,0
20050414,9.29,9.651,9.1376,9.1653,51392,0
20050415,9.1471,9.1471,8.3662,8.4424,125173,0
20050418,8.4424,8.9182,8.3568,8.6137,122402,0
20050419,8.6137,8.8231,8.1949,8.233,168901,0
20050420,8.3377,8.5662,7.6905,7.7477,236880,0
20050421,7.919,8.5947,7.7571,8.4614,307543,0
20050422,8.3091,8.4805,8.2615,8.3759,177737,0
20050425,8.4614,8.4614,8.233,8.3853,73305,0
20050426,8.2997,8.3759,8.233,8.2711,114926,0
20050427,8.2236,8.4424,7.8521,8.0902,140445,0
20050428,7.8521,7.8521,7.6049,7.6049,371133,0
20050429,7.7,7.719,7.4811,7.5951,136133,0
20050502,7.5571,7.6142,7.4811,7.6142,115971,0
20050503,7.5762,7.6142,7.5001,7.6049,93328,0
20050504,7.8808,7.8902,6.5293,6.8529,940164,0
20050505,6.8529,6.91,6.6339,6.8147,230018,0
20050506,6.9005,7.2526,6.7959,7.1575,186619,0
20050509,7.2146,7.3763,7.1099,7.3669,290591,0
20050510,7.4048,7.4715,7.1384,7.2716,173854,0
20050511,7.2337,7.2432,6.9481,7.0623,122924,0
20050512,7.0623,7.1575,6.5104,6.6436,213836,0
20050513,6.6911,6.8338,6.6245,6.7102,107258,0
20050516,6.6627,7.0813,6.6627,7.0147,131332,0
20050517,7.0718,7.0813,6.7578,7.0433,165451,0
20050518,7.0813,7.2622,6.9005,7.0147,146431,0
20050519,7.0337,7.5951,6.2819,7.3289,424764,0
20050520,7.3669,7.4334,7.0052,7.0528,150098,0
20050523,6.9576,7.4715,6.9576,7.1764,113979,0
20050524,7.2716,7.6332,7.129,7.3383,186098,0
20050525,7.3954,7.7952,7.2337,7.4144,171621,0
20050526,7.443,7.6809,7.2811,7.6619,203251,0
20050527,7.5951,7.6619,7.5001,7.5668,69010,0
20050531,7.7094,7.9286,7.6142,7.6524,263057,0
20050601,7.7094,7.7571,7.6142,7.7381,139944,0
20050602,7.6809,7.7952,7.3859,7.5288,146212,0
20050603,7.6239,7.7761,7.5762,7.6142,153980,0
20050606,7.7381,7.7381,7.6142,7.6332,404017,0
20050607,7.6332,7.7381,7.6142,7.6142,97851,0
20050608,7.6332,7.6905,7.538,7.5571,144387,0
20050609,7.6239,7.7094,7.4904,7.6619,130140,0
20050610,7.6049,7.6809,7.5951,7.6429,70541,0
20050613,7.7094,7.7094,7.4239,7.5478,135714,0
20050614,7.5191,7.6524,7.5191,7.6524,126302,0
20050615,7.6619,7.7952,7.6619,7.7286,153472,0
20050616,7.7857,7.8999,7.443,7.4715,271854,0
20050617,7.6049,7.8521,7.4048,7.7571,300655,0
20050620,7.6619,7.8808,7.4715,7.6142,86379,0
20050621,7.6332,7.7952,7.4811,7.7286,451469,0
20050622,7.8142,7.938,7.5571,7.7094,201961,0
20050623,7.6524,7.6714,7.3289,7.3383,215443,0
20050624,7.4144,7.4144,6.9481,7.2146,861470,0
20050627,7.2908,7.3001,7.1002,7.1384,134791,0
20050628,7.2049,7.919,7.1764,7.7761,520780,0
20050629,7.7571,7.8999,7.6524,7.8712,197523,0
20050630,7.8142,8.1949,7.3289,8.0521,890324,0
20050701,8.0711,8.1281,7.9951,8.0711,93691,0
20050705,8.0616,8.3091,8.0616,8.1091,280030,0
20050706,8.1664,8.2046,7.8808,7.9095,232458,0
20050707,7.7667,7.8808,7.4525,7.8429,182409,0
20050708,7.8808,8.0427,7.6619,7.9476,129880,0
20050711,7.9286,8.1569,7.8142,8.0902,129554,0
20050712,8.1281,8.3186,7.9476,8.0521,224068,0
20050713,8.0711,8.3472,7.8902,8.0236,153028,0
20050714,7.9857,8.2046,7.938,8.0046,126421,0
20050715,7.938,8.0521,7.7857,7.9667,187918,0
20050718,7.9476,7.9667,7.6619,7.7,186496,0
20050719,7.6619,7.9857,7.6619,7.8048,243796,0
20050720,7.7477,7.9759,7.5288,7.8902,199930,0
20050721,7.8712,7.938,7.538,7.8999,384905,0
20050722,7.9476,8.509,7.8999,8.4805,312182,0
20050725,8.547,8.7945,8.233,8.3186,382565,0
20050726,8.4424,8.5186,8.1856,8.3472,92693,0
20050727,8.4234,8.5662,8.1091,8.5662,141018,0
20050728,8.6423,8.8707,8.4805,8.8325,150241,0
20050729,8.8325,8.9374,8.6517,8.7564,147917,0
20050801,8.5662,8.7564,8.3759,8.7088,229133,0
20050802,8.7564,9.471,8.7088,9.3466,249807,0
20050803,9.375,9.766,9.3279,9.651,615437,0
20050804,9.689,10.04,9.555,9.689,372753,0
20050805,9.698,9.824,9.3279,9.574,297523,0
20050808,9.519,9.85,9.461,9.776,321775,0
20050809,9.804,10.214,9.737,10.032,255282,0
20050810,10.232,10.297,9.671,9.86,259087,0
20050811,9.831,9.947,9.661,9.898,168684,0
20050812,9.795,9.898,9.623,9.888,103184,0
20050815,9.804,9.814,9.4133,9.594,267472,0
20050816,9.4799,9.641,9.0896,9.0896,111052,0
20050817,9.042,9.613,8.9087,9.4321,152794,0
20050818,9.4321,9.519,9.1376,9.1559,91589,0
20050819,9.1087,9.29,9.004,9.0133,109065,0
20050822,8.9657,9.4233,8.9277,9.2512,219748,0
20050823,9.29,9.3653,8.985,9.042,114670,0
20050824,9.0896,9.519,9.0896,9.3183,121042,0
20050825,9.4233,9.869,9.3379,9.708,151917,0
20050826,9.786,9.841,9.1376,9.2998,96559,0
20050829,9.2512,9.4412,9.0991,9.4035,105686,0
20050830,9.3946,9.509,9.2424,9.3379,125955,0
20050831,9.4035,9.623,9.3553,9.613,262515,0
20050901,9.661,9.756,9.1844,9.555,132292,0
20050902,9.537,9.756,9.1844,9.375,134734,0
20050906,9.4412,9.698,9.4133,9.671,204532,0
20050907,9.594,9.995,9.4412,9.898,316705,0
20050908,9.995,9.995,9.795,9.986,204903,0
20050909,10.04,10.469,9.986,10.279,404478,0
20050912,10.376,10.966,10.232,10.812,526708,0
20050913,10.586,10.871,10.45,10.469,555513,0
20050914,10.469,10.546,9.976,10.059,215420,0
20050915,10.059,10.214,9.718,9.746,154544,0
20050916,9.841,9.956,9.718,9.746,253621,0
20050919,9.795,10.117,9.613,10.005,311489,0
20050920,10.032,10.032,9.061,9.375,382643,0
20050921,9.3093,9.841,8.9564,9.4898,451418,0
20050922,9.4412,9.613,9.3093,9.3849,158480,0
20050923,9.3653,9.4799,9.1376,9.29,178623,0
20050926,9.2705,9.641,9.2705,9.641,159987,0
20050927,9.708,9.776,9.519,9.631,153997,0
20050928,9.698,9.727,9.519,9.671,227066,0
20050929,9.786,9.918,9.604,9.708,128843,0
20050930,9.786,9.841,9.555,9.804,246173,0
20051003,9.908,10.005,9.85,9.927,194328,0
20051004,10.04,10.214,9.898,10.088,209625,0
20051005,10.108,10.469,9.737,9.756,255775,0
20051006,9.824,9.956,9.29,9.555,205583,0
20051007,9.528,9.927,9.4412,9.689,165776,0
20051010,9.718,9.937,9.613,9.631,361071,0
20051011,9.756,9.85,9.4988,9.594,258062,0
20051012,9.565,9.584,9.1844,9.29,140412,0
20051013,9.2328,9.546,9.1376,9.4799,108438,0
20051014,9.584,9.727,9.2705,9.623,164757,0
20051017,9.537,9.888,9.537,9.804,208832,0
20051018,9.831,9.956,9.727,9.937,228621,0
20051019,9.888,10.26,9.85,10.26,249957,0
20051020,10.26,10.336,9.918,10.214,208270,0
20051021,10.422,10.756,10.366,10.45,402793,0
20051024,10.621,10.756,10.385,10.488,245058,0
20051025,10.526,10.526,9.927,10.078,242541,0
20051026,9.976,10.336,9.976,10.175,160451,0
20051027,10.214,10.214,9.613,9.708,273605,0
20051028,9.708,10.069,9.671,10.032,168987,0
20051031,10.032,10.517,10.032,10.279,260552,0
20051101,10.185,10.376,9.804,10.098,307158,0
20051102,10.316,10.946,10.288,10.756,1138965,0
20051103,10.946,11.203,10.803,11.078,447053,0
20051104,11.156,11.327,10.661,10.879,270801,0
20051107,11.031,11.26,10.946,11.184,246021,0
20051108,11.213,11.213,10.746,10.871,205526,0
20051109,10.841,10.841,10.326,10.803,223641,0
20051110,10.737,11.136,10.232,11.116,236452,0
20051111,11.088,11.413,11.041,11.344,176671,0
20051114,11.413,11.413,10.793,11.136,131165,0
20051115,11.136,11.413,10.871,11.078,155446,0
20051116,11.041,11.298,10.926,11.136,132812,0
20051117,11.136,11.469,11.088,11.452,222664,0
20051118,11.583,11.717,11.269,11.668,229594,0
20051121,11.66,12.135,11.535,12.096,225326,0
20051122,12.088,12.106,11.583,11.773,186683,0
20051123,11.678,11.802,11.336,11.479,258838,0
20051125,11.479,11.802,11.422,11.717,81104,0
20051128,11.622,11.897,11.563,11.879,201567,0
20051129,11.897,12.116,11.783,11.974,151285,0
20051130,11.992,11.992,11.642,11.811,251495,0
20051201,11.802,12.106,11.708,11.783,233920,0
20051202,11.897,11.897,11.525,11.84,108502,0
20051205,11.897,11.897,11.383,11.573,202775,0
20051206,11.708,11.983,11.525,11.726,107650,0
20051207,11.642,11.726,11.432,11.583,110807,0
20051208,11.612,11.754,11.241,11.65,181468,0
20051209,11.735,11.754,11.336,11.632,62948,0
20051212,11.66,11.802,11.516,11.744,142924,0
20051213,11.783,11.821,11.507,11.525,199052,0
20051214,11.612,11.936,11.583,11.936,153722,0
20051215,11.983,11.983,11.622,11.735,186550,0
20051216,11.84,11.84,11.65,11.735,270443,0
20051219,11.888,11.888,11.422,11.452,138412,0
20051220,11.373,11.632,11.088,11.307,128087,0
20051221,11.241,11.452,11.174,11.413,111630,0
20051222,11.403,11.452,10.756,11.194,269439,0
20051223,11.25,11.298,10.906,11.05,74785,0
20051227,11.05,11.184,10.346,10.546,321770,0
20051228,10.546,11.069,10.497,10.871,262853,0
20051229,10.784,10.936,10.756,10.803,253127,0
20051230,10.821,10.821,10.566,10.621,393369,0
20060103,10.536,10.831,10.223,10.737,294812,0
20060104,10.594,11.05,10.376,10.994,251210,0
20060105,10.956,11.194,10.851,11.184,132781,0
20060106,11.363,11.622,11.203,11.469,334104,0
20060109,11.516,11.632,11.442,11.535,137769,0
20060110,11.603,11.764,11.432,11.764,115684,0
20060111,11.708,11.735,11.489,11.603,115407,0
20060112,11.668,11.783,11.516,11.708,73501,0
20060113,11.773,11.821,11.603,11.698,110604,0
20060117,11.668,11.668,11.307,11.393,141627,0
20060118,11.203,11.612,11.06,11.573,84333,0
20060119,11.668,12.06,11.497,12.06,248476,0
20060120,12.116,12.345,11.535,11.821,172927,0
20060123,11.927,12.154,11.86,11.992,74441,0
20060124,11.992,12.125,11.888,12.06,110041,0
20060125,12.184,12.355,11.917,12.355,193887,0
20060126,12.374,12.421,12.194,12.411,150585,0
20060127,12.421,12.593,12.297,12.374,149441,0
20060130,12.364,12.467,12.184,12.364,88638,0
20060131,12.421,12.421,12.096,12.374,168378,0
20060201,12.374,12.64,12.204,12.545,258306,0
20060202,12.573,12.573,11.992,12.184,151003,0
20060203,12.174,12.22,11.917,11.927,86452,0
20060206,11.927,12.345,11.879,12.315,78039,0
20060207,12.384,12.621,12.325,12.535,254340,0
20060208,10.841,11.363,9.375,11.165,1414226,0
20060209,11.232,11.525,10.756,11.203,485529,0
20060210,11.156,11.26,10.821,11.041,352351,0
20060213,10.936,11.373,10.765,11.25,246703,0
20060214,11.222,11.422,11.06,11.373,278432,0
20060215,11.413,11.452,11.184,11.422,163110,0
20060216,11.393,11.535,11.288,11.516,279673,0
20060217,11.507,11.535,11.422,11.507,191377,0
20060221,11.497,11.497,11.26,11.307,124763,0
20060222,11.383,11.583,11.269,11.545,152490,0
20060223,11.516,11.622,11.354,11.452,113458,0
20060224,11.393,11.563,11.184,11.563,147365,0
20060227,11.583,11.622,11.442,11.573,114799,0
20060228,11.612,11.612,11.088,11.525,472134,0
20060301,11.497,11.553,11.383,11.553,244363,0
20060302,11.469,11.497,11.363,11.452,317111,0
20060303,11.373,11.678,11.336,11.507,238539,0
20060306,11.432,11.442,11.116,11.174,107421,0
20060307,11.136,11.174,10.984,10.994,124329,0
20060308,10.974,11.136,10.784,10.994,82930,0
20060309,11.06,11.116,10.707,10.821,86424,0
20060310,10.775,11.097,10.775,11.097,93097,0
20060313,11.156,11.307,11.088,11.203,158839,0
20060314,11.213,11.26,10.793,10.946,119569,0
20060315,10.974,11.184,10.765,11.097,471426,0
20060316,11.156,11.452,11.05,11.442,152342,0
20060317,11.497,11.497,11.136,11.344,257883,0
20060320,11.327,11.422,11.203,11.354,99060,0
20060321,11.184,11.354,10.926,10.946,167843,0
20060322,10.956,11.203,10.841,11.107,158056,0
20060323,11.126,11.373,11.013,11.327,156202,0
20060324,11.354,11.354,11.126,11.278,111876,0
20060327,11.241,11.422,11.194,11.422,92954,0
20060328,11.363,11.516,11.307,11.373,91117,0
20060329,11.442,11.879,11.278,11.793,88873,0
20060330,11.84,12.184,11.642,12.145,161437,0
20060331,12.154,12.154,11.85,12.135,148596,0
20060403,12.088,12.374,11.869,12.125,101134,0
20060404,12.135,12.355,11.927,12.287,99308,0
20060405,12.374,12.374,12.164,12.345,76763,0
20060406,12.287,12.497,12.23,12.497,110206,0
20060407,12.516,13.096,12.516,12.896,321683,0
20060410,12.945,13.183,12.887,12.945,238352,0
20060411,13.059,13.126,12.697,12.811,222073,0
20060412,12.754,12.896,12.725,12.849,112611,0
20060413,12.867,12.896,12.725,12.793,130710,0
20060417,12.887,13.277,12.715,13.068,157580,0
20060418,13.087,13.6,13.087,13.583,366810,0
20060419,13.667,13.762,13.382,13.506,183791,0
20060420,13.563,13.563,13.146,13.325,77713,0
20060421,13.466,13.801,13.259,13.726,116002,0
20060424,13.649,13.676,13.191,13.325,127970,0
20060425,13.429,13.439,13.059,13.355,67147,0
20060426,13.563,14.066,13.466,13.639,233576,0
20060427,13.6,13.639,13.209,13.373,165778,0
20060428,13.268,13.476,13.229,13.373,230977,0
20060501,13.448,13.516,13.373,13.458,133812,0
20060502,13.563,13.563,13.209,13.325,192045,0
20060503,14.276,15.152,14.011,15,1420752,0
20060504,15.01,15.885,14.903,15.418,891321,0
20060505,15.533,15.562,15,15.049,474368,0
20060508,15.03,15.408,14.885,14.991,504533,0
20060509,14.933,15.182,14.514,14.894,470272,0
20060510,14.783,15.087,14.704,14.848,268877,0
20060511,14.848,15.03,14.543,14.563,255265,0
20060512,14.449,14.476,13.676,13.924,304488,0
20060515,13.792,14.943,13.676,14.783,495985,0
20060516,14.675,15.323,14.675,15.239,791883,0
20060517,15.122,15.323,14.639,15.152,619011,0
20060518,15.267,15.418,15.01,15.142,385852,0
20060519,15.142,15.314,15,15.258,252834,0
20060522,15.258,15.314,14.439,14.83,491239,0
20060523,15.087,15.21,14.583,14.733,394286,0
20060524,14.675,14.848,13.839,14.81,386449,0
20060525,14.991,15.039,14.23,14.383,332238,0
20060526,14.23,14.325,13.953,14.183,310537,0
20060530,14.183,14.63,13.801,14.192,472044,0
20060531,14.286,14.675,14.22,14.543,688561,0
20060601,14.658,15.381,14.563,15.381,429668,0
20060602,15.467,15.467,14.553,14.792,298666,0
20060605,14.783,14.867,14.115,14.2,308082,0
