Date,Open,High,Low,Close,Volume,OpenInt
20160311,10,10.07,10,10,853201,0
20160314,10.02,10.0299,9.96,10,119359,0
20160315,10,10,9.97,9.98,31484,0
20160316,9.98,10,9.97,9.99,40022,0
20160317,9.99,10.079,9.99,9.99,2348,0
20160318,10.042,10.042,9.98,9.98,7069,0
20160321,9.98,10.0299,9.98,9.98,44389,0
20160322,10.0296,10.03,10.02,10.02,2315,0
20160323,9.9801,10.04,9.98,9.99,5530,0
20160324,10.03,10.03,9.98,9.99,51079,0
20160328,10.03,10.04,10.03,10.04,19700,0
20160329,10.08,10.1,10.0378,10.05,30515,0
20160330,10.06,10.06,10.05,10.0501,2600,0
20160331,10.065,10.065,10.06,10.06,2758,0
20160401,10.09,10.1,10.045,10.05,33800,0
20160404,10.09,10.09,10.0401,10.0401,400,0
20160405,10.1,10.1,10.07,10.09,21525,0
20160406,10.1,10.1,10.0858,10.0892,9600,0
20160407,10.1,10.13,10.06,10.13,17982,0
20160408,10.0938,10.0938,10.0938,10.0938,1000,0
20160411,10.07,10.08,10.07,10.07,7814,0
20160412,10.04,10.11,10.04,10.11,21866,0
20160413,10.1,10.12,10.1,10.12,1776,0
20160414,10.1,10.1,10.0999,10.1,4900,0
20160415,10.03,10.1,10.03,10.1,3400,0
