Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.8303,7.9521,7.665,7.6998,295337,0
20050228,7.7433,7.7868,7.3953,7.7868,228689,0
20050301,7.7433,8.5176,7.7433,8.4741,429907,0
20050302,8.3958,8.7699,8.1783,8.5524,429461,0
20050303,8.5698,8.5959,7.9956,8.4219,453738,0
20050304,8.4219,8.5611,8.1,8.1696,130092,0
20050307,8.0652,8.3088,7.9695,8.0217,161766,0
20050308,7.9695,8.1783,7.8303,8.0217,196225,0
20050309,8.013,8.3697,7.9695,8.0739,181570,0
20050310,8.1174,8.1609,7.6998,7.8042,210264,0
20050311,7.7259,7.7694,7.5345,7.5345,210648,0
20050314,7.5345,7.6563,7.1951,7.3083,204523,0
20050315,7.23,7.4388,7.2213,7.2735,185851,0
20050316,7.3083,7.3953,7.1951,7.1951,141982,0
20050317,7.1864,7.3083,6.8993,6.9602,165867,0
20050318,6.9602,7.0037,6.7166,6.8732,233891,0
20050321,6.7862,6.9167,6.7427,6.7688,150001,0
20050322,6.7427,7.2648,6.6557,7.0124,492355,0
20050323,7.1255,7.1342,6.8036,7.0907,76027,0
20050324,7.1342,7.3866,6.9689,7.1603,111940,0
20050328,7.0733,7.0733,6.3425,6.5078,675429,0
20050329,6.4382,6.7949,6.3947,6.5252,232390,0
20050330,6.5339,6.9776,6.5339,6.9602,211740,0
20050331,6.9863,6.9863,6.7427,6.9602,202722,0
20050401,7.2474,7.2474,6.7427,6.8471,164793,0
20050404,6.9254,7.0211,6.7514,6.8297,104409,0
20050405,6.7862,7.0124,6.6557,6.7166,192089,0
20050406,6.7862,6.7862,6.5948,6.6731,154599,0
20050407,6.6992,6.7688,6.6122,6.734,126707,0
20050408,6.7166,6.908,6.6818,6.7949,131185,0
20050411,6.9515,6.9515,6.7862,6.7949,69521,0
20050412,6.7775,6.8471,6.6992,6.7427,104500,0
20050413,6.821,6.821,6.6122,6.6209,80249,0
20050414,6.6035,6.6644,6.3947,6.4121,141704,0
20050415,6.3947,6.4121,5.9162,5.9684,452120,0
20050418,6.0032,6.125,5.8988,6.0032,220828,0
20050419,6.0206,6.2729,5.9684,6.2729,114868,0
20050420,6.3164,6.3599,6.0032,6.0815,83016,0
20050421,6.1772,6.3686,6.1076,6.3338,175126,0
20050422,6.3338,6.3425,6.1337,6.212,68880,0
20050425,6.3077,6.3164,6.1772,6.2294,23395,0
20050426,6.2294,6.2729,5.8988,5.9162,149539,0
20050427,5.9162,6.1772,5.7944,6.1076,278712,0
20050428,6.0467,6.2729,6.0467,6.1163,146978,0
20050429,6.2294,6.3164,6.0815,6.0902,81383,0
20050502,6.0902,6.2207,6.0902,6.2207,93493,0
20050503,6.3077,6.3077,6.0902,6.1076,55075,0
20050504,6.1163,6.2033,6.1076,6.1598,51801,0
20050505,6.2468,6.2555,6.1424,6.2294,32589,0
20050506,6.1946,6.1946,6.0554,6.1337,76271,0
20050509,6.1685,6.1772,6.0554,6.0641,103830,0
20050510,6.1337,6.1424,6.0032,6.0815,152628,0
20050511,6.1511,6.6644,6.0989,6.647,316125,0
20050512,6.6296,6.6383,6.3512,6.4208,159407,0
20050513,6.4469,6.473,6.1772,6.2381,68233,0
20050516,6.2903,6.5687,6.2555,6.473,92586,0
20050517,6.473,6.8384,6.4208,6.6209,229246,0
20050518,6.6992,6.8297,6.5687,6.6557,258247,0
20050519,6.7166,6.8906,6.6122,6.8906,278736,0
20050520,6.908,6.9341,6.6209,6.7862,397944,0
20050523,6.6122,6.6296,6.0467,6.3599,958258,0
20050524,6.3164,6.8558,6.3164,6.8123,666441,0
20050525,6.8297,6.9341,6.6122,6.8297,258298,0
20050526,6.9167,6.9602,6.7166,6.9602,242477,0
20050527,6.9602,7.0472,6.9515,6.9689,118195,0
20050531,6.9689,7.7433,6.9689,7.7433,678812,0
20050601,7.6563,8.6307,7.5867,8.3697,1710125,0
20050602,8.3523,8.4045,7.9521,8.2827,381180,0
20050603,8.2653,8.3523,7.9434,8.2305,215433,0
20050606,8.1783,8.361,7.9956,8.0565,237341,0
20050607,8.0652,8.5959,7.9173,7.9347,509929,0
20050608,7.9434,8.1348,7.8303,7.8477,206702,0
20050609,7.8129,8.1435,7.6998,8.0304,145842,0
20050610,7.9173,8.3523,7.839,8.1522,168508,0
20050613,8.1783,8.3958,8.1348,8.2914,193127,0
20050614,8.3088,8.3262,8.1174,8.2653,110949,0
20050615,8.3262,8.3958,8.0478,8.2653,78752,0
20050616,8.2914,8.2914,8.0913,8.1957,49271,0
20050617,8.0304,8.1957,7.9173,8.0043,248987,0
20050620,7.9956,8.2479,7.9347,8.2392,138032,0
20050621,8.1696,8.9178,8.0391,8.6046,681251,0
20050622,8.6046,8.7003,8.0913,8.1609,344662,0
20050623,8.2653,8.6568,8.0826,8.1522,373541,0
