Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.467,12.633,12.467,12.594,14710,0
20050228,12.663,13.28,12.663,12.999,5069,0
20050301,12.921,12.931,12.854,12.893,7315,0
20050302,12.854,12.911,12.331,12.633,11316,0
20050303,12.653,12.653,12.107,12.156,9799,0
20050304,12.263,12.331,12.107,12.273,40415,0
20050307,12.273,12.767,12.253,12.623,9680,0
20050308,12.633,12.633,12.467,12.623,5177,0
20050309,12.175,12.428,12.107,12.428,11458,0
20050310,12.389,12.389,12.273,12.322,1817,0
20050311,12.418,12.418,12.263,12.35,5023,0
20050314,12.273,13.067,12.273,12.903,32113,0
20050315,11.981,12.97,11.981,12.623,22437,0
20050316,12.175,12.663,12.175,12.594,327207,0
20050317,12.565,12.623,12.565,12.623,139679,0
20050318,12.594,12.663,12.594,12.663,1028,0
20050321,12.565,12.911,12.565,12.777,17842,0
20050322,12.69,12.786,12.69,12.786,1683,0
20050323,12.428,12.623,12.428,12.565,2525,0
20050324,12.623,12.931,12.565,12.699,7123,0
20050328,12.35,12.999,12.35,12.614,3892,0
20050329,12.273,12.623,12.273,12.623,5667,0
20050330,12.663,12.663,12.663,12.663,465,0
20050331,13.047,13.047,12.516,12.623,6334,0
20050401,12.438,12.623,12.438,12.535,6762,0
20050404,12.682,12.729,12.506,12.709,13781,0
20050405,12.709,12.767,12.575,12.719,9530,0
20050406,12.663,12.663,12.428,12.584,3554,0
20050407,12.438,12.663,12.428,12.663,4177,0
20050408,12.545,12.545,12.545,12.545,150,0
20050411,12.545,12.584,12.526,12.584,1084,0
20050412,12.458,12.467,12.273,12.273,190831,0
20050413,12.302,12.389,12.283,12.292,2741,0
20050414,12.312,12.36,12.302,12.36,1857,0
20050415,12.273,12.594,12.273,12.448,13810,0
20050418,12.273,12.467,12.273,12.448,8865,0
20050419,12.428,12.458,12.37,12.428,8769,0
20050420,12.418,12.487,12.418,12.428,13689,0
20050421,12.428,12.467,12.418,12.467,11303,0
20050422,12.428,13.028,12.428,13.028,22644,0
20050425,13.076,13.105,12.487,12.98,6155,0
20050426,13.009,14.269,13.009,14.269,15315,0
20050427,14.461,14.461,13.89,14.346,10095,0
20050428,14.356,14.356,13.581,13.591,4027,0
20050429,12.98,14.442,12.98,14.211,20560,0
20050502,14.337,14.366,14.026,14.036,5622,0
20050503,13.832,13.832,13.455,13.677,21678,0
20050504,13.639,13.871,13.329,13.629,6496,0
20050505,14.191,14.191,13.61,13.784,8502,0
20050506,14.046,16.206,14.046,15.121,107108,0
20050509,15.508,15.527,15.237,15.469,23575,0
20050510,15.449,15.449,15.19,15.228,4922,0
20050511,15.498,15.498,15.237,15.411,7608,0
20050512,15.469,15.469,15.092,15.092,4426,0
20050513,15.769,15.769,15.063,15.218,17584,0
20050516,15.334,15.702,15.334,15.605,27812,0
20050517,15.547,15.595,15.372,15.431,16482,0
20050518,15.469,15.954,15.411,15.926,17908,0
20050519,16.04,16.079,15.779,16.03,14950,0
20050520,15.624,16.536,15.624,16.331,14395,0
20050523,16.758,17.24,16.34,16.961,16705,0
20050524,17.212,17.562,16.739,17.367,22121,0
20050525,17.891,17.891,16.739,16.739,11938,0
20050526,16.768,16.883,16.012,16.585,26128,0
20050527,16.477,16.768,16.477,16.651,25428,0
20050531,16.729,17.174,16.575,16.981,64196,0
20050601,17.059,17.059,16.302,16.748,21043,0
20050602,17.059,17.059,16.34,16.719,13608,0
20050603,16.35,16.593,16.283,16.419,19554,0
20050606,16.729,16.729,15.857,16.059,19694,0
20050607,15.993,15.993,15.518,15.818,5341,0
20050608,15.818,15.818,14.597,14.713,21475,0
20050609,14.782,14.889,14.694,14.86,7479,0
20050610,15.392,15.392,14.53,14.54,9394,0
20050613,14.259,14.85,14.259,14.85,3554,0
20050614,14.85,14.917,14.713,14.762,8879,0
20050615,14.85,14.85,14.694,14.85,35923,0
20050616,14.645,14.742,14.328,14.703,2975,0
20050617,14.24,14.366,14.211,14.328,2172,0
20050620,14.211,14.23,13.668,13.939,2765,0
20050621,13.861,13.92,13.793,13.793,4103,0
20050622,13.735,13.881,13.725,13.725,6344,0
20050623,14.308,14.356,13.725,14.152,10140,0
20050624,14.23,15.16,14.181,14.86,52946,0
20050627,15.112,15.566,14.85,15.392,15316,0
20050628,15.818,16.458,15.683,16.167,15458,0
