Date,Open,High,Low,Close,Volume,OpenInt
20050225,32.095,32.271,31.799,32.271,107712,0
20050228,31.96,32.585,31.853,32.521,203156,0
20050301,32.361,33.316,32.361,33.051,246098,0
20050302,32.827,33.316,32.352,32.473,129279,0
20050303,32.65,32.875,32.152,32.875,91452,0
20050304,32.962,33.55,32.907,33.18,112563,0
20050307,32.938,33.204,32.521,32.601,88199,0
20050308,32.473,32.946,32.191,32.271,93019,0
20050309,32.136,32.529,31.878,32.392,112840,0
20050310,32.191,33.357,32.176,32.836,162872,0
20050311,33.003,33.147,32.626,32.794,80135,0
20050314,32.745,33.292,32.682,33.204,112377,0
20050315,33.324,33.468,32.898,32.898,104558,0
20050316,32.722,33.237,32.545,32.753,79940,0
20050317,32.569,32.995,32.425,32.715,76134,0
20050318,32.626,32.978,32.375,32.707,497927,0
20050321,32.594,32.883,32.352,32.85,99747,0
20050322,32.707,33.14,32.506,32.81,101294,0
20050323,32.657,32.93,32.497,32.609,51927,0
20050324,32.577,33.267,32.514,32.737,90846,0
20050328,33.028,33.308,32.722,32.962,100921,0
20050329,32.827,33.244,32.256,32.464,74150,0
20050330,32.305,32.962,32.305,32.898,106573,0
20050331,33.012,33.012,32.288,32.481,121477,0
20050401,32.545,32.691,31.824,32.271,103274,0
20050404,32.104,32.898,32.055,32.81,98205,0
20050405,32.898,33.068,32.657,32.842,107005,0
20050406,32.858,32.946,32.425,32.594,123578,0
20050407,32.594,32.962,32.361,32.923,67537,0
20050408,32.938,32.938,31.815,31.815,154767,0
20050411,31.742,31.927,31.599,31.599,108018,0
20050412,31.516,32.506,31.467,32.185,146920,0
20050413,32.087,32.288,31.677,31.677,68535,0
20050414,31.565,31.894,31.197,31.221,61608,0
20050415,31.221,31.631,31.13,31.291,145867,0
20050418,31.13,31.927,30.721,31.886,149439,0
20050419,31.733,32.481,31.733,32.473,131540,0
20050420,32.248,32.337,31.172,31.348,150879,0
20050421,31.565,32.497,31.398,32.416,111761,0
20050422,32.497,32.497,31.172,31.59,108891,0
20050425,31.733,32.256,31.583,31.934,90287,0
20050426,31.708,32.256,31.331,31.331,73335,0
20050427,31.188,32.038,30.874,31.733,102835,0
20050428,31.59,31.934,31.197,31.348,107794,0
20050429,31.197,31.934,30.553,31.725,130164,0
20050502,31.799,31.909,31.197,31.467,81180,0
20050503,31.364,31.516,30.996,31.299,174952,0
20050504,31.381,32.046,31.213,32.03,81522,0
20050505,31.807,31.807,31.236,31.381,89973,0
20050506,31.685,31.918,31.299,31.565,60064,0
20050509,31.507,32.514,31.18,32.457,123440,0
20050510,32.176,32.408,31.614,31.909,99824,0
20050511,31.975,32.425,31.275,32.288,95891,0
20050512,32.288,32.44,31.837,32.168,85666,0
20050513,32.191,32.44,31.799,32.11,105516,0
20050516,32.136,32.761,32.046,32.699,94902,0
20050517,32.514,32.818,32.288,32.81,110045,0
20050518,32.818,33.853,32.81,33.853,142824,0
20050519,33.928,34.023,33.653,33.775,115384,0
20050520,33.71,33.727,33.429,33.629,65244,0
20050523,33.661,33.693,33.349,33.573,101622,0
20050524,33.357,33.558,32.875,33.163,138050,0
20050525,33.316,33.316,32.553,32.722,84919,0
20050526,32.995,33.653,32.955,33.582,85211,0
20050527,33.55,33.582,33.229,33.477,40195,0
20050531,33.484,33.693,33.364,33.543,64513,0
20050601,33.381,33.887,32.987,33.623,108809,0
20050602,33.364,33.759,33.204,33.405,115030,0
20050603,33.188,33.573,33.188,33.221,131950,0
20050606,33.171,33.316,32.635,33.107,100212,0
20050607,33.188,33.509,32.827,32.883,155961,0
20050608,33.012,33.429,32.827,33.147,107132,0
20050609,32.907,33.357,32.753,33.267,65243,0
20050610,33.484,33.558,33.068,33.188,50635,0
20050613,33.372,33.55,32.955,33.451,80505,0
20050614,33.244,33.582,32.978,33.582,107208,0
20050615,33.582,33.582,32.93,33.267,141638,0
20050616,33.051,33.405,32.93,33.308,94023,0
20050617,33.059,33.283,32.626,32.836,345139,0
20050620,32.77,33.451,32.691,33.308,140555,0
20050621,33.229,33.55,33.14,33.357,109292,0
20050622,33.55,33.565,33.204,33.543,54400,0
20050623,33.55,33.565,32.699,32.699,74716,0
20050624,32.657,32.987,32.514,32.761,259551,0
20050627,32.722,32.995,32.497,32.93,112452,0
20050628,33.059,33.342,32.971,33.123,126335,0
20050629,33.028,33.3,32.842,33.18,67925,0
20050630,33.267,33.398,32.761,32.777,102241,0
20050701,32.81,33.043,32.577,33.043,130863,0
20050705,32.955,33.813,32.955,33.71,128290,0
20050706,33.59,33.677,33.131,33.204,130268,0
20050707,32.898,33.59,32.898,33.517,111459,0
20050708,33.501,34.079,33.349,34.031,80979,0
20050711,33.861,34.191,33.623,33.936,111314,0
20050712,33.878,34.272,33.525,33.92,154779,0
20050713,33.92,34.313,33.869,34.17,95030,0
20050714,34.346,34.346,33.501,33.606,79297,0
20050715,33.398,33.623,33.267,33.623,70198,0
20050718,33.573,33.573,32.955,33.213,141844,0
20050719,33.275,33.838,33.275,33.534,89424,0
20050720,33.389,33.976,33.372,33.976,50171,0
20050721,34.023,34.023,33.26,33.727,108178,0
20050722,33.783,34.039,33.558,33.846,103048,0
20050725,33.984,33.984,33.237,33.357,102729,0
20050726,33.26,33.661,33.123,33.196,76850,0
20050727,33.267,33.316,32.867,33.012,74667,0
20050728,33.283,33.96,33.076,33.894,76646,0
20050729,33.952,34.023,33.492,33.759,93772,0
20050801,33.582,34.104,33.582,33.8,106045,0
20050802,33.846,34.023,33.55,33.59,109174,0
20050803,33.525,33.928,33.429,33.75,85963,0
20050804,33.629,33.903,33.534,33.71,76819,0
20050805,33.807,33.813,33.068,33.076,93768,0
20050808,33.204,33.204,32.352,32.745,130115,0
20050809,32.836,32.907,32.185,32.473,101608,0
20050810,32.657,33.477,32.617,32.85,102595,0
20050811,32.665,33.405,32.521,33.357,71353,0
20050812,33.156,33.204,32.32,32.915,118162,0
20050815,32.818,33.267,32.626,33.037,55872,0
20050816,32.898,32.898,32.288,32.416,74499,0
20050817,32.199,32.635,32.007,32.248,55652,0
20050818,32.361,33.846,32.199,33.028,249834,0
20050819,32.883,33.813,32.883,33.783,90228,0
20050822,33.813,34.578,33.775,34.578,155393,0
20050823,34.063,35.012,34.039,34.4,202506,0
20050824,34.346,35.068,33.75,33.976,255546,0
20050825,34.272,34.554,33.686,33.887,127968,0
20050826,33.894,33.894,33.14,33.372,141952,0
20050829,33.342,34.039,33.229,34.007,161777,0
20050830,34.031,34.337,33.468,34.096,209026,0
20050831,34.039,34.987,34.039,34.922,457655,0
20050901,34.922,35.292,34.289,34.337,194020,0
20050902,34.408,34.593,33.423,33.623,206482,0
20050906,33.727,34.408,33.637,34.272,201790,0
20050907,34.183,34.4,33.727,34.014,149212,0
20050908,33.903,34.145,33.822,34.007,105152,0
20050909,34.031,34.272,34.023,34.183,120266,0
20050912,34.079,34.562,33.969,34.362,208897,0
20050913,34.007,34.593,33.991,34.177,139062,0
20050914,34.223,34.634,33.727,33.791,177537,0
20050915,33.878,33.991,33.606,33.813,161189,0
20050916,34.023,34.731,33.221,34.046,683163,0
20050919,33.984,34.007,33.653,33.92,187216,0
20050920,33.991,34.104,33.083,33.267,233490,0
20050921,33.677,33.735,32.915,33.423,337457,0
20050922,33.55,33.55,33.012,33.357,202744,0
20050923,33.349,33.686,33.163,33.324,198902,0
20050926,33.477,33.668,33.244,33.332,153272,0
20050927,33.349,33.444,32.185,32.585,305703,0
20050928,32.635,32.836,32.49,32.65,184713,0
20050929,32.802,32.85,32.44,32.594,276712,0
20050930,32.433,32.995,32.375,32.818,199217,0
20051003,32.938,33.267,32.691,33.188,236915,0
20051004,33.229,33.71,32.858,32.858,146570,0
20051005,32.802,32.923,31.829,31.934,173803,0
20051006,31.87,32.375,31.692,32.224,159425,0
20051007,32.28,32.481,32.055,32.136,118878,0
20051010,32.408,32.464,31.845,32.038,168412,0
20051011,32.104,32.44,30.351,30.456,602334,0
20051012,30.384,31.121,30.345,30.882,248313,0
20051013,30.811,31.59,30.811,31.389,191869,0
20051014,31.599,31.614,31.036,31.406,205365,0
20051017,31.406,31.557,30.914,31.557,137110,0
20051018,31.583,31.733,30.929,31.066,131679,0
20051019,30.835,31.862,30.666,31.79,232873,0
20051020,31.742,31.775,30.819,31.09,110148,0
20051021,31.09,31.507,30.802,31.507,172134,0
20051024,31.599,31.87,31.532,31.824,188835,0
20051025,31.742,31.927,31.291,31.692,145822,0
20051026,31.759,31.96,30.835,30.97,328207,0
20051027,30.874,30.962,29.612,30.07,363175,0
20051028,29.388,30.819,28.995,30.721,214281,0
20051031,30.721,30.996,30.53,30.601,244774,0
20051101,30.448,30.53,30.07,30.208,361997,0
20051102,30.191,30.601,30.159,30.553,121119,0
20051103,30.795,30.795,29.959,30.046,163051,0
20051104,30.037,30.296,29.627,29.725,204208,0
20051107,29.766,29.869,29.501,29.75,173832,0
20051108,29.869,29.869,29.468,29.524,143266,0
20051109,29.558,30.029,29.42,29.75,114801,0
20051110,29.759,30.409,29.373,30.368,124371,0
20051111,30.28,30.441,29.999,30.079,74485,0
20051114,30.007,30.007,29.621,29.91,86109,0
20051115,29.91,30.175,29.541,29.581,116850,0
20051116,29.612,29.677,29.203,29.381,158960,0
20051117,29.46,29.621,29.131,29.324,143028,0
20051118,29.549,29.549,29.042,29.316,115425,0
20051121,29.331,29.759,29.074,29.759,199367,0
20051122,29.766,30.465,29.766,30.28,169852,0
20051123,30.238,30.802,30.07,30.721,167301,0
20051125,30.898,30.898,30.015,30.046,108532,0
20051128,30.111,30.215,29.002,29.501,484624,0
20051129,29.598,29.805,29.242,29.348,278968,0
20051130,29.381,29.999,29.381,29.766,468258,0
20051201,30.079,30.409,29.95,30.208,229375,0
20051202,30.231,30.328,30.037,30.238,168850,0
20051205,30.409,30.409,29.822,30.215,303523,0
20051206,30.472,30.642,30.151,30.593,324877,0
20051207,30.73,31.717,30.103,31.139,533507,0
20051208,31.13,31.984,30.89,31.677,342182,0
20051209,31.492,31.943,31.34,31.599,227322,0
20051212,31.677,31.677,30.945,31.236,169498,0
20051213,31.172,31.516,30.689,30.827,265827,0
20051214,30.929,30.929,30.336,30.553,287611,0
20051215,30.795,30.795,29.524,30.328,277810,0
20051216,30.28,30.642,30.215,30.441,468187,0
20051219,30.448,30.56,29.99,30.07,131616,0
20051220,30.007,30.191,29.725,29.829,173113,0
20051221,29.693,29.95,29.203,29.861,197638,0
20051222,29.926,30.103,29.661,30.062,141812,0
20051223,30.208,30.48,30.007,30.128,90436,0
20051227,30.088,30.489,29.798,30.015,168242,0
20051228,29.861,30.465,29.861,30.311,107361,0
20051229,30.489,30.489,30.029,30.062,109240,0
20051230,29.759,30.023,29.549,29.766,157450,0
20060103,30.351,30.777,29.805,30.601,317286,0
20060104,30.697,30.89,30.425,30.593,138772,0
20060105,30.536,30.666,30.351,30.601,95123,0
20060106,30.721,30.929,30.504,30.865,146090,0
20060109,30.97,31.121,30.706,30.898,151273,0
20060110,30.689,31.146,30.689,31.09,134697,0
20060111,30.978,31.121,30.432,30.666,99727,0
20060112,30.601,30.811,30.601,30.721,137858,0
20060113,30.819,31.036,30.521,30.626,107168,0
20060117,30.714,30.73,30.247,30.593,106964,0
20060118,30.345,30.721,30.328,30.465,104917,0
20060119,30.61,31.188,30.504,31.083,171719,0
20060120,31.261,31.261,30.553,30.61,117949,0
20060123,30.769,31.23,30.553,31.18,126207,0
20060124,31.197,31.829,31.13,31.685,236474,0
20060125,31.574,31.7,31.163,31.541,217445,0
20060126,31.661,31.824,31.461,31.669,230653,0
20060127,31.532,31.829,31.364,31.492,167050,0
20060130,32.537,32.626,31.599,32.401,191270,0
20060131,31.862,33.653,31.862,33.316,235814,0
20060201,33.147,33.767,33.14,33.59,181705,0
20060202,33.438,33.653,32.938,33.147,222271,0
20060203,32.883,33.525,32.883,33.18,158336,0
20060206,33.163,33.558,33.037,33.558,162846,0
20060207,33.438,33.677,33.14,33.308,160104,0
20060208,33.342,33.534,33.14,33.46,96360,0
20060209,33.398,33.83,33.229,33.316,131796,0
20060210,33.18,33.55,32.786,33.492,99670,0
20060213,33.26,33.623,32.995,33.188,160879,0
20060214,33.381,33.744,32.987,33.686,176530,0
20060215,33.565,33.71,33.267,33.606,133037,0
20060216,33.744,33.822,33.477,33.623,113247,0
20060217,33.599,33.629,33.244,33.423,115338,0
20060221,33.275,33.444,32.699,33.229,127602,0
20060222,33.171,33.517,32.962,33.059,206025,0
20060223,32.85,33.14,32.802,32.81,133549,0
20060224,32.737,32.946,32.601,32.802,106689,0
20060227,32.938,32.938,32.699,32.858,92571,0
20060228,32.682,32.745,32.215,32.248,141890,0
20060301,32.408,32.56,32.231,32.457,93462,0
20060302,32.305,32.457,31.775,32.055,190208,0
20060303,31.894,32.185,31.708,32.022,114306,0
20060306,31.934,32.11,31.669,31.992,111394,0
20060307,31.862,32.208,31.775,32.104,147277,0
20060308,31.87,32.337,31.742,32.271,130801,0
20060309,32.215,32.369,32.055,32.144,75961,0
20060310,32.152,32.577,31.886,32.569,99809,0
20060313,32.585,32.729,32.071,32.119,109321,0
20060314,32.185,32.858,31.934,32.786,103242,0
20060315,32.858,33.037,32.481,33.012,97276,0
20060316,32.946,33.14,32.875,33.051,97725,0
20060317,33.163,33.599,33.019,33.429,369493,0
20060320,33.55,33.565,32.946,33.357,98825,0
20060321,33.204,33.606,32.93,32.978,127817,0
20060322,32.938,33.791,32.938,33.75,108001,0
20060323,33.807,33.807,33.332,33.629,66445,0
20060324,33.389,33.807,33.389,33.767,115710,0
20060327,33.645,33.735,33.308,33.59,84934,0
20060328,33.668,33.668,33.147,33.275,99236,0
20060329,33.147,33.83,33.147,33.637,148940,0
20060330,33.783,33.783,33.46,33.645,85046,0
20060331,33.744,33.903,33.599,33.744,242800,0
20060403,33.838,33.838,33.429,33.501,123667,0
20060404,33.389,33.838,33.389,33.735,114759,0
20060405,33.686,33.878,33.653,33.75,170433,0
20060406,33.637,33.813,33.582,33.661,122722,0
20060407,33.735,33.944,33.083,33.267,142727,0
20060410,33.188,33.791,33.037,33.196,89173,0
20060411,33.163,33.509,32.707,32.786,134129,0
20060412,32.657,33.372,32.657,33.188,121750,0
20060413,33.037,33.389,32.85,33.076,75521,0
20060417,32.978,33.267,32.729,32.946,164456,0
20060418,33.163,33.853,33.1,33.767,318110,0
20060419,33.719,33.944,33.534,33.783,159833,0
20060420,33.686,33.853,33.364,33.686,62563,0
20060421,33.984,33.984,33.283,33.744,160128,0
20060424,33.606,33.744,33.398,33.637,92597,0
20060425,33.501,33.501,32.65,33.147,217745,0
20060426,33.147,33.744,33.147,33.324,52451,0
20060427,33.019,33.813,32.971,33.221,73496,0
20060428,32.408,32.978,32.408,32.978,210874,0
20060501,32.978,33.171,32.514,32.514,260268,0
20060502,32.521,32.674,32.344,32.44,191112,0
20060503,32.344,32.545,32.271,32.369,173309,0
20060504,32.288,32.635,32.288,32.617,142658,0
