Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.613,15.623,15.323,15.623,13453,0
20050228,15.256,15.372,14.388,14.76,23326,0
20050301,14.696,15.24,14.637,14.894,36986,0
20050302,14.522,15.201,14.522,15.143,16546,0
20050303,14.809,15.333,14.809,15.24,22905,0
20050304,15.584,15.584,15.304,15.488,18785,0
20050307,15.172,15.517,15.172,15.362,12459,0
20050308,15.23,15.362,15.23,15.285,8143,0
20050309,15.097,15.182,14.98,15.039,11298,0
20050310,14.903,15.285,14.903,15.249,14380,0
20050311,15.304,15.304,14.799,15,17303,0
20050314,14.99,16.385,14.99,16.051,24514,0
20050315,16.358,16.394,15.966,16.195,24503,0
20050316,16.404,16.404,16.185,16.28,10298,0
20050317,15.957,16.205,15.89,16.205,6674,0
20050318,16.481,16.491,15.821,16.385,83132,0
20050321,16.595,16.833,16.087,16.566,14904,0
20050322,16.527,16.527,15.537,15.537,8941,0
20050323,15.527,15.812,15.285,15.285,14677,0
20050324,15.285,15.439,15.078,15.285,4740,0
20050328,15.42,15.459,15.127,15.127,17984,0
20050329,15.107,15.172,14.715,14.857,17067,0
20050330,14.571,14.951,14.571,14.837,55773,0
20050331,14.933,15.097,14.618,14.799,15682,0
20050401,15.117,15.574,14.657,14.837,26426,0
20050404,14.76,14.857,14.608,14.647,16898,0
20050405,14.628,14.799,14.121,14.618,12875,0
20050406,14.894,15.192,14.388,14.581,13624,0
20050407,14.436,15.097,14.407,14.542,12578,0
20050408,14.208,14.483,14.14,14.329,15530,0
20050411,14.329,14.339,13.882,13.899,17384,0
20050412,13.711,15.049,13.711,15.019,72763,0
20050413,15.143,15.285,14.32,14.903,24289,0
20050414,14.733,14.752,14.111,14.304,25274,0
20050415,14.512,14.542,14.063,14.15,14935,0
20050418,13.796,14.483,13.796,14.483,14056,0
20050419,14.426,14.933,14.368,14.809,56547,0
20050420,14.493,15.899,14.359,15.21,139428,0
20050421,15.554,15.929,15.343,15.763,68825,0
20050422,15.564,15.686,15.294,15.527,34363,0
20050425,15.333,15.537,15.127,15.449,12491,0
20050426,15.449,15.668,15.304,15.564,12664,0
20050427,15.117,15.613,14.99,15.401,32884,0
20050428,15,16.452,14.99,15.89,57441,0
20050429,15.773,16.233,15.659,16.107,40982,0
20050502,16.031,16.261,15.715,15.966,33561,0
20050503,15.763,16.348,15.517,15.993,54580,0
20050504,15.773,16.997,15.773,16.595,62907,0
20050505,17.161,17.161,15.984,16.664,49400,0
20050506,16.787,17.189,16.08,16.711,96715,0
20050509,16.404,17.122,16.097,17.122,31821,0
20050510,16.702,17.044,16.107,16.586,41163,0
20050511,16.787,16.795,16.452,16.711,22625,0
20050512,16.741,16.814,16.223,16.252,6545,0
20050513,16.452,16.721,15.966,16.432,24094,0
20050516,16.432,16.711,16.423,16.615,10585,0
20050517,16.394,16.566,16.358,16.518,8326,0
20050518,16.547,16.814,16.481,16.586,22865,0
20050519,16.126,16.556,15.078,16.452,6795,0
20050520,16.442,16.537,16.367,16.385,4539,0
20050523,16.243,16.75,16.051,16.556,76444,0
20050524,16.673,16.721,16.509,16.673,7499,0
20050525,16.136,16.673,16.136,16.367,4598,0
20050526,16.413,16.664,16.413,16.499,7127,0
20050527,16.624,16.759,16.491,16.537,59357,0
20050531,16.759,16.759,15.929,16.3,15864,0
20050601,16.654,17.665,16.509,17.122,29610,0
20050602,16.721,17.053,16.442,16.833,11433,0
20050603,16.576,17.044,16.338,16.566,3819,0
20050606,16.481,16.527,16.271,16.462,4663,0
20050607,16.833,17.17,15.763,16.195,24913,0
20050608,16.252,16.804,16.252,16.413,9830,0
20050609,16.605,16.711,16.329,16.692,4466,0
20050610,16.804,17.389,16.741,17.063,3686,0
20050613,17.465,17.465,17.063,17.141,11474,0
20050614,16.929,17.18,16.911,17.063,5675,0
20050615,16.702,17.036,16.702,17.007,21628,0
20050616,17.283,17.562,16.654,16.804,83515,0
20050617,16.673,17.875,16.673,17.053,171486,0
20050620,16.843,17.799,16.634,17.053,33027,0
20050621,17.389,17.389,17.007,17.34,45889,0
