Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.684,29.684,29.392,29.655,127641,0
20050228,29.74,30.663,29.392,30.653,202852,0
20050301,30.702,30.873,30.099,30.324,269617,0
20050302,30.222,30.39,29.617,29.76,186192,0
20050303,29.919,30.476,29.788,30.267,181298,0
20050304,30.543,30.543,29.845,30.041,118253,0
20050307,29.882,30.213,29.769,29.798,108970,0
20050308,29.645,29.74,29.344,29.363,231239,0
20050309,29.222,29.864,29.146,29.513,105032,0
20050310,29.836,29.946,29.269,29.363,108922,0
20050311,29.402,29.993,29.326,29.626,153373,0
20050314,29.56,30.305,29.231,30.213,239395,0
20050315,30.305,30.352,29.636,29.872,290539,0
20050316,29.617,30.185,29.541,29.855,246657,0
20050317,29.74,29.9,29.392,29.402,134444,0
20050318,29.467,29.467,28.514,28.958,214216,0
20050321,29.024,29.024,28.59,28.759,72176,0
20050322,28.514,28.958,28.184,28.28,265837,0
20050323,28.108,28.337,27.525,27.572,182481,0
20050324,27.836,27.836,27.186,27.195,196619,0
20050328,27.488,27.496,26.922,27.062,177424,0
20050329,27.025,27.496,27.025,27.299,297206,0
20050330,27.253,27.912,27.072,27.563,224162,0
20050331,27.638,27.704,26.733,27.006,126429,0
20050401,27.148,27.525,26.347,26.611,94096,0
20050404,26.857,26.857,25.932,26.281,120393,0
20050405,26.159,26.912,26.159,26.657,142283,0
20050406,26.903,27.365,26.545,26.545,118042,0
20050407,26.535,27.054,26.374,26.77,49637,0
20050408,26.545,26.941,26.431,26.441,88166,0
20050411,26.318,26.403,25.875,25.885,67354,0
20050412,25.829,25.856,25.368,25.61,136525,0
20050413,25.865,25.865,25.019,25.196,81064,0
20050414,25.377,26.159,25.205,25.368,129574,0
20050415,25.32,25.745,25.112,25.168,143930,0
20050418,25.074,25.678,25.074,25.678,183605,0
20050419,25.687,26.308,25.678,26.308,194205,0
20050420,26.206,26.272,25.968,26.026,173658,0
20050421,26.065,26.828,26.065,26.808,116192,0
20050422,26.677,26.847,26.299,26.337,225989,0
20050425,26.555,26.77,26.422,26.657,57959,0
20050426,26.704,26.828,25.94,26.308,217211,0
20050427,26.017,26.696,25.838,26.499,67638,0
20050428,26.384,26.602,25.8,25.8,115904,0
20050429,25.782,25.829,24.866,25.396,105738,0
20050502,25.649,25.838,25.121,25.649,111443,0
20050503,25.478,26.017,25.478,25.658,93064,0
20050504,25.555,26.168,25.32,26.102,153494,0
20050505,26.017,26.291,25.782,26.291,87184,0
20050506,26.365,26.441,25.545,25.649,137644,0
20050509,25.904,29.373,24.838,29.363,510161,0
20050510,28.948,29.119,27.696,27.797,462404,0
20050511,27.657,28.09,27.148,27.243,149785,0
20050512,27.262,28.816,27.243,28.184,181965,0
20050513,28.015,28.118,27.628,27.817,112517,0
20050516,27.731,28.053,27.401,27.572,188278,0
20050517,27.43,28.043,27.374,27.912,93126,0
20050518,28.157,28.723,28.006,28.553,63773,0
20050519,28.561,28.59,27.959,28.524,148919,0
20050520,28.524,28.639,27.941,28.6,92922,0
20050523,28.806,28.901,28.505,28.769,83224,0
20050524,28.495,29.063,28.242,28.968,72943,0
20050525,28.648,28.648,28.252,28.299,104380,0
20050526,28.571,28.788,28.289,28.581,86799,0
20050527,28.778,28.778,28.261,28.667,22985,0
20050531,28.553,28.844,28.261,28.355,172958,0
20050601,28.28,29.024,28.194,29.024,57945,0
20050602,28.704,28.977,28.289,28.759,109393,0
20050603,28.714,28.714,28.233,28.28,57269,0
20050606,28.242,28.439,27.988,28.439,52582,0
20050607,28.514,29.072,28.346,28.553,62702,0
20050608,28.629,28.75,28.053,28.147,80636,0
20050609,27.95,28.495,27.75,28.328,85415,0
20050610,28.401,28.401,27.95,27.979,38230,0
20050613,28.053,28.213,27.779,27.865,99267,0
20050614,27.855,28.242,27.601,27.807,106494,0
20050615,27.95,28.204,27.544,28.194,99827,0
20050616,27.988,28.619,27.988,28.59,60314,0
20050617,28.561,28.714,28.053,28.233,162396,0
20050620,28.299,28.391,27.76,27.807,76901,0
20050621,27.846,28.043,27.657,27.902,59045,0
20050622,26.187,27.902,25.46,27.714,592724,0
20050623,27.647,27.647,26.686,26.686,368694,0
20050624,26.696,26.818,26.243,26.47,340420,0
20050627,26.431,26.431,25.913,26.308,207920,0
20050628,26.374,27.015,25.988,26.517,221006,0
20050629,26.555,26.779,26.337,26.489,70994,0
20050630,26.489,26.507,26.196,26.252,89917,0
20050701,26.318,26.441,25.904,26.224,55995,0
20050705,26.121,27.677,26.121,27.27,117155,0
20050706,27.205,27.496,26.611,26.97,70666,0
