Date,Open,High,Low,Close,Volume,OpenInt
20050225,727.65,727.65,698.25,727.65,70,0
20050228,727.65,727.65,683.55,712.95,120,0
20050301,712.95,786.45,712.95,727.65,591,0
20050302,727.65,837.9,727.65,771.75,435,0
20050303,779.1,845.25,779.1,830.55,320,0
20050304,815.85,874.65,808.5,845.25,684,0
20050307,867.3,874.65,808.5,867.3,394,0
20050308,867.3,882,793.8,830.55,410,0
20050309,955.5,955.5,771.75,793.8,204,0
20050310,808.5,823.2,786.45,808.5,232,0
20050311,808.5,823.2,742.35,779.1,168,0
20050314,779.1,793.8,735,742.35,112,0
20050315,786.45,786.45,712.95,742.35,97,0
20050316,742.35,801.15,735,779.1,412,0
20050317,786.45,786.45,742.35,742.35,68,0
20050318,742.35,771.75,720.3,749.7,72,0
20050321,786.45,786.45,727.65,727.65,185,0
20050322,742.35,742.35,720.3,727.65,43,0
20050323,735,742.35,720.3,727.65,134,0
20050324,735,735,712.95,712.95,33,0
20050328,712.95,720.3,690.9,690.9,87,0
20050329,705.6,735,668.85,735,115,0
20050330,735,735,705.6,720.3,17,0
20050331,720.3,720.3,698.25,698.25,494,0
20050401,661.5,735,661.5,712.95,434,0
20050404,698.25,764.4,698.25,735,180,0
20050405,742.35,771.75,705.6,712.95,29,0
20050406,712.95,735,705.6,735,42,0
20050407,742.35,786.45,735,771.75,166,0
20050408,749.7,779.1,720.3,720.3,184,0
20050411,727.65,749.7,712.95,735,60,0
20050412,742.35,742.35,720.3,727.65,60,0
20050413,720.3,735,712.95,727.65,60,0
20050414,712.95,712.95,698.25,705.6,69,0
20050415,712.95,712.95,698.25,705.6,68,0
20050418,698.25,705.6,698.25,698.25,40,0
20050419,698.25,720.3,698.25,712.95,26,0
20050420,698.25,727.65,698.25,727.65,47,0
20050421,705.6,727.65,705.6,727.65,21,0
20050422,727.65,735,712.95,712.95,68,0
20050425,720.3,735,720.3,735,51,0
20050426,742.35,742.35,712.95,712.95,101,0
20050427,720.3,742.35,705.6,705.6,147,0
20050428,705.6,735,668.85,735,140,0
20050429,720.3,727.65,683.55,698.25,77,0
20050502,712.95,720.3,712.95,720.3,35,0
20050503,720.3,727.65,690.9,705.6,15,0
20050504,698.25,727.65,683.55,727.65,58,0
20050505,683.55,720.3,683.55,698.25,99,0
20050506,712.95,735,683.55,720.3,123,0
20050509,727.65,727.65,690.9,712.95,45,0
20050510,698.25,712.95,683.55,705.6,304,0
20050511,690.9,771.75,690.9,720.3,98,0
20050512,720.3,727.65,683.55,690.9,269,0
20050513,705.6,712.95,690.9,690.9,109,0
20050516,683.55,712.95,683.55,690.9,66,0
20050517,690.9,698.25,690.9,690.9,24,0
20050518,690.9,720.3,690.9,705.6,62,0
20050519,705.6,720.3,690.9,712.95,62,0
20050520,698.25,712.95,676.2,690.9,151,0
20050523,676.2,698.25,661.5,661.5,103,0
20050524,632.1,661.5,595.35,610.05,254,0
20050525,639.45,639.45,617.4,624.75,129,0
20050526,617.4,624.75,595.35,602.7,73,0
20050527,624.75,661.5,624.75,661.5,134,0
20050531,676.2,676.2,654.64,654.64,2,0
20050601,654.15,668.85,646.8,654.15,37,0
20050602,654.15,661.5,654.15,654.29,25,0
20050603,646.8,661.5,646.8,646.8,36,0
20050606,661.5,661.5,632.1,632.1,38,0
20050607,632.1,654.15,627.69,632.1,29,0
20050608,654.15,654.15,632.1,654.15,78,0
20050609,654.15,654.15,632.1,632.1,65,0
20050610,639.45,654.15,608.58,654.15,155,0
20050613,654.15,654.15,624.75,646.8,65,0
20050614,632.1,646.8,617.4,624.75,27,0
20050615,632.1,648.27,632.1,646.8,12,0
20050616,617.4,646.8,617.4,646.8,111,0
20050617,632.1,639.45,632.1,639.45,31,0
