Date,Open,High,Low,Close,Volume,OpenInt
20111103,5.1,5.1,4.27,4.27,22577,0
20111104,4.75,4.75,3.99,4.13,20610,0
20111107,4.01,4.2,4,4.19,5511,0
20111108,4.2,5.37,4.2,4.5,9402,0
20111109,4.9,5,4.3,4.96,17067,0
20111110,4.95,5.35,4.94,5.2,29600,0
20111111,5.24,6,5.24,5.35,18872,0
20111114,5.9,5.9,5.65,5.9,11536,0
20111115,5.77,6.88,5.77,6.67,16497,0
20111116,6.8,7,6.49,6.8,14469,0
20111117,6.79,6.81,6.02,6.15,15469,0
20111118,6.2,6.25,5.32,5.32,15046,0
20111121,5.3,5.3,4.71,4.75,7710,0
20111122,4.85,5.25,4.85,5.1,7088,0
20111123,5.11,5.5,5,5,7650,0
20111125,5.4,5.4,5.4,5.4,100,0
20111128,5.7,5.94,4,4.4,10345,0
20111129,4.73,4.99,3.76,3.76,36329,0
20111130,4.48,4.62,4.02,4.1,11629,0
20111201,4.4,4.4,4.09,4.1,13535,0
20111202,4.08,4.36,3.34,4.36,31640,0
20111205,4.33,5.73,4.33,5.73,43090,0
20111206,5.75,5.75,5.19,5.42,8893,0
20111207,5.4,5.4,5.25,5.29,3000,0
20111208,5.29,5.3,4.68,4.76,9092,0
20111209,4.89,4.89,4.35,4.75,3600,0
20111212,4.76,4.76,4.44,4.58,4682,0
20111213,4.72,4.82,4.25,4.25,4683,0
20111214,4.27,4.46,3.9,4.33,12666,0
20111215,4.1,4.25,4.05,4.25,1857,0
20111216,4.1,4.25,3.52,3.52,14523,0
20111219,3.94,4.17,3.53,3.6,15019,0
20111220,3.65,3.9,3.33,3.78,28896,0
20111221,3.85,3.98,3.71,3.71,36730,0
20111222,3.75,3.83,3.48,3.83,41862,0
20111223,3.54,3.87,3.54,3.87,15682,0
20111227,3.62,3.62,3.5,3.56,15190,0
20111228,3.56,3.56,3.22,3.25,35978,0
20111229,3.28,3.3,3,3.13,39859,0
20111230,3.25,3.3,2.99,3.01,63768,0
20120103,3.3,3.3,2.88,3.15,32671,0
20120104,3.3,3.5,2.8,2.8,77765,0
20120105,3.05,3.05,2.82,2.94,12406,0
20120106,3,3.09,2.89,2.91,20121,0
20120109,2.88,3,2.85,2.95,48050,0
20120110,2.95,2.95,2.85,2.85,13587,0
20120111,2.9,2.92,2.75,2.88,38009,0
20120112,2.89,2.9,2.67,2.67,17570,0
20120113,2.7,2.7,2.35,2.47,56584,0
20120117,2.6,2.6,2.31,2.31,32803,0
20120118,2.5,2.88,2.44,2.87,47700,0
20120119,2.75,3.66,2.75,3.01,47726,0
20120120,3.37,3.37,2.8,2.9,32114,0
20120123,2.94,2.99,2.85,2.99,8172,0
20120124,2.99,2.99,2.72,2.85,21995,0
20120125,2.85,2.85,2.75,2.75,8858,0
20120126,2.76,2.97,2.75,2.76,38841,0
20120127,2.83,3.05,2.75,2.96,56248,0
20120130,2.81,2.85,2.7,2.85,9070,0
20120131,2.77,2.79,2.69,2.7,15098,0
20120201,2.72,2.75,2.55,2.61,25421,0
20120202,2.7,2.75,2.65,2.73,19150,0
20120203,2.65,2.79,2.61,2.7,10698,0
20120206,2.65,2.7,2.65,2.7,10851,0
20120207,2.65,3.17,2.65,3.06,42872,0
20120208,3.09,3.35,3.05,3.13,41350,0
20120209,3.15,3.89,3.07,3.8,65862,0
20120210,3.56,4.24,3.56,4.09,38521,0
20120213,3.89,4.46,3.89,4.46,19118,0
20120214,4.55,4.55,4.32,4.49,25398,0
20120215,4.6,4.66,4.12,4.39,19175,0
20120216,4.01,4.41,4.01,4.4,12448,0
20120217,4.47,4.5,4.25,4.33,16116,0
20120221,4.4,4.9,4.35,4.61,31820,0
20120222,4.61,4.8,3.79,4,22541,0
20120223,4.01,4.17,4,4.12,10242,0
20120224,4.01,4.1,3.76,3.76,7536,0
20120227,3.81,4.2,3.76,4.04,18217,0
20120228,4.14,4.25,4.02,4.03,5800,0
20120229,4.05,4.19,4.05,4.14,5949,0
20120301,4.15,4.3,4.15,4.3,8829,0
20120302,4.47,4.47,4.15,4.27,16869,0
20120305,4.27,4.27,4.01,4.05,10117,0
20120306,4.1,4.75,4.1,4.5,16493,0
20120307,4.14,4.47,4.14,4.21,18352,0
20120308,4.2,4.4,4.17,4.3,3574,0
20120309,4.3,4.3,4.2,4.21,4029,0
20120312,4.25,4.25,3.92,3.92,5950,0
20120313,4.23,4.23,4.09,4.15,1984,0
20120314,4.06,4.1,3.83,3.96,25507,0
20120315,3.99,4.07,3.9,4.07,19269,0
20120316,3.97,4.01,3.97,4,11698,0
20120319,4.03,4.03,4,4.02,5700,0
20120320,4,4.08,3.8,3.9,18154,0
20120321,3.96,3.96,3.75,3.75,10701,0
20120322,3.75,4,3.75,3.92,4507,0
20120323,4,4.05,3.95,4,10626,0
20120326,3.6,3.81,3.56,3.62,16300,0
20120327,3.77,3.8,3.66,3.75,5701,0
20120328,3.71,3.8,3.7,3.8,4197,0
20120329,3.77,3.82,3.75,3.75,1100,0
20120330,3.52,3.6,3.51,3.5799,2653,0
20120402,3.53,3.53,3,3.48,15520,0
20120403,3.45,3.46,3.24,3.24,2800,0
20120404,3.28,3.28,3.25,3.25,2000,0
20120405,3.05,3.6,3.05,3.6,17012,0
20120409,3.63,3.74,3.38,3.65,2851,0
20120410,3.5,3.75,3.25,3.5,10362,0
20120411,3.52,3.52,3.26,3.26,1555,0
20120412,3.22,3.4,3.22,3.3,2875,0
20120413,3.3,3.3,3.05,3.1,1300,0
20120416,3.21,3.66,3.21,3.44,1750,0
20120417,3.4,3.4,3.33,3.35,2159,0
20120418,3.2,3.2,3,3.07,15110,0
20120419,3.01,3.07,3,3,4100,0
20120420,3.06,3.2,3.06,3.2,400,0
20120423,3,3.19,3,3,3965,0
20120424,3,3,2.99,3,15900,0
20120425,3.07,3.23,2.96,3.23,177472,0
20120426,3.15,3.36,3.15,3.34,10450,0
20120427,3.31,3.31,3.26,3.26,10575,0
20120430,3.27,3.56,3.16,3.56,6366,0
20120501,3.5,3.5,3.17,3.24,500,0
20120502,3.24,3.51,3.24,3.33,4497,0
20120503,3.38,3.38,2.95,3.07,8500,0
