Date,Open,High,Low,Close,Volume,OpenInt
20141114,17.149,17.46,16.462,17.46,662254,0
20141117,17.294,17.551,17.03,17.424,51437,0
20141118,17.259,17.431,17.057,17.378,52605,0
20141119,17.414,17.606,17.075,17.606,36219,0
20141120,17.157,17.414,16.928,17.414,64159,0
20141121,17.121,17.47,17.057,17.424,23076,0
20141124,17.378,17.424,17.157,17.378,37221,0
20141125,17.378,17.378,17.194,17.378,34860,0
20141126,17.378,17.424,17.304,17.414,32445,0
20141128,17.378,17.404,17.157,17.378,9780,0
20141201,17.331,17.405,16.873,17.405,82698,0
20141202,17.378,17.378,16.691,16.938,17056,0
20141203,17.085,17.378,16.965,17.149,22020,0
20141204,17.322,17.322,16.928,17.141,7387,0
20141205,16.975,17.186,16.92,16.975,8283,0
20141208,16.92,17.378,16.92,16.965,40079,0
20141209,16.975,17.111,16.92,16.92,19229,0
20141210,17.194,17.194,16.765,17.103,35664,0
20141211,16.975,17.103,16.691,16.903,46713,0
20141212,17.103,17.103,16.471,16.886,18580,0
20141215,17.286,17.304,16.792,17.141,25285,0
20141216,17.378,17.378,16.92,17.057,32886,0
20141217,16.938,17.118,16.782,17.103,18308,0
20141218,16.975,17.197,16.827,16.857,29342,0
20141219,16.792,17.03,16.462,16.92,88092,0
20141222,17.194,17.222,16.737,16.832,24334,0
20141223,16.618,16.903,16.171,16.475,31880,0
20141224,16.436,16.554,16.125,16.234,25995,0
20141226,16.325,16.426,16.234,16.4,12184,0
20141229,16.471,16.471,15.978,16.005,32636,0
20141230,16.096,16.101,14.959,15.219,170813,0
20141231,15.227,15.539,14.38,15.475,155819,0
20150102,17.378,17.378,14.323,15.868,27666,0
20150105,15.868,15.995,15.745,15.868,14422,0
20150106,16.216,16.216,15.649,15.649,7607,0
20150107,15.777,15.863,15.127,15.274,21922,0
20150108,15.767,16.071,15.127,15.622,102383,0
20150109,15.695,16.188,15.507,16.179,40277,0
20150112,16.188,16.422,16.096,16.096,18579,0
20150113,16.188,16.261,15.457,15.457,61307,0
20150114,15.629,15.712,14.461,15.172,66705,0
20150115,14.888,16.096,14.863,16.096,55524,0
20150116,16.28,16.28,15.33,15.43,17752,0
20150120,15.659,15.685,15.339,15.685,14105,0
20150121,15.33,16.252,14.643,14.853,317863,0
20150122,15.082,15.384,14.918,15.375,35771,0
20150123,15.026,15.264,14.817,15.026,42527,0
20150126,15.438,15.933,15.026,15.74,59409,0
20150127,15.548,15.731,15.026,15.32,87272,0
20150128,15.136,15.576,15.136,15.548,20889,0
20150129,15.897,15.978,15.32,15.777,30456,0
20150130,15.705,15.978,15.705,15.978,17531,0
20150202,15.933,16.445,15.731,16.354,22979,0
20150203,15.923,16.462,15.923,16.308,12715,0
20150204,15.897,16.349,15.758,15.869,14087,0
20150205,15.731,16.284,15.574,15.749,21530,0
20150206,15.509,15.97,15.28,15.897,36266,0
20150209,15.777,16.165,15.758,15.961,23933,0
20150210,15.914,16.717,15.454,15.97,109337,0
20150211,16.385,16.45,15.628,15.859,46818,0
20150212,16.434,16.434,15.684,15.712,51580,0
20150213,15.731,16.421,15.731,16.036,7726,0
20150217,16.081,16.081,15.463,15.5,20661,0
20150218,15.436,15.967,15.436,15.767,16261,0
20150219,15.731,15.832,15.621,15.628,17095,0
20150220,15.537,15.737,15.067,15.352,59203,0
20150223,15.067,15.731,15.067,15.426,27979,0
20150224,15.306,15.666,15.306,15.592,11408,0
20150225,15.658,15.658,15.528,15.528,5013,0
20150226,15.934,15.99,15.566,15.782,18579,0
20150227,15.99,16.395,15.758,16.313,39980,0
20150302,16.542,16.697,16.191,16.45,29515,0
20150303,16.579,16.8,16.32,16.468,18447,0
20150304,16.588,16.819,15.859,16.089,56535,0
20150305,16.671,16.671,16.043,16.606,26152,0
20150306,16.689,16.744,16.145,16.504,32879,0
20150309,16.385,16.635,16.21,16.615,12261,0
20150310,16.293,16.55,15.105,15.445,150942,0
20150311,16.717,16.957,16.036,16.826,103306,0
20150312,17.049,17.242,16.588,17.086,46552,0
20150313,16.697,17.334,16.697,16.826,50350,0
20150316,17.021,17.049,16.21,16.625,23764,0
20150317,16.625,16.773,16.21,16.238,18990,0
20150318,16.128,16.856,15.99,16.431,19316,0
20150319,16.339,16.689,15.897,16.293,23656,0
20150320,16.274,17.086,16.274,16.542,30492,0
20150323,16.405,16.652,16.375,16.615,16385,0
20150324,16.57,16.697,15.914,16.155,20509,0
20150325,16.174,16.671,16.109,16.385,31577,0
20150326,16.524,17.104,16.375,17.049,39825,0
20150327,17.021,17.233,16.349,16.947,160709,0
20150330,17.132,17.233,16.358,16.504,23873,0
20150331,16.56,17.003,16.56,16.763,16060,0
20150401,16.819,17.196,15.316,15.952,103523,0
20150402,16.128,16.671,15.952,16.458,42103,0
20150406,16.579,16.671,15.398,15.731,51653,0
20150407,15.519,16.164,15.356,15.621,58317,0
