Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.012,12.012,11.747,11.872,396247,0
20050228,11.8,11.863,11.448,11.792,178048,0
20050301,11.845,12.048,11.818,11.942,167055,0
20050302,12.067,12.067,11.695,11.775,109574,0
20050303,11.994,11.994,11.713,11.818,107456,0
20050304,11.994,11.994,10.378,10.988,220209,0
20050307,10.749,11.597,10.749,11.233,282485,0
20050308,11.324,11.456,10.953,11.279,345277,0
20050309,10.972,11.224,10.963,11.075,238757,0
20050310,11.066,11.191,10.995,11.103,410109,0
20050311,11.03,11.252,11.03,11.112,204490,0
20050314,11.103,11.393,11.103,11.359,88446,0
20050315,12.128,12.516,11.66,11.73,272917,0
20050316,11.836,11.836,11.307,11.641,148258,0
20050317,11.792,11.792,11.561,11.597,114582,0
20050318,11.73,11.827,11.482,11.704,228366,0
20050321,11.766,11.827,11.66,11.747,105532,0
20050322,11.633,11.9,11.553,11.588,122359,0
20050323,11.553,11.845,11.553,11.775,117227,0
20050324,11.818,11.818,11.579,11.597,110408,0
20050328,11.51,11.836,11.51,11.605,78085,0
20050329,11.553,11.73,11.439,11.553,138853,0
20050330,11.678,12.003,11.651,11.987,133684,0
20050331,12.021,12.03,11.73,11.9,172739,0
20050401,11.818,11.978,11.579,11.678,120752,0
20050404,11.588,11.688,11.456,11.641,99106,0
20050405,11.775,12.003,11.561,11.933,150218,0
20050406,11.872,12.012,11.836,11.872,120077,0
20050407,11.978,12.021,11.73,11.872,80473,0
20050408,11.669,11.987,11.669,11.845,69694,0
20050411,11.809,11.96,11.73,11.775,57829,0
20050412,11.775,11.994,11.352,11.96,312618,0
20050413,11.845,12.03,11.695,11.809,122344,0
20050414,11.836,11.978,11.747,11.775,134657,0
20050415,11.863,12.058,11.722,11.9,192287,0
20050418,12.021,12.295,11.827,12.189,262757,0
20050419,12.198,12.64,12.189,12.64,276005,0
20050420,12.516,12.693,12.28,12.488,218144,0
20050421,12.617,12.739,12.225,12.589,260236,0
20050422,12.683,12.774,12.137,12.42,263883,0
20050425,12.57,12.852,12.438,12.8,123845,0
20050426,12.836,12.87,12.349,12.429,101101,0
20050427,12.367,12.783,12.321,12.465,114408,0
20050428,12.376,12.456,11.9,12.085,122059,0
20050429,12.349,12.358,11.8,12.198,85362,0
20050502,12.287,12.498,12.198,12.498,103322,0
20050503,12.507,12.58,12.304,12.488,111758,0
20050504,12.589,12.64,12.048,12.271,185484,0
20050505,12.358,12.465,12.048,12.11,128978,0
20050506,12.28,12.516,11.987,12.287,99520,0
20050509,12.648,12.739,12.252,12.535,141577,0
20050510,12.42,12.456,12.03,12.172,103827,0
20050511,12.048,12.861,11.96,12.843,295880,0
20050512,12.711,13.215,12.625,13.215,362844,0
20050513,13.242,13.242,12.906,12.967,138021,0
20050516,13.117,13.117,12.756,13.117,169929,0
20050517,13.117,13.233,12.861,13.206,146813,0
20050518,13.171,13.206,12.665,12.828,188494,0
20050519,12.843,12.915,12.607,12.828,151200,0
20050520,12.958,13.022,12.64,13.012,84201,0
20050523,13.108,13.108,12.828,12.906,83118,0
20050524,13.012,13.366,13.012,13.268,237409,0
20050525,13.401,13.418,13.215,13.242,181503,0
20050526,13.162,13.322,13.135,13.18,160766,0
20050527,13.285,13.285,12.986,13.065,189193,0
20050531,12.976,13.162,12.915,13.092,168673,0
20050601,13.198,13.331,13.092,13.331,157965,0
20050602,13.18,13.418,13.144,13.242,95807,0
20050603,13.101,13.331,13.074,13.19,187635,0
20050606,13.162,13.331,13.135,13.171,76737,0
20050607,13.198,13.357,13.101,13.101,111684,0
20050608,13.004,13.331,12.958,13.215,171471,0
20050609,13.322,13.62,13.19,13.603,192409,0
20050610,13.553,13.712,13.331,13.585,210121,0
20050613,13.517,13.667,13.444,13.561,85846,0
20050614,13.331,14.064,13.331,14.03,155697,0
20050615,13.993,14.011,13.553,13.957,131741,0
20050616,14.002,14.011,13.737,13.939,94693,0
20050617,14.03,14.048,13.78,13.834,203720,0
20050620,13.762,13.843,13.729,13.737,98907,0
20050621,13.771,13.834,13.162,13.375,166987,0
20050622,13.472,13.534,13.276,13.463,118085,0
20050623,13.357,13.392,13.108,13.108,87064,0
20050624,13.126,13.126,12.774,12.87,319294,0
20050627,13.092,13.092,12.589,12.828,112552,0
20050628,12.87,13.126,12.729,12.915,152692,0
20050629,13.012,13.012,12.64,12.774,110690,0
20050630,12.843,12.878,12.693,12.739,71674,0
20050701,12.783,12.878,12.711,12.878,57760,0
20050705,12.756,12.943,12.739,12.843,116110,0
20050706,12.852,13.171,12.843,13.039,113597,0
20050707,12.958,13.62,12.958,13.215,125577,0
20050708,13.348,13.553,13.18,13.553,135239,0
20050711,13.463,13.798,13.418,13.737,210470,0
20050712,13.78,13.825,13.585,13.667,147271,0
20050713,13.585,13.639,13.215,13.375,105478,0
20050714,13.463,13.755,13.401,13.498,68613,0
20050715,13.392,13.611,13.055,13.57,82130,0
20050718,13.543,13.57,13.224,13.348,69742,0
20050719,13.285,13.737,13.285,13.667,119119,0
20050720,13.603,13.947,13.534,13.921,127162,0
20050721,13.975,13.975,13.331,13.366,177427,0
20050722,13.508,14.02,13.357,14.011,110846,0
20050725,13.93,14.002,13.242,13.285,133989,0
20050726,13.702,13.702,13.366,13.453,68368,0
20050727,13.331,13.508,13.03,13.418,84754,0
20050728,13.508,13.693,13.285,13.693,70696,0
20050729,13.693,13.737,13.348,13.384,63611,0
20050801,13.322,13.693,13.26,13.553,95714,0
20050802,13.648,13.648,13.313,13.392,98968,0
20050803,13.313,13.48,13.268,13.268,106453,0
20050804,13.303,13.303,12.748,12.976,251188,0
20050805,12.958,12.958,12.633,12.648,154243,0
20050808,12.657,12.711,12.447,12.589,126594,0
20050809,12.648,12.648,12.163,12.225,150134,0
20050810,12.146,12.58,11.994,12.128,100176,0
20050811,12.102,12.234,11.987,12.155,139135,0
20050812,12.102,12.243,11.704,11.863,131933,0
20050815,11.89,12.163,11.809,12.048,146858,0
20050816,11.942,12.048,11.669,11.669,86051,0
20050817,11.713,11.872,11.704,11.756,71469,0
20050818,11.783,11.783,11.439,11.641,90727,0
20050819,11.818,12.412,11.775,12.331,174035,0
20050822,12.465,12.525,12.313,12.507,105599,0
20050823,12.598,12.598,12.321,12.385,77707,0
20050824,12.447,12.447,12.003,12.18,212340,0
20050825,12.155,12.367,12.11,12.295,192649,0
20050826,12.358,12.358,11.951,11.951,139760,0
20050829,11.994,12.438,11.73,12.412,120877,0
20050830,12.313,12.465,12.128,12.189,139585,0
20050831,12.146,12.589,12.119,12.589,180629,0
20050901,12.589,12.598,12.456,12.507,68529,0
20050902,12.465,12.57,12.385,12.472,35866,0
20050906,12.429,12.739,12.225,12.683,150873,0
20050907,12.648,12.693,12.321,12.525,107894,0
20050908,12.412,12.625,12.367,12.525,65317,0
20050909,12.562,12.665,12.42,12.507,51688,0
20050912,12.553,12.8,12.402,12.739,127860,0
20050913,12.674,12.843,12.456,12.553,106783,0
20050914,12.665,12.729,12.456,12.553,163712,0
20050915,12.58,12.8,12.447,12.64,186827,0
20050916,12.739,13.144,12.711,13.117,475810,0
20050919,13.092,13.144,12.711,12.774,177310,0
20050920,12.809,13.135,12.792,12.8,136540,0
20050921,12.739,12.739,12.313,12.367,136838,0
20050922,12.28,12.438,12.058,12.252,120303,0
20050923,12.189,12.665,12.102,12.607,118647,0
20050926,12.739,13.03,12.607,12.958,111194,0
20050927,12.933,12.933,12.456,12.589,118240,0
20050928,12.516,12.64,12.304,12.544,186255,0
20050929,12.544,13.012,12.507,12.995,73418,0
20050930,12.958,12.958,12.739,12.924,78457,0
20051003,12.818,13.144,12.818,13.101,87234,0
20051004,13.101,13.135,12.933,13.012,64328,0
20051005,12.958,13.065,12.64,12.836,120316,0
20051006,12.8,13.012,12.598,12.729,110144,0
20051007,12.828,12.887,12.748,12.818,74872,0
20051010,12.774,13.03,12.774,12.836,47627,0
20051011,12.87,12.933,12.72,12.792,204425,0
20051012,12.739,13.108,12.739,13.022,150856,0
20051013,12.958,13.233,12.906,13.012,94624,0
20051014,13.206,13.224,12.87,13.004,68367,0
20051017,12.967,13.101,12.792,12.958,73256,0
20051018,12.933,13.19,12.809,12.87,74486,0
20051019,12.783,13.322,12.674,13.322,197528,0
20051020,13.285,13.303,12.589,12.958,280304,0
20051021,12.809,13.198,12.809,12.878,138379,0
20051024,12.924,13.18,12.878,13.092,126006,0
20051025,12.995,13.215,12.887,13.215,286479,0
20051026,13.117,13.206,12.924,12.995,144175,0
20051027,12.861,12.87,12.331,12.625,307863,0
20051028,12.693,13.03,12.625,12.958,201292,0
20051031,12.967,13.18,12.896,12.976,226429,0
20051101,12.915,13.171,12.87,13.03,298179,0
20051102,13.022,13.19,13.022,13.144,111953,0
20051103,13.198,13.215,12.949,13.039,177659,0
20051104,13.03,13.375,13.004,13.375,226026,0
20051107,13.418,13.534,13.198,13.392,69334,0
20051108,13.108,13.224,13.022,13.135,106229,0
20051109,13.03,13.224,12.958,13.055,61690,0
20051110,13.135,13.198,12.887,13.126,164043,0
20051111,13.065,13.392,13.039,13.313,80315,0
20051114,13.26,13.285,13.03,13.108,66114,0
20051115,13.171,13.322,13.03,13.083,64277,0
20051116,13.047,13.047,12.836,12.878,76067,0
20051117,12.995,13.242,12.887,13.233,84971,0
20051118,13.357,13.534,13.19,13.392,81660,0
20051121,13.392,13.41,13.242,13.357,77838,0
20051122,13.331,13.384,13.18,13.224,95682,0
20051123,13.285,13.392,13.18,13.384,84311,0
20051125,13.472,13.508,13.375,13.508,29080,0
20051128,13.418,13.585,13.294,13.357,202425,0
20051129,13.418,13.57,13.331,13.366,42946,0
20051130,13.285,13.577,13.276,13.577,248657,0
20051201,13.585,14.151,13.453,13.993,216152,0
20051202,13.914,14.055,13.861,13.957,125206,0
20051205,13.993,13.993,13.603,13.693,135661,0
20051206,13.693,13.966,13.63,13.789,125607,0
20051207,13.889,13.897,13.603,13.762,166124,0
20051208,13.702,14.125,13.702,13.921,78583,0
20051209,14.011,14.064,13.889,14.048,60359,0
20051212,14.064,14.099,13.993,13.993,49434,0
20051213,14.064,14.099,13.871,13.897,248970,0
20051214,13.975,13.983,13.78,13.914,155077,0
20051215,13.966,13.966,13.577,13.611,250063,0
20051216,13.648,13.693,13.463,13.525,442813,0
20051219,13.648,13.648,13.233,13.276,121082,0
20051220,13.19,13.561,13.092,13.294,145887,0
20051221,13.525,13.525,13.242,13.285,90152,0
20051222,13.418,13.921,13.331,13.843,493496,0
20051223,13.93,14.02,13.676,13.78,97032,0
20051227,13.921,14.02,13.611,13.693,104764,0
