Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.183,14.424,14.183,14.424,1331,0
20050228,14.458,14.466,14.151,14.282,8472,0
20050301,14.068,14.745,14.068,14.745,3299,0
20050302,14.745,15.251,14.497,15.209,8790,0
20050303,14.886,15.251,14.273,14.433,9931,0
20050304,14.458,15.093,14.458,14.921,5168,0
20050307,15.128,15.128,14.497,14.59,7343,0
20050308,14.869,14.869,14.869,14.869,890,0
20050309,14.489,14.877,14.415,14.466,1464,0
20050310,14.959,14.959,14.2,14.381,2893,0
20050311,14.258,14.258,14.258,14.258,528,0
20050315,14.869,14.869,14.869,14.869,120,0
20050317,14.192,14.664,14.192,14.664,483,0
20050318,14.671,14.671,14.671,14.671,240,0
20050321,14.836,14.836,14.135,14.135,1691,0
20050322,14.251,14.514,13.952,13.952,3581,0
20050323,14.266,14.266,14.266,14.266,120,0
20050324,14.333,14.333,13.771,13.771,436,0
20050328,13.845,13.845,13.564,13.564,1451,0
20050330,13.564,13.564,13.564,13.564,120,0
20050331,13.564,14.101,13.225,13.771,2782,0
20050401,14.119,14.143,13.827,13.827,361,0
20050405,13.267,13.315,13.152,13.183,5263,0
20050406,13.225,13.225,13.225,13.225,3991,0
20050407,13.557,13.557,13.291,13.291,729,0
20050408,13.283,13.283,12.753,12.812,1834,0
20050411,12.736,12.736,12.191,12.365,8198,0
20050412,12.365,12.498,12.076,12.076,1997,0
20050413,12.2,12.341,11.984,12.018,7380,0
20050414,11.929,12.109,11.876,11.876,3506,0
20050415,12.191,12.316,11.876,11.993,4716,0
20050419,11.984,11.984,10.745,11.639,9830,0
20050420,12.398,12.398,11.563,11.572,1937,0
20050421,11.572,11.738,11.572,11.654,6048,0
20050422,11.654,11.829,11.654,11.829,608,0
20050425,11.938,11.938,11.938,11.938,120,0
20050426,11.984,11.984,11.984,11.984,240,0
20050427,11.572,11.572,11.572,11.572,729,0
20050428,12.183,12.183,11.572,11.572,1099,0
20050429,12.183,12.183,11.572,11.572,7054,0
20050502,12.068,12.068,11.777,11.777,462,0
20050503,11.777,12.441,11.572,12.151,7195,0
20050504,11.984,11.984,11.738,11.738,1908,0
20050509,12.233,12.233,12.233,12.233,483,0
20050512,12.605,12.605,12.605,12.605,120,0
20050513,14.273,14.273,13.225,13.639,6147,0
20050516,14.051,14.051,13.53,13.53,892,0
20050517,12.895,12.895,12.895,12.895,120,0
20050518,13.209,13.209,13.143,13.143,240,0
20050519,13.306,13.597,13.143,13.183,729,0
20050520,13.183,13.183,12.895,12.895,361,0
20050523,12.895,12.895,12.895,12.895,240,0
20050524,12.921,12.921,12.895,12.895,240,0
20050526,13.357,13.357,13.315,13.315,851,0
20050527,13.315,13.315,13.315,13.315,1212,0
20050531,13.366,13.375,13.003,13.351,1949,0
20050601,13.375,13.375,13.044,13.044,971,0
20050602,13.225,13.225,12.895,12.895,608,0
20050603,12.895,12.895,11.713,12.191,7714,0
20050606,12.191,12.191,11.911,12.126,1731,0
20050607,12.498,12.539,12.001,12.191,1694,0
20050608,11.993,11.993,11.993,11.993,120,0
20050609,12.151,12.151,12.151,12.151,729,0
20050610,12.027,12.027,12.027,12.027,1212,0
20050613,12.771,12.812,12.771,12.812,729,0
20050614,12.835,12.853,12.821,12.853,2421,0
20050616,12.812,13.11,12.745,13.11,541,0
20050617,12.753,12.753,12.753,12.753,483,0
20050621,13.127,13.135,13.127,13.135,361,0
20050622,12.745,12.745,12.745,12.745,120,0
20050627,12.334,12.334,12.334,12.334,351,0
20050628,12.804,13.051,12.804,13.051,1607,0
20050630,12.507,12.605,12.507,12.507,1885,0
20050701,12.498,12.821,12.085,12.821,661,0
20050705,12.2,12.548,12.2,12.548,729,0
20050708,12.647,12.647,12.605,12.605,541,0
20050711,12.191,12.398,12.191,12.349,3824,0
20050713,12.398,12.398,12.191,12.191,851,0
20050714,12.191,12.191,12.191,12.191,120,0
20050715,12.39,12.39,12.39,12.39,201,0
20050718,12.39,12.39,12.357,12.357,300,0
20050720,12.191,12.191,12.191,12.191,1331,0
20050721,12.191,12.191,11.976,12.191,2280,0
20050722,12.068,12.068,11.389,11.902,15365,0
20050725,12.266,12.266,12.266,12.266,240,0
20050726,12.316,12.316,11.398,11.73,13286,0
20050727,11.885,11.885,11.382,11.777,6170,0
20050728,12.151,12.151,11.721,11.721,483,0
20050729,11.777,11.885,11.738,11.885,100990,0
20050801,11.876,12.531,11.876,12.507,5974,0
20050802,12.39,12.424,12.39,12.398,1451,0
