Date,Open,High,Low,Close,Volume,OpenInt
20140903,35.27,35.85,34.83,35.02,500839,0
20140904,34.95,35.17,34.65,34.8,1314430,0
20140905,34.9,34.99,34.22,34.71,2229955,0
20140908,34.82,35.52,34.56,35.2,1495223,0
20140909,34.76,35.57,34.12,34.33,2325123,0
20140910,33.85,35.295,33.82,35.14,1766864,0
20140911,35.44,35.9,34.53,35.26,304556,0
20140912,35.28,36.29,35.01,36.28,1186135,0
20140915,36.32,36.32,34.59,34.77,652267,0
20140916,34.56,35.18,33.93,34.92,524165,0
20140917,34.73,35.44,34.06,34.99,637743,0
20140918,35.7,36.08,35.46,35.78,523754,0
20140919,36.62,36.62,35.69,36.11,916591,0
20140922,35.56,36,34.16,34.74,1166401,0
20140923,33.85,35.1,33.49,33.88,1161525,0
20140924,33.63,34.68,33.06,34.58,280494,0
20140925,34.59,34.64,33.35,33.61,674621,0
20140926,33.93,34.25,33.49,33.99,698415,0
20140929,33.89,33.94,32.91,33.62,278248,0
20140930,33.8,34.1,32.46,33.9,355712,0
20141001,34.04,34.04,32.75,33.23,334768,0
20141002,33.37,33.43,31.9,32.57,633655,0
20141003,32.62,33.39,32.395,32.7,302306,0
20141006,32.62,33.42,32.18,32.37,396602,0
20141007,32.22,32.37,31.5,31.55,398734,0
20141008,30.44,32.2,29.803,32.03,309295,0
20141009,32.23,32.23,30.74,30.93,603426,0
20141010,31.07,31.07,29.39,29.58,345209,0
20141013,29.29,29.78,28.01,28.27,642219,0
20141014,27.73,28.73,27.03,27.87,636098,0
20141015,27.36,27.76,26.39,27.59,714287,0
20141016,26.54,28.21,26.39,27.79,517321,0
20141017,28.13,28.7,28.13,28.48,508454,0
20141020,28.58,29.66,28.38,29.4,285303,0
20141021,29.89,31.53,29.68,31.47,584411,0
20141022,31.7,31.72,30.378,30.53,308642,0
20141023,30.88,31.56,30.515,31.27,371662,0
20141024,31.18,31.76,30.88,31.6,425124,0
20141027,31.31,31.52,30.875,31.2,222605,0
20141028,31.21,31.73,31.18,31.68,392370,0
20141029,31.36,31.51,30.78,30.92,594082,0
20141030,31,31,30.185,30.3,575478,0
20141031,31.21,31.76,30.63,31.58,467154,0
20141103,31.58,31.58,30.26,30.3,477815,0
20141104,30.01,30.225,29.2,29.89,393827,0
20141105,26.51,26.51,24.79,25.21,2687560,0
20141106,25.11,26.26,25.11,26.2,1123380,0
20141107,26.3,26.42,25.83,26.03,713381,0
20141110,25.96,26.165,25.63,26,423917,0
20141111,26.2,26.21,24.44,24.88,1150283,0
20141112,24.72,25.2,24.47,25.15,648025,0
20141113,25.36,25.57,24.38,24.55,736052,0
20141114,24.55,24.96,23.91,24.91,522538,0
20141117,24.86,25.04,24.21,24.23,685744,0
20141118,24.3,25.18,24.22,24.89,444643,0
20141119,25.21,25.49,24.79,25.37,560054,0
20141120,25.35,25.81,25.255,25.36,546998,0
20141121,25.66,25.81,25.24,25.37,271434,0
20141124,25.35,25.67,25.22,25.53,321122,0
20141125,25.73,25.73,25.18,25.58,284160,0
20141126,25.5,25.97,25.42,25.71,336964,0
20141128,25.96,26.43,25.71,26.21,128917,0
20141201,26.04,26.21,24.91,25,643613,0
20141202,25.13,27.41,25.13,27.11,1129682,0
20141203,27.09,27.17,26.32,26.48,1065814,0
20141204,26.34,27.29,26.08,26.99,1121318,0
20141205,26.96,27.31,26.85,27.18,921071,0
20141208,26.7,27.05,25.87,26,684989,0
20141209,25.52,26.08,25.38,25.9,888387,0
20141210,25.87,26.05,25.07,25.28,731225,0
20141211,25.5,26,25.3,25.4,420023,0
20141212,25.14,25.45,24.93,25.04,398232,0
20141215,25.37,25.5,24.99,25.25,342679,0
20141216,25.05,25.43,24.87,24.93,303022,0
20141217,24.93,25.7,24.88,25.61,633032,0
20141218,26.15,26.54,26.1,26.52,413865,0
