Date,Open,High,Low,Close,Volume,OpenInt
20151231,24.799,24.839,24.749,24.749,5522,0
20160104,24.4,24.42,24.321,24.321,502,0
20160105,24.45,24.56,24.4,24.56,4920,0
20160106,24.241,24.54,24.241,24.5,879,0
20160107,24.261,24.261,24.09,24.09,479,0
20160108,24.092,24.112,23.903,23.903,2261,0
20160111,23.942,23.942,23.942,23.942,4217,0
20160112,25.287,25.287,23.883,23.903,7804,0
20160113,23.992,23.992,23.992,23.992,879,0
20160114,23.713,23.713,23.713,23.713,100,0
20160115,23.484,23.484,23.415,23.415,1280,0
20160119,23.604,23.604,23.564,23.594,1908,0
20160121,23.136,23.338,23.136,23.338,507,0
20160122,23.514,23.703,23.497,23.703,1657,0
20160126,23.803,23.803,23.584,23.803,904,0
20160127,23.982,23.982,23.728,23.728,422,0
20160128,23.932,24.04,23.932,24.04,1264,0
20160129,24.301,24.55,24.261,24.55,9347,0
20160201,24.719,24.739,24.47,24.739,13508,0
20160202,24.376,24.52,24.341,24.47,4914,0
20160203,24.391,24.719,24.391,24.649,7106,0
20160204,24.708,24.739,24.688,24.739,2711,0
20160205,24.938,24.938,24.64,24.669,12293,0
20160208,24.4,24.56,24.231,24.56,6326,0
20160209,24.41,24.449,24.301,24.449,1590,0
20160210,24.41,24.411,24.41,24.411,301,0
20160211,24.102,24.132,23.952,24.132,3273,0
20160212,24.171,24.291,24.171,24.291,1079,0
20160216,24.829,24.829,24.48,24.689,4955,0
20160217,24.888,25.058,24.888,24.968,12476,0
20160218,25.177,25.177,24.978,25.065,5031,0
20160219,24.948,25.137,24.943,24.968,22532,0
20160222,25.227,25.333,25.227,25.315,3769,0
20160223,25.466,25.466,25.177,25.187,6717,0
20160224,25.167,25.196,24.879,25.196,4706,0
20160225,25.486,25.556,25.267,25.556,18775,0
20160226,25.805,25.805,25.197,25.237,27739,0
20160229,25.287,25.436,25.137,25.137,12711,0
20160301,25.307,25.446,25.307,25.446,6465,0
20160302,25.715,25.715,25.3,25.582,24232,0
20160303,25.576,25.805,25.576,25.805,10893,0
20160304,25.795,26.024,25.745,25.959,54311,0
20160307,25.962,26.173,25.962,26.074,9086,0
20160308,26.014,26.094,25.914,25.964,11021,0
20160309,26.133,26.163,26.004,26.045,24478,0
20160310,26.313,26.313,25.873,26.044,14058,0
20160311,26.293,26.323,26.193,26.323,11126,0
20160314,26.542,26.542,26.203,26.323,17069,0
20160315,26.303,26.303,26.123,26.233,16214,0
20160316,26.193,26.462,26.133,26.42,20315,0
20160317,26.512,26.826,26.422,26.791,22699,0
20160318,26.784,26.87,26.751,26.781,35124,0
20160321,26.721,26.841,26.721,26.801,10437,0
20160322,27.09,27.09,26.711,26.741,23678,0
20160323,26.741,26.741,26.621,26.621,19016,0
20160324,26.72,26.72,26.4852,26.61,17162,0
20160328,28,28,26.57,26.65,31133,0
20160329,26.57,26.98,26.57,26.97,50080,0
20160330,27.03,27.07,26.98,26.9984,31364,0
20160331,27.09,27.1,26.9974,27.0632,19991,0
20160401,26.86,27.13,26.86,27.13,10424,0
20160404,27.01,27.059,26.9631,26.9631,7467,0
20160405,26.79,26.82,26.71,26.71,11229,0
20160406,26.78,26.7815,26.59,26.7815,12890,0
20160407,26.82,26.82,26.5465,26.59,29634,0
20160408,26.77,26.77,26.6192,26.649,10428,0
20160411,26.7899,26.8416,26.66,26.66,7573,0
20160412,26.69,26.8789,26.64,26.83,38111,0
20160413,26.8999,26.9246,26.86,26.9246,20144,0
20160414,27.09,27.09,26.9204,26.9588,35031,0
20160415,27.06,27.06,26.976,27.0492,33311,0
