Date,Open,High,Low,Close,Volume,OpenInt
19930319,0.5609,0.5944,0.5358,0.5443,53777430,0
19930322,0.5358,0.5358,0.5192,0.5192,8122533,0
19930323,0.5192,0.5358,0.5192,0.5192,4957871,0
19930324,0.5358,0.5358,0.5192,0.5358,2187779,0
19930325,0.5443,0.5609,0.5358,0.5525,2538801,0
19930326,0.5609,0.5944,0.5525,0.5693,4966039,0
19930329,0.5861,0.5861,0.5693,0.5777,4397323,0
19930330,0.5777,0.5944,0.5693,0.5861,2274850,0
19930331,0.5944,0.5944,0.5777,0.5944,1983694,0
19930401,0.5861,0.5944,0.5777,0.5861,848988,0
19930402,0.5944,0.5944,0.5777,0.5944,1137426,0
19930405,0.5944,0.5944,0.5777,0.5944,263948,0
19930406,0.5861,0.5944,0.5777,0.5777,522454,0
19930407,0.5944,0.5944,0.5777,0.5944,816334,0
19930408,0.5944,0.5944,0.5777,0.5944,565991,0
19930412,0.5944,0.5944,0.5861,0.5861,111567,0
19930413,0.5944,0.6281,0.5861,0.6029,1208175,0
19930414,0.6029,0.6531,0.6029,0.6281,3695278,0
19930415,0.6362,0.6362,0.5944,0.6029,2117027,0
19930416,0.6111,0.6193,0.6029,0.6111,1232664,0
19930419,0.6111,0.6111,0.5944,0.5944,998651,0
19930420,0.5944,0.5944,0.5777,0.5944,1409539,0
19930421,0.5861,0.6362,0.5777,0.6193,1891174,0
19930422,0.6281,0.6696,0.6111,0.6531,1782331,0
19930423,0.6696,0.6866,0.6531,0.6866,1115660,0
19930426,0.6781,0.7032,0.6614,0.6948,2103420,0
19930427,0.6948,0.7284,0.6866,0.7284,1741516,0
19930428,0.7284,0.7785,0.7284,0.7701,4718415,0
19930429,0.7701,0.7785,0.6948,0.7367,4906174,0
19930430,0.7534,0.7785,0.7367,0.7785,3115677,0
19930503,0.7701,0.7869,0.7701,0.7869,1072119,0
19930504,0.7785,0.7869,0.7534,0.7534,963274,0
19930505,0.7534,0.7785,0.7534,0.7617,612252,0
19930506,0.7785,0.7785,0.7617,0.7785,92518,0
19930507,0.7785,0.8288,0.7785,0.8203,1131987,0
19930510,0.8203,0.8625,0.8203,0.8625,3523848,0
19930511,0.8625,0.8625,0.8374,0.8625,1700699,0
19930512,0.8625,0.8625,0.8455,0.8625,1107494,0
19930513,0.8625,0.8625,0.8203,0.8203,1537429,0
19930514,0.8203,0.8455,0.8203,0.8288,1390491,0
19930517,0.8288,0.8625,0.8288,0.8542,356466,0
19930518,0.8625,0.8874,0.8625,0.8874,1153753,0
19930519,0.8874,0.8874,0.8707,0.8707,1200013,0
19930520,0.8956,0.8956,0.8707,0.8789,587759,0
19930521,0.8956,0.8956,0.8707,0.8956,220410,0
19930524,0.8874,0.8874,0.8288,0.8374,949670,0
19930525,0.8374,0.8455,0.8374,0.8455,699326,0
19930526,0.8374,0.8625,0.8374,0.8625,242177,0
19930527,0.8455,0.8625,0.8374,0.8542,957832,0
19930528,0.8374,0.8542,0.8374,0.8542,133335,0
19930601,0.8374,0.8542,0.8374,0.8374,261225,0
19930602,0.8542,0.8542,0.8374,0.8374,78914,0
19930603,0.8374,0.8542,0.8374,0.8374,250341,0
