Date,Open,High,Low,Close,Volume,OpenInt
20131010,24,26.4,23.91,24.99,5361200,0
20131011,25.2,26.27,24.89,26.1,549400,0
20131014,26.5,26.5,25.01,25.38,244400,0
20131015,25.06,25.99,23.1,25.01,322300,0
20131016,25.23,25.7,24.16,25.43,97600,0
20131017,26.5,26.5,24.51,25.17,47300,0
20131018,25.09,25.73,25.05,25.41,152800,0
20131021,25.2,25.72,24.89,25.7,120400,0
20131022,25.95,27.99,25.74,27.22,107343,0
20131023,27.22,27.72,25.7,26.17,76800,0
20131024,26.01,29.3,26.01,28,93160,0
20131025,28,28.45,27.43,27.5,18400,0
20131028,27.65,27.69,26.77,27.37,16000,0
20131029,27.08,27.77,26,27.13,35400,0
20131030,26.36,28,26.36,26.85,22100,0
20131031,27,28.32,26.52,26.94,101455,0
20131101,27.62,27.62,26.5,27.32,25300,0
20131104,28.22,28.22,25.6,26.15,64800,0
20131105,26.61,27.25,25.27,26.23,72400,0
20131106,26.09,27.01,25.62,26.23,261627,0
20131107,25.56,26.26,25.27,26,56295,0
20131108,26.25,26.51,25.37,25.91,59160,0
20131111,25.91,26.81,25.51,26.53,32200,0
20131112,26.75,27.49,26.49,26.93,43300,0
20131113,26.86,29,26.86,28.48,40900,0
20131114,28.47,28.75,27.34,27.96,33078,0
20131115,28.46,30.25,27.03,27.11,122197,0
20131118,27.49,27.95,25.4,26.11,81000,0
20131119,26,26,23,23.21,96000,0
20131120,23.3,23.86,21.5,22.21,55200,0
20131121,22.29,22.41,21.55,21.82,85100,0
20131122,21.87,24.15,21.74,23.79,40600,0
20131125,23.79,25.78,23.05,24.86,35400,0
20131126,24.54,26.98,24.54,26.52,115000,0
20131127,26.31,27.98,26.2,27.25,41010,0
20131129,26.62,27.98,25.92,26.47,11212,0
20131202,26.93,27.27,25.83,25.83,37408,0
20131203,27.12,27.19,25.04,25.64,80500,0
20131204,27.4,27.92,24.72,26,248800,0
20131205,25.77,27.33,25.17,25.76,65000,0
20131206,25.93,26.95,25.32,26.01,29600,0
20131209,26.02,27,25.55,26,59200,0
20131210,26.56,26.59,25.36,26.01,68800,0
20131211,25.93,26.105,24.31,24.9,92129,0
20131212,25.22,25.22,24.4,24.96,61700,0
20131213,24.96,25.64,24.08,25.2,79800,0
20131216,25.35,26.39,24.46,26.15,59300,0
20131217,25.92,27.52,25.85,26.8,73200,0
20131218,26.87,27.69,25.825,27.53,93580,0
20131219,27.28,27.63,26.44,26.69,107500,0
20131220,26.01,27.52,25.62,26.85,984900,0
20131223,27.05,27.81,26.52,27.16,65800,0
20131224,27.2,27.2,26.31,27,24403,0
20131226,27.17,27.17,26.31,26.81,48900,0
20131227,26.93,26.93,26.26,26.77,184685,0
20131230,26.68,28.28,26.09,28.05,105531,0
20131231,28.01,28.52,26.79,27.43,171600,0
20140102,27.15,29.04,27.06,28.83,59265,0
20140103,28.89,29.48,28.375,29.48,156490,0
20140106,29.48,29.48,28.71,29.31,58143,0
20140107,29.5,32.08,28.96,31.53,114400,0
20140108,31.4,32.26,30.88,32.26,66500,0
20140109,32.46,33.93,32.46,33.92,63900,0
20140110,34.13,37.48,34.13,37.03,154300,0
20140113,37.03,37.11,35.41,37,203400,0
20140114,37.1,37.74,36.8,37.19,124563,0
20140115,37.1,37.88,36.65,37.07,133000,0
20140116,37.05,39.17,37.05,38.67,24100,0
20140117,38.74,40.78,38.74,40.21,55200,0
20140121,40.44,40.88,37.8,39,119300,0
20140122,39.21,39.21,37.58,38.06,77908,0
20140123,38.1,39.16,37.96,38.83,28618,0
20140124,38.9,39.96,38.62,39.51,72300,0
