Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.3166,7.4604,7.3166,7.4221,45865,0
20050228,7.4892,7.4892,7.2302,7.3548,45351,0
20050301,7.2013,7.4507,7.1727,7.2878,48761,0
20050302,7.2493,7.6234,7.2493,7.2974,81860,0
20050303,7.3358,7.5275,7.3358,7.3741,50200,0
20050304,7.4124,7.4124,7.2208,7.3166,72634,0
20050307,7.3741,7.4892,7.3262,7.3358,69622,0
20050308,7.2974,7.3069,7.2398,7.3069,46095,0
20050309,7.4892,7.4892,7.2974,7.3166,40832,0
20050310,7.3453,7.5562,7.3069,7.3933,58737,0
20050311,7.3358,7.5371,7.3262,7.4604,69657,0
20050314,7.3837,7.9302,7.3837,7.4988,173086,0
20050315,7.5946,7.8056,7.4988,7.6618,57967,0
20050316,7.6715,7.7769,7.4892,7.6521,80276,0
20050317,7.6809,7.9783,7.5562,7.6905,64879,0
20050318,7.7672,7.8535,7.6809,7.8535,86305,0
20050321,7.8919,8.1988,7.7289,7.7289,73285,0
20050322,7.8439,7.9111,7.6715,7.7384,38839,0
20050323,7.7097,7.7864,7.5275,7.5755,53407,0
20050324,7.5946,7.7864,7.4797,7.7672,55605,0
20050328,7.7672,7.7959,7.5371,7.7577,82519,0
20050329,7.8153,7.9111,7.7864,7.8249,80950,0
20050330,7.8823,7.9494,7.585,7.8919,85004,0
20050331,7.9686,7.9974,7.8919,7.9974,59094,0
20050401,8.0548,8.0548,7.5275,7.6521,63236,0
20050404,7.5755,7.7193,7.4988,7.5083,47230,0
20050405,7.4797,7.7097,7.4797,7.6618,44762,0
20050406,7.8249,7.9494,7.6234,7.6521,85770,0
20050407,7.5371,7.7672,7.5371,7.6618,27973,0
20050408,7.5467,7.7193,7.5467,7.6809,93852,0
20050411,7.6041,7.7193,7.6041,7.6715,36231,0
20050412,7.585,7.9494,7.585,7.9014,107002,0
20050413,7.9014,7.9494,7.8249,7.9111,69836,0
20050414,7.9974,7.9974,7.6809,7.9014,44168,0
20050415,7.9398,7.9878,7.7193,7.7864,49230,0
20050418,7.6715,8.0548,7.6715,8.0548,116526,0
20050419,7.9878,8.4002,7.9783,8.3714,139857,0
20050420,8.4384,8.5823,8.1124,8.496,155224,0
20050421,8.6302,8.6302,8.4002,8.5058,52690,0
20050422,8.496,8.6302,8.3906,8.6014,124019,0
20050425,8.6783,8.6783,8.5536,8.6302,86740,0
20050426,8.5439,8.6783,8.5343,8.6302,61140,0
20050427,8.6494,8.6494,8.333,8.5152,44458,0
20050428,8.5152,8.6207,8.3906,8.4193,64164,0
20050429,8.5632,8.5727,8.3522,8.4193,56070,0
20050502,8.2946,8.5919,8.2946,8.5152,89199,0
20050503,8.5152,8.6783,8.4193,8.4384,115874,0
20050504,8.6302,8.6302,8.1412,8.1604,131120,0
20050505,8.0837,8.0837,6.818,7.5562,726544,0
20050506,7.5755,7.6427,7.5083,7.6234,138130,0
20050509,7.6234,7.6234,7.4507,7.5755,34565,0
20050510,7.4701,7.5946,7.2687,7.5946,111466,0
20050511,7.6521,7.6618,7.5755,7.5755,112648,0
20050512,7.4412,7.7769,7.4412,7.5658,45011,0
20050513,7.6715,7.7672,7.6138,7.6521,32988,0
20050516,7.7384,7.8535,7.633,7.7289,69141,0
20050517,7.6521,7.7864,7.6521,7.7384,20956,0
20050518,7.7864,7.8439,7.6715,7.7481,49886,0
20050519,7.633,7.8727,7.6234,7.7193,34193,0
20050520,7.6715,7.9014,7.6715,7.8153,32395,0
20050523,7.6809,7.9589,7.6809,7.8823,18086,0
20050524,7.7193,7.9589,7.6234,7.6234,22953,0
20050525,7.5755,7.7384,7.5755,7.6715,17286,0
20050526,7.6809,8.1509,7.6809,7.8632,84033,0
20050527,7.8632,7.9398,7.8632,7.9111,11729,0
20050531,7.9014,8.1509,7.8632,8.0166,30492,0
20050601,8.1221,8.3714,8.1221,8.3138,37245,0
20050602,8.1988,8.3427,7.7577,7.9302,43784,0
20050603,7.9589,8.0358,7.8535,7.8535,32150,0
20050606,7.7959,7.9686,7.7959,7.8535,10681,0
20050607,7.7481,8.3138,7.7481,8.1028,58398,0
20050608,8.1124,8.2946,8.1124,8.1988,25472,0
20050609,8.1124,8.2467,8.0741,8.2179,19689,0
20050610,8.2179,8.4768,8.1124,8.3809,35763,0
20050613,8.2851,8.4768,7.9111,7.9398,25211,0
20050614,7.9494,8.0741,7.9494,7.9783,20860,0
20050615,7.9302,8.2754,7.9302,8.1892,42414,0
20050616,8.1892,8.2371,7.9878,8.17,38791,0
20050617,8.3042,8.3042,8.0453,8.0933,35375,0
20050620,8.0548,8.2467,8.0548,8.1604,41825,0
20050621,8.1316,8.3138,8.0548,8.1604,31742,0
20050622,8.1316,8.2563,8.0645,8.0741,51402,0
20050623,8.17,8.1797,8.0358,8.0548,33922,0
20050624,8.007,8.1221,7.8823,7.9878,600674,0
20050627,8.0166,8.0453,7.9589,8.0262,44609,0
20050628,7.9878,8.0645,7.7002,7.9207,58630,0
20050629,7.8727,8.3906,7.8056,8.3714,105862,0
20050630,8.2083,8.2563,7.9589,7.9589,41158,0
20050701,7.9302,7.9589,7.7864,7.8727,26833,0
20050705,7.8727,8.1988,7.8632,8.1412,79080,0
20050706,8.0645,8.0645,7.9111,7.9974,27489,0
20050707,7.9589,8.0837,7.9111,7.9589,21791,0
20050708,8.0548,8.1892,7.8535,8.1509,43835,0
20050711,8.1988,8.2851,8.1028,8.1988,38809,0
20050712,8.3809,8.5152,8.1797,8.1988,57639,0
20050713,8.3618,8.3618,7.9111,7.9207,128147,0
20050714,8.0837,8.0837,7.7864,7.7959,67900,0
20050715,7.7959,8.0837,7.7672,7.9974,44372,0
20050718,8.0933,8.0933,7.9686,8.0741,25657,0
20050719,7.9589,8.0548,7.9589,8.0453,16903,0
20050720,7.9398,7.9974,7.9111,7.9302,14521,0
20050721,7.9974,8.0358,7.9302,7.9302,15622,0
20050722,7.9302,8.0166,7.9302,7.9686,17033,0
20050725,7.9014,8.0358,7.9014,8.0262,11440,0
20050726,8.1124,8.1988,8.0837,8.1509,32054,0
20050727,8.0837,8.2946,8.0837,8.2371,40161,0
20050728,8.3234,8.3427,8.0933,8.2754,41491,0
20050729,8.1124,8.3427,8.1124,8.333,23176,0
20050801,8.3427,8.6592,8.3234,8.5248,67089,0
20050802,8.5343,8.6207,8.4384,8.4768,18409,0
20050803,8.5632,8.7645,8.5248,8.6014,57412,0
20050804,8.6398,8.6494,8.496,8.496,57904,0
20050805,8.5058,8.5343,8.4481,8.5152,31106,0
20050808,8.1509,8.4672,7.6715,8.4097,184128,0
20050809,8.2851,8.4672,7.9111,8.0548,62449,0
20050810,8.1988,8.333,7.9302,8.0645,55073,0
20050811,7.9398,8.007,7.7769,7.8056,49865,0
20050812,7.7864,7.8727,7.7289,7.8056,42777,0
20050815,7.7289,8.0453,7.6905,8.0453,31907,0
20050816,8.0741,8.1221,7.7481,8.0933,46148,0
20050817,7.9783,8.0548,7.7289,7.8056,45075,0
20050818,7.7864,7.8632,7.6427,7.7481,23137,0
20050819,7.7384,7.8439,7.6618,7.8153,9982,0
20050822,7.8344,7.9111,7.6618,7.8823,25562,0
20050823,7.7672,7.8632,7.7289,7.8056,12722,0
20050824,7.7577,7.8535,7.7002,7.7481,13944,0
20050825,7.7097,8.0548,7.6905,8.0453,44014,0
20050826,7.9302,8.1316,7.8344,8.007,26874,0
20050829,7.9111,8.1509,7.9111,8.1412,22246,0
20050830,7.9589,8.3042,7.9589,8.2371,55000,0
20050831,8.1988,8.6494,8.17,8.6302,78296,0
20050901,8.5343,9.532,8.5343,9.3302,203560,0
20050902,9.2633,9.3973,9.2633,9.3112,66631,0
20050906,9.4166,9.4166,8.7357,8.7837,107538,0
20050907,8.7262,8.7453,8.5632,8.5823,74833,0
20050908,8.6302,8.8221,8.4672,8.7741,60691,0
20050909,8.7071,9.196,8.7071,9.1098,95985,0
20050912,9.2152,9.4071,9.033,9.3015,70168,0
20050913,9.2823,9.3207,9.1864,9.196,93139,0
20050914,9.1098,9.3015,8.9658,8.9658,88894,0
20050915,8.9658,9.4166,8.8028,9.0426,114837,0
20050916,9.0619,9.1864,8.8221,9.0139,26103,0
20050919,9.0139,9.1672,9.0139,9.0139,23506,0
20050920,8.9658,9.1289,8.9658,9.0139,17745,0
20050921,8.9179,9.1481,8.9179,9.0905,39314,0
20050922,9.2633,9.3973,9.1193,9.3494,58158,0
20050923,9.2438,9.897,9.2438,9.887,254543,0
20050926,9.934,10.011,9.618,9.962,168430,0
20050927,9.877,10.001,9.81,9.926,37028,0
20050928,9.771,10.049,9.771,9.934,48583,0
20050929,10.02,10.02,9.81,9.887,77602,0
20050930,9.926,11.411,9.599,10.74,244377,0
20051003,10.548,10.692,10.453,10.596,34242,0
20051004,10.74,10.923,10.308,10.606,133947,0
20051005,10.845,10.845,10.298,10.414,41083,0
20051006,10.26,10.548,10.25,10.405,25255,0
20051007,10.567,10.567,9.58,9.982,59799,0
20051010,9.906,10.146,9.877,10.04,28424,0
20051011,10.088,10.26,9.829,10.156,10912,0
20051012,10.049,10.347,10.049,10.078,13043,0
20051013,10.347,10.347,10.02,10.02,21211,0
20051014,10.156,10.298,10.127,10.136,9437,0
20051017,10.25,10.25,10.02,10.069,19752,0
20051018,10.347,10.347,10.069,10.24,15976,0
20051019,10.078,10.098,10.02,10.02,10869,0
20051020,10.098,10.146,10.049,10.049,13975,0
20051021,10.069,10.107,10.03,10.03,20349,0
20051024,10.136,10.24,10.069,10.117,11431,0
20051025,10.26,10.279,10.194,10.27,8198,0
20051026,10.27,10.298,10.194,10.27,4703,0
20051027,10.231,10.298,10.156,10.25,3234,0
20051028,10.337,10.337,10.165,10.25,6125,0
20051031,10.165,10.298,10.107,10.25,23754,0
20051101,10.25,10.25,10.117,10.184,16970,0
20051102,10.011,10.24,10.011,10.175,22230,0
20051103,10.04,10.298,10.04,10.04,23467,0
20051104,10.04,10.499,10.04,10.308,28046,0
20051107,10.27,10.528,10.27,10.385,16906,0
20051108,10.385,10.567,10.385,10.519,20529,0
20051109,10.97,11.075,9.916,9.944,100324,0
20051110,10.02,10.165,9.877,9.934,41110,0
20051111,9.897,9.906,9.858,9.897,38644,0
20051114,9.934,9.972,9.79,9.934,33361,0
20051115,9.79,9.916,9.781,9.887,173044,0
20051116,9.897,10.069,9.897,9.897,175417,0
20051117,9.761,10.127,9.761,9.829,95691,0
20051118,9.829,10.049,9.829,9.916,85268,0
20051121,10.088,10.107,9.962,10.03,30146,0
20051122,10.098,10.596,9.887,10.586,102136,0
20051123,10.586,10.586,10.318,10.519,42112,0
20051125,10.25,10.692,10.221,10.538,21936,0
20051128,10.538,10.702,10.538,10.702,57022,0
20051129,10.787,10.787,10.586,10.596,53094,0
20051130,10.74,10.874,10.615,10.807,23106,0
20051201,10.768,11.191,10.768,11.191,89159,0
20051202,11.219,11.44,10.548,11.334,81166,0
20051205,11.411,11.804,11.219,11.507,200585,0
20051206,11.507,11.622,11.363,11.507,125163,0
20051207,11.718,11.718,11.267,11.353,54235,0
20051208,11.316,11.497,11.191,11.497,26894,0
20051209,11.353,11.497,11.306,11.382,11726,0
20051212,11.594,11.699,11.402,11.478,32307,0
20051213,11.584,11.594,11.392,11.565,59614,0
20051214,11.469,11.565,11.411,11.565,48259,0
20051215,11.478,12.063,11.46,11.996,84592,0
20051216,12.178,12.801,11.996,12.188,107341,0
20051219,12.188,12.188,11.353,11.555,91135,0
20051220,11.497,11.584,11.497,11.526,55545,0
20051221,11.325,11.46,11.325,11.411,27953,0
20051222,11.507,11.709,11.316,11.641,95203,0
20051223,11.612,11.641,11.516,11.555,24206,0
20051227,11.382,11.594,11.325,11.536,61207,0
20051228,11.507,11.603,11.497,11.603,37771,0
20051229,11.516,11.699,10.807,10.989,261975,0
20051230,10.787,11.382,10.74,11.316,60325,0
20060103,11.316,11.565,11.306,11.526,78274,0
20060104,11.497,11.699,11.497,11.584,163407,0
20060105,11.594,11.594,11.497,11.536,19397,0
20060106,11.575,11.594,11.507,11.565,22051,0
20060109,11.603,12.178,11.555,11.939,497597,0
20060110,11.919,12.571,11.68,12.571,91790,0
20060111,12.419,12.428,12.082,12.351,160334,0
20060112,12.39,12.456,11.882,12.312,44957,0
20060113,12.274,12.38,12.121,12.312,21952,0
20060117,12.312,12.361,11.996,12.312,70215,0
20060118,12.332,12.332,11.986,12.217,56439,0
20060119,12.312,12.707,12.112,12.571,100143,0
20060120,12.562,12.629,12.245,12.513,56577,0
20060123,12.456,13.578,12.456,13.396,158898,0
20060124,13.338,14.307,12.975,14.182,184029,0
20060125,14.192,14.336,14.029,14.249,81563,0
20060126,14.346,14.346,13.982,14.202,93855,0
20060127,14.144,14.231,13.962,14.087,59738,0
20060130,14.192,15.563,14.182,15.563,255571,0
20060131,15.487,18.43,14.575,17.654,1085069,0
20060201,17.318,17.318,15.19,15.708,661748,0
