Date,Open,High,Low,Close,Volume,OpenInt
20131007,40.932,41.768,40.932,41.768,8200,0
20131008,41.768,41.768,40.932,40.932,4878,0
20131009,40.932,40.932,40.932,40.932,359,0
20131010,40.932,40.932,40.932,40.932,13078,0
20131011,40.932,40.941,40.932,40.94,1436,0
20131014,40.932,40.932,40.932,40.932,597,0
20131015,40.932,40.932,40.932,40.932,6478,0
20131016,40.097,40.932,40.097,40.932,109296,0
20131017,40.932,40.932,40.097,40.932,6075,0
20131018,40.523,40.623,40.523,40.623,1079,0
20131021,40.097,40.932,40.097,40.932,719,0
20131022,40.932,40.932,39.262,40.932,34596,0
20131023,40.217,40.305,39.931,40.139,8690,0
20131024,40.305,40.305,39.945,39.945,2632,0
20131025,39.904,39.904,39.904,39.904,119,0
20131028,40.58,40.607,39.931,39.971,12928,0
20131029,39.772,40.139,39.772,40.014,7546,0
20131030,39.804,39.804,39.361,39.72,1616,0
20131031,39.262,39.678,39.103,39.103,8538,0
20131101,38.735,38.765,38.435,38.443,10834,0
20131104,38.426,38.735,38.426,38.735,2052,0
20131105,39.378,39.72,39.177,39.471,64124,0
20131106,39.945,39.945,38.953,39.294,5599,0
20131107,40.438,40.722,40.021,40.148,8284,0
20131108,40.004,41.2,40.004,41.024,3351,0
20131111,41.352,41.809,41.335,41.785,63537,0
20131112,41.877,41.958,41.558,41.768,12604,0
20131113,41.809,42.027,41.401,41.659,4071,0
20131114,41.685,41.768,41.266,41.768,1436,0
20131115,41.849,42.119,41.599,42.109,1916,0
20131118,42.101,42.101,41.525,41.525,1436,0
20131119,41.433,41.433,41.433,41.433,1318,0
20131120,41.517,42.185,41.517,41.917,81836,0
20131121,42.185,43.287,42.185,42.706,62187,0
20131122,42.9,42.9,42.395,42.587,2198,0
20131125,43.121,43.413,42.735,42.921,1436,0
20131126,43.407,43.45,42.484,42.899,5635,0
20131127,42.576,43.145,42.569,43.043,33251,0
20131129,43.069,43.069,42.696,42.696,355,0
20131202,42.152,42.152,41.56,41.56,1027,0
20131203,41.628,42.212,41.628,41.781,36030,0
20131204,41.577,43.645,40.763,41.805,17425,0
20131205,42.009,42.077,41.56,41.789,6631,0
20131206,42.212,42.331,41.842,41.855,1180,0
20131209,41.885,42.145,41.885,42.145,9503,0
20131211,41.957,41.957,41.687,41.745,6017,0
20131212,41.745,41.745,37.298,38.83,35335,0
20131213,40.017,40.118,38.484,39.084,20163,0
20131216,39,39,38.144,38.238,49843,0
20131217,38.144,38.246,37.882,38.144,2948,0
20131218,37.329,37.576,36.957,37.576,14942,0
20131219,35.611,37.288,35.611,37.203,5546,0
20131220,37.398,38.814,37.398,38.058,33226,0
20131223,38.484,38.501,37.882,38.501,14854,0
20131224,38.542,38.542,37.934,37.934,7197,0
20131226,38.272,38.272,37.636,38.035,6162,0
