Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.803,18.168,17.803,18.06,306328,0
20050228,17.851,17.898,17.487,17.841,387264,0
20050301,17.688,17.957,17.591,17.812,270867,0
20050302,17.918,17.967,17.678,17.868,243099,0
20050303,17.967,18.051,17.831,17.987,327179,0
20050304,18.06,18.187,17.898,17.987,167517,0
20050307,18.139,18.139,17.898,18.07,113088,0
20050308,18.205,18.205,17.812,17.86,98159,0
20050309,17.784,18.012,17.726,17.736,106632,0
20050310,17.841,17.841,17.419,17.487,182019,0
20050311,17.64,17.64,17.4,17.439,140465,0
20050314,17.296,18.416,17.296,18.35,682124,0
20050315,18.388,18.59,18.004,18.196,197279,0
20050316,18.205,18.492,17.987,18.012,138371,0
20050317,18.139,18.139,17.878,18.004,93561,0
20050318,18.119,18.149,17.888,18.149,270561,0
20050321,18.34,18.34,17.86,17.947,279136,0
20050322,18.06,18.06,17.277,17.38,238641,0
20050323,17.249,17.267,17.008,17.229,315873,0
20050324,17.249,17.4,17.16,17.267,121103,0
20050328,17.267,17.803,17.209,17.277,224400,0
20050329,17.286,17.918,17.095,17.249,211069,0
20050330,18.684,19.527,18.233,19.383,1700093,0
20050331,19.021,19.835,18.895,19.354,696145,0
20050401,19.509,19.797,19.23,19.49,380334,0
20050404,19.471,19.471,18.991,19.451,132796,0
20050405,19.5,19.5,19.011,19.26,231145,0
20050406,19.354,19.527,19.23,19.299,204791,0
20050407,19.211,19.451,19.096,19.299,103804,0
20050408,19.299,19.307,18.905,18.981,121121,0
20050411,18.905,18.991,18.635,18.723,158753,0
20050412,18.684,18.828,18.378,18.752,287548,0
20050413,18.8,18.8,18.168,18.205,93252,0
20050414,18.139,18.205,17.439,17.601,274058,0
20050415,17.572,17.938,17.13,17.179,239152,0
20050418,17.362,17.554,17.103,17.4,199413,0
20050419,17.707,18.407,17.4,18.31,369859,0
20050420,18.177,18.378,17.831,17.987,349757,0
20050421,18.004,18.444,18.004,18.36,267249,0
20050422,18.444,18.492,18.205,18.463,344393,0
20050425,18.444,18.532,18.139,18.532,236559,0
20050426,18.463,18.492,17.766,17.908,290757,0
20050427,17.908,17.918,17.506,17.756,149384,0
20050428,17.554,17.678,17.008,17.249,193229,0
20050429,17.229,17.38,16.374,16.798,425432,0
20050502,16.768,17.582,16.768,17.419,219390,0
20050503,17.506,17.526,17.057,17.333,238297,0
20050504,17.487,18.31,16.624,17.621,1154559,0
20050505,17.496,18.532,17.496,18.31,915769,0
20050506,18.444,18.463,18.09,18.196,368276,0
20050509,18.34,18.34,17.831,17.967,296788,0
20050510,17.776,18.004,17.199,17.409,631892,0
20050511,17.419,17.419,17.008,17.057,259651,0
20050512,17.199,17.38,16.815,16.921,280213,0
20050513,16.721,17.209,16.624,16.94,182952,0
20050516,16.903,17.352,16.834,17.239,129042,0
20050517,17.113,17.267,16.921,17.17,125201,0
20050518,17.313,17.831,17.313,17.793,217788,0
20050519,17.506,17.831,17.419,17.562,155738,0
20050520,17.572,17.659,17.362,17.545,137430,0
20050523,17.536,17.766,17.419,17.678,592158,0
20050524,17.591,17.957,17.591,17.678,571729,0
20050525,17.516,17.669,16.931,16.959,194416,0
20050526,16.959,17.812,16.959,17.784,183245,0
20050527,17.601,17.659,17.333,17.333,95149,0
20050531,17.313,17.776,17.313,17.688,220805,0
20050601,17.776,17.841,17.352,17.707,217715,0
20050602,17.678,18.09,17.64,18.012,274639,0
20050603,17.812,17.987,17.582,17.726,103348,0
20050606,17.726,17.967,17.726,17.947,186246,0
20050607,17.86,18.168,17.506,17.841,213552,0
20050608,17.649,17.868,17.277,17.333,170444,0
20050609,17.296,17.659,17.14,17.659,109939,0
20050610,17.506,17.611,17.286,17.562,83510,0
20050613,17.536,17.591,17.323,17.419,92258,0
20050614,17.296,17.572,17.267,17.536,82175,0
20050615,17.439,17.611,17.352,17.611,136148,0
20050616,17.611,17.726,17.333,17.707,218544,0
20050617,17.736,17.776,17.333,17.621,289290,0
20050620,17.487,17.487,17.267,17.296,61830,0
20050621,17.296,17.487,17.14,17.249,91533,0
20050622,17.409,17.409,17.13,17.286,107434,0
20050623,17.179,17.352,16.788,16.834,96515,0
20050624,16.768,16.988,16.682,16.682,384886,0
20050627,16.652,16.788,16.575,16.768,100619,0
20050628,16.834,16.834,16.614,16.788,222089,0
20050629,16.806,16.806,16.098,16.201,311631,0
20050630,16.201,16.672,16.127,16.52,509282,0
20050701,16.566,17.13,16.52,17.075,178895,0
20050705,16.94,17.352,16.903,17.352,98757,0
20050706,17.199,17.736,17.199,17.439,134224,0
20050707,17.372,17.439,17.047,17.267,74183,0
20050708,17.267,18.032,17.17,18.032,79562,0
20050711,17.947,18.532,17.947,18.205,138444,0
20050712,18.177,18.714,18.177,18.512,134291,0
20050713,18.512,18.512,18.042,18.302,84807,0
20050714,18.407,18.425,18.004,18.032,135334,0
20050715,17.898,18.168,17.898,18.09,71256,0
20050718,18.09,18.11,17.545,17.776,86388,0
20050719,17.776,18.032,17.746,17.987,146557,0
20050720,17.888,18.991,17.888,18.972,306759,0
20050721,18.905,18.972,18.742,18.828,212653,0
20050722,18.771,19.144,18.654,19.144,148888,0
20050725,19.144,19.144,18.752,18.828,163233,0
20050726,18.838,18.838,18.224,18.6,173429,0
20050727,18.512,19.011,18.454,18.866,90465,0
20050728,19.403,21.301,19.403,20.823,761841,0
20050729,20.686,20.859,20.064,20.13,320574,0
20050801,20.074,20.535,19.471,19.69,273024,0
20050802,19.595,20.121,19.527,19.978,189829,0
20050803,19.93,19.93,19.537,19.69,162967,0
20050804,19.48,19.614,19.299,19.299,100955,0
20050805,19.383,19.383,19.096,19.163,100773,0
20050808,19.307,19.307,18.8,19.04,150211,0
20050809,19.011,19.011,18.733,18.933,150365,0
20050810,19.021,19.988,18.972,19.441,586752,0
20050811,19.403,19.978,19.363,19.95,156236,0
20050812,19.797,19.882,19.403,19.634,90371,0
20050815,19.71,19.758,19.316,19.595,114622,0
20050816,19.49,19.5,19.03,19.211,117331,0
20050817,19.096,19.451,18.962,19.354,171272,0
20050818,19.345,19.345,18.924,18.924,78647,0
20050819,18.875,18.924,18.654,18.654,69536,0
20050822,18.809,19.124,18.684,19.058,193512,0
20050823,19.058,19.614,18.972,19.354,305526,0
20050824,19.26,19.555,19.211,19.403,148456,0
20050825,19.403,19.5,19.373,19.423,118404,0
20050826,19.423,19.451,19.078,19.316,189813,0
20050829,19.316,19.624,19.163,19.614,204218,0
20050830,19.624,19.643,19.423,19.527,229816,0
20050831,19.441,20.102,19.423,20.083,550942,0
20050901,20.121,22.315,20.102,21.051,2129707,0
20050902,21.146,21.385,21.033,21.273,521324,0
20050906,21.367,22.279,21.318,21.865,764197,0
20050907,21.521,21.674,21.385,21.501,413996,0
20050908,21.491,21.491,21.043,21.337,212727,0
20050909,21.445,21.491,21.108,21.175,172135,0
20050912,21.166,21.254,20.926,21.185,160741,0
20050913,21.234,21.234,20.813,20.868,140554,0
20050914,20.877,21.061,20.257,20.6,236511,0
20050915,20.495,20.745,20.313,20.485,126648,0
20050916,20.648,21.175,20.505,21.051,388515,0
20050919,21.033,21.367,20.725,20.774,171066,0
20050920,20.887,21.712,20.658,20.887,259558,0
20050921,20.794,20.794,20.13,20.323,203994,0
