Date,Open,High,Low,Close,Volume,OpenInt
20130517,20,23.37,19.45,23.1,5534926,0
20130520,24.7,26.7,22.75,24.33,832883,0
20130521,26.36,26.36,24.01,24.4,186714,0
20130522,24.39,25.05,24.131,24.67,221713,0
20130523,24.03,24.67,23.14,24.57,228581,0
20130524,24.57,25.61,24.25,25.57,396789,0
20130528,26.25,26.77,24.61,25.68,113736,0
20130529,25.63,25.63,24.66,24.95,89808,0
20130530,24.85,25.01,24.13,24.73,39080,0
20130531,25,25.04,23.17,23.67,219133,0
20130603,23.67,24.68,23,24.58,80547,0
20130604,25.35,25.41,21.39,22.61,1154304,0
20130605,22.42,22.61,20.5,21.16,552250,0
20130606,21.19,21.36,19.18,20.76,670444,0
20130607,20.96,20.96,19.85,19.94,429771,0
20130610,20.05,22.1,20.05,22.09,377277,0
20130611,21.8,22.04,21.1,21.2,274712,0
20130612,21.39,22.03,21.16,21.96,39897,0
20130613,21.73,21.85,18.74,19.07,513033,0
20130614,20.23,20.23,17.5,18.03,899090,0
20130617,18.07,18.25,17.35,17.66,397797,0
20130618,17.71,19.99,17.201,19.78,412417,0
20130619,20,21.99,19.92,21.47,534754,0
20130620,20.93,22.66,20.31,21.65,181755,0
20130621,21.88,22.6,20.6,20.88,300565,0
20130624,20.92,21.33,19.491,21.25,158998,0
20130625,21.33,22,20.53,21.73,63375,0
20130626,21.76,22.99,20.52,22.24,113173,0
20130627,22.15,24.55,22.15,24.4,222980,0
20130628,24.14,25,23.42,24.87,1107341,0
20130701,25.1,26,23.53,25.51,116118,0
20130702,25.27,25.75,23.935,24.34,82134,0
20130703,24.32,25.77,24.2,25.36,121321,0
20130705,25.99,26,25.43,25.62,29346,0
20130708,25.69,27.47,25.69,25.96,193969,0
20130709,26.01,26.28,24.52,25.24,80570,0
20130710,25.06,25.44,24,24.95,98769,0
20130711,24.65,24.785,21.9,22.07,380404,0
20130712,21.98,22.89,21.15,21.38,189852,0
20130715,21.39,23.5,21.15,23.29,216660,0
20130716,23.43,23.731,22.26,23.49,73318,0
20130717,23.61,25.05,22.08,25.03,104726,0
20130718,25,25.3,24.54,24.89,35124,0
20130719,24.77,24.87,24.05,24.72,27013,0
20130722,24.59,25.45,24.25,24.77,49012,0
20130723,24.78,25.73,24.62,25.3,61281,0
20130724,25.36,25.7,24.66,24.99,35836,0
20130725,24.99,26.71,24.99,26.33,193495,0
20130726,26.38,26.99,25.77,26.63,92359,0
20130729,26.82,26.82,25.5,25.86,104369,0
20130730,26,26.49,25.61,26.2,150641,0
20130731,28,32.75,28,31.43,643819,0
20130801,31.49,33.43,31.49,33.01,223369,0
20130802,33.97,35,33.22,34.47,455757,0
20130805,34.5,34.71,34.29,34.65,158150,0
20130806,35,37.109,34.65,35.25,272650,0
20130807,35,35.34,33.57,34.4,148887,0
20130808,35.12,35.48,33.85,34.06,114456,0
20130809,34.1,34.96,34,34.55,118464,0
20130812,34.55,37.74,34.55,37.5,181261,0
20130813,37.3,39.8,37.3,38.75,255827,0
20130814,38.86,39.64,38.46,38.7,194807,0
20130815,38.08,39.78,37.61,38.96,140462,0
20130816,39,39.62,38.386,39.39,163374,0
20130819,39.08,39.66,38.25,38.48,267857,0
20130820,37.95,38.29,35.65,36.98,385662,0
20130821,36.78,36.78,35.12,35.41,231771,0
20130822,35.45,36.25,35.45,35.93,61683,0
20130823,35.93,36.535,35.5,35.77,81647,0
20130826,35.84,37.19,35.5,37.13,72643,0
20130827,36.51,37.58,36.19,37.18,70694,0
20130828,37.26,37.3,36.74,36.9,40812,0
20130829,36.84,37.61,36.5,37.36,45631,0
20130830,36.69,37.489,34.98,35.08,234554,0
20130903,35.66,35.7,33.62,33.93,102120,0
20130904,33.84,35.53,33.31,34.57,171147,0
20130905,34.52,35,34.19,34.32,55255,0
20130906,34.59,34.89,33.559,34.15,68178,0
20130909,34.42,36.44,33.61,35.95,188800,0
20130910,35.82,35.94,33.75,34.15,185905,0
20130911,33.95,36.329,33.1,36.24,132551,0
20130912,36.08,37.35,34.66,36.66,125827,0
20130913,35.85,36.24,34.12,34.42,4308283,0
20130916,34.54,35.47,34.54,35.36,649264,0
20130917,35.49,36.09,35.05,35.2,516666,0
20130918,35.15,35.8,35.02,35.16,184883,0
20130919,35.58,35.66,34.01,34.49,403945,0
20130920,34.45,34.45,33.07,33.5,869410,0
20130923,33.39,33.39,31.92,32.32,589366,0
20130924,32.4,33.84,31.23,31.54,505611,0
20130925,31.71,31.92,30.25,31.28,1187100,0
20130926,31.26,31.62,31.1,31.48,267776,0
20130927,31.37,32.3,31.37,31.49,672600,0
20130930,31.75,31.98,29.17,31.88,513000,0
20131001,32.01,32.49,31.45,32.38,320000,0
20131002,32.06,32.5,31.51,32.31,181000,0
20131003,32.31,32.35,31.5,31.8,203400,0
20131004,31.79,32.28,31.5,31.69,190970,0
20131007,31.47,32.11,31.11,31.35,277700,0
20131008,31.33,31.65,30.45,30.55,311200,0
20131009,30.53,30.8,29.39,30.5,515600,0
20131010,31.08,32.15,31.06,31.83,320300,0
20131011,31.84,32.11,31.41,31.9,186800,0
20131014,31.79,31.98,31.18,31.9,132200,0
20131015,31.76,33.14,31.58,32.65,365400,0
20131016,33.04,33.94,32.38,33.87,358300,0
20131017,33.77,35.25,33.45,34.69,333100,0
20131018,35.02,35.93,34.4,35.73,217100,0
20131021,35.74,35.92,34.6,35.5,273500,0
20131022,35.54,35.75,34.35,35.28,152183,0
20131023,35,35.24,34.7,34.88,259000,0
20131024,34.95,35,34.25,34.53,334204,0
20131025,38.27,39.49,34.56,35.44,1272600,0
20131028,35.54,35.68,32.52,32.71,390000,0
20131029,34.65,35.58,34,34.44,412900,0
20131030,34.49,35.81,33.2,33.3,190400,0
20131031,33.13,34.72,32.73,33.76,153096,0
20131101,34.6,34.6,32.91,33.44,129800,0
20131104,33.53,34.39,33.45,33.98,183300,0
20131105,33.87,35.35,33.11,35.11,836500,0
20131106,35.21,37.35,35,36.76,312397,0
20131107,37.14,37.43,35.21,36.3,334893,0
20131108,36.2,36.659,33.46,34,259248,0
20131111,34.05,34.3,31.33,31.58,442300,0
20131112,31.57,32.61,31.23,32,476300,0
20131113,29.08,32.61,29.02,32.46,1064800,0
20131114,32.46,33.05,32.1,32.65,291135,0
20131115,32.7,33.11,32.53,32.99,335369,0
20131118,33.01,33.15,32.55,32.82,478900,0
20131119,32.76,32.95,31.77,31.91,622200,0
20131120,31.97,32,29.95,30.02,508300,0
20131121,30.05,30.69,29.01,29.46,441600,0
20131122,29.86,29.93,29.34,29.57,305500,0
20131125,29.64,29.97,29,29.09,209900,0
20131126,29.21,29.42,28.31,29.11,492700,0
20131127,29.1,29.48,28.68,29.41,154950,0
20131129,29.43,29.5,28.96,29.1,90552,0
20131202,30.79,31.85,30.25,31.53,507811,0
20131203,31.54,31.54,30.25,31.15,330500,0
20131204,31.17,31.7,30.75,31.46,207300,0
20131205,31.32,32.53,31.1,31.93,306800,0
20131206,32.05,32.88,31.89,32.38,237100,0
20131209,32.64,33.63,32.51,33.35,457300,0
20131210,33.2,34.06,32.95,33.9,360200,0
20131211,33.81,33.855,30.64,30.94,602021,0
20131212,31,31.53,29.44,30.91,617200,0
20131213,30.84,33,30.8,32.5,817300,0
20131216,33.2,33.2,31.16,31.72,340500,0
20131217,31.62,33.08,31.01,32.11,357200,0
20131218,32.21,33.04,31.81,32.99,172933,0
20131219,33.32,33.84,32.61,32.89,359600,0
20131220,33.1,38.24,33.06,36.62,2119200,0
20131223,35.04,36.12,34.33,35.5,517300,0
20131224,35.74,36.99,35.74,36.8,127243,0
20131226,36.81,36.81,35.66,36.11,212000,0
20131227,36.05,36.77,35.53,36.58,155395,0
20131230,36.5,37.03,35.31,35.63,245323,0
20131231,35.73,37.2,35.52,37.07,297800,0
20140102,36.76,38.91,36.02,38.03,685784,0
20140103,38,41.75,37.52,41.22,957064,0
20140106,41.28,42.66,39.01,42.53,664572,0
20140107,41.66,42.34,40.83,41.56,972100,0
20140108,41.51,42.66,40.98,41.52,526600,0
20140109,41.87,42,39.38,39.84,473800,0
20140110,39.63,41.8,39.63,41.1,299500,0
20140113,41.12,42.82,40.51,40.73,440300,0
20140114,41.14,45,40.532,44,616768,0
20140115,43.88,44.81,42.8,43.6,396200,0
20140116,43.71,44.69,43.6,43.98,276500,0
20140117,44.13,44.88,42.17,42.28,331600,0
20140121,42.79,43.1,41.53,42.36,263142,0
