Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.78,5.82,5.73,5.81,102162,0
20050228,5.85,5.85,5.55,5.72,86643,0
20050301,5.72,5.83,5.7,5.8,56505,0
20050302,5.83,5.88,5.74,5.8,77763,0
20050303,5.8,5.82,5.7,5.75,68465,0
20050304,5.84,5.9,5.7,5.85,53236,0
20050307,5.89,6,5.87,5.91,71628,0
20050308,5.9,5.91,5.78,5.78,44619,0
20050309,5.67,5.75,5.67,5.7,46790,0
20050310,5.65,5.75,5.52,5.57,88457,0
20050311,5.5,5.65,5.5,5.65,251429,0
20050314,5.65,5.93,5.59,5.75,122263,0
20050315,5.75,5.9,5.75,5.78,62945,0
20050316,5.8,5.8,5.57,5.57,62890,0
20050317,5.64,5.65,5.53,5.57,68007,0
20050318,5.61,5.63,5.48,5.48,161373,0
20050321,5.47,5.62,5.47,5.6,80358,0
20050322,5.66,5.68,5.53,5.57,22640,0
20050323,5.49,5.58,5.49,5.52,35892,0
20050324,5.54,5.86,5.5,5.85,255022,0
20050328,5.83,6.05,5.83,5.92,240313,0
20050329,5.95,5.95,5.7,5.73,31998,0
20050330,5.75,5.82,5.7,5.77,57928,0
20050331,5.84,5.85,5.68,5.85,89300,0
20050401,5.88,5.9,5.69,5.71,70682,0
20050404,5.67,5.75,5.61,5.7,119410,0
20050405,5.65,5.78,5.61,5.68,273529,0
20050406,5.71,5.81,5.61,5.81,82425,0
20050407,5.85,6,5.5,5.7,1418874,0
20050408,5.63,5.71,5.56,5.58,67361,0
20050411,5.54,5.58,5.5,5.51,46495,0
20050412,5.5,5.76,5.5,5.72,88491,0
20050413,5.68,5.7,5.5,5.51,160154,0
20050414,5.58,5.71,5.55,5.7,105843,0
20050415,5.7,5.7,5.4,5.41,201084,0
20050418,5.38,5.53,5.38,5.53,62439,0
20050419,5.49,5.72,5.49,5.7,171168,0
20050420,5.67,5.76,5.67,5.7,220997,0
20050421,5.76,6.02,5.73,5.99,324786,0
20050422,5.99,6.18,5.95,6.08,238830,0
20050425,6.11,6.16,5.94,6.03,217759,0
20050426,5.97,6.06,5.89,5.91,86098,0
20050427,5.84,6,5.82,5.91,30094,0
20050428,5.82,5.95,5.68,5.68,75585,0
20050429,5.8,5.91,5.51,5.91,74598,0
20050502,5.85,5.86,5.63,5.76,48065,0
20050503,5.78,6.05,5.75,5.91,177301,0
20050504,5.9,5.96,5.88,5.95,75889,0
20050505,5.91,5.96,5.77,5.91,140559,0
20050506,5.91,5.91,5.81,5.81,129717,0
20050509,5.78,5.98,5.74,5.98,115359,0
20050510,5.88,6.02,5.88,5.97,66812,0
20050511,5.95,5.99,5.85,5.86,175640,0
20050512,5.9,5.91,5.7,5.84,125425,0
20050513,5.87,5.87,5.75,5.78,89466,0
20050516,5.75,5.8,5.6,5.73,188351,0
20050517,5.71,5.77,5.65,5.73,126362,0
20050518,5.75,5.79,5.71,5.75,464954,0
20050519,5.73,5.8,5.73,5.77,202012,0
20050520,5.78,5.78,5.65,5.65,187711,0
20050523,5.66,5.86,5.6,5.81,234355,0
20050524,5.82,5.86,5.61,5.69,152263,0
20050525,5.61,5.64,5.44,5.55,284416,0
20050526,5.54,5.71,5.54,5.71,72248,0
20050527,5.65,5.71,5.59,5.64,42579,0
20050531,5.65,5.66,5.52,5.57,70479,0
20050601,5.55,5.6,5.5,5.57,169131,0
20050602,5.54,5.59,5.51,5.54,103797,0
20050603,5.6,5.6,5.41,5.41,106681,0
20050606,5.37,5.42,5.3,5.4,126004,0
20050607,5.4,5.42,5.19,5.19,131048,0
20050608,5.16,5.24,4.83,5.07,181484,0
20050609,5.08,5.16,5.05,5.14,76992,0
20050610,5.09,5.44,5.06,5.28,73688,0
20050613,5.38,5.38,5.08,5.21,145939,0
20050614,5.2,5.39,5.17,5.35,154414,0
20050615,5.42,5.43,5.3,5.4,164276,0
20050616,5.36,5.38,5.28,5.32,82378,0
20050617,5.38,5.46,5.26,5.3,127805,0
20050620,5.24,5.4,5.22,5.36,151202,0
20050621,5.35,5.46,5.35,5.39,111555,0
20050622,5.38,5.49,5.38,5.41,108844,0
20050623,5.38,5.43,5.3,5.3,168491,0
20050624,5.29,5.34,5.14,5.16,1762656,0
20050627,5.12,5.23,5.08,5.08,173915,0
20050628,5.05,5.12,4.97,5.05,147522,0
20050629,5.05,5.11,4.98,5.01,70978,0
20050630,5.02,5.09,5,5.03,80454,0
20050701,4.99,5.06,4.94,4.94,144318,0
20050705,4.92,5.03,4.88,5,56646,0
20050706,4.97,4.99,4.88,4.94,121709,0
20050707,4.93,5.05,4.91,5.03,37528,0
20050708,5.03,5.05,4.99,5.02,56782,0
20050711,5.01,5.05,4.95,4.99,189077,0
20050712,4.94,5,4.92,4.93,60853,0
20050713,4.89,5.01,4.89,4.96,61456,0
20050714,5,5,4.92,4.98,60659,0
20050715,4.98,5.02,4.94,4.98,83030,0
20050718,4.93,4.98,4.85,4.95,84636,0
20050719,4.95,5.02,4.95,4.98,133733,0
20050720,4.95,5,4.95,4.98,37560,0
20050721,4.99,5.19,4.95,5.16,340833,0
20050722,5.18,5.25,5.12,5.22,67544,0
20050725,5.26,5.3,5.15,5.28,53758,0
20050726,5.22,5.22,5.05,5.06,50062,0
20050727,5.15,5.2,5,5.03,39722,0
20050728,5,5.14,4.97,5.09,51661,0
20050729,5.01,5.09,5.01,5.01,31298,0
20050801,5.02,5.13,5.02,5.05,66095,0
20050802,5,5.07,4.95,5.06,91500,0
20050803,4.98,5.1,4.96,5.05,71040,0
20050804,4.96,5.04,4.95,5.02,62092,0
20050805,4.98,4.99,4.94,4.96,125769,0
20050808,4.91,4.96,4.91,4.94,18047,0
20050809,4.94,4.96,4.92,4.96,38592,0
20050810,4.96,4.97,4.91,4.92,297758,0
20050811,4.91,4.96,4.9,4.96,36130,0
20050812,4.96,4.96,4.92,4.95,63895,0
20050815,4.95,4.96,4.93,4.95,74336,0
20050816,4.92,4.94,4.9,4.93,18098,0
20050817,4.93,4.96,4.91,4.92,21717,0
20050818,4.9,4.96,4.9,4.94,47767,0
20050819,4.96,4.96,4.92,4.95,28500,0
20050822,4.92,4.92,4.65,4.77,129594,0
20050823,4.78,4.78,4.6,4.76,156096,0
20050824,4.75,4.89,4.73,4.75,27389,0
20050825,4.77,4.82,4.76,4.8,21950,0
20050826,4.84,4.89,4.84,4.88,61619,0
20050829,4.85,4.9,4.84,4.88,25350,0
20050830,4.9,4.91,4.84,4.88,28075,0
20050831,4.88,4.96,4.88,4.95,40153,0
20050901,4.89,4.98,4.89,4.96,262413,0
20050902,4.94,4.96,4.91,4.96,64247,0
20050906,4.91,4.96,4.88,4.9,27238,0
20050907,4.9,5.03,4.9,5.03,228134,0
20050908,4.98,5.05,4.97,4.99,64486,0
20050909,5.02,5.02,4.9,4.93,52484,0
20050912,4.9,4.93,4.85,4.9,71942,0
20050913,4.86,4.9,4.8,4.85,219930,0
20050914,4.84,4.89,4.79,4.81,63115,0
20050915,4.82,4.84,4.79,4.81,50466,0
20050916,4.83,4.94,4.82,4.88,40342,0
20050919,4.89,4.89,4.78,4.83,41480,0
20050920,4.83,4.83,4.65,4.7,113286,0
20050921,4.68,4.94,4.68,4.88,42427,0
20050922,4.88,4.93,4.81,4.92,109370,0
20050923,4.85,5.04,4.83,5.04,41228,0
20050926,5,5.57,5,5.43,172506,0
20050927,5.48,5.57,5.35,5.54,124334,0
20050928,5.53,5.66,5.49,5.58,160559,0
20050929,5.53,5.53,5.5,5.51,50035,0
20050930,5.51,5.54,5.37,5.47,49654,0
20051003,5.45,5.47,5.32,5.38,114463,0
20051004,5.35,5.4,5.23,5.35,160635,0
20051005,5.33,5.48,5.3,5.36,57070,0
20051006,5.38,5.42,5.34,5.37,46318,0
20051007,5.4,5.4,5.22,5.31,17548,0
20051010,5.3,5.3,5.2,5.21,44528,0
20051011,5.21,5.26,5.18,5.18,61909,0
20051012,5.17,5.23,5.15,5.22,99708,0
20051013,5.1,5.23,5.1,5.23,54232,0
20051014,5.25,5.25,5.16,5.18,121739,0
20051017,5.18,5.24,5.15,5.24,14089,0
20051018,5.26,5.33,5.19,5.3,18638,0
20051019,5.3,5.3,5.22,5.25,10289,0
20051020,5.22,5.29,5.19,5.26,17205,0
20051021,5.28,5.28,5.2,5.23,13007,0
20051024,5.3,5.3,5.2,5.27,21423,0
20051025,5.22,5.29,5.21,5.25,10316,0
20051026,5.27,5.32,5.25,5.31,21256,0
20051027,5.32,5.32,5.28,5.31,7213,0
20051028,5.3,5.3,5.26,5.29,12240,0
20051031,5.26,5.35,5.26,5.3,25971,0
20051101,5.3,5.36,5.29,5.34,192845,0
20051102,5.35,5.66,5.31,5.55,64085,0
20051103,5.55,5.85,5.54,5.82,109127,0
20051104,5.82,5.82,4.99,5.78,124398,0
20051107,5.6,6,5.4,5.94,97484,0
20051108,5.9,6.03,5.87,5.95,111798,0
20051109,6,6.22,6,6.2,172206,0
20051110,6.21,6.22,6.1,6.19,67597,0
20051111,6.19,6.2,6.15,6.19,26059,0
20051114,6.1,6.14,5.91,5.92,84076,0
20051115,5.86,6,5.84,5.91,105834,0
20051116,5.92,6.03,5.91,5.96,48391,0
20051117,6,6,5.92,5.99,30447,0
20051118,6,6,5.88,5.94,35580,0
20051121,6,6,5.83,5.96,47895,0
20051122,5.89,6,5.89,5.98,38727,0
20051123,5.97,6,5.95,5.97,42946,0
20051125,5.97,6,5.95,5.99,6389,0
20051128,5.9,6.01,5.9,6,68993,0
20051129,6.01,6.02,6,6.01,95196,0
20051130,6.02,6.14,6,6.11,136924,0
20051201,6.12,6.12,5.96,6.05,222953,0
20051202,6.07,6.21,6.05,6.21,121440,0
20051205,6.07,6.2,5.83,6.13,117524,0
20051206,6.14,6.16,6.01,6.05,43256,0
20051207,6.05,6.09,6,6.05,35803,0
20051208,5.95,5.97,5.85,5.86,143883,0
20051209,5.84,6.08,5.63,6.03,160218,0
20051212,6.03,6.05,5.7,5.72,137476,0
20051213,5.8,5.81,5.6,5.62,67268,0
20051214,5.68,5.7,5.54,5.57,58880,0
20051215,5.58,5.61,5.38,5.5,308073,0
20051216,5.51,5.58,5.42,5.43,185685,0
20051219,5.5,5.53,5.38,5.39,206007,0
20051220,5.38,5.47,5.37,5.42,145406,0
20051221,5.36,5.53,5.36,5.52,98554,0
20051222,5.53,5.63,5.5,5.56,178572,0
20051223,5.63,5.72,5.53,5.66,55790,0
20051227,5.66,5.7,5.53,5.53,15600,0
20051228,5.44,5.51,5.44,5.47,144669,0
20051229,5.46,5.61,5.45,5.5,60412,0
20051230,5.45,5.5,5.39,5.5,73253,0
20060103,5.45,5.51,5.28,5.48,268207,0
20060104,5.47,5.62,5.46,5.54,53208,0
20060105,5.49,5.62,5.49,5.59,58506,0
20060106,5.55,5.68,5.55,5.61,16757,0
20060109,5.57,5.73,5.57,5.73,40644,0
20060110,5.66,5.67,5.32,5.32,129015,0
20060111,5.28,5.85,5.28,5.81,202012,0
20060112,5.9,6.22,5.86,6.1,267600,0
20060113,6,6.05,5.85,5.91,165871,0
20060117,5.82,5.96,5.78,5.94,166479,0
20060118,5.89,5.89,5.74,5.81,112247,0
20060119,5.85,5.85,5.78,5.8,44059,0
20060120,5.81,5.86,5.77,5.79,98255,0
20060123,7.21,7.32,6.6,6.87,2076328,0
20060124,7,7.17,6.9,6.99,767727,0
20060125,7,7.5,6.99,7.39,606426,0
