Date,Open,High,Low,Close,Volume,OpenInt
20140619,26.15,27.4,26.06,26.7,32013222,0
20140620,26.7,27.45,26.7,26.95,3839958,0
20140623,27.1,27.25,26.52,26.74,1526885,0
20140624,26.57,27.08,26.45,26.76,1102808,0
20140625,26.57,27.09,26.51,26.9,921052,0
20140626,26.79,27.24,26.77,26.98,1161652,0
20140627,26.98,27.23,26.7,26.98,1097712,0
20140630,26.78,27.18,26.67,26.98,694466,0
20140701,27.2,27.2,26.71,26.74,999672,0
20140702,26.62,27.09,26.62,26.77,1401600,0
20140703,26.66,27.1,26.66,26.95,467899,0
20140707,26.96,27,26.66,26.94,264570,0
20140708,26.94,26.95,26.626,26.86,445289,0
20140709,26.82,26.96,26.73,26.88,224444,0
20140710,26.5,26.87,26.14,26.66,470198,0
20140711,26.66,26.94,26.55,26.68,484500,0
20140714,26.5,26.7,25.5,26.08,2140647,0
20140715,25.97,26.12,25.75,26,530922,0
20140716,26,26.9,26,26.05,276416,0
20140717,26,26.21,25.95,26.04,276861,0
20140718,26.07,26.08,25.8,26.05,402937,0
20140721,25.79,26.05,25.44,25.8,1044874,0
20140722,26.02,26.02,25.29,25.6,1213814,0
20140723,25.6,25.94,25.134,25.77,1004140,0
20140724,25.51,25.83,25.292,25.68,579740,0
20140725,25.4,26.1,25.21,26.05,706793,0
20140728,25.92,26.25,25.53,26.13,306112,0
20140729,26.25,26.3,25.95,25.96,237349,0
20140730,26.2,26.2,25.51,25.99,220673,0
20140731,25.66,25.98,25.18,25.31,367589,0
20140801,25.06,25.435,24.83,25,400666,0
20140804,25.05,25.54,24.93,25.46,192245,0
20140805,25.38,25.56,24.96,25.1,208546,0
20140806,24.94,25.487,24.73,25.21,128727,0
20140807,25.41,25.54,25.06,25.4,109498,0
20140808,25.03,25.65,24.06,25.51,187289,0
20140811,24.06,25.87,24.06,25.83,152309,0
20140812,25.95,26.37,25.68,26.17,550306,0
20140813,26.22,26.35,25.28,25.42,975286,0
20140814,25.61,25.91,25.41,25.57,312635,0
20140815,25.3,25.56,25.25,25.45,540435,0
20140818,25.81,25.815,25.06,25.43,639561,0
20140819,25.43,25.9,25.11,25.76,543872,0
20140820,25.5,26.58,25.5,25.95,866147,0
20140821,25.73,26.09,25.33,25.53,279042,0
20140822,25.44,25.893,25.29,25.39,452521,0
20140825,25.34,25.56,25.1,25.21,502085,0
20140826,25.06,25.77,24.85,25.33,883576,0
20140827,25.27,25.7,25.06,25.22,468870,0
20140828,24.07,25.35,24.07,25.01,358191,0
20140829,25.01,25.25,24.51,25.01,501708,0
20140902,25.23,25.51,24.99,25.01,214724,0
20140903,25.17,25.45,24.83,25.39,199871,0
20140904,25.4,25.4,24.8,24.89,288639,0
20140905,24.83,25.11,24.76,24.88,656802,0
20140908,24.63,24.903,24.571,24.68,243014,0
20140909,24.7,24.7,23.99,24.4,603065,0
20140910,24.52,24.7,24.13,24.49,929135,0
20140911,24.52,24.81,24.34,24.8,202487,0
20140912,24.58,24.86,24.35,24.47,304612,0
20140915,24.42,24.61,24.25,24.48,128617,0
20140916,24.35,24.67,24.3,24.4,89763,0
20140917,24.38,24.585,24.13,24.22,114644,0
20140918,24.25,24.49,24.04,24.25,355218,0
20140919,24.41,24.41,24.06,24.18,252658,0
20140922,23.84,24.185,23.84,24.03,254131,0
20140923,23.87,24.17,23.7,23.72,339241,0
20140924,23.75,23.985,23.72,23.83,213643,0
20140925,24,24.06,23.4,23.6,199867,0
20140926,23.66,23.8,23.56,23.71,153706,0
20140929,23.56,23.73,23.46,23.66,305981,0
20140930,23.66,23.66,23.08,23.35,408560,0
20141001,23.32,23.48,23.01,23.3,335214,0
20141002,23.34,23.34,22.78,22.93,346982,0
20141003,23.13,23.35,22.88,23.26,379333,0
20141006,23.44,23.47,22.12,22.44,582285,0
20141007,22.3,22.37,20.99,21.04,1049318,0
20141008,21.13,22.65,21.05,22.61,1348513,0
20141009,22.66,22.66,21.84,22.21,408926,0
20141010,22.46,22.54,21.472,21.96,495036,0
20141013,22.4,23.4,22.09,22.65,667059,0
20141014,22.99,23.75,22.62,22.96,978548,0
20141015,22.82,23.28,22.5,22.96,632752,0
20141016,22.58,23.42,22.58,22.96,303005,0
20141017,23.07,23.155,22.89,22.99,323296,0
20141020,22.86,23.04,22.51,22.97,154179,0
20141021,23,23.27,22.79,23.04,455283,0
20141022,23.3,23.6,22.87,23.21,255443,0
20141023,23.43,24.12,22.94,23.74,401518,0
20141024,23.84,24.01,23.34,23.72,249108,0
20141027,23.56,23.6,22.68,22.69,416794,0
20141028,22.72,23.47,22.5,23.44,381046,0
20141029,23.11,24.29,23.01,24.04,294170,0
20141030,24,24.51,23.7,24.41,219663,0
20141031,24.74,25.97,24.5,25.54,374439,0
20141103,24.99,25.54,24.4,24.61,508268,0
20141104,24.43,24.45,23.766,24,124871,0
20141105,24.51,24.96,24.03,24.76,345933,0
20141106,24.66,25.08,23.665,24.23,357822,0
20141107,24.13,24.41,23.64,23.8,337506,0
20141110,23.92,25.05,23.64,23.74,208964,0
20141111,23.95,24.38,23.57,24.08,391776,0
20141112,24.32,25.39,23.97,25.11,467450,0
20141113,24.67,25.5,24.67,24.96,383527,0
20141114,25.04,25.43,24.4,24.92,459217,0
20141117,25.13,25.23,24.5,24.82,429596,0
20141118,24.85,25.8,24.846,25.34,422511,0
20141119,25.2,25.75,24.96,25.5,420247,0
20141120,25.51,25.95,25.3,25.87,679858,0
20141121,26,26,25.65,25.74,394966,0
20141124,25.55,25.64,25.09,25.51,800470,0
20141125,25.6,25.6,25.196,25.4,463022,0
20141126,25.37,25.73,25.33,25.6,206032,0
20141128,25.54,25.62,25.38,25.43,233322,0
20141201,25.45,25.6,25,25.08,429570,0
20141202,25.285,25.468,25.04,25.2,298947,0
