Date,Open,High,Low,Close,Volume,OpenInt
20000630,12.72,13.588,11.688,13.128,3819091,0
20000703,13.227,13.227,12.343,12.667,845453,0
20000705,12.491,12.667,11.515,11.873,3241558,0
20000706,11.883,11.975,9.728,10.482,3903767,0
20000707,10.5,11.146,9.903,11.026,2104736,0
20000710,10.942,12.564,10.482,11.488,3066129,0
20000711,11.285,12.436,10.686,11.146,3025313,0
20000713,13.762,14.683,12.454,13.907,6398878,0
20000714,13.927,13.927,12.545,12.72,1959700,0
20000717,12.842,13.955,11.975,13.634,1713056,0
20000718,13.358,14.896,12.951,14.453,2351380,0
20000719,14.564,15.659,13.993,15.227,3331447,0
20000721,15.659,15.99,14.167,14.177,1521991,0
20000724,15.217,15.217,12.667,12.667,3605013,0
20000725,13.006,13.386,12.151,13.034,1724345,0
20000726,13.071,13.071,11.688,12.132,2089101,0
20000727,12.031,12.031,10.704,11.128,2640146,0
20000728,11.376,11.402,10.362,11.402,1969253,0
20000731,11.469,11.541,10.482,10.519,1804246,0
20000801,10.704,10.824,9.903,9.949,970948,0
20000802,9.93,10.704,9.58,10.593,2059141,0
20000803,10.362,12.343,10.206,12.343,1627511,0
20000804,12.075,13.302,12.075,13.302,1601021,0
20000807,13.542,13.588,12.278,12.667,534540,0
20000808,12.72,13.1,12.436,12.436,351293,0
20000809,12.686,12.897,11.975,12.114,400800,0
20000810,12.278,12.278,11.515,11.975,326111,0
20000811,11.975,12.151,11.412,11.947,145467,0
20000814,11.802,11.975,11.402,11.488,643971,0
20000815,11.459,11.836,11.285,11.745,221459,0
20000816,11.792,12.696,11.745,12.639,804200,0
20000817,12.667,12.72,11.802,12.178,624430,0
20000818,12.178,12.436,11.745,12.031,215814,0
20000821,12.031,12.785,11.802,12.667,285726,0
20000822,12.436,13.329,12.436,12.87,412089,0
20000823,12.87,12.915,12.151,12.325,493289,0
20000824,12.27,12.897,12.205,12.696,2088669,0
20000825,12.842,13.172,12.233,12.756,1897605,0
20000830,15.217,17.199,15.199,16.175,1918448,0
20000831,16.146,17.021,16.066,16.434,923616,0
20000901,16.728,16.884,16.146,16.526,507622,0
20000905,16.269,17.908,16.175,17.243,1115982,0
20000906,17.152,19.63,17.152,19.114,2915451,0
20000907,19.16,22.394,18.775,21.997,2993178,0
20000908,22.596,23.304,21.417,21.85,4275472,0
20000911,21.417,21.859,19.888,21.62,3539445,0
20000912,21.62,23.793,21.074,22.752,2394805,0
20000913,22.569,24.182,22.321,23.38,1387813,0
20000914,23.802,25.277,22.679,23.029,2568497,0
20000915,23.38,23.489,22.254,22.357,611402,0
