Date,Open,High,Low,Close,Volume,OpenInt
20160224,32,32.5,32,32.4882,2050,0
20160225,32.6,32.8905,32,32.1,2802,0
20160226,31.76,31.76,31,31,3380,0
20160229,31.75,31.75,31.75,31.75,200,0
20160304,31.393,31.4,31.393,31.4,2800,0
20160307,31.75,31.75,31.4,31.5,8300,0
20160308,31.5,31.9,31.47,31.9,7306,0
20160310,31.91,32.75,31.91,32.75,1725,0
20160314,33.5,33.5,33.2,33.24,2861,0
20160315,33.39,33.5,33.2817,33.5,5233,0
20160316,33.4925,34.38,33.4925,34.38,593,0
20160317,34.38,35.0194,34.38,35,2686,0
20160318,35,35.5,35,35.0084,3183,0
20160321,35,36,35,35,5549,0
20160322,35.9587,35.96,35,35.7,2009,0
20160323,35.75,38,35.75,38,4085,0
20160324,37.4452,37.4452,37.2,37.2,1460,0
20160328,37.25,37.4091,36.9623,36.9623,16882,0
20160329,37.88,37.9,37.14,37.9,1068,0
20160330,38,38.91,38,38.1,2652,0
20160331,38.4,38.9,37.95,38.85,4553,0
20160401,37.97,38.1,37.04,38.1,3686,0
20160404,38.98,38.98,38,38.3,3428,0
20160405,37.4,37.43,37.4,37.43,1752,0
20160406,37.89,37.89,37,37.19,3252,0
20160407,37.38,37.38,36,36.99,1640,0
20160408,37.29,37.29,37,37.28,2146,0
20160411,37.2299,37.2299,36,36.0008,2350,0
20160412,37.05,37.69,36.99,37.29,4760,0
20160413,37.23,37.23,33.72,35.3,6184,0
20160414,37.33,37.7,36.95,37.25,5112,0
20160415,37.6,37.9,37.1899,37.1899,3097,0
