Date,Open,High,Low,Close,Volume,OpenInt
20070207,15.053,15.053,15.053,15.053,0,0
20070208,18.28,18.995,17.792,18.403,39682612,0
20070209,18.144,19.285,18.144,18.639,4991353,0
20070212,18.646,18.882,17.678,18.639,3698462,0
20070213,18.315,18.596,18.294,18.438,2439384,0
20070214,18.301,18.639,18.166,18.631,887215,0
20070215,18.639,18.818,18.567,18.717,1105797,0
20070216,18.639,19.627,18.588,19.356,770833,0
20070220,19.527,20.001,19.204,19.808,1710420,0
20070221,19.72,20.072,19.641,20.043,1566067,0
20070222,20.072,20.237,19.894,19.965,822266,0
20070223,19.878,20.072,19.735,19.856,718790,0
20070226,19.821,19.856,19.541,19.627,1166446,0
20070227,19.484,19.605,18.575,18.924,1032974,0
20070228,18.825,18.924,18.559,18.796,623496,0
20070301,18.551,18.602,18.216,18.468,653448,0
20070302,18.315,18.351,17.958,18.216,564972,0
20070305,17.973,18.08,17.849,17.991,758323,0
20070306,17.921,18.575,17.921,18.373,1261776,0
20070307,18.537,19.26,18.273,19.002,468283,0
20070308,19.118,19.663,18.81,19.519,377759,0
20070309,19.641,19.714,18.731,19.306,343034,0
20070312,19.131,19.131,18.494,18.631,385861,0
20070313,18.494,18.81,18.379,18.403,779510,0
20070314,18.359,18.516,18.223,18.323,403331,0
20070315,18.438,18.646,18.351,18.588,684245,0
20070316,18.639,18.717,18.351,18.596,380223,0
20070319,19.929,20.001,19.26,19.363,1532077,0
20070320,18.639,18.954,18.452,18.832,1590065,0
20070321,18.674,18.825,18.494,18.731,618349,0
20070322,18.338,18.725,18.238,18.309,553727,0
20070323,18.28,18.438,18.128,18.387,560671,0
20070326,18.315,18.615,18.064,18.395,572947,0
20070327,18.51,18.631,18.28,18.452,200440,0
20070328,18.294,18.995,18.28,18.918,312452,0
20070329,18.918,19.317,18.896,19.204,402314,0
20070330,19.333,20.581,18.995,19.139,7019920,0
20070402,19.054,19.241,18.102,18.424,960269,0
20070403,18.51,18.924,18.445,18.559,690738,0
20070404,18.516,18.867,18.46,18.661,534565,0
20070405,18.767,19.171,18.61,19.139,383724,0
20070409,19.139,19.277,18.688,18.874,349253,0
20070410,18.646,18.854,18.531,18.781,538897,0
20070411,18.688,18.688,18.403,18.524,565380,0
20070412,18.403,18.825,18.387,18.796,448537,0
20070413,18.731,19.277,18.639,19.067,203675,0
20070416,19.212,19.269,18.646,18.867,785814,0
20070417,18.652,18.745,18.46,18.745,170161,0
20070418,18.652,19.035,18.567,18.867,152218,0
20070419,18.631,18.767,18.438,18.666,154977,0
20070420,18.931,19.293,18.596,19.26,367512,0
20070423,19.177,19.749,18.995,19.584,261672,0
20070424,19.641,19.641,19.047,19.325,206497,0
20070425,19.406,19.613,19.111,19.155,302675,0
20070426,19.155,19.356,19.139,19.247,352558,0
20070427,19.212,19.47,19.177,19.277,341005,0
20070430,19.139,19.478,18.81,18.847,524019,0
20070501,18.704,19.325,18.544,18.775,738888,0
20070502,18.559,19.584,18.559,18.931,520819,0
20070503,18.969,19.293,18.373,18.588,806049,0
20070504,18.551,19.228,18.379,18.745,566819,0
20070507,18.745,19.333,18.738,18.745,372522,0
20070508,18.688,18.867,18.524,18.86,246616,0
20070509,18.818,19.099,18.71,19.075,136177,0
20070510,18.962,18.989,18.745,18.854,208765,0
20070511,18.946,19.111,18.854,18.989,88484,0
20070514,18.931,19.067,18.825,18.918,120709,0
20070515,18.86,19.277,18.588,18.666,216230,0
20070516,18.76,18.81,18.602,18.745,187963,0
20070517,18.661,18.854,18.575,18.717,168535,0
20070518,18.725,19.376,18.588,19.177,198148,0
20070521,19.228,20.122,19.091,20.072,1073796,0
20070522,20.051,20.208,19.692,20.079,490184,0
20070523,20.043,20.646,19.821,20.409,524806,0
20070524,20.345,20.588,19.965,20.152,228611,0
20070525,20.107,20.387,20.036,20.064,153055,0
20070529,20.136,20.309,20.001,20.237,211740,0
20070530,20.058,20.602,19.951,20.438,363488,0
20070531,20.373,20.602,20.281,20.466,662458,0
20070601,20.609,21.025,20.458,20.803,361093,0
20070604,20.646,20.947,20.321,20.825,168827,0
20070605,20.724,21.363,20.717,21.21,274284,0
20070606,20.983,21.025,20.523,20.739,481097,0
20070607,20.681,20.782,20.216,20.256,127402,0
20070608,20.208,20.998,19.813,20.918,165837,0
20070611,20.803,21.062,20.616,20.897,143281,0
20070612,20.767,20.767,20.244,20.345,169905,0
20070613,20.431,20.76,20.223,20.739,133773,0
20070614,20.717,21.069,20.717,20.89,133060,0
20070615,21.147,21.184,20.861,20.967,456294,0
20070618,20.967,20.967,20.281,20.789,264786,0
20070619,20.659,20.795,20.087,20.581,184018,0
20070620,20.782,20.974,19.986,20.087,285157,0
20070621,19.986,20.152,19.492,20.094,165861,0
20070622,20.007,20.128,19.577,19.864,928615,0
20070625,19.685,20.739,19.577,20.036,327134,0
20070626,20.115,20.144,19.478,19.849,190024,0
20070627,19.685,20.23,19.641,20.23,478144,0
20070628,20.192,20.573,20.015,20.192,2276983,0
20070629,20.309,20.394,20.064,20.079,291144,0
20070702,20.192,20.782,20.087,20.717,587650,0
20070703,20.775,20.825,20.466,20.667,575715,0
20070705,20.638,20.638,20.022,20.431,291650,0
20070706,20.53,20.739,20.187,20.552,206970,0
20070709,20.516,20.789,20.503,20.568,143981,0
20070710,20.458,20.458,20.1,20.144,114539,0
