Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.432,19.167,18.417,19.147,172136,0
20050228,18.987,18.987,18.223,18.983,210674,0
20050301,18.934,19.181,18.873,19.167,201714,0
20050302,18.964,19.277,18.934,18.949,217551,0
20050303,19.077,19.077,18.698,18.786,99733,0
20050304,18.983,18.983,18.683,18.983,189367,0
20050307,18.873,18.978,18.708,18.834,174181,0
20050308,18.896,18.987,18.459,18.726,168482,0
20050309,18.588,18.749,18.492,18.579,151541,0
20050310,18.437,18.805,18.398,18.487,212265,0
20050311,18.371,18.749,18.279,18.608,219896,0
20050314,18.688,18.868,18.478,18.549,222992,0
20050315,18.749,18.749,18.089,18.17,209912,0
20050316,18.098,18.323,18.036,18.046,388805,0
20050317,18.228,18.228,17.818,17.966,372751,0
20050318,17.966,18.005,16.767,17.444,999878,0
20050321,17.197,17.64,17.136,17.587,206491,0
20050322,17.733,17.971,17.491,17.631,154285,0
20050323,17.51,17.695,17.51,17.534,258734,0
20050324,17.68,17.843,17.563,17.708,244848,0
20050328,17.823,17.919,17.582,17.611,371936,0
20050329,17.636,17.896,17.378,17.434,221576,0
20050330,17.554,18.07,17.476,17.818,350612,0
20050331,17.848,17.966,17.349,17.476,231907,0
20050401,17.515,17.699,16.969,17.141,202221,0
20050404,17.207,17.426,16.843,17.396,118081,0
20050405,17.439,17.539,17.006,17.099,198917,0
20050406,17.055,17.466,17.055,17.178,229957,0
20050407,16.532,16.969,16.068,16.224,1056990,0
20050408,16.138,16.698,16.138,16.31,653167,0
20050411,16.31,16.471,16.151,16.214,359782,0
20050412,16.161,16.613,15.929,16.481,372383,0
20050413,16.419,16.448,15.64,15.736,355065,0
20050414,15.834,15.834,15.19,15.293,658414,0
20050415,15.284,15.331,15.037,15.08,393006,0
20050418,15.08,15.422,15.01,15.136,1139699,0
20050419,15.136,15.395,15.047,15.356,972684,0
20050420,15.284,15.44,15.042,15.131,301713,0
20050421,15.19,15.517,15.131,15.493,454401,0
20050422,15.54,15.54,14.768,14.938,320495,0
20050425,15.089,15.578,15.089,15.574,247450,0
20050426,15.578,15.578,14.856,14.856,298235,0
20050427,14.781,15.284,14.677,15.246,381574,0
20050428,15.084,15.185,14.763,14.947,276566,0
20050429,14.928,15.317,14.918,15.293,611465,0
20050502,15.219,15.56,15.219,15.398,251561,0
20050503,15.395,15.565,15.194,15.302,138415,0
20050504,15.417,15.887,15.403,15.741,228367,0
20050505,15.669,15.792,15.522,15.711,189654,0
20050506,15.81,15.929,15.644,15.692,139742,0
20050509,15.644,16.006,15.607,15.978,245689,0
20050510,15.779,15.982,15.445,15.507,276391,0
20050511,15.432,15.636,15.16,15.607,179976,0
20050512,15.607,15.692,15.099,15.099,153574,0
20050513,15.047,15.302,14.861,14.982,233957,0
20050516,14.996,15.351,14.791,15.327,232556,0
20050517,15.194,15.194,14.923,15.18,280398,0
20050518,15.131,15.862,15.131,15.857,163460,0
20050519,15.862,16.04,15.746,15.857,108048,0
20050520,15.688,15.982,15.56,15.896,111543,0
20050523,15.815,16.224,15.77,16.175,287195,0
20050524,16.253,16.371,15.901,15.982,281190,0
20050525,15.755,15.755,14.706,14.967,1147995,0
20050526,15.175,15.204,14.763,14.889,1035331,0
20050527,15.051,15.051,14.804,14.952,277651,0
20050531,14.923,15.001,14.654,14.743,718582,0
20050601,14.889,14.889,14.501,14.62,434154,0
20050602,14.595,14.682,14.354,14.392,436062,0
20050603,14.417,14.417,13.978,14.221,574843,0
20050606,14.193,14.743,14.193,14.468,590300,0
20050607,14.501,14.706,14.349,14.581,573097,0
20050608,14.581,14.743,14.253,14.292,463602,0
20050609,14.397,14.435,14.239,14.287,393318,0
20050610,14.349,14.349,14.175,14.239,1537431,0
20050613,14.239,14.654,14.239,14.571,709599,0
20050614,14.542,14.721,14.542,14.692,604502,0
20050615,14.692,14.856,14.59,14.836,562864,0
20050616,14.809,14.977,14.716,14.967,594150,0
20050617,14.967,15.146,14.889,15.113,674257,0
20050620,15.113,15.422,15.047,15.274,529157,0
20050621,15.366,15.493,15.19,15.455,283994,0
20050622,15.427,15.664,15.336,15.587,320034,0
20050623,15.55,15.702,15.507,15.621,507528,0
20050624,15.631,15.792,15.574,15.77,1231142,0
20050627,15.76,15.824,15.607,15.75,301646,0
20050628,15.824,16.147,15.697,16.143,251648,0
20050629,16.138,16.229,15.934,16.229,227911,0
20050630,16.273,16.444,16.101,16.273,601455,0
20050701,16.305,16.575,16.195,16.575,564777,0
20050705,16.532,16.613,16.045,16.295,734200,0
20050706,16.29,16.38,16.04,16.077,351218,0
20050707,15.824,15.929,15.726,15.872,386992,0
20050708,15.891,16.594,15.792,16.424,493160,0
20050711,16.319,16.504,16.277,16.4,458792,0
20050712,16.371,16.371,16.04,16.129,434139,0
20050713,16.133,16.214,15.987,16.054,349804,0
20050714,16.248,16.31,15.872,16.006,246101,0
20050715,15.911,16.161,15.843,16.151,313819,0
20050718,16.129,16.185,15.954,15.959,207138,0
20050719,15.607,15.755,15.16,15.385,1242899,0
20050720,15.322,15.775,15.265,15.64,616946,0
20050721,15.664,15.801,15.432,15.464,397277,0
20050722,15.493,15.678,15.422,15.569,456425,0
20050725,15.569,15.697,15.298,15.445,241416,0
20050726,15.445,15.659,15.375,15.432,394581,0
20050727,15.507,15.597,15.417,15.569,375835,0
20050728,15.569,15.887,15.569,15.801,359423,0
20050729,15.838,15.959,15.649,15.838,223109,0
20050801,15.853,16.258,15.853,15.959,370337,0
20050802,15.887,16.129,15.887,16.092,356441,0
20050803,16.054,16.092,15.944,16.05,253059,0
20050804,16.026,16.125,15.848,15.848,238628,0
20050805,15.901,15.901,15.674,15.697,175722,0
20050808,15.674,15.853,15.565,15.664,215219,0
20050809,15.707,15.707,15.522,15.607,166518,0
20050810,15.403,15.597,15.241,15.395,549271,0
20050811,15.341,15.968,15.099,15.792,775465,0
20050812,15.755,15.784,15.473,15.517,588328,0
20050815,15.555,15.664,15.517,15.626,442681,0
20050816,15.621,15.621,15.037,15.17,410241,0
20050817,15.255,15.784,15.18,15.545,233893,0
20050818,15.427,15.716,15.346,15.517,222237,0
20050819,15.432,15.678,15.412,15.64,122163,0
20050822,15.711,15.784,15.483,15.784,192874,0
20050823,15.805,15.882,15.265,15.56,329817,0
20050824,15.716,17.202,15.716,16.209,1274226,0
20050825,16.165,16.519,16.138,16.471,663044,0
20050826,16.375,16.786,16.248,16.4,649520,0
20050829,16.395,16.939,16.273,16.915,495837,0
20050830,16.92,17.016,16.622,16.848,417235,0
20050831,16.915,17.183,16.674,16.862,634088,0
20050901,16.752,17.065,16.58,16.959,432207,0
20050902,16.905,17.867,16.9,17.036,421318,0
20050906,16.992,17.672,16.992,17.534,246292,0
20050907,17.461,17.756,17.016,17.045,591181,0
20050908,17.001,17.04,16.654,16.925,512820,0
20050909,16.959,17.393,16.959,17.33,405702,0
20050912,17.416,18.019,17.114,17.852,494793,0
20050913,17.733,17.733,17.339,17.411,358119,0
20050914,17.439,17.572,17.197,17.534,345853,0
20050915,17.611,17.636,17.296,17.457,480721,0
20050916,17.563,18.014,17.544,18.005,993953,0
20050919,17.928,17.995,17.373,17.572,361549,0
20050920,17.695,18.08,17.663,17.775,750585,0
20050921,17.703,17.799,17.393,17.406,395131,0
20050922,17.486,17.771,17.026,17.631,314238,0
20050923,17.626,17.818,17.296,17.672,207330,0
20050926,17.741,17.848,17.353,17.563,214167,0
20050927,17.606,18.103,17.344,18.028,345832,0
20050928,18.07,18.18,17.808,18.036,374784,0
20050929,18.055,18.451,17.799,18.156,401551,0
20050930,18.041,18.084,17.751,18.051,594090,0
20051003,18.06,18.464,17.962,18.084,415653,0
20051004,18.131,18.308,17.919,18.041,243988,0
20051005,18.019,18.131,17.461,17.471,251124,0
20051006,17.495,17.766,17.118,17.216,294380,0
20051007,17.383,17.685,17.159,17.43,214709,0
20051010,17.544,17.606,17.25,17.491,187709,0
20051011,17.611,17.971,17.306,17.33,259742,0
20051012,17.291,17.654,17.016,17.461,400936,0
20051013,17.411,17.505,17.04,17.344,449573,0
20051014,17.43,17.554,17.07,17.51,163839,0
20051017,17.549,17.549,16.905,17.406,211840,0
20051018,17.32,17.481,16.853,16.969,222730,0
20051019,16.873,17.373,16.819,17.32,365268,0
20051020,17.296,17.416,16.684,16.888,225848,0
20051021,16.461,17.114,16.424,16.718,681232,0
20051024,16.767,17.421,16.631,17.306,452252,0
20051025,17.159,17.505,16.853,17.084,233825,0
20051026,16.978,17.325,16.905,17.15,140524,0
20051027,17.099,17.202,16.64,16.853,383922,0
20051028,16.925,17.896,16.925,17.713,503480,0
20051031,17.654,17.901,17.33,17.644,367518,0
20051101,17.559,17.962,17.439,17.901,140201,0
20051102,17.99,18.412,17.919,18.412,242184,0
20051103,18.459,18.63,18.303,18.417,182078,0
20051104,18.422,18.422,17.971,18.341,172853,0
20051107,18.398,18.698,18.136,18.574,248277,0
20051108,18.432,18.51,18.19,18.464,182213,0
20051109,18.483,18.74,18.265,18.708,243146,0
20051110,18.713,18.944,18.065,18.911,147987,0
20051111,18.854,18.987,18.824,18.949,126808,0
20051114,18.954,18.954,18.06,18.554,240179,0
20051115,18.506,18.717,18.265,18.393,228666,0
20051116,18.417,18.442,18.146,18.299,134197,0
20051117,18.361,18.79,18.361,18.698,273404,0
20051118,18.849,18.868,18.579,18.74,175293,0
20051121,18.65,18.786,18.379,18.74,312537,0
20051122,18.63,18.93,18.63,18.868,233927,0
20051123,18.749,18.888,18.574,18.829,238434,0
20051125,18.824,18.863,18.73,18.863,97256,0
20051128,18.674,18.674,18.175,18.437,198098,0
20051129,18.515,18.93,18.492,18.849,306941,0
20051130,18.81,18.949,18.717,18.901,377916,0
20051201,18.92,19.038,18.678,18.925,338507,0
20051202,18.868,18.893,18.717,18.829,244657,0
20051205,18.735,18.824,18.251,18.74,385517,0
20051206,18.782,19.043,18.451,18.473,298936,0
20051207,18.336,18.51,18.036,18.19,261266,0
20051208,18.356,18.446,17.808,18.198,319593,0
20051209,18.241,18.487,18.103,18.455,280230,0
20051212,18.501,18.535,18.084,18.332,268294,0
20051213,18.412,18.678,18.241,18.63,486166,0
20051214,19.546,21.763,19.096,20.326,3087874,0
20051215,20.129,20.434,19.723,19.926,841058,0
20051216,20.028,20.043,18.964,19.873,1630057,0
20051219,19.878,19.878,19.351,19.433,635105,0
20051220,19.526,19.936,19.304,19.476,594928,0
20051221,19.471,20.097,19.471,19.936,423011,0
20051222,19.859,20.028,19.564,19.854,360113,0
20051223,19.882,19.994,19.767,19.926,174357,0
20051227,19.936,19.936,19.309,19.323,227079,0
20051228,19.466,19.859,19.333,19.776,157369,0
20051229,19.662,19.873,19.579,19.613,183320,0
20051230,19.438,19.613,19.172,19.229,278118,0
20060103,19.224,19.513,18.795,19.456,370475,0
20060104,19.503,20.112,19.39,20.088,431876,0
20060105,20.088,20.312,19.97,20.216,487978,0
20060106,20.293,20.719,20.084,20.695,480535,0
20060109,21.222,21.991,20.885,21.375,844212,0
20060110,21.573,21.981,21.289,21.602,540740,0
20060111,21.473,21.636,21.1,21.468,495934,0
20060112,21.308,21.54,21.018,21.131,437644,0
20060113,21.237,21.407,20.899,21.169,232144,0
20060117,20.97,21.131,20.596,20.719,198086,0
20060118,20.51,20.824,20.359,20.463,323001,0
20060119,20.753,20.956,20.529,20.729,457826,0
20060120,20.81,20.856,20.401,20.553,479872,0
20060123,20.496,20.947,20.496,20.819,176364,0
20060124,20.871,21.36,20.805,21.313,360165,0
20060125,21.36,21.473,20.548,20.947,583650,0
20060126,21.241,21.868,21.003,21.844,379151,0
20060127,21.782,22.289,21.578,21.717,307082,0
20060130,21.646,21.782,21.289,21.535,382007,0
20060131,21.436,21.834,21.086,21.558,313817,0
20060201,21.487,21.492,20.966,21.323,353241,0
20060202,21.174,21.507,20.805,20.993,289701,0
20060203,20.904,21.057,20.7,20.739,286483,0
20060206,20.71,21.502,20.619,21.342,247003,0
20060207,21.237,21.749,20.998,21.169,254473,0
20060208,21.179,21.749,21.086,21.726,243344,0
20060209,21.749,21.9,21.507,21.54,206099,0
20060210,21.602,21.976,21.313,21.863,167639,0
20060213,21.702,21.943,21.602,21.9,206881,0
20060214,21.697,21.976,21.558,21.744,312857,0
20060215,21.654,21.858,21.279,21.844,236171,0
20060216,21.796,22.236,21.754,22.162,278940,0
20060217,22.25,22.25,21.905,22.02,251019,0
20060221,22.069,22.152,21.573,21.914,173291,0
20060222,22.074,22.338,21.702,22.338,237930,0
20060223,22.152,22.367,22.078,22.189,131794,0
20060224,22.083,22.372,21.957,22.265,290482,0
20060227,22.184,22.523,22.01,22.421,245242,0
20060228,22.574,24.645,22.447,23.695,1373627,0
20060301,23.632,23.818,23.334,23.637,402870,0
20060302,23.51,23.852,23.296,23.734,430494,0
20060303,23.7,23.7,23.111,23.305,306822,0
20060306,23.244,23.614,23.097,23.343,402429,0
20060307,23.231,23.338,22.718,22.765,239696,0
20060308,22.656,23.02,22.546,22.7,333600,0
20060309,22.695,22.888,22.246,22.475,282450,0
20060310,22.435,22.632,22.227,22.593,270506,0
20060313,22.546,22.579,22.426,22.513,309563,0
20060314,22.426,22.827,22.25,22.827,346890,0
20060315,22.893,22.908,22.661,22.855,287197,0
20060316,23.024,23.249,22.845,23.169,361477,0
20060317,23.164,23.179,22.817,23.125,799311,0
20060320,23.02,23.155,22.85,23.121,208995,0
20060321,23.007,23.184,22.485,22.485,272758,0
20060322,22.518,22.927,22.406,22.783,455042,0
20060323,22.822,22.913,22.57,22.893,208400,0
20060324,22.927,22.973,22.741,22.955,233875,0
20060327,22.87,22.95,22.612,22.836,155241,0
20060328,22.913,22.927,22.57,22.774,329089,0
20060329,22.913,23.386,22.704,23.376,602443,0
20060330,23.296,23.618,23.083,23.558,259232,0
20060331,23.544,23.724,23.338,23.666,327673,0
20060403,23.661,23.661,23.249,23.319,188593,0
20060404,23.376,23.376,23.034,23.236,692625,0
20060405,23.116,23.719,23.063,23.685,523594,0
20060406,23.525,23.623,23.174,23.515,258910,0
20060407,23.685,23.866,23.078,23.343,191214,0
20060410,23.473,23.473,23.02,23.198,493039,0
20060411,23.194,23.41,23.054,23.3,322548,0
20060412,23.212,23.358,22.913,23.291,224452,0
20060413,23.343,23.595,23.116,23.264,250608,0
20060417,23.367,23.53,23.198,23.477,250723,0
20060418,23.656,24.497,23.573,24.492,285687,0
20060419,24.373,24.979,24.326,24.935,558804,0
20060420,24.949,25.142,24.617,25.012,464150,0
20060421,25.175,25.228,24.673,25.039,412311,0
20060424,25.09,25.09,24.378,24.597,177967,0
20060425,24.556,25.039,24.312,24.984,419609,0
20060426,25.132,25.248,24.786,25.15,744424,0
20060427,24.915,25.355,24.276,24.73,288162,0
20060428,24.73,25.459,24.655,25.371,464190,0
20060501,25.498,25.619,25.02,25.204,254453,0
20060502,25.355,26.002,25.058,25.629,332490,0
20060503,25.76,25.973,25.541,25.869,180595,0
20060504,25.765,26.614,25.765,26.422,182624,0
20060505,26.614,27.174,26.364,26.895,337718,0
20060508,26.734,26.966,26.551,26.828,199027,0
