Date,Open,High,Low,Close,Volume,OpenInt
20141120,14,14.1,11.27,12,3113581,0
20141121,12,12,11.17,11.25,212496,0
20141124,11.02,11.17,10.63,11,35419,0
20141125,11,11.26,11,11.13,5773,0
20141126,11.12,11.13,10.5,10.59,76520,0
20141128,10.78,10.97,10.55,10.785,6273,0
20141201,10.67,10.83,10,10.17,114737,0
20141202,10.5,10.5,9.27,9.6,70574,0
20141203,9.83,9.83,8.55,8.75,121337,0
20141204,8.68,9.25,8,8.7,152708,0
20141205,8.5,8.5,8,8.38,95705,0
20141208,8.03,8.15,7.4,7.7,90783,0
20141209,7.59,7.71,7.4301,7.55,47480,0
20141210,7.6971,8.899,7.46,8.5,123380,0
20141211,8.14,8.73,7.57,7.97,40508,0
20141212,7.98,7.98,7.4401,7.49,32446,0
20141215,8,8,7.28,7.41,136149,0
20141216,7.5,7.5799,7.41,7.45,70462,0
20141217,7.45,7.5799,6.9293,7.1,38167,0
20141218,7.1,7.29,6.95,6.99,34419,0
20141219,6.94,6.94,6.34,6.57,78298,0
20141222,6.32,6.5,6.32,6.47,32844,0
20141223,6.45,6.5099,6.11,6.4,21385,0
20141224,6.36,6.74,6.24,6.65,26036,0
20141226,6.54,7.24,6.47,7.15,47474,0
20141229,7.3,7.3,6.87,6.87,32195,0
20141230,6.7,7,6.6,6.869,43514,0
20141231,6.9,7.54,6.9,7.48,144167,0
20150102,7.5,7.5948,7.26,7.36,20055,0
20150105,7.4,7.4,7.17,7.34,12505,0
20150106,7.5,7.7773,7.07,7.24,24672,0
20150107,7.25,7.25,6.8,7.12,30827,0
20150108,7.03,7.34,6.91,7.12,20078,0
20150109,7.25,7.469,7.025,7.42,12850,0
20150112,7.19,7.5,6.91,7.42,26172,0
20150113,7.5,7.5,6.9001,6.99,19610,0
20150114,7.07,7.08,6.76,6.99,43607,0
20150115,7.27,7.27,6.872,6.872,18407,0
20150116,7.01,7.01,6.671,6.77,18853,0
20150120,6.78,6.92,6.68,6.85,5100,0
20150121,6.842,6.849,6.67,6.7,19200,0
