Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.175,14.508,14.175,14.472,29587,0
20050228,14.581,14.655,14.397,14.508,39216,0
20050301,14.434,14.84,14.175,14.581,230678,0
20050302,14.804,15.137,14.655,14.73,49291,0
20050303,15.58,15.58,14.766,14.952,126430,0
20050304,15.248,15.285,14.952,15.21,31867,0
20050307,15.358,15.358,14.804,14.804,19851,0
20050308,14.804,15.026,14.804,15.026,21107,0
20050309,14.914,15.026,14.804,15.026,13591,0
20050310,15.026,15.1,14.544,15.026,16077,0
20050311,14.84,15.1,14.73,14.766,27538,0
20050314,15.137,15.137,13.952,14.434,20285,0
20050315,14.472,14.655,14.36,14.508,6165,0
20050316,14.472,14.655,14.064,14.175,9133,0
20050317,14.138,14.36,13.989,14.175,10213,0
20050318,14.175,14.655,14.175,14.655,16823,0
20050321,14.36,14.655,14.286,14.618,11115,0
20050322,14.73,14.84,14.581,14.84,8738,0
20050323,14.84,14.84,14.397,14.581,2620,0
20050324,14.581,14.655,14.248,14.248,2784,0
20050328,14.434,14.434,13.878,14.36,11267,0
20050329,13.989,14.434,12.878,14.323,50683,0
20050330,14.175,14.248,14.138,14.138,10062,0
20050331,14.138,14.286,13.435,13.508,35361,0
20050401,13.473,13.952,11.732,13.915,50613,0
20050404,13.989,14.472,13.508,13.657,10268,0
20050405,14.064,14.064,13.064,13.545,30456,0
20050406,13.804,13.952,13.545,13.583,10450,0
20050407,13.915,13.915,12.508,13.139,12195,0
20050408,12.805,13.176,12.694,12.805,13427,0
20050411,12.473,12.99,12.175,12.915,19138,0
20050412,13.804,13.804,12.36,13.101,6707,0
20050413,13.398,13.398,12.805,12.878,2782,0
20050414,13.028,13.028,12.583,12.732,3876,0
20050415,12.36,13.139,11.953,12.286,16704,0
20050418,12.028,13.176,12.028,12.064,7568,0
20050419,12.175,13.398,12.175,12.397,50963,0
20050420,12.99,13.101,12.508,12.62,16453,0
20050421,13.212,13.473,12.769,12.769,13404,0
20050422,12.769,12.769,12.508,12.508,3128,0
20050425,12.99,12.99,12.286,12.324,2548,0
20050426,12.324,12.435,12.324,12.36,5575,0
20050427,12.286,12.324,12.139,12.175,4512,0
20050428,11.991,11.991,11.769,11.769,9581,0
20050429,11.732,12.139,10.88,11.695,17092,0
20050502,11.991,12.842,11.842,11.953,9665,0
20050503,11.657,12.101,11.508,12.064,8767,0
20050504,12.064,12.286,11.436,11.806,8526,0
20050505,12.473,12.473,10.918,11.213,21819,0
20050506,11.029,11.584,11.029,11.103,8570,0
20050509,11.141,11.695,10.954,11.362,7750,0
20050510,11.213,11.473,11.066,11.213,8517,0
20050511,11.508,11.732,11.141,11.141,19836,0
20050512,10.954,11.657,9.622,10.843,32810,0
20050513,10.843,11.287,9.696,9.733,91528,0
20050516,9.992,10.03,9.2152,9.585,22685,0
20050517,9.843,9.843,8.8824,8.9932,27666,0
20050518,9.0679,9.881,8.9566,9.2152,34489,0
20050519,9.4376,9.585,8.9566,9.2152,28782,0
20050520,9.1416,9.4376,9.0679,9.1784,18379,0
20050523,9.1784,9.659,9.1784,9.4376,19071,0
20050524,9.696,9.696,9.2152,9.3997,25734,0
20050525,9.0679,9.3997,9.0679,9.2888,9943,0
20050526,9.4376,9.771,9.2888,9.585,34957,0
20050527,9.733,9.771,9.0679,9.4755,82689,0
20050531,9.1784,9.3997,9.1784,9.3997,14031,0
20050601,9.548,9.771,9.0679,9.2152,32359,0
20050602,9.512,9.585,9.1416,9.2888,16023,0
20050603,9.2888,9.4376,9.0679,9.2888,19524,0
20050606,9.512,9.512,9.0679,9.1416,14915,0
20050607,9.2519,9.2519,8.8824,8.8824,16101,0
20050608,9.1047,9.3637,8.9191,8.9932,23427,0
20050609,9.1047,9.1416,8.9566,9.0679,33039,0
20050610,8.8824,9.03,8.1417,8.6607,56459,0
20050613,8.6966,8.7716,8.475,8.5858,41136,0
20050614,8.8083,8.8083,8.475,8.7341,17527,0
20050615,9.03,9.03,8.5491,8.6232,15524,0
20050616,8.6232,8.7716,8.5491,8.6607,7607,0
20050617,8.5858,8.6607,8.2166,8.6607,17916,0
20050620,8.4383,8.9566,8.3275,8.5858,7526,0
20050621,8.6966,8.6966,8.475,8.5124,22364,0
20050622,8.7716,8.8083,8.3275,8.3275,10715,0
20050623,8.4008,8.5858,8.2532,8.2899,18824,0
20050624,8.1417,8.5124,8.1417,8.1417,31611,0
20050627,8.475,8.475,8.1417,8.1417,18879,0
20050628,8.3275,8.4383,8.1417,8.2166,30336,0
20050629,8.1417,8.7341,7.6609,8.4383,31331,0
20050630,8.2899,8.5124,7.9575,8.1417,25411,0
20050701,8.3641,8.6232,8.0684,8.2532,14268,0
20050705,8.4008,8.6966,8.3275,8.6232,18790,0
20050706,8.6966,8.6966,8.5858,8.6232,23521,0
20050707,8.6232,9.659,8.5491,9.512,80843,0
20050708,9.955,10.288,9.585,10.03,66444,0
20050711,10.104,10.104,9.659,9.771,15223,0
20050712,9.771,9.771,9.0679,9.1416,27699,0
20050713,9.0679,9.3267,8.9191,9.1047,15807,0
20050714,9.1784,9.3267,8.6966,8.8824,20253,0
20050715,8.7341,8.8824,8.4383,8.5124,19832,0
20050718,8.6966,8.7716,8.5858,8.6607,20474,0
20050719,8.5124,8.6966,8.3641,8.6232,13271,0
20050720,8.6607,8.6966,8.3641,8.5124,8415,0
20050721,8.6966,8.6966,8.1417,8.4383,9634,0
