Date,Open,High,Low,Close,Volume,OpenInt
20150330,23.045,23.091,22.999,23.045,694544,0
20150331,23.064,23.11,23.045,23.064,303619,0
20150401,23.081,23.11,23.018,23.064,272501,0
20150402,23.064,23.073,23.018,23.045,105890,0
20150406,23.018,23.025,22.943,22.971,115721,0
20150407,22.989,23.035,22.971,23.018,127303,0
20150408,22.979,23.025,22.962,22.979,118315,0
20150409,22.989,22.989,22.915,22.934,77326,0
20150410,22.962,22.962,22.897,22.934,40951,0
20150413,22.971,22.971,22.859,22.915,140140,0
20150414,22.888,23.018,22.888,23.018,137331,0
20150415,23.045,23.045,22.979,22.999,100164,0
20150416,23.025,23.035,22.962,22.999,83049,0
20150417,23.009,23.035,22.971,22.999,41814,0
20150420,22.999,23.025,22.962,22.979,39957,0
20150421,22.999,23.025,22.979,22.979,45275,0
20150422,23.025,23.025,22.859,22.906,113134,0
20150423,22.953,22.979,22.906,22.934,45057,0
20150424,22.999,23.091,22.924,22.989,137656,0
20150427,22.979,23.045,22.953,22.989,26471,0
20150428,22.999,23.045,22.962,22.999,41168,0
20150429,22.962,22.979,22.906,22.934,28092,0
20150430,22.906,22.971,22.786,22.851,33820,0
20150501,22.859,22.897,22.656,22.822,22906,0
20150504,22.813,22.859,22.712,22.859,11021,0
20150505,22.859,22.953,22.776,22.953,41383,0
20150506,22.906,22.953,22.545,22.675,63807,0
20150507,22.591,22.767,22.472,22.665,25989,0
20150508,22.767,22.859,22.675,22.767,32847,0
20150511,22.767,22.859,22.684,22.859,36738,0
20150512,22.813,22.859,22.675,22.859,21443,0
20150513,22.888,22.953,22.758,22.953,32955,0
20150514,22.869,23.035,22.869,23.025,16963,0
20150515,23.035,23.035,22.924,22.953,22474,0
20150518,22.999,23.073,22.999,23.064,33056,0
20150519,23.045,23.045,22.989,23.045,27877,0
20150520,23.009,23.045,22.906,23.009,50244,0
20150521,23.018,23.035,22.953,22.953,46785,0
20150522,23.045,23.081,22.979,23.045,101243,0
20150526,23.091,23.091,22.999,22.999,22760,0
20150527,23.009,23.146,22.999,23.101,51648,0
20150528,23.018,23.109,22.953,23.056,47506,0
20150529,22.979,23.11,22.962,22.962,22042,0
20150601,23.025,23.091,22.989,23.018,8859,0
20150602,23.018,23.045,22.943,22.999,39299,0
20150603,22.999,22.999,22.702,22.859,29714,0
20150604,23.119,23.184,23.045,23.184,357969,0
20150605,23.184,23.304,23.101,23.184,130849,0
20150608,23.323,23.323,23.166,23.222,97460,0
20150609,23.202,23.202,23.137,23.175,137727,0
20150610,23.175,23.184,23.137,23.179,80337,0
20150611,23.202,23.202,23.045,23.11,143434,0
20150612,23.23,23.23,23.119,23.184,42247,0
20150615,23.192,23.258,23.137,23.258,35224,0
20150616,23.276,23.304,23.202,23.276,55430,0
20150617,23.304,23.323,23.222,23.268,76068,0
20150618,23.276,23.619,23.276,23.369,93463,0
20150619,23.461,23.646,23.369,23.508,93247,0
20150622,23.878,23.878,23.323,23.481,127716,0
20150623,23.508,23.6,23.415,23.481,75191,0
20150624,23.6,23.6,23.379,23.591,105457,0
20150625,23.6,23.757,23.471,23.6,73365,0
20150626,23.6,23.711,23.508,23.693,45922,0
20150629,23.837,23.894,23.515,23.647,81371,0
20150630,23.647,23.704,23.582,23.676,146823,0
20150701,23.743,23.837,23.667,23.837,57065,0
20150702,23.818,23.903,23.724,23.875,56537,0
20150706,23.875,24.348,23.799,24.31,104513,0
20150707,24.272,24.31,24.14,24.225,56008,0
20150708,24.13,24.197,23.932,24.197,42904,0
20150709,24.225,24.225,23.989,24.073,73762,0
20150710,24.225,24.225,24.046,24.083,39417,0
20150713,24.13,24.13,24.046,24.103,52627,0
20150714,24.13,24.31,24.093,24.225,111435,0
20150715,24.31,24.31,24.083,24.093,100218,0
20150716,24.093,24.206,24.026,24.064,62032,0
20150717,24.111,24.272,23.875,24.017,578998,0
20150720,24.036,24.083,23.903,24.036,91304,0
20150721,24.093,24.206,23.979,24.054,48505,0
20150722,24.046,24.046,23.903,24.036,41319,0
20150723,23.989,24.272,23.942,24.073,142662,0
20150724,24.083,24.083,23.903,24.017,27054,0
20150727,23.979,24.007,23.781,23.79,30857,0
20150728,23.932,23.932,23.724,23.771,50935,0
20150729,23.837,23.932,23.761,23.771,39100,0
20150730,23.771,23.922,23.761,23.761,21875,0
20150731,23.846,23.942,23.799,23.912,11519,0
20150803,23.932,23.96,23.799,23.912,14503,0
20150804,23.894,23.942,23.875,23.912,6869,0
20150805,23.942,23.942,23.676,23.818,100815,0
20150806,23.818,23.818,23.619,23.667,47285,0
20150807,23.657,23.79,23.639,23.733,43327,0
20150810,23.818,23.846,23.771,23.846,23566,0
20150811,23.771,23.808,23.572,23.733,89420,0
20150812,23.828,23.828,23.657,23.667,22403,0
20150813,23.667,23.686,23.506,23.506,37937,0
20150814,23.421,23.743,23.402,23.639,77565,0
20150817,23.639,23.761,23.402,23.6,67845,0
20150818,23.619,23.629,23.458,23.61,24939,0
20150819,23.392,23.582,23.392,23.515,35824,0
20150820,23.468,23.506,23.24,23.431,39628,0
20150821,23.392,23.458,23.26,23.458,41954,0
20150824,23.203,23.506,22.74,23.279,52148,0
20150825,23.506,23.506,23.231,23.327,33182,0
20150826,23.468,23.468,23.213,23.364,24305,0
20150827,23.543,23.543,23.279,23.383,62771,0
