Date,Open,High,Low,Close,Volume,OpenInt
20140627,21.868,22.056,21.773,21.861,182016,0
20140630,22.053,22.053,21.783,21.947,95321,0
20140701,21.904,22.01,21.808,21.904,116115,0
20140702,21.947,21.991,21.782,21.861,33281,0
20140703,21.861,21.861,21.817,21.818,9434,0
20140707,21.859,21.921,21.816,21.848,23570,0
20140708,21.947,21.947,21.855,21.881,15606,0
20140709,21.861,21.868,21.729,21.817,27156,0
20140710,21.861,21.861,21.737,21.782,15771,0
20140711,21.737,21.808,21.737,21.773,7611,0
20140714,21.852,21.852,21.757,21.773,13249,0
20140715,21.852,21.852,21.737,21.793,7511,0
20140716,21.789,21.861,21.789,21.861,57414,0
20140717,21.913,22.01,21.773,21.86,54457,0
20140718,21.861,21.923,21.817,21.842,10864,0
20140721,21.878,21.878,21.773,21.833,14872,0
20140722,21.773,21.897,21.773,21.842,15798,0
20140723,21.861,21.904,21.799,21.886,30193,0
20140724,21.868,21.947,21.861,21.878,16526,0
20140725,21.991,22.01,21.852,21.904,27329,0
20140728,21.599,21.895,21.599,21.856,44201,0
20140729,21.826,21.982,21.826,21.861,24441,0
20140730,21.861,21.868,21.836,21.842,20300,0
20140731,21.861,21.921,21.817,21.84,52148,0
20140801,21.861,21.861,21.773,21.861,36149,0
20140804,21.817,21.861,21.817,21.838,26811,0
20140805,21.817,21.932,21.817,21.861,17891,0
20140806,21.991,22.035,21.834,22.035,6410,0
20140807,22.026,22.026,21.861,21.861,10759,0
20140808,21.947,21.966,21.861,21.955,9319,0
20140811,21.957,22.026,21.957,22.017,2641,0
20140812,21.947,21.947,21.947,21.947,2059,0
20140813,21.947,22.016,21.878,21.947,12449,0
20140814,22.026,22.026,21.966,21.966,2329,0
20140815,21.931,21.991,21.931,21.99,6863,0
20140818,22.017,22.017,21.939,21.939,10579,0
20140819,21.981,22.035,21.947,21.959,17812,0
20140820,22.122,22.298,21.957,22.298,24397,0
20140821,22.035,22.035,21.947,22.035,5146,0
20140822,21.974,21.991,21.974,21.991,16011,0
20140825,21.947,22,21.947,22,1371,0
20140826,21.966,22.078,21.966,22.044,8531,0
20140827,22.236,22.236,21.991,21.991,8577,0
20140828,22.013,22.035,21.991,21.991,3768,0
20140829,21.991,22.035,21.991,22.035,4462,0
20140902,22.105,22.105,21.878,22.035,20047,0
20140903,21.991,22.078,21.991,22.062,4186,0
20140904,21.991,22.035,21.904,21.983,16096,0
20140905,22.008,22.008,21.974,21.974,2288,0
20140908,22.035,22.035,21.904,21.913,17041,0
20140909,21.991,22.026,21.713,21.785,16206,0
20140910,21.878,21.895,21.861,21.868,16437,0
20140911,21.861,22.026,21.861,21.904,66335,0
20140912,21.868,22.193,21.782,22.053,68365,0
20140915,22.114,22.166,21.815,21.89,38064,0
20140916,21.886,22.298,21.878,22.035,141335,0
20140917,21.966,22.035,21.966,22.035,39715,0
20140918,21.991,22.052,21.982,22.052,5490,0
20140919,22.017,22.202,21.957,22.035,5031,0
20140922,21.959,22.059,21.957,21.991,10682,0
20140923,22,22.056,21.921,22.035,12695,0
20140924,21.913,21.947,21.799,21.921,32404,0
20140925,21.729,21.931,21.694,21.931,9053,0
20140926,21.939,21.939,21.713,21.842,15726,0
20140929,22.052,22.096,21.938,22.086,24037,0
20140930,21.962,22.096,21.962,22.087,6612,0
20141001,22.122,22.15,22.096,22.15,3128,0
20141002,21.684,22.105,21.684,22.007,6705,0
20141003,21.953,22.078,21.864,21.926,21805,0
20141006,21.934,21.953,21.774,21.934,9809,0
20141007,21.98,22.016,21.791,21.962,5016,0
20141008,21.998,22.007,21.747,21.917,14008,0
20141009,21.737,21.976,21.693,21.976,5084,0
20141010,21.881,21.953,21.881,21.917,3135,0
20141013,21.926,21.926,21.79,21.79,8571,0
20141014,21.63,21.791,21.424,21.468,10637,0
20141015,21.658,21.987,21.263,21.987,25339,0
20141016,21.944,21.944,21.292,21.586,8641,0
20141017,21.883,21.883,21.747,21.818,1732,0
20141020,21.863,21.864,21.35,21.802,6883,0
20141021,21.702,21.779,21.702,21.72,11711,0
20141022,21.765,21.765,21.608,21.702,4078,0
20141023,21.702,21.702,21.468,21.702,20068,0
20141024,21.637,21.747,21.637,21.747,6817,0
20141027,21.926,21.934,21.836,21.881,6620,0
20141028,21.702,22.063,21.702,21.953,14795,0
20141029,21.836,21.926,21.836,21.926,16818,0
20141030,21.926,21.926,21.667,21.828,5131,0
20141031,22.115,22.115,21.658,21.95,8347,0
20141103,22.078,22.112,21.881,21.98,12280,0
20141104,21.899,22.114,21.899,22.114,7375,0
20141105,22.007,22.22,22.007,22.22,4810,0
20141106,22.195,22.204,22.068,22.194,10751,0
20141107,22.195,22.319,22.185,22.283,11458,0
20141110,22.303,22.419,22.293,22.303,3874,0
20141111,22.347,22.419,22.327,22.372,9644,0
20141112,22.445,22.497,22.419,22.419,5866,0
20141113,22.499,22.499,22.412,22.478,4616,0
20141114,22.517,22.524,22.371,22.524,13186,0
20141117,22.524,22.524,22.524,22.524,558,0
20141118,22.472,22.517,22.472,22.509,5363,0
20141119,22.517,22.633,22.509,22.633,2848,0
