Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.82,20.87,20.787,20.87,10285,0
20050228,20.87,20.903,20.763,20.878,5741,0
20050301,20.903,20.903,20.903,20.903,238,0
20050304,20.769,20.769,20.769,20.769,479,0
20050307,20.92,21.264,20.737,20.92,6231,0
20050309,20.695,20.695,20.695,20.695,479,0
20050310,20.695,20.695,20.695,20.695,1435,0
20050311,20.695,20.92,20.486,20.812,1675,0
20050314,20.903,20.903,20.769,20.787,4543,0
20050315,20.787,20.787,20.787,20.787,453,0
20050316,20.787,20.828,20.486,20.486,5712,0
20050317,20.235,20.486,20.235,20.486,1927,0
20050318,20.654,20.787,20.092,20.636,3582,0
20050321,20.084,20.352,19.901,19.901,4543,0
20050322,19.901,20.394,19.901,20.394,7893,0
20050328,19.918,19.918,19.801,19.801,3662,0
20050329,19.65,19.801,19.366,19.44,5024,0
20050330,19.231,19.381,19.19,19.19,2153,0
20050331,19.265,19.265,18.872,18.872,3110,0
20050401,19.023,19.147,19.006,19.147,5865,0
20050404,19.424,19.65,19.331,19.65,9330,0
20050405,19.231,19.616,19.231,19.557,2476,0
20050406,19.566,19.65,19.366,19.608,4575,0
20050407,19.457,19.65,19.457,19.65,2273,0
20050408,19.516,19.86,19.516,19.65,1076,0
20050411,19.86,19.86,19.65,19.65,2011,0
20050413,19.381,19.381,19.24,19.24,1435,0
20050414,19.424,19.49,19.331,19.34,5024,0
20050415,19.131,19.131,19.106,19.131,1197,0
20050418,18.814,19.131,18.797,19.131,4241,0
20050419,19.44,19.44,18.897,19.214,3345,0
20050420,19.19,19.381,18.906,18.906,2216,0
20050421,19.231,19.248,18.872,18.872,4543,0
20050422,19.023,19.023,19.023,19.023,2393,0
20050425,19.023,19.231,18.788,18.788,10603,0
20050426,18.696,19.023,18.696,19.023,677,0
20050428,19.023,19.023,18.646,18.646,7477,0
20050429,18.646,18.814,18.646,18.814,5144,0
20050502,18.915,18.915,18.646,18.714,957,0
20050503,18.714,18.714,18.714,18.714,238,0
20050504,18.915,18.915,18.714,18.714,2033,0
20050505,18.646,18.888,18.487,18.571,30978,0
20050506,18.814,18.814,18.738,18.738,4185,0
20050509,18.605,18.605,18.353,18.605,18014,0
20050510,18.47,18.47,18.47,18.47,238,0
20050512,18.47,18.47,18.47,18.47,238,0
20050513,19.65,19.65,18.915,19.416,21275,0
20050516,19.039,19.399,18.814,19.023,11004,0
20050517,19.089,19.331,19.082,19.331,3854,0
20050518,19.298,19.65,19.298,19.457,4171,0
20050519,19.331,19.331,19.331,19.331,4783,0
20050520,19.65,19.767,19.524,19.767,2393,0
20050523,19.918,19.918,19.348,19.381,3647,0
20050524,19.557,19.925,19.507,19.507,4126,0
20050525,19.65,19.767,19.549,19.65,6160,0
20050526,20.042,20.042,19.65,19.86,9514,0
20050527,19.86,19.86,19.86,19.86,2291,0
20050531,19.65,19.751,19.248,19.751,1435,0
20050601,20.033,20.276,19.214,20.276,4306,0
20050602,19.86,20.386,19.86,20.386,11242,0
20050603,20.067,20.293,19.933,19.933,5024,0
20050606,20.067,20.36,20.009,20.067,4856,0
20050607,20.067,20.352,19.86,19.968,2936,0
20050609,20.352,20.368,19.801,19.801,7529,0
20050610,19.942,19.942,19.692,19.692,2393,0
20050613,19.991,19.991,19.557,19.574,5262,0
20050614,19.692,19.783,19.557,19.557,1913,0
20050615,19.566,19.724,19.566,19.65,1675,0
20050616,19.751,19.751,19.751,19.751,238,0
20050617,19.65,19.751,19.499,19.65,5026,0
20050620,19.424,19.44,19.231,19.231,14535,0
20050621,19.44,19.44,19.056,19.056,4493,0
20050622,19.818,19.818,19.818,19.818,238,0
20050623,19.064,19.106,19.064,19.064,5262,0
20050624,19.039,19.19,18.395,18.395,37290,0
20050627,18.696,18.714,18.478,18.478,5066,0
20050628,18.605,18.814,18.528,18.528,2393,0
20050629,19.039,19.039,18.186,18.295,5221,0
20050630,18.478,18.587,18.478,18.587,4133,0
20050701,18.546,18.956,18.546,18.956,1435,0
20050705,18.496,18.738,18.496,18.621,7535,0
20050706,18.621,18.847,18.621,18.822,8138,0
20050707,18.755,18.755,18.755,18.755,238,0
20050711,18.504,18.838,18.504,18.838,1435,0
