Date,Open,High,Low,Close,Volume,OpenInt
20160307,7.14,7.14,7.14,7.14,1000,0
20160308,6.9,6.9,6.9,6.9,1000,0
20160314,6.65,6.7999,6.57,6.7999,836,0
20160315,7.49,7.5899,7.39,7.5,10733,0
20160316,7.7,8.4,7.7,8.39,13261,0
20160317,8.15,8.34,7.75,7.993,13932,0
20160318,8.0174,8.03,7.9408,7.9408,992,0
20160321,8.72,9.4,8.3501,8.75,38301,0
20160322,8.9,8.9,8.4187,8.89,31158,0
20160323,8.66,8.86,8.39,8.39,27133,0
20160324,8.4785,8.5,8.34,8.4885,2807,0
20160328,8.79,8.79,7.75,8.36,9102,0
20160329,8.15,8.18,8.15,8.16,1042,0
20160330,7.75,8.14,7.75,8.01,6871,0
20160331,7.61,8.8,7.61,8.4685,10445,0
20160401,8.04,8.4,7.24,8.1985,10300,0
20160404,8.34,8.34,8.34,8.34,1600,0
20160405,8.15,8.2999,8.1001,8.1001,971,0
20160406,8.0915,8.2,8.0915,8.16,1050,0
20160407,8.32,8.39,8.2,8.34,1700,0
20160408,8.4185,8.42,8.16,8.201,4794,0
20160411,8,8.2499,7.78,8.03,28836,0
20160412,7.89,8.03,7.65,7.8,60930,0
20160413,7.7,7.79,7.62,7.76,5019,0
20160414,7.56,7.84,7.56,7.69,29632,0
