Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.918,18.918,18.418,18.835,1145,0
20050228,18.485,18.789,18.149,18.789,14112,0
20050301,18.502,18.606,18.445,18.606,3299,0
20050302,18.002,18.659,18.002,18.659,2133,0
20050303,18.659,18.659,18.002,18.659,2649,0
20050307,18.65,18.65,17.567,18.454,16978,0
20050308,17.621,18.641,17.621,18.427,2760,0
20050309,18.469,18.614,18.469,18.614,839,0
20050310,17.803,18.624,17.786,18.469,2799,0
20050311,18.659,18.946,18.002,18.946,7552,0
20050314,18.65,19.057,18.65,18.852,8748,0
20050315,18.27,18.762,18.071,18.641,1246,0
20050316,18.297,18.469,18.297,18.346,1950,0
20050317,18.071,18.859,18.071,18.78,2747,0
20050318,19.646,19.646,18.593,18.593,9235,0
20050321,18.469,19.727,18.469,19.727,7834,0
20050322,18.835,19.709,18.816,19.37,4451,0
20050323,19.405,19.7,19.248,19.378,12553,0
20050324,19.3,19.709,19.3,19.709,7469,0
20050328,18.469,19.785,18.469,19.785,7199,0
20050329,19.499,19.856,19.499,19.499,13791,0
20050330,19.882,19.882,19.258,19.752,69167,0
20050331,19.839,19.848,19.637,19.646,6617,0
20050401,19.414,19.646,19.414,19.637,7062,0
20050404,19.483,19.646,19.448,19.588,1654,0
20050405,19.517,19.682,19.517,19.526,4958,0
20050406,19.637,19.637,19.526,19.526,891,0
20050407,19.637,19.646,19.474,19.646,3015,0
20050408,19.326,19.579,19.326,19.579,426,0
20050411,19.543,19.543,19.535,19.535,891,0
20050412,19.526,19.613,19.526,19.543,2781,0
20050413,19.526,19.526,19.526,19.526,635,0
20050414,19.571,19.571,19.562,19.571,770,0
20050415,19.483,19.646,19.483,19.646,3311,0
20050418,19.637,19.646,19.491,19.604,8159,0
20050419,19.646,19.646,19.491,19.646,3748,0
20050420,19.483,19.499,19.267,19.405,5420,0
20050421,19.44,19.44,19.258,19.396,3499,0
20050422,19.448,19.448,19.248,19.248,2867,0
20050425,19.248,19.448,19.248,19.405,11406,0
20050426,19.405,19.405,19.293,19.396,90104,0
20050427,19.448,19.448,19.3,19.31,8092,0
20050428,19.223,19.387,19.223,19.258,507,0
20050429,19.136,19.248,19.057,19.248,1974,0
20050502,19.214,19.423,19.093,19.284,4622,0
20050503,19.162,19.448,19.162,19.448,3027,0
20050504,19.448,19.571,19.423,19.571,10869,0
20050505,19.414,19.457,19.396,19.405,1018,0
20050509,19.326,19.326,19.136,19.136,6053,0
20050510,18.901,19.093,18.901,18.937,954,0
20050511,18.937,18.937,17.733,18.095,9013,0
20050512,17.723,18.158,17.723,18.071,8970,0
20050513,17.835,17.951,17.759,17.951,4793,0
20050516,17.759,18.297,17.526,17.594,6074,0
20050517,17.682,18.226,17.682,18.019,7704,0
20050518,18.071,18.071,17.759,18.054,3429,0
20050519,17.682,17.854,17.369,17.854,4117,0
20050520,17.535,17.682,17.3,17.682,2589,0
20050523,17.282,17.723,17.282,17.594,5124,0
20050524,17.751,17.871,17.239,17.343,17534,0
20050525,17.369,17.603,17.369,17.56,2098,0
20050526,17.526,17.56,17.282,17.369,7059,0
20050527,17.127,17.594,17.127,17.594,7776,0
20050531,17.621,17.965,17.526,17.751,15597,0
20050601,18.14,18.226,17.871,17.871,4674,0
20050602,17.594,18.071,17.526,17.957,3524,0
20050603,18.095,18.104,17.535,17.957,1782,0
20050606,17.915,17.915,17.612,17.767,659,0
20050607,18.149,18.149,17.326,17.957,25362,0
20050608,17.69,18.071,17.682,18.019,18492,0
20050609,17.759,18.071,17.759,18.071,1782,0
20050610,18.071,18.071,17.698,18.045,5382,0
20050613,17.698,18.071,17.698,17.993,1183,0
20050614,17.759,18.445,17.759,18.445,14115,0
20050615,18.27,18.305,17.871,18.305,4836,0
20050616,18.028,18.469,18.028,18.071,1528,0
20050617,17.915,18.104,17.915,18.104,1654,0
20050620,17.898,18.27,17.898,18.071,3013,0
20050621,17.795,18.045,17.759,17.871,3629,0
20050622,17.682,17.835,17.585,17.664,9467,0
20050623,17.621,17.682,17.369,17.638,4074,0
20050624,17.308,17.404,17.127,17.369,3222,0
20050627,17.091,17.742,17.091,17.742,1707,0
20050628,18.071,18.071,18.063,18.063,258,0
20050629,17.543,17.915,17.543,17.845,1610,0
20050630,18.192,18.454,17.957,18.454,1963,0
20050701,18.502,18.859,18.373,18.859,2517,0
20050705,18.885,18.885,18.885,18.885,131,0
20050706,18.859,18.946,18.859,18.946,1246,0
20050707,18.113,18.937,18.113,18.937,379,0
20050708,18.78,18.844,18.346,18.408,3552,0
20050711,18.226,18.382,18.226,18.373,11674,0
20050712,18.469,18.859,18.469,18.859,3054,0
20050713,18.859,19.145,18.816,18.894,6617,0
20050714,18.78,18.937,18.78,18.927,1000,0
20050715,18.226,19.248,18.226,18.998,1276,0
20050718,18.234,19.205,18.234,19.136,2151,0
20050719,19.136,19.136,19.136,19.136,131,0
20050720,19.032,19.032,19.032,19.032,891,0
20050721,18.859,19.006,18.859,19.006,970,0
20050722,18.868,18.868,18.868,18.868,258,0
20050725,19.18,19.18,19.18,19.18,379,0
20050726,19.187,19.214,19.057,19.214,3565,0
20050727,19.214,19.214,19.171,19.171,379,0
20050728,19.248,19.293,19.171,19.284,1872,0
20050729,19.423,19.423,18.989,19.387,1147,0
20050801,19.171,19.646,18.982,19.284,2229,0
20050802,19.44,19.571,18.989,19.171,1359,0
20050803,18.946,18.964,18.946,18.946,700,0
20050804,18.937,18.937,18.901,18.901,379,0
20050805,18.894,19.517,18.894,19.517,1528,0
20050808,19.248,19.248,19.248,19.248,131,0
20050809,19.267,19.267,19.267,19.267,131,0
20050810,19.232,19.571,19.232,19.571,2212,0
20050811,19.343,19.499,19.196,19.37,1018,0
20050815,18.859,19.552,18.859,19.552,6391,0
20050816,19.562,19.571,19.362,19.362,3366,0
20050817,19.112,19.112,19.112,19.112,216,0
20050819,18.901,18.955,18.901,18.955,1583,0
20050822,19.015,19.015,18.937,18.937,1528,0
20050823,19.057,19.258,19.057,19.196,47683,0
20050824,19.248,19.362,19.171,19.362,2046,0
20050825,19.171,19.171,19.171,19.171,258,0
20050829,19.171,19.171,19.171,19.171,131,0
20050830,19.37,19.507,19.37,19.507,1910,0
20050831,19.284,19.727,19.284,19.727,3946,0
20050901,19.414,19.673,19.378,19.378,2307,0
20050902,19.604,19.604,19.604,19.604,1273,0
20050907,19.275,19.457,19.275,19.457,2037,0
20050908,19.18,19.37,19.171,19.37,21385,0
20050909,19.248,19.507,19.171,19.405,5568,0
20050912,19.448,19.448,19.405,19.405,1665,0
20050913,19.526,19.526,19.405,19.405,2292,0
20050914,19.37,19.595,19.248,19.571,7983,0
20050915,19.448,19.448,19.448,19.448,2544,0
20050916,19.258,19.258,19.258,19.258,258,0
20050919,19.267,19.267,19.214,19.214,1614,0
20050920,19.248,19.552,19.171,19.552,6020,0
20050921,19.37,19.37,19.37,19.37,131,0
20050922,19.405,19.405,19.18,19.378,1145,0
20050923,19.483,19.571,19.483,19.571,379,0
20050926,19.362,19.362,19.293,19.293,3163,0
20050927,19.362,19.362,19.362,19.362,303,0
20050928,19.171,19.526,19.171,19.526,1921,0
20050929,19.457,19.571,19.214,19.571,3185,0
20050930,19.448,19.727,19.448,19.673,43956,0
20051003,19.691,20.037,19.682,20.037,21694,0
20051004,19.196,20.037,19.196,20.037,3563,0
20051005,19.882,20.037,19.727,19.915,5670,0
20051006,19.839,19.882,19.646,19.727,28807,0
20051007,19.646,19.767,19.63,19.664,30672,0
20051010,19.673,19.673,19.483,19.499,14322,0
20051011,19.405,19.405,19.352,19.352,444,0
20051012,19.214,19.214,19.214,19.214,2927,0
20051013,19.171,19.18,19.171,19.18,12906,0
20051017,19.18,19.343,19.18,19.293,771,0
20051018,19.448,19.448,19.37,19.37,635,0
20051020,19.378,19.378,19.37,19.37,2110,0
20051021,19.37,19.483,19.37,19.483,635,0
20051024,19.89,19.89,19.89,19.89,764,0
20051025,19.759,19.759,19.448,19.448,507,0
20051026,19.526,19.526,19.526,19.526,351,0
20051027,19.378,19.63,19.378,19.63,2735,0
20051028,19.646,19.727,19.103,19.432,9811,0
20051031,19.423,19.423,19.103,19.405,11404,0
20051101,19.37,19.37,18.989,19.31,11711,0
20051103,19.396,19.448,19.057,19.319,18322,0
20051104,19.248,19.326,19.248,19.326,635,0
20051107,19.326,19.396,19.232,19.232,5727,0
20051108,19.18,19.205,19.103,19.205,71683,0
20051109,19.232,19.232,19.18,19.18,764,0
20051110,19.112,19.214,18.946,18.946,6720,0
20051111,18.859,18.955,18.771,18.859,2428,0
20051114,18.704,18.704,18.704,18.704,1864,0
20051115,18.606,18.606,18.149,18.469,6492,0
20051116,18.427,18.427,18.27,18.297,10385,0
20051117,18.305,18.305,18.27,18.27,28784,0
20051118,18.27,18.556,18.27,18.556,53665,0
20051121,18.624,18.624,18.27,18.339,3794,0
20051122,18.633,18.65,18.548,18.548,2183,0
20051123,18.771,19.084,18.659,18.668,6936,0
20051125,18.78,19.743,18.78,19.63,5727,0
20051128,19.646,19.682,19.483,19.483,3049,0
20051129,19.448,19.448,18.964,18.964,9565,0
20051130,19.093,19.093,18.894,18.894,1382,0
20051201,18.704,18.894,18.606,18.753,4358,0
20051202,18.798,19.015,18.722,19.015,17941,0
20051205,19.015,19.057,18.885,19.057,2663,0
20051206,19.093,19.093,18.91,19.084,3116,0
20051207,19.171,19.171,18.946,19.093,17689,0
20051208,18.91,19.057,18.807,18.859,14770,0
20051209,18.73,18.73,18.73,18.73,319,0
20051212,19.057,19.057,18.894,18.955,1706,0
20051213,18.78,19.032,18.78,19.032,2932,0
20051214,18.868,19.015,18.859,18.937,8143,0
20051215,18.91,18.91,18.91,18.91,131,0
20051216,18.927,18.927,18.659,18.659,1586,0
20051219,18.633,18.659,18.382,18.606,5160,0
20051220,18.469,18.659,18.113,18.469,7012,0
20051221,18.502,18.502,18.261,18.365,3902,0
20051222,18.288,18.659,18.288,18.469,7399,0
20051223,18.279,18.565,18.279,18.539,8246,0
20051227,18.305,18.485,18.279,18.485,1782,0
20051228,18.584,18.584,18.226,18.436,6153,0
20051229,18.201,18.469,18.192,18.462,1400,0
20051230,18.201,18.469,18.201,18.427,1020,0
20060103,18.852,18.852,18.149,18.27,3186,0
20060104,18.192,18.226,18.149,18.226,2193,0
20060105,18.113,18.21,17.993,17.993,5808,0
20060106,18.095,18.095,17.993,17.993,1018,0
20060109,17.993,18.243,17.759,17.942,10633,0
20060110,17.951,18.27,17.82,18.27,4762,0
20060111,18.427,18.614,17.714,18.243,6795,0
20060112,18.614,19.048,18.469,18.816,10862,0
20060113,18.807,18.807,18.722,18.722,540,0
20060117,18.633,18.633,18.382,18.427,4622,0
20060118,18.323,18.323,18.071,18.226,6738,0
20060119,17.845,18.859,17.835,18.028,10774,0
20060120,17.835,18.469,17.638,18.183,3480,0
20060123,18.315,18.315,17.56,18.113,5506,0
20060124,18.045,18.08,18.037,18.037,891,0
20060125,17.723,18.158,17.723,17.933,2613,0
20060126,18.297,18.346,17.993,18.071,2133,0
