Date,Open,High,Low,Close,Volume,OpenInt
19951121,1.0189,1.2548,1.0189,1.2075,54496340,0
19951122,1.2075,1.519,1.1981,1.4718,12636612,0
19951124,1.4718,1.6039,1.4718,1.5943,2564294,0
19951127,1.6793,1.7077,1.4433,1.4907,7123041,0
19951128,1.4907,1.519,1.4718,1.4999,3658189,0
19951129,1.4718,1.7077,1.4718,1.6981,3846442,0
19951130,1.6981,1.8681,1.6698,1.7831,8749468,0
19951201,1.8114,1.8586,1.7549,1.7737,2772898,0
19951204,1.7737,2.2737,1.7737,2.2076,6319155,0
19951205,2.2076,2.2452,2.0756,2.0849,3081563,0
19951206,2.1038,2.1416,1.9623,1.9717,3663278,0
19951207,1.9717,1.9717,1.8681,1.8681,2825472,0
19951208,1.8681,2.1416,1.8681,2.0756,3285078,0
19951211,2.0944,2.1038,2.0472,2.1038,598675,0
19951212,2.1228,2.2264,2.0472,2.1699,2211533,0
19951213,2.2076,2.2076,2.1509,2.1793,1600988,0
19951214,2.1699,2.1981,2.1699,2.1699,708914,0
19951215,2.1699,2.2076,2.1038,2.1038,2793249,0
19951218,2.1228,2.1699,1.8586,1.9057,1321155,0
19951219,1.8398,1.9433,1.8018,1.9152,4841970,0
19951220,1.9717,2.0378,1.8868,2,2411657,0
19951221,2.0378,2.0472,1.9717,1.9906,340887,0
19951222,1.9433,2.0661,1.9433,2,1757016,0
19951226,2,2.1509,1.9906,2.1416,2423532,0
19951227,2.1509,2.2264,2.0756,2.1981,2791554,0
19951228,2.1699,2.3587,2.1699,2.3115,2723715,0
19951229,2.3397,2.4622,2.3115,2.368,2035155,0
19960102,2.3587,2.3587,2.2452,2.2452,2006322,0
19960103,2.2452,2.2737,1.9717,2,3536079,0
19960104,2.019,2.019,1.5943,1.7737,6403951,0
19960105,1.7831,1.9433,1.7077,1.8301,3469939,0
19960108,1.8586,1.8868,1.8398,1.8398,176379,0
19960109,1.8868,1.8868,1.5661,1.5943,2650789,0
19960110,1.519,1.6227,1.4907,1.5282,3196887,0
19960111,1.6698,1.7831,1.6321,1.6981,3873578,0
19960112,1.7737,1.7737,1.5943,1.6511,841197,0
19960115,1.6511,1.6698,1.5472,1.6039,708914,0
19960116,1.5755,1.5943,1.3397,1.5943,4168674,0
19960117,1.4999,1.5943,1.4907,1.5755,1638301,0
19960118,1.5282,1.5943,1.5282,1.5943,3371570,0
19960119,1.5849,1.8114,1.5472,1.7265,5115021,0
19960122,1.7737,1.8301,1.7265,1.7737,2028370,0
19960123,1.7549,1.8114,1.7549,1.7924,1193957,0
19960124,1.8018,1.9433,1.7831,1.8868,1343202,0
19960125,1.9341,2.0472,1.8868,1.9906,2864478,0
19960126,1.9717,2.0661,1.9433,2.0283,1041322,0
19960129,2.019,2.0661,1.9906,2,992136,0
19960130,1.9623,2,1.7737,1.8868,3724333,0
19960131,1.8586,1.9623,1.8114,1.8114,1197350,0
19960201,1.8398,1.9152,1.8114,1.8586,909035,0
19960202,1.9152,1.9152,1.8114,1.8398,1969011,0
19960205,1.8301,1.9057,1.8114,1.9057,1022664,0
19960206,1.9057,2.0756,1.8681,1.9623,2632131,0
19960207,2,2.0661,1.9341,2,3313911,0
19960208,2.0756,2.1981,2.0378,2.1416,3059515,0
19960209,2.1416,2.2548,2.1038,2.1038,2050416,0
19960212,2.1321,2.1321,1.9433,2.0756,2235277,0
19960213,2.019,2.2264,1.9717,2.1228,2571079,0
19960214,2.1509,2.2452,2.1228,2.2359,2559207,0
19960215,2.2359,2.3774,2.1981,2.2832,4397630,0
19960216,2.3869,2.4339,2.0756,2.1038,4355229,0
19960220,2.0944,2.1416,2.0472,2.0472,1539933,0
19960221,2.0661,2.1228,2.0472,2.1228,1346592,0
19960222,2.1228,2.2264,2.1038,2.2076,2818688,0
19960223,2.1793,2.2264,2.0378,2.0944,2727107,0
19960226,2.0378,2.0378,1.9717,2,3247768,0
19960227,2.0283,2.0283,1.9341,1.9623,2323467,0
19960228,1.9433,2,1.9433,1.9623,808974,0
19960229,1.9623,2.0096,1.8018,1.8681,2599909,0
19960301,1.9057,1.9057,1.8114,1.8301,483349,0
19960304,1.8681,1.8681,1.8114,1.8681,295098,0
