Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.655,9.768,9.544,9.721,2332367,0
20050228,9.693,9.934,9.645,9.831,2528694,0
20050301,9.879,10.409,9.831,10.26,12367423,0
20050302,10.138,10.649,10.138,10.567,6461224,0
20050303,10.511,10.911,10.446,10.725,4526829,0
20050304,10.753,10.753,10.454,10.649,4294253,0
20050307,10.649,10.911,10.596,10.753,2806687,0
20050308,10.791,11.163,10.725,10.882,3425009,0
20050309,10.782,10.996,10.463,10.491,3907009,0
20050310,10.463,10.669,10.055,10.558,4942477,0
20050311,10.354,10.707,10.354,10.52,2119540,0
20050314,10.52,10.52,10.269,10.418,2113220,0
20050315,10.279,10.707,10.269,10.418,2633833,0
20050316,10.436,10.669,10.307,10.52,2595455,0
20050317,10.52,10.623,10.436,10.511,3121577,0
20050318,10.472,10.606,10.472,10.548,3411006,0
20050321,10.606,10.743,10.4,10.511,3724490,0
20050322,10.491,10.688,10.482,10.558,3168606,0
20050323,10.511,10.929,10.511,10.567,2679650,0
20050324,10.567,10.743,10.558,10.586,2348024,0
20050328,10.586,11.041,10.586,10.892,2710507,0
20050329,10.929,11.014,10.743,10.911,3263175,0
20050330,10.929,11.228,10.892,11.124,3201569,0
20050331,11.124,11.385,11.087,11.211,3495781,0
20050401,11.423,11.423,10.948,11.014,5500565,0
20050404,10.958,11.366,10.872,11.284,3270030,0
20050405,11.328,11.375,11.191,11.237,1905302,0
20050406,11.319,11.545,11.237,11.451,4701361,0
20050407,11.404,11.645,11.404,11.48,3917019,0
20050408,11.451,11.616,11.347,11.356,2750758,0
20050411,11.356,11.597,11.275,11.525,3099166,0
20050412,11.48,11.645,11.442,11.581,3177306,0
20050413,11.59,11.915,11.581,11.796,5095066,0
20050414,11.86,11.98,11.59,11.645,4998712,0
20050415,11.626,11.702,11.545,11.626,2468594,0
20050418,11.535,12.028,11.535,11.616,3528825,0
20050419,11.673,11.98,11.564,11.915,3784898,0
20050420,12.092,12.092,11.796,11.86,2496137,0
20050421,11.896,12.399,11.749,12.354,3704884,0
20050422,12.326,12.539,12.13,12.326,2465752,0
20050425,12.465,12.465,12.019,12.13,3127672,0
20050426,11.739,11.999,11.46,11.655,7245567,0
20050427,11.98,11.999,11.134,11.545,9136250,0
20050428,11.525,12.066,11.394,11.59,4433567,0
20050429,11.655,11.72,11.489,11.489,1985188,0
20050502,11.489,11.636,11.366,11.499,2712152,0
20050503,11.499,11.833,11.442,11.636,2567473,0
20050504,11.711,11.841,11.581,11.645,2194199,0
20050505,11.739,11.86,11.59,11.739,1543094,0
20050506,11.663,11.86,11.626,11.72,1819973,0
20050509,11.636,11.787,11.616,11.711,1987112,0
20050510,11.636,11.702,11.516,11.572,2595668,0
20050511,11.636,11.805,11.525,11.655,3011631,0
20050512,11.507,11.682,11.507,11.564,1461556,0
20050513,11.545,11.616,11.284,11.309,4306175,0
20050516,11.284,11.394,11.237,11.347,2688919,0
20050517,11.309,11.338,11.134,11.246,2582666,0
20050518,11.201,11.442,11.191,11.394,2669659,0
20050519,11.394,11.645,11.366,11.59,2490383,0
20050520,11.626,11.655,11.535,11.616,1981127,0
20050523,11.739,12.147,11.692,12.028,3658097,0
20050524,11.99,12.203,11.86,12.019,3090928,0
20050525,11.739,11.925,11.692,11.823,2867930,0
20050526,11.758,12.019,11.663,11.815,1305105,0
20050527,11.739,12.184,11.739,11.915,1781167,0
20050531,11.98,12.083,11.758,12.009,973552,0
20050601,12.009,12.408,11.915,12.13,3344689,0
20050602,12.147,12.399,12.066,12.317,1587025,0
20050603,12.344,13.023,12.222,12.995,6750623,0
20050606,12.939,13.517,12.725,13.171,6899929,0
20050607,13.209,13.423,12.883,12.968,4192000,0
20050608,12.864,13.171,12.79,12.835,3373898,0
20050609,12.826,12.912,12.613,12.845,3532039,0
20050610,12.835,12.873,12.715,12.817,2119906,0
20050613,12.808,13.489,12.799,13.32,3901925,0
20050614,13.228,13.375,12.959,13.032,2743405,0
20050615,13.059,13.181,12.873,13.023,1157407,0
20050616,13.042,13.999,13.005,13.692,7436172,0
20050617,13.851,14.092,13.385,13.498,5279791,0
20050620,13.498,13.636,13.283,13.433,3271963,0
20050621,13.46,14.138,13.375,13.886,4430836,0
20050622,13.74,14.241,13.598,14.195,5124011,0
20050623,14.167,14.325,13.692,13.823,2449354,0
20050624,13.814,13.915,13.451,13.589,2235203,0
20050627,13.451,13.589,13.059,13.19,3607401,0
20050628,13.228,13.489,13.209,13.479,3418923,0
20050629,13.404,13.489,13.34,13.347,1750688,0
20050630,13.301,13.385,13.219,13.283,1752252,0
20050701,13.311,13.356,13.152,13.274,1137410,0
20050705,13.228,13.228,12.883,12.959,3618531,0
20050706,12.883,13.078,12.808,12.985,3571649,0
20050707,12.93,13.479,12.883,13.059,3187282,0
20050708,13.152,13.404,12.985,13.311,1751016,0
20050711,13.375,13.896,13.255,13.842,3335984,0
20050712,13.833,14.157,13.749,13.943,3735442,0
20050713,13.952,13.99,13.692,13.777,1836730,0
20050714,13.787,13.833,13.46,13.498,3915900,0
20050715,13.489,13.57,13.069,13.106,2528492,0
20050718,13.078,13.171,12.743,12.753,3738259,0
20050719,12.845,12.976,12.743,12.845,2404035,0
20050720,12.651,12.883,12.445,12.735,2250863,0
20050721,12.826,13.433,12.826,13.19,3927476,0
20050722,13.219,13.311,13.069,13.274,1120946,0
20050725,13.264,13.598,13.237,13.47,2135295,0
20050726,13.489,13.58,13.078,13.293,2099800,0
20050727,13.311,13.545,13.124,13.441,1790916,0
20050728,13.404,13.952,13.283,13.654,2129408,0
20050729,13.654,13.777,13.535,13.682,1227843,0
20050801,13.645,14.185,13.627,14.065,2916892,0
20050802,14.065,14.065,13.833,13.886,4361163,0
20050803,17.207,17.413,16.438,16.867,34551096,0
20050804,16.975,17.647,16.828,17.06,8378364,0
20050805,17.161,18.92,16.847,17.637,12048594,0
20050808,17.908,18.221,17.097,17.154,7642766,0
20050809,17.207,17.413,16.875,17.05,4843934,0
20050810,17.042,17.179,16.867,17.023,3561157,0
20050811,17.097,18.027,16.911,17.6,4544160,0
20050812,17.458,18.24,17.441,17.989,10239507,0
20050815,17.998,18.326,17.738,17.952,4276672,0
20050816,18.14,18.372,17.405,17.6,4740710,0
20050817,17.581,17.719,17.338,17.449,2160813,0
20050818,17.423,17.441,17.097,17.125,2771811,0
20050819,16.838,17.189,16.446,16.79,3610764,0
20050822,16.52,17.107,16.51,17.023,2231149,0
20050823,16.867,17.023,16.575,16.771,1937185,0
20050824,16.557,16.809,16.305,16.595,4562956,0
20050825,16.613,16.875,16.51,16.595,1742578,0
20050826,16.51,16.956,16.362,16.603,1962457,0
20050829,16.52,16.883,16.473,16.687,1550762,0
20050830,16.66,16.928,16.557,16.838,1750863,0
20050831,16.928,17.179,16.761,16.901,3622306,0
20050901,17.013,17.069,16.838,16.911,1382051,0
20050902,16.819,16.984,16.743,16.799,661350,0
20050906,16.697,17.079,16.687,16.883,1228274,0
20050907,16.857,17.803,16.753,17.629,6618865,0
20050908,17.357,17.719,17.207,17.6,3072815,0
20050909,17.506,17.998,17.506,17.87,4256172,0
20050912,18.25,19.709,18.221,19.477,14642494,0
20050913,19.253,20.138,19.069,19.776,9128354,0
20050914,19.263,19.988,19.243,19.534,7113920,0
20050915,19.514,19.609,19.272,19.33,3379993,0
20050916,19.468,19.709,19.253,19.553,3230220,0
20050919,19.699,19.852,19.217,19.665,4346409,0
20050920,19.543,20.362,18.008,18.168,9778998,0
20050921,18.168,19.413,18.14,19.172,9142960,0
20050922,19.301,19.628,19.134,19.272,3734752,0
20050923,19.423,19.423,19.069,19.243,1083374,0
20050926,19.349,21.403,17.738,21.339,10696707,0
20050927,21.339,22.324,20.362,20.456,16607837,0
20050928,20.529,20.817,20.176,20.315,4861289,0
20050929,20.464,21.506,20.204,21.33,7435456,0
20050930,21.525,21.711,20.92,20.929,3543332,0
20051003,20.827,21.302,20.77,20.855,2816564,0
20051004,21.069,21.814,20.994,21.321,5155885,0
20051005,21.496,22.204,20.743,20.761,8896163,0
20051006,20.761,20.873,18.911,19.543,9402644,0
20051007,19.655,20.11,19.107,19.386,4281489,0
20051010,19.496,19.988,19.243,19.766,4087259,0
20051011,19.766,19.852,18.66,18.883,6131552,0
20051012,19.06,19.162,18.027,18.549,7517213,0
20051013,18.549,18.65,17.534,18.316,5887628,0
20051014,18.8,18.902,18.063,18.473,4497021,0
20051017,18.567,19.107,18.326,18.64,3849587,0
20051018,18.586,18.66,17.803,17.908,3002871,0
20051019,17.701,18.492,17.6,18.231,4465165,0
20051020,18.25,18.25,16.975,17.107,6722263,0
20051021,17.629,17.831,17.284,17.693,5127416,0
20051024,18.055,19.217,17.683,19.162,7413513,0
20051025,18.725,19.449,18.725,18.929,4522758,0
20051026,19.022,19.766,18.399,18.482,5768925,0
20051027,18.259,18.372,17.619,17.831,4147937,0
20051028,17.87,18.259,17.803,18.045,2882191,0
20051031,18.297,18.335,17.534,17.738,3823209,0
20051101,17.665,19.496,17.629,19.263,10271479,0
20051102,19.225,19.988,19.031,19.358,6151985,0
20051103,19.368,19.979,19.358,19.562,5395523,0
20051104,19.524,19.87,18.835,18.902,5378413,0
20051107,19.107,19.757,18.212,18.426,20279621,0
20051108,14.511,14.826,14.148,14.39,48608903,0
20051109,14.418,14.604,13.896,13.97,12441320,0
20051110,13.915,14.622,13.905,14.371,7359174,0
20051111,14.529,14.846,14.418,14.484,4855096,0
20051114,14.436,14.649,14.195,14.287,2704768,0
20051115,14.278,14.306,13.293,13.32,8081610,0
20051116,13.507,13.833,13.356,13.645,5107395,0
20051117,13.833,14.278,13.805,14.083,5273209,0
20051118,14.075,14.176,13.952,13.98,2567507,0
20051121,14.157,14.371,13.952,14.138,3823411,0
20051122,14.092,14.214,13.98,14.083,2630167,0
20051123,14.075,14.408,14.046,14.129,2734758,0
20051125,14.306,14.408,14.185,14.185,1365322,0
20051128,14.083,14.083,13.069,13.636,10151074,0
20051129,13.721,13.759,13.255,13.347,6004336,0
20051130,13.34,13.347,12.826,13.247,8019361,0
20051201,13.375,13.777,13.34,13.498,3384134,0
20051202,13.517,13.814,13.517,13.73,3073098,0
20051205,13.627,13.654,13.255,13.311,2682327,0
20051206,13.34,13.507,13.078,13.209,2493256,0
20051207,13.2,13.311,12.985,13.247,2000961,0
20051208,13.517,13.57,13.274,13.404,2897967,0
20051209,13.404,13.673,13.347,13.47,1999920,0
20051212,13.47,13.663,13.451,13.479,2274403,0
20051213,13.545,13.545,13.133,13.32,2454015,0
20051214,13.274,13.301,13.115,13.255,1525046,0
20051215,13.255,13.255,13.059,13.115,2122130,0
20051216,13.142,13.598,13.059,13.356,2484315,0
20051219,13.498,13.768,13.375,13.413,3757604,0
20051220,13.404,13.545,13.264,13.385,1351918,0
20051221,13.441,13.535,13.32,13.385,901358,0
20051222,13.517,13.673,13.433,13.498,1109603,0
20051223,13.598,13.598,13.32,13.394,820468,0
20051227,13.356,13.545,13.347,13.498,2803327,0
20051228,13.58,13.58,13.283,13.311,2023115,0
20051229,13.301,13.311,13.023,13.209,1674023,0
20051230,13.133,13.293,13.013,13.059,1496065,0
20060103,13.181,13.608,13.088,13.152,3492904,0
20060104,13.152,13.617,13.152,13.517,4122260,0
20060105,13.57,13.654,13.274,13.293,2270384,0
20060106,13.365,13.952,13.365,13.692,4736146,0
20060109,13.74,15.766,13.721,15.582,13172052,0
20060110,15.534,16.157,15.236,16.13,8718995,0
20060111,16.175,16.456,15.609,15.683,6809627,0
20060112,15.963,16.13,15.236,15.359,4125769,0
20060113,15.349,15.674,15.254,15.469,2783400,0
20060117,15.487,16.324,15.403,15.972,5458560,0
20060118,15.628,16.009,15.599,15.905,3730809,0
20060119,16.092,16.687,16.045,16.139,4732471,0
20060120,16.139,16.391,15.812,15.905,2983767,0
20060123,16.036,16.045,15.646,15.896,3923413,0
20060124,15.86,16.381,15.59,15.944,3011261,0
20060125,16.036,16.678,15.953,16.157,3205666,0
20060126,16.372,16.446,16.045,16.185,1759374,0
20060127,16.324,16.706,16.185,16.418,2639094,0
20060130,16.538,16.838,16.428,16.613,2442220,0
20060131,16.66,16.956,16.333,16.603,2758469,0
20060201,16.391,17.294,16.231,17.135,4311546,0
20060202,16.975,17.432,16.724,16.956,2605167,0
20060203,17.023,17.023,16.296,16.473,3090988,0
20060206,16.473,16.937,16.473,16.799,2019616,0
20060207,16.911,17.217,16.715,16.771,2520355,0
20060208,16.761,16.79,16.428,16.632,1716000,0
20060209,16.715,16.809,16.567,16.743,1841319,0
20060210,16.687,16.857,16.538,16.78,2209118,0
20060213,16.753,16.753,16.333,16.613,1687683,0
20060214,16.687,16.687,16.381,16.409,1404413,0
20060215,16.51,16.678,16.352,16.491,1542985,0
20060216,16.446,16.557,16.391,16.473,1470790,0
20060217,16.529,17.013,16.399,16.761,1783842,0
20060221,16.994,17.719,16.668,17.423,4192642,0
20060222,17.675,17.943,16.928,16.947,5597118,0
20060223,17.013,17.747,16.761,17.561,13058611,0
20060224,19.776,20.324,19.477,20.017,24616793,0
20060227,20.017,21.198,19.952,20.623,6730873,0
20060228,20.408,20.556,19.944,20.362,4718074,0
20060301,20.055,20.958,20.055,20.604,3186844,0
20060302,20.474,20.855,20.464,20.464,2020584,0
20060303,20.38,20.398,19.998,20.083,2402624,0
20060306,19.998,20.277,19.655,19.699,2570161,0
20060307,19.572,19.87,19.162,19.6,3189184,0
20060308,19.162,20.064,19.162,19.944,3442076,0
20060309,19.665,20.046,19.572,19.86,1910889,0
20060310,19.638,20.232,19.6,19.952,2145759,0
20060313,19.86,20.398,19.842,20.027,3247296,0
20060314,19.935,20.343,19.935,20.334,2756318,0
20060315,20.417,21.757,20.38,21.711,7210465,0
20060316,21.711,21.943,20.994,21.132,3138270,0
20060317,20.984,21.161,20.623,20.929,2900402,0
20060320,21.348,22.735,21.302,22.371,7279525,0
20060321,22.232,22.428,21.245,21.506,4821537,0
20060322,21.283,21.673,21.069,21.46,2559749,0
20060323,21.385,21.645,21.189,21.339,1432420,0
20060324,21.366,21.441,20.761,20.929,3148293,0
20060327,21.041,21.859,20.939,21.58,4807221,0
20060328,21.859,22.12,21.198,21.525,1833100,0
20060329,21.924,22.79,21.421,22.268,2801323,0
20060330,22.949,23.255,22.51,23.067,2894505,0
20060331,23.712,23.712,22.333,22.826,3672882,0
20060403,23.004,23.487,22.51,22.817,1925694,0
20060404,23.171,23.209,21.747,22.017,2240721,0
20060405,22.14,22.14,21.302,21.58,2287105,0
20060406,21.924,21.999,21.311,21.413,1597007,0
20060407,21.795,21.859,21.022,21.245,1500564,0
20060410,21.645,21.702,21.208,21.59,1868034,0
20060411,21.543,21.887,20.975,21.571,3237167,0
20060412,21.814,22.158,21.571,21.905,1876416,0
20060413,21.943,22.232,21.814,21.953,1266084,0
20060417,22.064,22.277,21.255,21.376,1420610,0
20060418,21.543,21.766,21.385,21.58,1197432,0
20060419,21.934,21.943,21.208,21.421,1394967,0
20060420,21.394,21.625,21.114,21.189,996835,0
20060421,21.189,21.394,20.949,21.032,1163580,0
20060424,21.022,21.766,20.492,21.394,2412444,0
20060425,21.757,21.804,21.022,21.273,969438,0
20060426,21.543,21.617,20.939,21.179,773636,0
20060427,21.394,21.394,19.403,20.064,4433707,0
20060428,19.906,20.297,19.906,20.166,950874,0
20060501,20.427,20.464,19.699,19.906,1003191,0
20060502,19.998,20.1,19.243,19.699,1989778,0
20060503,19.6,19.896,19.403,19.681,723189,0
20060504,19.757,20.398,19.691,20.223,1352753,0
20060505,20.604,20.743,20.093,20.474,1164529,0
20060508,20.761,20.798,20.277,20.502,849420,0
20060509,20.604,20.697,20.52,20.651,805161,0
20060510,20.929,21.189,19.699,20.007,2064658,0
20060511,20.259,20.464,19.609,19.795,1218019,0
20060512,19.543,19.979,18.883,19.832,2329505,0
20060515,19.925,20.67,19.925,20.492,2875222,0
20060516,20.817,22.083,20.575,21.394,7214740,0
20060517,21.785,22.017,19.785,20.277,9195729,0
20060518,20.483,20.697,19.619,19.813,4649651,0
20060519,19.86,20.064,19.628,19.832,2593782,0
20060522,19.813,19.813,18.929,19.154,4235123,0
20060523,19.05,19.628,18.844,19.154,3417471,0
20060524,19.097,20.297,19.097,20.036,7595565,0
20060525,19.925,20.594,19.813,20.398,1707130,0
20060526,19.96,20.67,19.96,20.306,977961,0
20060530,20.046,20.213,19.487,19.6,2505374,0
20060531,19.441,19.671,18.835,19.022,2313897,0
20060601,19.349,19.449,19.041,19.19,2438335,0
20060602,19.534,20.055,19.339,19.477,2968129,0
20060605,19.449,19.562,19.144,19.19,955529,0
20060606,19.154,19.804,19.079,19.441,1319536,0
20060607,19.506,19.747,19.162,19.311,1032150,0
20060608,19.225,19.413,18.418,18.995,2129737,0
20060609,19.172,19.534,18.966,19.253,1223771,0
20060612,18.92,19.291,18.567,18.622,1200582,0
20060613,18.372,18.734,18.055,18.409,1620759,0
20060614,18.159,18.818,18.149,18.613,918006,0
20060615,18.792,19.097,18.613,18.844,1067573,0
20060616,18.883,18.92,18.603,18.613,767060,0
20060619,18.706,18.835,18.502,18.65,886316,0
20060620,18.792,19.013,18.576,18.892,797951,0
20060621,19.208,20.277,18.975,19.832,2232171,0
20060622,19.766,19.979,19.59,19.86,644296,0
20060623,19.979,20.688,19.647,20.483,1052524,0
20060626,20.751,21.198,20.556,20.836,1229434,0
20060627,20.994,20.994,19.795,20.036,1680816,0
20060628,20.483,20.52,19.86,20.371,1088352,0
20060629,20.371,21.236,20.277,20.994,1950929,0
20060630,21.022,21.292,20.697,20.77,932422,0
20060703,21.032,21.394,20.836,21.114,725405,0
20060705,21.161,21.179,20.761,21.088,1107428,0
20060706,21.079,21.487,20.975,21.245,1787132,0
20060707,21.245,21.283,20.492,20.789,1024834,0
