Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.68,20.423,19.68,20.246,22765,0
20050228,20.219,20.228,19.825,19.825,24008,0
20050301,20.031,20.39,19.971,20.381,57940,0
20050302,20.167,20.381,20.04,20.253,27720,0
20050303,20.465,20.465,20.269,20.39,10763,0
20050304,20.465,20.465,20.183,20.356,37610,0
20050307,20.064,20.431,20.064,20.287,11837,0
20050308,20.447,20.447,19.8,19.834,34898,0
20050309,19.825,20.356,19.792,20.134,27907,0
20050310,19.937,20.465,19.937,20.15,179058,0
20050311,20.398,20.398,19.639,19.698,25797,0
20050314,19.98,20.056,19.656,19.825,33881,0
20050315,20.183,20.347,19.689,19.742,15117,0
20050316,19.689,20.183,19.689,19.825,26706,0
20050317,19.689,19.852,19.52,19.562,19973,0
20050318,19.852,19.852,19.204,19.383,53148,0
20050321,19.477,19.733,19.204,19.707,14455,0
20050322,19.571,19.852,19.571,19.724,10746,0
20050323,19.698,19.698,19.187,19.323,27986,0
20050324,19.614,19.68,19.485,19.544,39985,0
20050328,19.357,19.971,19.357,19.834,23642,0
20050329,19.656,20.04,19.502,19.502,10885,0
20050330,19.698,19.997,19.698,19.816,9053,0
20050331,19.656,19.971,19.348,19.587,16000,0
20050401,19.776,19.861,19.229,19.452,19950,0
20050404,19.204,19.614,19.144,19.52,16138,0
20050405,19.357,19.758,19.11,19.511,32659,0
20050406,19.664,19.767,19.272,19.648,19987,0
20050407,19.571,19.825,19.443,19.698,18891,0
20050408,19.502,19.707,18.871,18.871,37157,0
20050411,18.888,19.076,18.837,18.837,10645,0
20050412,18.846,19.007,18.718,18.837,11769,0
20050413,18.726,18.743,18.487,18.487,12009,0
20050414,18.666,18.787,18.216,18.216,7873,0
20050415,18.344,19.042,17.532,17.55,16393,0
20050418,17.729,18.376,17.55,18.367,18579,0
20050419,18.463,18.463,18.035,18.327,12046,0
20050420,18.001,18.017,17.447,17.447,10749,0
20050421,17.824,18.546,17.577,18.336,17416,0
20050422,18.546,18.564,17.294,17.311,27649,0
20050425,17.583,17.642,17.413,17.49,32973,0
20050426,17.395,18.035,17.353,17.66,15822,0
20050427,17.481,18.282,17.225,17.907,23075,0
20050428,17.737,18.035,17.696,17.84,19194,0
20050429,18.163,18.207,17.696,18.207,22981,0
20050502,18.079,18.48,17.985,18.376,32005,0
20050503,18.327,18.394,18.3,18.394,14170,0
20050504,18.41,18.65,18.385,18.537,13239,0
20050505,18.504,18.837,18.463,18.803,28619,0
20050506,18.973,18.973,18.573,18.642,6878,0
20050509,18.811,18.932,18.624,18.871,43660,0
20050510,18.555,19.187,18.555,19.101,15867,0
20050511,18.828,19.06,18.463,18.726,15391,0
20050512,19.051,19.187,18.871,19.187,24287,0
20050513,19.187,19.409,18.573,18.573,24728,0
20050516,18.939,19.238,18.624,19.211,14528,0
20050517,18.973,19.452,18.924,19.357,18307,0
20050518,19.477,19.707,19.443,19.614,15563,0
20050519,19.614,19.928,19.614,19.767,11376,0
20050520,19.622,19.622,18.871,18.973,25265,0
20050523,18.846,18.898,18.455,18.522,23873,0
20050524,18.59,18.761,18.496,18.761,41199,0
20050525,18.446,18.761,18.419,18.599,20498,0
20050526,18.522,18.761,18.513,18.761,10284,0
20050527,18.761,18.819,18.555,18.615,22056,0
20050531,18.761,18.761,18.336,18.336,50165,0
20050601,18.3,18.674,18.3,18.658,20739,0
20050602,18.327,18.546,18.327,18.487,19924,0
20050603,18.336,18.504,18.257,18.463,39974,0
20050606,18.248,18.709,18.248,18.607,50760,0
20050607,18.7,18.854,18.446,18.504,21108,0
20050608,18.318,18.811,18.318,18.359,19396,0
20050609,18.273,18.939,18.257,18.879,15629,0
20050610,18.658,18.743,18.291,18.53,14083,0
20050613,18.674,19.016,18.352,18.803,34521,0
20050614,18.862,18.932,18.419,18.819,24314,0
20050615,18.581,18.803,18.41,18.803,28248,0
20050616,18.59,19.4,18.546,19.4,28408,0
20050617,19.502,19.816,19.468,19.527,74416,0
20050620,19.357,19.553,19.033,19.068,19947,0
20050621,19.016,19.051,18.573,19.016,22595,0
20050622,19.11,19.434,18.77,19.22,21433,0
20050623,19.357,19.537,18.99,19.135,21721,0
20050624,19.042,19.562,18.564,18.888,69430,0
20050627,18.522,19.527,18.427,19.281,21914,0
20050628,19.357,20.253,19.281,19.861,39749,0
20050629,19.809,20.031,19.409,19.928,19083,0
20050630,19.742,19.852,19.007,19.195,17026,0
20050701,19.211,20.04,19.211,19.776,55861,0
20050705,19.962,20.406,19.783,20.269,29326,0
20050706,20.253,20.423,20.031,20.176,15102,0
20050707,19.648,20.141,19.348,20.134,24493,0
20050708,20.116,20.447,19.689,20.447,17765,0
20050711,20.456,21.293,20.319,21.293,35740,0
20050712,21.233,21.31,20.456,21.054,30679,0
20050713,20.816,21.301,20.51,21.045,25973,0
20050714,21.148,21.242,20.492,20.688,19431,0
20050715,20.465,20.866,20.082,20.365,8656,0
20050718,20.365,20.593,20.014,20.287,11293,0
20050719,20.543,20.671,20.21,20.474,6536,0
20050720,20.031,21.071,19.937,20.908,16077,0
20050721,20.961,20.961,20.04,20.04,13340,0
20050722,20.347,20.893,20.347,20.841,5830,0
20050725,20.849,21.31,20.526,20.593,15701,0
20050726,20.884,20.944,20.518,20.688,18500,0
20050727,20.654,20.68,20.1,20.338,11826,0
