Date,Open,High,Low,Close,Volume,OpenInt
20080711,1607.1422,1607.1422,1339.2852,1339.2852,1,0
20080714,1339.2852,1607.1422,1339.2852,1607.1422,2,0
20080715,1607.1422,1607.1422,1339.2852,1607.1422,3,0
20080716,1339.2852,1607.1422,1339.2852,1607.1422,2,0
20080717,1607.1422,1607.1422,1339.2852,1607.1422,3,0
20080718,1339.2852,1607.1422,803.5711,803.5711,24,0
20080721,1028.571,1714.285,685.714,857.1425,3,0
20080722,1542.8565,1542.8565,771.4283,1028.571,4,0
20080723,1368.2137,2571.4275,1285.7138,1542.8565,23,0
20080724,1542.8565,2057.142,1371.428,1542.8565,10,0
20080725,1542.8565,1542.8565,1199.9995,1199.9995,8,0
20080728,1199.9995,1199.9995,857.1425,1028.571,18,0
20080729,857.1425,1028.571,685.714,685.714,27,0
20080730,857.1425,857.1425,531.4284,685.714,8,0
20080731,857.1425,857.1425,531.4284,548.5712,14,0
20080801,685.714,685.714,514.2855,514.2855,4,0
20080804,685.714,685.714,565.7141,685.714,5,0
20080805,839.9997,839.9997,548.5712,668.5712,7,0
20080806,685.714,685.714,668.5712,668.5712,8,0
20080807,685.714,685.714,599.9998,634.2855,8,0
20080808,685.714,685.714,599.9998,685.714,8,0
20080811,857.1425,942.8568,685.714,857.1425,22,0
20080812,1028.571,1028.571,857.1425,857.1425,13,0
20080813,1028.571,1371.428,994.2853,1028.571,2,0
20080814,1028.571,1242.8566,857.1425,994.2853,11,0
20080815,1028.571,1028.571,857.1425,891.4282,20,0
20080818,857.1425,857.1425,685.714,857.1425,4,0
20080819,857.1425,857.1425,685.714,857.1425,1,0
20080820,685.714,857.1425,685.714,857.1425,0,0
20080821,857.1425,857.1425,771.4283,857.1425,4,0
20080822,685.714,857.1425,685.714,857.1425,4,0
20080825,685.714,857.1425,685.714,857.1425,1,0
20080826,685.714,857.1425,685.714,857.1425,5,0
20080827,857.1425,857.1425,685.714,857.1425,3,0
20080828,857.1425,857.1425,685.714,857.1425,14,0
20080829,857.1425,857.1425,857.1425,857.1425,0,0
20080902,1028.571,1371.428,685.714,857.1425,14,0
20080903,1371.428,1542.8565,857.1425,857.1425,1,0
20080904,857.1425,857.1425,857.1425,857.1425,2,0
20080905,685.714,857.1425,685.714,685.714,4,0
20080908,685.714,857.1425,685.714,685.714,13,0
20080909,685.714,788.5711,685.714,685.714,37,0
20080910,771.4283,771.4283,685.714,737.1426,17,0
20080911,857.1425,857.1425,685.714,685.714,9,0
20080912,685.714,685.714,599.9998,685.714,5,0
20080915,599.9998,857.1425,342.857,599.9998,11,0
20080916,599.9998,599.9998,599.9998,599.9998,14,0
20080917,342.857,514.2855,342.857,342.857,23,0
20080918,514.2855,514.2855,428.5713,514.2855,11,0
20080919,514.2855,514.2855,514.2855,514.2855,24,0
20080922,479.9998,479.9998,377.1427,479.9998,17,0
20080923,479.9998,479.9998,394.2856,462.857,18,0
20080924,359.9999,479.9998,359.9999,445.7141,15,0
20080925,445.7141,479.9998,359.9999,411.4284,6,0
20080926,445.7141,445.7141,359.9999,377.1427,0,0
20080929,445.7141,445.7141,359.9999,359.9999,13,0
20080930,428.5713,428.5713,428.5713,428.5713,35,0
20081001,428.5713,479.9998,428.5713,479.9998,17,0
20081002,514.2855,1371.428,514.2855,857.1425,6,0
20081003,1114.2853,1114.2853,685.714,719.9997,31,0
20081006,599.9998,685.714,599.9998,685.714,4,0
20081007,685.714,685.714,599.9998,599.9998,0,0
20081008,599.9998,685.714,514.2855,599.9998,11,0
20081009,599.9998,599.9998,514.2855,599.9998,1,0
20081010,514.2855,516.4284,462.857,514.2855,46,0
20081013,580.7141,580.7141,411.4284,411.4284,12,0
20081014,428.5713,462.857,377.1427,411.4284,53,0
