Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.475,10.859,10.29,10.475,22868,0
20050228,11.425,11.425,10.084,10.122,23981,0
20050301,10.243,11.639,10.122,10.783,20350,0
20050302,10.868,10.868,10.439,10.672,18210,0
20050303,10.709,11.166,10.253,11.043,57596,0
20050304,10.801,11.052,9.508,9.639,21061,0
20050307,9.741,10.15,9.741,9.824,9523,0
20050308,10.979,10.979,9.824,10.475,7197,0
20050309,10.177,10.177,9.824,10.011,18255,0
20050310,9.824,10.011,9.824,10.011,3381,0
20050314,10.392,10.392,10.103,10.103,3377,0
20050315,10.103,10.103,10.103,10.103,750,0
20050316,9.871,9.871,9.871,9.871,861,0
20050317,9.871,9.871,9.871,9.871,968,0
20050318,10.132,10.132,10.132,10.132,291,0
20050323,9.917,9.917,9.684,9.871,14393,0
20050324,10.195,10.215,9.684,9.684,12337,0
20050328,9.592,10.094,9.592,9.639,16859,0
20050329,9.879,9.879,9.4052,9.4052,1506,0
20050330,9.4052,10.002,9.4052,9.805,1185,0
20050331,9.4324,9.4324,9.4052,9.4145,4361,0
20050401,9.4145,9.4245,9.4052,9.4145,20616,0
20050405,9.4052,9.4052,9.4052,9.4052,1186,0
20050406,9.4511,9.4983,9.4052,9.4983,1727,0
20050407,9.4983,9.4983,9.4983,9.4983,869,0
20050411,9.4052,9.4052,9.219,9.219,5306,0
20050412,9.1445,9.1445,8.7252,8.8001,1653,0
20050414,8.8463,8.9396,8.8463,8.9396,10737,0
20050418,8.8001,8.8089,8.8001,8.8089,750,0
20050419,8.93,8.93,8.93,8.93,146,0
20050420,8.8001,8.8001,8.3809,8.3809,1287,0
20050421,8.3809,8.3809,8.3343,8.3343,3435,0
20050422,8.3809,8.5114,8.3809,8.4458,8752,0
20050425,8.3343,8.5578,8.3343,8.5578,861,0
20050426,8.5114,8.5578,8.5114,8.5114,1363,0
20050427,8.5114,8.5204,8.5114,8.5204,643,0
20050428,8.5858,8.5858,8.3809,8.3809,3076,0
20050429,8.5578,8.5578,8.2879,8.5204,25602,0
20050503,8.5392,8.5392,8.5392,8.5392,643,0
20050504,8.5392,8.5578,8.5392,8.5578,1246,0
20050506,8.5578,8.5578,8.5578,8.5578,1609,0
20050509,8.5204,8.5204,8.5204,8.5204,3091,0
20050511,8.567,8.6044,8.474,8.6044,6647,0
20050512,8.474,8.567,8.474,8.567,1287,0
20050513,9.2837,9.2837,8.8463,8.8463,3412,0
20050516,8.5018,8.5018,8.4927,8.4927,692,0
20050517,8.6791,9.3116,8.6791,8.8928,1784,0
20050518,8.93,8.93,8.567,8.567,13555,0
20050519,8.6603,8.6975,8.6603,8.6975,241,0
20050520,8.8463,8.8463,8.6603,8.6603,2831,0
20050523,8.6603,8.7533,8.6603,8.7533,2601,0
20050524,8.7533,8.7533,8.567,8.567,8482,0
20050526,8.6603,8.8651,8.6603,8.7533,3470,0
20050531,9.0793,9.0793,9.0793,9.0793,220,0
20050601,8.7533,9.2561,8.7533,8.8463,2853,0
20050602,8.7628,8.7628,8.7628,8.7628,122,0
20050606,9.033,9.219,9.033,9.219,4831,0
20050607,9.2096,9.219,9.2096,9.219,322,0
20050608,9.2376,9.2376,9.2376,9.2376,101,0
20050610,9.266,9.266,9.266,9.266,322,0
20050613,9.266,9.266,9.2561,9.266,643,0
20050615,8.8463,9.033,8.8463,9.033,32217,0
20050617,9.1259,9.1259,9.1259,9.1259,1287,0
20050620,8.8463,8.9955,8.8463,8.9955,27922,0
20050621,8.7533,8.8928,8.7533,8.8928,2254,0
20050622,8.9396,8.9396,8.9396,8.9396,2770,0
20050623,8.9396,8.9396,8.9396,8.9396,1385,0
20050624,8.9396,8.9396,8.9396,8.9396,14809,0
20050627,8.8281,8.8281,8.7533,8.7533,384,0
20050628,8.9396,8.9396,8.9396,8.9396,1072,0
20050629,8.9396,8.9396,8.884,8.884,47078,0
20050630,8.8463,9.1259,8.8463,9.1259,215439,0
20050701,8.9396,8.977,8.9396,8.9396,1720,0
20050708,9.2561,9.2561,9.2281,9.2561,2902,0
20050712,9.3116,9.3116,9.3116,9.3116,101,0
20050713,8.986,8.986,8.9492,8.9492,1395,0
20050720,9.1726,9.1726,9.1726,9.1726,800,0
20050721,9.2837,9.2837,9.2837,9.2837,322,0
20050722,9.2837,9.2837,9.2837,9.2837,220,0
20050727,9.1726,9.2837,8.9396,9.2837,1984,0
20050728,9.2837,9.3116,9.2837,9.3028,3008,0
20050729,9.3116,9.527,9.3116,9.527,1293,0
20050802,9.546,10.243,9.546,10.011,540,0
20050803,9.4983,9.778,9.4983,9.778,220,0
20050804,9.778,9.964,9.778,9.964,1248,0
20050808,9.871,9.871,9.871,9.871,101,0
20050809,9.4245,10.011,9.4245,10.002,322,0
20050810,9.4511,9.778,9.4511,9.778,3758,0
20050815,9.879,9.879,9.879,9.879,101,0
20050818,9.768,9.778,9.768,9.778,1072,0
20050822,9.778,9.778,9.778,9.778,199,0
20050824,9.4804,9.655,9.461,9.655,1960,0
20050825,9.3491,9.3491,9.3491,9.3491,643,0
20050826,9.3579,9.3579,9.3579,9.3579,3435,0
20050829,9.639,9.684,9.629,9.675,3350,0
20050830,9.675,9.684,9.675,9.684,3823,0
20050901,9.684,9.684,9.546,9.546,369,0
20050908,9.3954,9.684,9.3954,9.684,1827,0
20050909,9.684,9.684,9.684,9.684,4339,0
20050915,9.4421,9.4421,9.4421,9.4421,165,0
20050916,9.4324,9.4511,9.4324,9.4511,333,0
20050919,9.4324,9.4324,9.4324,9.4324,2481,0
20050921,9.4511,9.675,9.4511,9.4983,5555,0
20050922,9.4983,9.639,9.4983,9.639,36945,0
20050923,9.546,9.546,9.546,9.546,1609,0
20050926,9.536,9.536,9.536,9.536,101,0
20050927,9.546,9.546,9.4983,9.527,5909,0
20050928,9.546,9.546,9.546,9.546,426,0
20050929,9.639,9.639,9.592,9.592,3651,0
20051005,9.4983,9.4983,9.4983,9.4983,1563,0
20051010,9.517,9.655,9.517,9.655,606,0
20051012,9.4983,9.4983,9.4983,9.4983,2149,0
20051014,9.778,9.778,9.749,9.749,621,0
20051018,9.3116,9.546,9.2281,9.4511,92529,0
20051019,9.4421,9.4421,9.4052,9.4324,25347,0
20051020,9.3579,9.3579,9.191,9.3116,30670,0
20051021,9.3116,9.3579,9.3116,9.3297,41389,0
20051024,9.4511,9.4511,9.3116,9.3491,12065,0
