Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.573,17.949,17.359,17.949,161266,0
20050228,17.949,17.949,17.666,17.683,189215,0
20050301,17.785,17.958,17.785,17.856,161266,0
20050302,17.745,17.958,17.745,17.803,164890,0
20050303,17.872,17.914,17.403,17.89,152843,0
20050304,17.94,18.034,17.83,17.958,248622,0
20050307,17.958,17.958,17.719,17.923,217865,0
20050308,17.923,17.958,17.753,17.777,162785,0
20050309,17.745,17.847,17.443,17.554,147348,0
20050310,17.692,17.949,17.625,17.847,160679,0
20050311,17.931,17.984,17.745,17.847,175296,0
20050314,17.94,18.087,17.785,18.042,340887,0
20050315,18.171,18.343,17.821,17.89,234472,0
20050316,17.914,18.025,17.719,17.794,126884,0
20050317,17.872,17.94,17.701,17.794,118582,0
20050318,17.967,17.967,17.573,17.582,384273,0
20050321,17.53,17.582,17.162,17.394,220671,0
20050322,17.325,17.523,17.017,17.026,190266,0
20050323,17.093,17.3,16.888,17.102,119167,0
20050324,17.137,17.3,17.06,17.06,98582,0
20050328,16.99,17.239,16.931,16.958,180443,0
20050329,16.871,17.189,16.871,17.07,205937,0
20050330,17.102,17.403,17.102,17.385,182547,0
20050331,17.359,17.394,17.145,17.359,216695,0
20050401,17.35,17.496,17.017,17.017,239737,0
20050404,17.007,17.359,16.692,17.247,282065,0
20050405,17.283,17.479,17.11,17.189,215877,0
20050406,17.154,17.513,17.145,17.255,123723,0
20050407,17.18,17.504,17.145,17.315,73327,0
20050408,17.385,17.385,16.777,16.897,157639,0
20050411,16.838,17.034,16.804,16.862,135303,0
20050412,16.82,17.137,16.657,16.76,424853,0
20050413,16.82,16.931,16.719,16.728,148165,0
20050414,16.734,16.847,16.341,16.359,193074,0
20050415,16.367,16.64,16.033,16.503,230379,0
20050418,16.529,16.82,16.341,16.615,218917,0
20050419,16.675,16.897,16.486,16.666,91332,0
20050420,16.572,16.632,16.033,16.188,168985,0
20050421,16.332,16.675,16.162,16.589,201962,0
20050422,16.589,16.589,16.256,16.538,185239,0
20050425,16.581,16.589,16.247,16.384,145478,0
20050426,16.307,16.443,15.949,16.033,151438,0
20050427,16.033,16.332,15.989,16.101,115540,0
20050428,16.026,16.196,15.862,15.998,214944,0
20050429,16.042,16.359,16.042,16.323,228391,0
20050502,16.351,16.401,16.068,16.299,167815,0
20050503,16.282,16.555,16.273,16.384,174830,0
20050504,16.256,16.804,16.256,16.75,146997,0
20050505,16.719,16.855,16.443,16.692,129106,0
20050506,16.847,16.862,16.477,16.546,131211,0
20050509,16.486,16.838,16.359,16.838,99401,0
20050510,16.75,16.75,16.477,16.495,118346,0
20050511,16.462,16.829,16.462,16.581,96010,0
20050512,16.555,16.855,16.384,16.486,139160,0
20050513,16.462,16.811,16.384,16.401,142087,0
20050516,16.401,16.967,16.401,16.811,116010,0
20050517,16.742,17.017,16.7,16.88,140447,0
20050518,16.967,17.443,16.967,17.332,156590,0
20050519,17.291,17.47,17.007,17.222,105951,0
20050520,17.145,17.385,16.897,17.213,131211,0
20050523,17.11,17.411,17.11,17.239,162200,0
20050524,17.11,17.341,17.102,17.213,90281,0
20050525,17.11,17.154,16.795,16.931,123723,0
20050526,16.931,17.171,16.871,17.007,60344,0
20050527,16.923,16.998,16.692,16.923,85602,0
20050531,16.88,17.231,16.742,16.958,159276,0
20050601,16.958,17.504,16.931,17.189,99519,0
20050602,17.145,17.411,16.734,17.204,79521,0
20050603,17.247,17.53,17.102,17.137,99638,0
20050606,17.137,17.427,17.017,17.231,104430,0
20050607,17.222,17.53,17.213,17.359,119984,0
20050608,17.403,17.513,17.315,17.332,89461,0
20050609,17.315,17.496,17.145,17.417,122673,0
20050610,17.496,17.53,17.332,17.479,92268,0
20050613,17.47,17.523,17.307,17.488,118229,0
20050614,17.523,17.737,17.359,17.737,110746,0
20050615,17.794,17.821,17.563,17.745,149804,0
20050616,17.794,18.214,17.666,18.214,125479,0
20050617,18.383,18.65,17.821,18.248,365097,0
20050620,18.145,18.445,18.145,18.282,122441,0
