Date,Open,High,Low,Close,Volume,OpenInt
20140416,29.568,29.806,28.831,28.909,2473016,0
20140417,28.831,29.075,28.831,29.016,263028,0
20140421,29.006,29.065,28.831,28.89,46803,0
20140422,29.075,29.471,29.075,29.371,154404,0
20140423,29.332,29.638,29.283,29.568,168104,0
20140424,29.618,29.658,29.342,29.598,87751,0
20140425,29.451,29.568,28.831,29.5,62774,0
20140428,29.548,29.815,29.441,29.558,184493,0
20140429,29.618,29.638,28.691,29.332,145131,0
20140430,29.075,29.608,29.075,29.598,50226,0
20140501,28.781,29.608,28.781,29.588,26790,0
20140502,29.568,29.618,29.441,29.608,64138,0
20140505,29.558,29.598,29.509,29.568,25611,0
20140506,29.519,29.598,29.332,29.588,44459,0
20140507,29.421,29.815,29.332,29.568,16205,0
20140508,29.568,29.756,29.411,29.568,47243,0
20140509,29.381,30.248,29.381,30.169,17300,0
20140512,30.525,30.525,29.923,30.16,18586,0
20140513,30.781,32.19,29.624,30.288,52663,0
20140514,30.347,30.534,30.042,30.328,31658,0
20140515,30.692,30.692,29.825,30.15,22312,0
20140516,30.15,30.204,29.643,29.993,16137,0
20140519,30.022,30.052,29.815,29.825,6726,0
20140520,29.431,30.062,28.258,29.756,109954,0
20140521,29.884,30.135,29.283,29.815,33730,0
20140522,29.815,30.013,29.371,29.678,28975,0
20140523,29.716,30.013,29.411,29.716,18727,0
20140527,29.668,29.806,29.303,29.628,28680,0
20140528,29.766,29.766,29.205,29.618,18245,0
20140529,29.668,29.806,29.322,29.568,48445,0
20140530,29.854,29.854,29.215,29.568,28908,0
20140602,29.658,30.495,29.568,29.874,45788,0
20140603,29.864,30.032,29.588,29.933,51440,0
20140604,30.052,30.062,29.776,29.913,44399,0
20140605,29.864,30.239,29.716,30.082,53329,0
20140606,30.032,30.032,29.688,29.953,24617,0
20140609,29.864,30.003,29.085,29.628,90481,0
20140610,29.48,30.052,29.195,29.568,62296,0
20140611,29.48,29.568,29.115,29.471,21234,0
20140612,29.668,29.668,29.065,29.312,53501,0
20140613,29.806,29.983,29.332,29.568,24970,0
20140616,29.49,29.806,29.205,29.411,77033,0
20140617,29.726,29.726,28.446,29.49,54633,0
20140618,29.806,29.806,29.105,29.568,75165,0
20140619,29.228,29.568,29.006,29.441,90934,0
20140620,29.519,29.796,28.12,28.622,340708,0
20140623,28.731,28.761,27.874,28.268,68096,0
20140624,28.159,28.781,28.159,28.476,39159,0
20140625,27.981,29.618,27.981,29.451,73808,0
20140626,29.254,29.618,28.583,29.312,31600,0
20140627,29.128,29.618,28.337,28.553,899612,0
20140630,28.691,28.811,28.149,28.641,153373,0
20140701,29.016,29.016,27.784,28.407,95627,0
20140702,28.367,29.125,28.367,29.075,66050,0
20140703,28.88,29.322,28.701,29.075,53755,0
20140707,28.957,29.756,28.553,28.791,50764,0
20140708,28.711,29.776,28.001,28.711,57455,0
20140709,28.84,28.84,28.367,28.563,39354,0
20140710,28.218,28.831,27.972,28.631,64550,0
20140711,28.771,29.125,28.387,29.065,93471,0
20140714,29.075,29.638,29.065,29.322,98991,0
20140715,29.421,29.558,28.721,29.006,260590,0
20140716,29.185,29.529,29.026,29.401,372720,0
20140717,29.391,29.538,29.234,29.471,64576,0
20140718,29.558,29.668,29.49,29.568,51437,0
20140721,29.451,29.628,29.215,29.471,49821,0
20140722,29.519,29.894,29.254,29.706,89186,0
20140723,29.588,29.81,29.5,29.668,26113,0
20140724,29.668,30.121,29.095,29.48,82750,0
20140725,29.322,29.706,29.177,29.48,103946,0
20140728,29.471,29.868,28.484,28.88,55308,0
20140729,28.811,32.438,28.583,29.293,168543,0
20140730,29.568,29.971,29.155,29.371,72476,0
20140731,29.293,29.513,28.811,29.273,34647,0
20140801,28.612,29.558,28.612,29.371,20064,0
20140804,29.421,30.042,28.781,29.943,41944,0
20140805,29.943,30.377,29.658,30.13,58547,0
20140806,30.13,30.488,29.918,30.239,75665,0
20140807,30.258,30.278,29.909,30.082,42936,0
20140808,30.822,30.822,30.022,30.082,89737,0
20140811,29.933,30.224,29.864,30.072,34749,0
20140812,30.111,30.111,29.608,30.092,37919,0
20140813,29.983,30.111,29.884,29.884,28201,0
20140814,30.092,30.092,29.854,29.913,23957,0
20140815,29.963,30.062,29.786,29.943,30051,0
20140818,29.963,30.258,29.796,30.219,85023,0
20140819,30.258,30.357,30.16,30.258,111276,0
20140820,30.258,30.553,30.15,30.377,31232,0
20140821,29.904,30.712,29.904,30.553,51314,0
20140822,30.417,30.909,30.407,30.85,10208,0
20140825,30.563,31.422,30.563,31.204,35668,0
20140826,31.57,31.589,30.988,31.116,60549,0
20140827,30.515,31.224,30.515,31.224,16739,0
20140828,31.047,31.269,30.88,30.998,20715,0
20140829,31.648,31.648,30.944,31.234,59857,0
20140902,31.145,31.511,30.84,30.85,129924,0
20140903,30.762,31.333,30.762,31.283,30455,0
20140904,31.214,31.293,30.8,30.85,16834,0
20140905,30.82,31.047,30.82,30.929,14973,0
20140908,31.087,31.087,30.85,30.929,5012,0
20140909,31.038,31.047,30.573,30.949,11864,0
20140910,30.603,31.047,30.603,31.047,13595,0
20140911,30.889,31.047,30.791,31.038,37682,0
20140912,30.88,31.221,30.422,30.86,74546,0
20140915,31.145,31.441,30.87,31.047,18395,0
20140916,30.949,31.293,30.949,31.274,28787,0
20140917,31.293,31.668,30.919,31.038,93804,0
20140918,31.097,31.461,30.8,30.998,32726,0
20140919,30.969,31.737,30.692,31.116,54976,0
20140922,30.969,31.262,30.457,30.593,50127,0
20140923,30.387,31.214,29.874,30.81,40650,0
20140924,30.563,31.293,30.553,30.603,19940,0
20140925,30.062,30.732,30.042,30.298,30943,0
20140926,30.258,30.623,29.578,30.219,35559,0
20140929,30.013,30.673,29.923,30.515,29585,0
20140930,30.525,30.771,30.072,30.189,30761,0
20141001,30.318,30.613,29.307,29.963,38371,0
20141002,30.101,30.209,29.342,29.756,51716,0
20141003,30.032,30.939,29.473,30.593,110010,0
20141006,30.495,30.8,29.825,30.623,60954,0
20141007,30.258,30.633,29.993,30.062,38017,0
20141008,30.308,30.553,29.766,30.437,79411,0
20141009,30.199,30.495,29.5,29.613,32876,0
20141010,29.421,29.714,28.937,29.548,49911,0
20141013,29.322,30.219,29.322,29.519,33630,0
20141014,29.538,30.268,28.947,30.003,36236,0
20141015,29.618,30.092,28.831,30.072,46613,0
