Date,Open,High,Low,Close,Volume,OpenInt
20070425,12,12,12,12,0,0
20070426,12.5,13.33,12.5,13,3084107,0
20070427,13,13.5,12.95,13.49,361964,0
20070430,13.6,14.35,13.17,14.05,238773,0
20070501,14.19,14.19,13.77,13.87,163686,0
20070502,14.22,14.25,13.75,14.25,158531,0
20070503,14.25,15.67,13.87,15.5,113605,0
20070504,15.58,15.71,15.3,15.31,46844,0
20070507,15.26,15.48,15,15,47743,0
20070508,15.07,15.28,14.76,14.81,114691,0
20070509,14.9,14.95,14.32,14.71,192948,0
20070510,14.3,14.69,13.94,14.02,36778,0
20070511,13.91,14.22,12.55,13.75,42646,0
20070514,12.93,14.4,12.8,14.26,69567,0
20070515,14.36,14.75,13.52,13.8,67312,0
20070516,13.7,14.2,13.62,13.9,103374,0
20070517,14.2,14.28,13.9,14.15,56566,0
20070518,14.66,15.88,14.66,15.78,82127,0
20070521,15.93,16.35,15.61,15.97,46591,0
20070522,16.26,18.39,16.26,18.1,109779,0
20070523,18.36,19.15,18,18.2,53202,0
20070524,18.09,18.85,16.69,17.95,43434,0
20070525,17.75,17.75,16.77,17.53,33539,0
20070529,16.73,17,16.67,16.83,13260,0
20070530,16.66,16.84,16.54,16.84,7975,0
20070531,17.95,18,16.77,17.92,186808,0
20070601,17.52,18,16.61,17.94,21360,0
20070604,17.99,18.46,17.93,18.15,95778,0
20070605,18.38,18.4,17.98,18.16,45926,0
20070606,18.35,18.35,17.85,17.85,43067,0
20070607,17.76,18,17.57,17.69,61080,0
20070608,17.85,17.85,17.4,17.7,36836,0
20070611,17.75,17.75,17.55,17.74,61589,0
20070612,17.5,17.7,17.4,17.45,49011,0
20070613,17.91,17.91,16.87,17,192403,0
20070614,16.99,17.13,16.99,17,28483,0
20070615,16.88,17.1,16.88,17.08,26937,0
20070618,17.25,17.37,16.51,16.55,21141,0
20070619,16.55,16.65,16.03,16.28,63150,0
20070620,16.58,17.16,15.3,16.28,82909,0
20070621,16.62,16.62,15.67,15.75,48495,0
20070622,15.75,15.79,14.25,14.28,776141,0
20070625,16.04,17.66,15.3,15.45,707967,0
20070626,16.14,16.14,14.52,14.53,146976,0
20070627,14.34,14.99,13.87,14.7,129331,0
20070628,14.75,15.8,14.75,15.02,69445,0
20070629,15.1,15.54,14.8,15.02,70194,0
20070702,15.17,15.36,14.68,15.04,89855,0
20070703,15.32,15.32,14.68,14.72,23299,0
20070705,14.68,15.18,14.5,15.06,43487,0
20070706,15.21,15.21,14.58,14.69,22216,0
20070709,14.8,15,14.43,14.9,28277,0
20070710,14.76,14.96,14.55,14.6,43064,0
20070711,14.6,14.76,14.35,14.35,38998,0
20070712,14.37,14.51,14.25,14.45,64438,0
20070713,14.5,15.75,14.13,15.14,45036,0
20070716,15.03,15.72,15.03,15.24,41176,0
20070717,15.2,15.77,15.2,15.71,49149,0
20070718,15.63,15.99,15.32,15.93,37085,0
20070719,16,16,15.06,15.13,17855,0
20070720,15.1,15.44,14.49,14.59,36067,0
20070723,14.71,14.79,14.14,14.22,98293,0
20070724,14.28,15.25,14.12,14.24,224390,0
20070725,14.37,15.36,14.37,15.16,107304,0
20070726,15.4,15.4,14.68,14.96,40338,0
20070727,14.94,14.94,14.35,14.46,35232,0
20070730,14.4,14.74,14.25,14.71,31349,0
20070731,14.91,14.98,14.27,14.83,74150,0
20070801,14.72,15.05,14.46,14.7,64029,0
20070802,14.76,15.09,14.55,14.74,28177,0
20070803,14.65,15.25,14.25,14.35,30150,0
20070806,14.37,15.99,14.26,15.97,181907,0
20070807,15.66,16.74,15.66,16.48,62521,0
20070808,16.52,17.78,16.52,17.75,118992,0
20070809,16.91,17.86,16.91,17.38,45649,0
20070810,16.69,17.25,14.52,14.63,170871,0
20070813,14.63,14.66,13.64,14.03,59983,0
20070814,13.98,14.27,13.63,13.76,42238,0
