Date,Open,High,Low,Close,Volume,OpenInt
20060803,10.754,10.754,10.754,10.754,0,0
20060804,10.754,11.223,10.754,10.754,647489,0
20060807,11.223,11.223,10.754,10.754,230538,0
20060808,11.018,11.018,10.754,10.764,154622,0
20060809,10.754,10.764,10.51,10.558,186130,0
20060810,10.656,10.676,10.255,10.255,49199,0
20060811,10.363,10.373,10.167,10.167,53250,0
20060814,10.167,10.167,9.718,9.728,164991,0
20060815,9.776,9.776,9.669,9.679,18381,0
20060816,9.679,9.728,9.62,9.63,47767,0
20060817,10.558,10.558,9.767,9.776,21210,0
20060818,9.776,9.776,9.757,9.757,32139,0
20060821,9.728,9.806,9.64,9.786,4076,0
20060822,9.786,9.825,9.767,9.776,11916,0
20060823,9.776,9.825,9.767,9.776,79170,0
20060824,10.666,10.666,9.776,9.874,20504,0
20060825,9.972,10.021,9.874,9.963,8799,0
20060828,10.265,10.265,10.069,10.069,9946,0
20060829,10.558,10.754,10.148,10.636,32618,0
20060830,10.754,10.842,10.558,10.744,79199,0
20060831,10.744,10.744,10.656,10.696,6878,0
20060901,10.754,10.754,10.656,10.716,8970,0
20060905,10.764,10.832,10.461,10.832,11671,0
20060906,10.754,10.754,10.706,10.754,6297,0
20060907,10.754,10.754,10.558,10.744,1454,0
20060908,10.744,10.744,10.558,10.558,10945,0
20060911,10.52,10.744,10.52,10.734,5268,0
20060912,10.744,10.744,10.656,10.744,17818,0
20060913,10.744,11.233,10.744,10.852,56712,0
20060914,11.233,12.025,10.754,10.754,64860,0
20060915,11.018,11.771,10.608,11.487,8838,0
20060918,11.497,11.497,10.881,10.881,21463,0
20060919,11.194,11.194,10.803,10.803,15399,0
20060920,11.097,11.223,10.754,11.165,10994,0
20060921,11.233,11.233,10.852,10.852,7258,0
20060922,11.233,11.233,10.177,10.177,70025,0
20060925,10.558,10.608,9.923,10.109,47612,0
20060926,10.314,10.314,9.991,10.051,42409,0
20060927,10.167,10.627,10.069,10.295,56243,0
20060928,10.627,10.627,10.167,10.207,22991,0
20060929,10.451,10.646,9.776,9.786,397656,0
20061002,9.806,9.982,9.776,9.786,56865,0
20061003,9.845,10.636,9.776,10.079,128399,0
20061004,10.119,10.646,10.011,10.51,20460,0
20061005,10.646,10.646,10.402,10.422,27684,0
20061006,10.558,11.732,10.549,10.93,91495,0
20061009,10.999,12.475,10.852,12.025,118338,0
20061010,12.328,12.417,11.84,12.025,110152,0
20061011,12.006,12.641,11.83,12.465,137481,0
20061012,12.661,14.264,12.465,13.629,156890,0
20061013,13.961,14.264,13.677,14.127,126818,0
20061016,14.41,15.496,14.196,15.027,172818,0
20061017,15.212,15.594,14.861,14.949,129643,0
20061018,14.958,15.535,14.958,15.144,104217,0
20061019,15.584,15.584,14.577,14.685,122680,0
20061020,14.919,17.139,14.919,16.64,418889,0
20061023,16.806,19.974,16.806,19.162,324422,0
20061024,19.553,19.553,16.572,16.874,271351,0
20061025,16.424,16.59,14.088,14.518,339436,0
20061026,14.665,15.809,14.45,14.871,100714,0
20061027,14.871,15.554,14.665,15.075,66712,0
20061030,16.18,16.18,14.919,14.958,80485,0
20061031,15.31,15.31,14.518,15.065,39318,0
20061101,15.418,15.711,15.222,15.662,97191,0
20061102,15.672,15.721,14.176,14.254,157361,0
20061103,14.312,14.899,13.16,14.596,243524,0
20061106,14.851,15.77,13.413,15.682,109605,0
20061107,15.887,15.887,15.261,15.642,55348,0
20061108,15.985,16.562,15.77,16.464,84702,0
20061109,16.503,18.057,16.199,17.49,138545,0
20061110,17.305,21.352,17.041,20.12,299573,0
20061113,19.876,20.921,18.868,20.354,304677,0
20061114,20.667,20.893,19.759,20.423,305143,0
20061115,20.775,20.921,19.964,20.873,79147,0
20061116,20.912,20.921,19.749,19.934,132535,0
20061117,19.915,20.824,19.034,20.276,304700,0
20061120,20.843,20.843,19.699,19.944,137724,0
20061121,19.778,20.511,19.553,20.345,40661,0
20061122,19.846,20.629,19.709,20.531,39439,0
20061124,20.286,20.443,20.178,20.433,10006,0
20061127,20.579,20.619,19.593,19.817,47791,0
20061128,19.749,20.1,19.699,20.032,46760,0
20061129,20.326,20.921,19.553,20.717,65214,0
20061130,20.775,20.921,19.905,20.736,61205,0
20061201,20.531,20.531,19.954,20.384,54557,0
20061204,20.012,23.884,19.905,23.141,214185,0
20061205,22.975,24.421,22.692,24.383,122890,0
20061206,24.441,25.82,24.07,24.9,283982,0
20061207,24.94,25.663,24.471,25.331,169301,0
20061208,25.565,26.28,24.93,25.302,111074,0
20061211,25.683,26.543,25.302,26.035,107435,0
20061212,26.21,26.25,25.643,26.094,101488,0
20061213,26.377,26.377,24.637,25.243,172116,0
20061214,25.517,26.367,25.419,26.094,74893,0
20061215,26.338,26.797,26.152,26.533,77740,0
20061218,26.573,27.306,24.882,24.95,259899,0
20061219,25.321,25.468,23.952,24.491,353810,0
20061220,25.126,25.966,24.431,25.419,464206,0
20061221,25.517,26.641,25.008,25.399,367034,0
20061222,24.637,26.289,24.383,25.116,473455,0
20061226,25.537,26.104,24.363,25.605,271220,0
20061227,25.038,26.113,25.038,26.054,202788,0
20061228,26.152,26.289,25.595,26.104,32275,0
20061229,25.653,25.703,24.529,24.754,317807,0
20070103,24.441,24.441,22.203,22.486,502124,0
20070104,22.3,24.441,21.909,23.884,325265,0
20070105,23.894,24.373,22.525,23.816,385710,0
20070108,24.167,25.341,23.581,24.509,523906,0
20070109,25.859,26.475,25.008,26.044,402699,0
20070110,25.888,27.765,25.605,27.511,545370,0
20070111,27.668,27.755,25.957,26.172,227819,0
