Date,Open,High,Low,Close,Volume,OpenInt
20140617,21.525,21.55,21.497,21.549,11415,0
20140618,21.515,21.566,21.453,21.533,24955,0
20140619,21.453,21.542,21.453,21.542,50107,0
20140620,21.581,21.581,21.462,21.542,16931,0
20140623,21.581,21.703,21.542,21.581,18154,0
20140624,21.744,21.882,21.633,21.77,2918,0
20140625,21.607,21.754,21.607,21.754,493,0
20140626,21.625,21.744,21.625,21.653,1892,0
20140627,21.711,21.841,21.711,21.816,12199,0
20140630,21.77,21.77,21.67,21.696,8934,0
20140701,21.763,21.77,21.727,21.77,8186,0
20140702,21.798,21.841,21.798,21.841,10510,0
20140703,21.718,21.837,21.718,21.718,1081,0
20140707,21.841,21.841,21.679,21.841,10172,0
20140708,21.873,21.873,21.617,21.807,7593,0
20140709,21.754,21.832,21.413,21.735,18126,0
20140710,21.825,21.825,21.711,21.711,3292,0
20140711,21.825,21.825,21.799,21.799,3442,0
20140714,21.816,21.816,21.754,21.782,3911,0
20140715,21.78,21.78,21.718,21.727,20347,0
20140716,21.853,21.934,21.795,21.88,15408,0
20140717,21.924,21.924,21.822,21.831,7200,0
20140718,21.853,22.083,21.853,21.982,1417,0
20140721,21.944,21.993,21.944,21.977,3056,0
20140722,22.092,22.14,21.96,21.96,2121,0
20140723,21.968,21.986,21.968,21.986,2307,0
20140724,21.953,21.993,21.944,21.993,11139,0
20140725,21.993,22,21.89,21.944,8300,0
20140728,21.986,21.986,21.953,21.986,7945,0
20140729,21.986,22.106,21.968,21.986,20759,0
20140730,21.986,22.007,21.986,21.993,2042,0
20140731,21.995,21.995,21.924,21.924,23161,0
20140801,21.971,21.971,21.924,21.944,5919,0
20140804,22.106,22.106,21.862,21.862,35026,0
20140805,21.968,21.977,21.871,21.871,1654,0
20140807,21.898,21.934,21.889,21.889,1268,0
20140808,21.839,21.863,21.839,21.863,629,0
20140811,21.862,21.977,21.814,21.977,7118,0
20140812,22.092,22.092,21.853,22.063,2571,0
20140813,22.037,22.046,22.029,22.029,3379,0
20140814,21.959,22.098,21.959,22.098,1897,0
20140815,22.116,22.23,22.106,22.222,1399,0
20140818,22.116,22.213,22.028,22.028,3664,0
20140819,22.028,22.131,22.028,22.131,9168,0
20140820,21.999,22.092,21.999,22.073,16838,0
20140822,22.073,22.073,21.999,22.018,5155,0
20140825,22.158,22.158,21.999,22.092,9621,0
20140826,22.028,22.092,22.028,22.092,7673,0
20140827,22.083,22.092,22.054,22.092,1826,0
20140828,22.028,22.028,21.914,22.018,3882,0
20140829,21.976,22.091,21.976,22.071,1079,0
20140902,22.083,22.124,22.045,22.092,3393,0
20140903,22.028,22.045,22.009,22.045,2521,0
20140904,22.221,22.221,22.045,22.045,2746,0
20140905,22.131,22.131,21.999,22.045,6724,0
20140908,22.054,22.054,22.045,22.045,221,0
20140909,22.185,22.203,21.976,21.999,12952,0
20140910,21.999,21.999,21.976,21.999,3434,0
20140911,22.092,22.131,21.985,21.999,31871,0
20140912,22.018,22.149,21.985,22.068,10765,0
20140915,22.092,22.092,22.092,22.092,1317,0
20140916,22.177,22.177,22.054,22.073,1750,0
20140917,22.185,22.185,22.137,22.137,657,0
20140918,22.185,22.185,22.167,22.185,2229,0
20140919,22.149,22.222,22.131,22.222,8275,0
20140922,22.149,22.194,22.078,22.149,31776,0
20140923,22.167,22.194,22.106,22.167,7711,0
20140924,22.106,22.106,22.106,22.106,2276,0
20140925,22.185,22.185,22.106,22.106,4744,0
20140926,22.082,22.273,22.082,22.149,6644,0
20140930,22.149,22.273,22.106,22.238,3062,0
20141001,22.194,22.194,22.106,22.121,2541,0
20141002,22.106,22.116,22.106,22.106,2162,0
20141003,22.194,22.281,22.091,22.131,15440,0
20141006,22.281,22.281,22.14,22.185,2304,0
20141007,22.238,22.238,22.108,22.238,2099,0
20141008,22.319,22.319,22.185,22.238,3748,0
20141009,22.177,22.177,22.177,22.177,243,0
20141010,22.194,22.194,22.116,22.131,3719,0
20141013,22.264,22.273,22.131,22.167,6656,0
20141014,22.203,22.317,22.194,22.222,2105,0
