Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.956,9.956,9.956,9.956,530,0
20050228,10.1,10.161,10.1,10.161,351,0
20050301,10.133,10.213,10.133,10.213,351,0
20050302,10.213,10.213,9.831,10.213,2105,0
20050308,9.3966,10.161,9.3966,9.841,29705,0
20050309,9.504,9.813,9.3569,9.561,50215,0
20050310,9.277,10.151,9.277,10.151,6288,0
20050317,9.4256,10.24,9.4256,10.24,2276,0
20050318,9.767,10.207,9.767,10.207,1056,0
20050324,9.989,10.213,9.989,10.213,1359,0
20050329,9.852,9.858,9.852,9.858,351,0
20050330,9.555,9.555,9.555,9.555,169,0
20050331,9.858,9.858,9.847,9.847,351,0
20050404,9.807,9.82,9.4976,9.4976,875,0
20050412,9.807,9.807,9.802,9.802,875,0
20050415,9.579,9.579,9.579,9.579,1579,0
20050420,9.705,9.705,9.4306,9.4306,351,0
20050425,9.4204,9.4204,9.4204,9.4204,169,0
20050426,9.4256,9.4256,9.4204,9.4204,530,0
20050428,9.3628,9.3628,9.277,9.277,1403,0
20050502,9.2136,9.2136,9.1505,9.1618,1658,0
20050513,10.274,10.274,8.9051,8.9051,3417,0
20050516,8.9051,8.9051,8.8194,8.8194,699,0
20050524,8.8481,8.8481,8.8481,8.8481,700,0
20050531,8.8481,8.8481,8.8481,8.8481,176,0
20050602,8.8766,8.8766,8.706,8.706,1538,0
20050613,8.706,8.706,8.5626,8.5912,1872,0
20050614,8.5626,8.5626,8.5626,8.5626,169,0
20050617,8.4208,8.4885,8.2776,8.4208,3807,0
20050627,8.4208,8.4208,8.4208,8.4208,530,0
20050630,8.4208,8.4208,8.1349,8.1349,657,0
20050701,8.0726,8.0726,8.0726,8.0726,657,0
20050706,8.0726,8.0726,8.0726,8.0726,530,0
20050707,8.1069,8.1069,8.0726,8.0726,351,0
20050712,8.706,8.706,7.9976,7.9976,533,0
20050718,7.9976,7.9976,7.9976,7.9976,169,0
20050725,7.8777,7.8777,7.8777,7.8777,391,0
20050726,7.9922,8.0612,7.9922,8.0612,1049,0
20050727,8.0612,8.0612,8.0612,8.0612,1049,0
20050802,8.0612,8.0612,7.8554,7.8554,528,0
20050804,7.9067,8.0786,7.9067,8.0786,351,0
20050805,8.1349,8.1349,8.1349,8.1349,1242,0
20050808,8.2776,8.2776,8.2776,8.2776,169,0
20050810,7.9922,7.9922,7.9922,7.9922,351,0
20050812,7.8211,7.8211,7.7925,7.7925,1704,0
20050822,7.9863,7.9863,7.9863,7.9863,169,0
20050829,7.8777,7.8777,7.764,7.764,1085,0
20050830,7.7064,7.7064,7.7064,7.7064,1747,0
20050831,7.7064,7.7064,7.7064,7.7064,875,0
20050909,7.5643,7.5643,7.4503,7.4503,1094,0
20050915,7.5643,7.5643,7.5643,7.5643,632,0
20050926,7.5922,7.5922,7.5922,7.5922,169,0
