Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.494,8.0821,7.4655,7.5604,141744,0
20050228,7.6647,7.845,7.1904,7.2759,160218,0
20050301,7.456,7.5319,7.2568,7.3138,78861,0
20050302,7.2759,7.3517,7.1525,7.1619,40785,0
20050303,7.124,7.5224,7.124,7.4655,37165,0
20050304,7.5414,7.5509,7.3043,7.3043,33897,0
20050307,7.1525,7.2283,7.1431,7.1525,27906,0
20050308,7.2474,7.2662,7.105,7.1904,44139,0
20050309,7.105,7.1619,7.0482,7.0576,43851,0
20050310,7.0197,7.1335,7.0197,7.0197,15439,0
20050311,6.9723,7.1525,6.8774,6.8774,34551,0
20050314,6.8774,7.1146,6.8584,7.105,23471,0
20050315,7.1904,7.2189,6.9723,7.2189,37716,0
20050316,7.2189,7.2189,7.0007,7.0767,39235,0
20050317,7.0007,7.2474,6.9818,7.1904,17652,0
20050318,7.2947,7.2947,6.8774,7.124,56960,0
20050321,7.2189,7.2853,7.0291,7.0291,25575,0
20050322,7.0007,7.105,6.9533,6.9533,2433,0
20050323,6.9343,6.9343,6.7635,6.7731,9341,0
20050324,6.7352,6.8774,6.3177,6.3747,52662,0
20050328,6.3747,6.3747,6.1944,6.2703,59776,0
20050329,6.1849,6.2608,6.0805,6.1281,22939,0
20050330,6.0426,6.2324,5.2363,5.7391,149000,0
20050331,5.6821,5.6917,5.4546,5.5683,160369,0
20050401,5.5968,6.0426,5.5873,5.9953,49717,0
20050404,5.9762,6.1849,5.9383,6.0332,53623,0
20050405,6.0711,6.166,6.0236,6.0617,45094,0
20050406,6.1564,6.166,6.0617,6.0996,8511,0
20050407,5.9668,5.9668,5.6536,5.6727,49775,0
20050408,5.6062,5.9383,5.2933,5.8055,67722,0
20050411,5.72,5.72,5.4449,5.4449,35438,0
20050412,5.2742,5.9668,5.0845,5.7011,63812,0
20050413,5.6442,5.8055,5.5683,5.5873,25025,0
20050414,5.6347,5.6347,5.3882,5.3882,24367,0
20050415,5.4734,5.4734,5.2173,5.2269,19367,0
20050418,5.2269,5.3501,5.2173,5.3501,28863,0
20050419,5.4355,5.4734,5.3121,5.3976,32701,0
20050420,5.4355,5.9289,5.2173,5.3976,135205,0
20050421,5.5209,6.2133,5.5209,6.1564,81193,0
20050422,6.09,6.09,5.7106,5.72,40988,0
20050425,5.7106,5.7106,5.4734,5.4925,25735,0
20050426,5.4925,5.5683,5.2363,5.2648,61773,0
20050427,5.2173,5.6917,5.2173,5.6821,32469,0
20050428,5.7106,5.7106,5.5019,5.5019,29925,0
20050429,5.5114,5.6253,5.4546,5.4734,39200,0
20050502,5.5209,5.7864,5.4734,5.7106,49229,0
20050503,5.7296,5.7485,5.4449,5.5114,24687,0
20050504,5.5873,5.6917,5.5019,5.6917,23030,0
20050505,5.6536,5.7106,5.5968,5.6536,18475,0
20050506,5.7485,5.7485,5.5683,5.7391,23555,0
20050509,5.6917,5.7864,5.6821,5.7676,19490,0
20050510,5.6253,5.7581,5.6253,5.7391,28816,0
20050511,5.7106,5.7106,5.2648,5.4925,40842,0
20050512,5.3597,5.4355,5.2742,5.3027,140012,0
20050513,5.4734,5.4734,5.2648,5.3406,28212,0
20050516,5.2648,5.2933,5.1035,5.1035,34940,0
20050517,5.094,5.1225,4.9897,5.0086,27169,0
20050518,5.0561,5.2173,4.705,4.8378,161918,0
20050519,4.8378,5.2078,4.8378,5.1793,19673,0
20050520,5.2837,5.3218,4.9991,5.0466,10797,0
