Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.014,22.345,21.728,22.331,244164,0
20050228,22.192,22.281,21.705,21.761,248838,0
20050301,21.874,22.273,21.874,22.232,238995,0
20050302,22.224,22.468,22.005,22.141,332648,0
20050303,22.192,22.192,21.761,21.801,562786,0
20050304,21.924,22.97,21.908,22.802,368090,0
20050307,22.802,22.802,22.591,22.638,275177,0
20050308,22.646,22.646,22.239,22.281,190138,0
20050309,22.289,22.313,21.938,21.972,314434,0
20050310,21.899,21.972,21.558,21.785,250929,0
20050311,21.785,21.874,21.646,21.785,322927,0
20050314,21.785,21.938,21.712,21.916,259917,0
20050315,21.916,22.069,21.785,21.931,454363,0
20050316,22.023,22.428,21.996,22.207,697666,0
20050317,22.395,22.459,22.15,22.395,302990,0
20050318,22.395,22.395,22.158,22.257,393811,0
20050321,22.345,22.37,22.037,22.207,277639,0
20050322,22.207,22.296,22.023,22.103,276777,0
20050323,22.086,22.167,21.826,21.858,407596,0
20050324,21.826,22.086,21.826,21.947,148666,0
20050328,21.947,22.15,21.874,21.996,374983,0
20050329,21.996,22.232,21.858,21.924,544941,0
20050330,21.899,22.069,21.874,21.899,549247,0
20050331,21.947,22.304,21.881,22.192,781721,0
20050401,22.192,22.491,21.987,22.215,613242,0
20050404,22.207,22.41,22.037,22.354,442179,0
20050405,22.395,22.476,22.158,22.313,275916,0
20050406,22.313,22.679,22.313,22.386,342371,0
20050407,22.386,22.702,22.386,22.606,361573,0
20050408,22.606,22.63,22.304,22.395,315051,0
20050411,22.419,22.459,22.199,22.273,298191,0
20050412,22.273,22.606,22.043,22.501,357875,0
20050413,22.443,22.468,22.078,22.158,320713,0
20050414,22.112,22.141,21.564,21.624,344220,0
20050415,21.631,21.793,21.022,21.062,405752,0
20050418,21.062,21.321,20.916,21.111,300035,0
20050419,21.093,21.996,20.947,21.849,739139,0
20050420,21.849,21.979,21.372,21.42,493252,0
20050421,21.654,22.176,21.542,22.141,513062,0
20050422,22.141,22.141,21.59,21.858,359599,0
20050425,21.874,22.199,21.59,21.793,432086,0
20050426,21.793,22.491,21.712,21.776,467654,0
20050427,21.793,22.257,21.526,21.761,417443,0
20050428,21.761,21.881,21.5,21.526,494730,0
20050429,21.564,22.345,21.346,22.264,414365,0
20050502,22.207,22.207,21.735,22.167,327112,0
20050503,22.06,22.525,21.924,22.005,409938,0
20050504,22.199,22.516,21.931,22.443,414981,0
20050505,22.484,22.621,22.192,22.583,233459,0
20050506,22.694,23.101,22.694,22.915,428273,0
20050509,23.035,23.181,22.996,23.181,534604,0
20050510,23.199,23.263,23.051,23.166,417688,0
20050511,23.199,24.263,23.199,24.077,922632,0
20050512,23.996,23.996,22.947,22.988,527587,0
20050513,22.988,23.035,22.199,22.525,272714,0
20050516,22.491,23.174,22.491,23.166,289455,0
20050517,23.094,23.369,22.825,23.314,445381,0
20050518,23.5,23.807,23.458,23.695,348646,0
20050519,23.67,23.858,23.467,23.832,202815,0
20050520,23.776,23.815,23.596,23.793,196046,0
20050523,23.84,24.043,23.767,23.93,158755,0
20050524,24.028,24.043,23.752,23.938,270255,0
20050525,23.889,23.915,23.385,23.67,441935,0
20050526,23.67,24.052,23.67,24.043,270255,0
20050527,24.003,24.328,23.987,24.279,181155,0
20050531,24.279,24.5,24.198,24.367,263487,0
20050601,24.367,24.749,24.247,24.523,272103,0
20050602,24.418,24.467,24.255,24.328,159740,0
20050603,24.215,24.547,24.173,24.313,190259,0
20050606,24.279,24.596,24.198,24.572,144110,0
20050607,24.622,24.907,24.441,24.474,160232,0
20050608,24.515,24.547,24.231,24.255,184109,0
20050609,24.207,24.418,24.043,24.402,285761,0
20050610,24.402,24.613,24.028,24.198,221399,0
20050613,24.125,24.758,24.125,24.588,201709,0
20050614,24.53,25.548,24.515,25.1,420762,0
20050615,25.224,25.824,25.198,25.613,403045,0
20050616,25.636,25.93,25.613,25.791,234934,0
20050617,25.856,26.147,25.368,25.661,421626,0
20050620,25.587,25.791,25.489,25.595,197152,0
20050621,25.604,25.84,25.506,25.587,218937,0
20050622,25.824,25.847,25.182,25.459,187553,0
20050623,25.23,25.434,24.741,24.817,174509,0
20050624,24.758,24.907,24.223,24.288,307176,0
20050627,24.223,25.207,24.07,24.776,371784,0
20050628,24.962,25.465,24.962,25.434,244900,0
20050629,25.434,25.506,25.118,25.253,304099,0
20050630,25.253,25.368,24.669,24.669,263241,0
20050701,24.727,24.864,24.394,24.767,236658,0
20050705,24.767,25.279,24.565,25.164,196538,0
20050706,25.1,25.224,24.847,24.962,166390,0
20050707,24.801,25.287,24.686,25.173,265577,0
20050708,25.198,25.653,25.134,25.548,203552,0
20050711,25.604,26.108,25.604,26.108,219919,0
20050712,26.085,26.319,25.75,26.002,219427,0
20050713,26.05,26.092,25.604,25.84,198506,0
20050714,25.93,26.058,25.613,25.797,196414,0
20050715,25.661,25.693,25.311,25.669,143370,0
20050718,25.693,25.896,25.368,25.622,300404,0
20050719,25.768,27.261,25.743,26.661,697297,0
20050720,26.563,27.463,26.19,27.4,408954,0
20050721,27.4,27.529,26.618,26.701,395290,0
20050722,26.701,26.936,26.351,26.871,304591,0
20050725,26.821,26.838,26.473,26.605,199492,0
20050726,26.684,26.944,26.678,26.829,435780,0
20050727,26.863,26.968,26.473,26.871,312836,0
20050728,26.871,27.261,26.871,27.206,659269,0
20050729,27.261,27.644,27.131,27.252,189402,0
20050801,27.261,27.635,27.18,27.303,189648,0
20050802,27.375,27.847,27.366,27.644,244411,0
20050803,27.578,27.668,27.35,27.366,299299,0
20050804,27.366,27.644,27.026,27.074,325266,0
20050805,27.05,27.074,26.522,26.709,316160,0
20050808,26.693,26.897,26.58,26.611,249088,0
20050809,26.733,26.897,26.288,26.58,414735,0
20050810,26.618,27.003,26.343,26.499,303483,0
20050811,26.546,26.611,26.205,26.351,449318,0
20050812,26.303,26.303,25.873,26.05,409320,0
20050815,25.979,25.979,25.562,25.864,428396,0
20050816,25.856,26.002,25.548,25.84,453748,0
20050817,25.84,25.937,25.556,25.604,291545,0
20050818,25.481,25.506,25.253,25.409,393691,0
20050819,25.434,25.587,25.155,25.385,183984,0
20050822,25.434,25.783,25.164,25.418,256102,0
20050823,25.506,25.506,24.653,24.98,295362,0
20050824,24.913,25.359,24.588,24.899,321451,0
20050825,24.881,25.296,24.784,25.238,234813,0
20050826,25.238,25.238,24.749,24.856,201584,0
20050829,24.801,24.899,24.377,24.838,182756,0
20050830,24.824,24.881,24.41,24.733,168231,0
20050831,24.784,25.459,24.653,25.459,226567,0
20050901,25.409,25.693,25.173,25.245,214753,0
20050902,25.198,25.497,25.1,25.215,167495,0
20050906,25.311,25.879,25.311,25.669,213765,0
20050907,25.669,25.693,25.207,25.669,217213,0
20050908,25.481,25.604,25.109,25.377,200721,0
20050909,25.32,25.636,25.296,25.472,148050,0
20050912,25.385,25.791,25.253,25.604,158755,0
20050913,25.532,25.595,24.847,25.19,262872,0
20050914,25.14,25.164,24.572,24.733,371170,0
20050915,24.703,25.238,24.605,24.873,244040,0
20050916,25.198,26.799,25.147,26.254,1096768,0
20050919,27.342,27.342,25.613,25.661,417688,0
20050920,25.693,26.165,25.57,25.604,464575,0
20050921,25.506,25.645,25.253,25.377,303730,0
20050922,25.459,25.595,24.847,25.075,350618,0
20050923,24.962,25.489,24.817,25.134,331538,0
20050926,25.271,25.506,24.801,25.06,315298,0
20050927,25.084,25.084,24.483,24.565,525129,0
20050928,24.556,24.661,24.231,24.385,342988,0
20050929,24.41,25.02,24.141,24.899,278253,0
20050930,24.824,24.856,24.427,24.572,259548,0
20051003,24.645,24.928,24.483,24.733,210689,0
20051004,24.809,24.913,24.043,24.15,299299,0
20051005,24.092,24.092,23.385,23.45,412643,0
20051006,23.45,23.727,22.81,23.109,378799,0
20051007,23.233,23.353,22.891,23.109,235059,0
20051010,23.004,23.297,22.736,22.802,374370,0
20051011,21.338,22.41,21.062,21.728,1396807,0
20051012,21.761,22.103,21.59,21.728,726094,0
20051013,21.728,21.785,21.297,21.712,557494,0
20051014,21.947,22.281,21.705,22.069,401076,0
20051017,22.158,22.395,21.947,22.207,312958,0
20051018,22.395,22.81,21.785,21.858,509740,0
20051019,21.735,22.176,21.314,22.158,408829,0
20051020,22.086,22.232,21.314,21.484,477008,0
20051021,21.558,21.752,21.167,21.5,357015,0
20051024,21.411,21.735,21.402,21.646,333511,0
20051025,21.573,21.899,21.378,21.534,518479,0
20051026,21.526,21.874,21.435,21.477,489927,0
20051027,21.517,21.615,20.916,21.062,648932,0
20051028,21.184,21.248,20.817,21.062,616565,0
20051031,21.062,21.321,21.022,21.086,956844,0
20051101,21.119,21.209,20.883,21.004,454483,0
20051102,20.938,21.638,20.931,21.534,453748,0
20051103,21.615,21.615,21.078,21.224,321696,0
20051104,21.321,21.542,20.973,21.151,452763,0
20051107,21.175,21.386,21.093,21.167,321451,0
20051108,21.078,21.119,20.753,20.825,390245,0
20051109,20.85,21.142,20.614,20.9,369818,0
20051110,20.9,21.372,20.485,21.233,435532,0
20051111,21.233,21.386,21.071,21.224,370184,0
20051114,21.924,22.501,21.477,21.646,833163,0
20051115,21.607,22.06,21.297,21.638,536939,0
20051116,21.752,21.938,21.55,21.735,408088,0
20051117,21.849,21.987,21.671,21.916,377077,0
20051118,22.03,22.296,21.947,22.132,307545,0
20051121,22.248,22.583,22.132,22.583,421379,0
20051122,22.491,22.907,22.468,22.864,640684,0
20051123,22.818,22.841,22.525,22.606,454977,0
20051125,22.646,22.728,22.565,22.687,92546,0
20051128,22.736,22.784,22.402,22.679,459899,0
20051129,22.759,22.979,22.468,22.565,621612,0
20051130,22.583,23.004,22.583,22.793,336712,0
20051201,22.864,23.321,22.793,23.271,523649,0
20051202,23.199,23.564,23.035,23.402,446116,0
20051205,23.402,23.458,23.109,23.305,417320,0
20051206,23.419,23.419,22.938,23.225,769166,0
20051207,23.101,23.207,22.606,22.711,735445,0
20051208,22.679,22.818,22.395,22.63,480578,0
20051209,22.597,22.745,22.402,22.679,357015,0
20051212,22.728,22.841,22.516,22.646,434915,0
20051213,22.613,22.711,22.443,22.491,372032,0
20051214,22.547,22.646,22.264,22.41,374001,0
20051215,22.41,22.459,21.955,22.112,629733,0
20051216,22.167,22.793,22.167,22.784,908727,0
20051219,22.679,23.109,22.583,23.094,529679,0
20051220,23.385,23.524,23.233,23.329,603029,0
20051221,23.524,24.605,23.5,24.565,1204579,0
20051222,24.653,24.694,24.263,24.474,430488,0
20051223,24.703,24.733,24.352,24.523,244040,0
20051227,24.636,24.677,24.133,24.141,195184,0
20051228,24.19,24.53,24.141,24.5,252288,0
20051229,24.441,24.636,24.336,24.352,185340,0
20051230,24.231,24.231,24.003,24.034,219306,0
20060103,24.279,24.433,23.807,24.352,586660,0
20060104,24.377,24.749,24.279,24.653,397755,0
20060105,24.703,24.856,24.507,24.677,245642,0
20060106,25.084,25.084,24.53,24.801,259301,0
20060109,24.824,25.368,24.824,25.224,501866,0
20060110,25.224,25.578,25.02,25.506,423719,0
20060111,25.481,25.524,25.02,25.245,276528,0
20060112,25.262,25.262,24.962,25.147,234688,0
