Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.5204,6.5656,6.1852,6.4208,306223,0
20050228,6.3573,6.4751,6.1852,6.4387,201062,0
20050301,6.2938,6.4659,6.2215,6.3573,99385,0
20050302,6.3573,6.511,6.1762,6.2396,121317,0
20050303,6.3211,6.484,6.2396,6.4387,52537,0
20050304,6.5021,6.6289,6.4751,6.5474,27953,0
20050307,6.484,6.5564,6.2667,6.2758,50290,0
20050308,6.2667,6.3573,6.2667,6.2667,66552,0
20050309,6.2122,6.312,6.1943,6.2667,71038,0
20050310,6.2396,6.3573,6.2034,6.2396,73318,0
20050311,6.2303,6.312,6.2303,6.312,77386,0
20050314,6.1852,6.3027,6.1852,6.2848,60658,0
20050315,6.312,6.312,6.0584,6.1579,56340,0
20050316,6.1397,6.2484,6.0765,6.2215,84013,0
20050317,6.2396,6.2848,6.1308,6.1762,45189,0
20050318,6.2396,6.2577,6.0584,6.0946,117601,0
20050321,6.1579,6.2122,6.1038,6.1762,24194,0
20050322,6.1038,6.2667,6.1038,6.1038,40070,0
20050323,6.1038,6.2667,6.1038,6.1852,38156,0
20050324,6.2758,6.2758,6.1489,6.1579,43389,0
20050328,6.2122,6.2758,6.1943,6.2303,56083,0
20050329,6.1762,6.3027,6.0946,6.1038,67025,0
20050330,6.1671,6.2303,6.1219,6.2303,25594,0
20050331,6.2303,6.2758,6.1219,6.2758,74709,0
20050401,6.2034,6.3573,6.0856,6.1579,137385,0
20050404,5.968,6.0946,5.9225,6.0313,71662,0
20050405,6.0856,6.1579,6.0042,6.0222,80878,0
20050406,6.1127,6.1579,5.9949,5.9949,97158,0
20050407,5.9767,6.0946,5.9767,6.0494,27876,0
20050408,6.0584,6.0674,5.8864,5.9225,67094,0
20050411,5.9225,6.0674,5.9136,5.9225,84199,0
20050412,5.9225,6.0674,5.8864,6.0584,917901,0
20050413,6.0313,6.4208,6.0313,6.0674,96498,0
20050414,6.0403,6.1579,6.0313,6.0403,49443,0
20050415,6.0403,6.0494,5.8773,5.8864,48535,0
20050418,5.9495,6.0133,5.7234,5.832,79120,0
20050419,5.7866,5.8773,5.7142,5.8411,91620,0
