Date,Open,High,Low,Close,Volume,OpenInt
19921028,1.9063,1.9337,1.8054,1.8054,21107134,0
19921029,1.8054,1.8879,1.8054,1.8327,5092895,0
19921030,1.8054,1.8604,1.787,1.787,4978979,0
19921102,1.787,1.8054,1.7046,1.7046,3792666,0
19921103,1.7046,1.7595,1.7046,1.7321,1139175,0
19921104,1.7504,1.787,1.7046,1.7595,979100,0
19921105,1.7321,1.787,1.7321,1.787,535217,0
19921106,1.787,1.9063,1.7321,1.8327,1750006,0
19921109,1.8879,1.9612,1.8604,1.9063,2276386,0
19921110,1.9612,2.062,1.9337,1.9887,926070,0
19921111,2.062,2.1628,1.9887,2.1169,1592878,0
19921112,2.1169,2.1169,2.062,2.0897,714931,0
19921113,2.062,2.1169,2.062,2.1169,580388,0
19921116,2.1169,2.1169,1.9063,1.9887,1107750,0
19921117,1.9887,2.0897,1.9063,2.0072,781709,0
19921118,2.0897,2.1355,2.0072,2.0897,450758,0
19921119,2.1904,2.1904,2.062,2.062,868127,0
19921120,2.1169,2.1169,2.0072,2.0897,882861,0
19921123,2.1169,2.1169,2.062,2.062,238636,0
19921124,2.1628,2.1904,2.0897,2.1355,1850177,0
19921125,2.1355,2.1628,2.0897,2.1628,781709,0
19921127,2.1628,2.1628,2.0897,2.1628,450758,0
19921130,2.1628,2.1628,2.0897,2.1355,1428877,0
19921201,2.1628,2.2269,2.1355,2.2269,380054,0
19921202,2.2362,2.3462,2.1628,2.2913,484149,0
19921203,2.2913,2.3462,2.2638,2.2913,479239,0
19921204,2.3462,2.3462,2.2638,2.3462,96240,0
19921207,2.2638,2.3462,2.2638,2.2638,870090,0
19921208,2.3462,2.3645,2.2638,2.3645,489059,0
19921209,2.3645,2.392,2.2913,2.392,306399,0
19921210,2.3186,2.392,2.3186,2.3645,230783,0
19921211,2.3186,2.3645,2.3186,2.3645,511647,0
19921214,2.3186,2.392,2.3186,2.392,546018,0
19921215,2.392,2.392,2.2913,2.2913,576463,0
19921216,2.2913,2.3645,2.2913,2.3096,516558,0
19921217,2.3645,2.392,2.3186,2.392,224888,0
19921218,2.4195,2.575,2.3645,2.575,569588,0
19921221,2.5477,2.575,2.4468,2.4653,489059,0
19921222,2.4468,2.5205,2.392,2.4653,2296026,0
19921223,2.4653,2.4653,2.392,2.4653,106061,0
19921224,2.4653,2.4929,2.392,2.4929,268100,0
19921228,2.4929,2.5477,2.4468,2.5477,157126,0
19921229,2.4929,2.5477,2.4929,2.4929,40263,0
19921230,2.4929,2.5935,2.4929,2.5477,126684,0
19921231,2.4929,2.5935,2.4929,2.5935,370232,0
19930104,2.575,2.6761,2.5477,2.5935,334877,0
19930105,2.5935,2.6761,2.5205,2.5935,162039,0
19930106,2.575,2.5935,2.4195,2.4653,505755,0
19930107,2.392,2.4468,2.1355,2.1628,1847230,0
19930108,2.1904,2.1904,2.062,2.1169,966336,0
19930111,2.1169,2.1355,2.062,2.1263,604941,0
19930112,2.1355,2.1628,2.0986,2.1355,514593,0
19930113,2.1628,2.1628,2.1169,2.1169,282828,0
19930114,2.1628,2.1628,2.1169,2.1628,341754,0
19930115,2.1628,2.1628,2.1169,2.1628,107044,0
19930118,2.1628,2.1628,2.0072,2.0897,651097,0
19930119,2.0897,2.0897,2.0072,2.0897,234708,0
19930120,2.0897,2.1355,1.9612,2.1263,2555289,0
19930121,2.1355,2.1355,2.062,2.1355,663866,0
19930122,2.1355,2.1355,2.062,2.1355,886786,0
19930125,2.1355,2.1355,2.062,2.1169,737518,0
19930126,2.1355,2.1355,2.062,2.0897,1068467,0
19930127,2.1355,2.2179,2.062,2.1994,1027222,0
19930128,2.2362,2.3186,2.2179,2.2913,571552,0
19930129,2.2913,2.2913,2.2179,2.2913,3111127,0
19930201,2.2913,2.2913,2.2179,2.2913,666809,0
19930202,2.3186,2.3186,2.2362,2.3186,251403,0
19930203,2.2362,2.3645,2.2362,2.3551,1426918,0
19930204,2.3645,2.392,2.3462,2.3645,383981,0
19930205,2.3186,2.3645,2.2362,2.3645,727697,0
19930208,2.3186,2.392,2.2913,2.3462,381034,0
19930209,2.3462,2.4195,2.3186,2.3462,489059,0
19930210,2.3462,2.3645,2.3186,2.3645,469417,0
19930211,2.3645,2.4195,2.3186,2.3645,128646,0
19930212,2.3645,2.392,2.3186,2.3462,148291,0
19930216,2.392,2.392,1.9612,1.9887,929999,0
19930217,2.0897,2.1169,1.9887,2.1169,1086146,0
19930218,2.1904,2.1904,2.1169,2.1263,611816,0
19930219,2.1904,2.2179,2.1169,2.1904,90347,0
19930222,2.0897,2.1628,2.0897,2.0897,109008,0
19930223,2.0897,2.1169,1.9612,2.0346,389872,0
19930224,1.9612,2.0346,1.9337,2.0072,691363,0
19930225,2.062,2.1169,2.0346,2.0346,1927759,0
19930226,2.1169,2.1169,2.0346,2.062,153199,0
19930301,1.9887,2.0346,1.9887,1.9887,127665,0
19930302,1.9887,2.062,1.9887,2.062,102134,0
19930303,2.0897,2.1355,2.0346,2.1263,271045,0
19930304,2.1355,2.1355,2.0897,2.1263,178733,0
19930305,2.1355,2.1355,2.062,2.0897,484149,0
