Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.4605,3.4923,3.4035,3.4923,1625218,0
20050228,3.1374,3.169,2.8458,3.0169,11855742,0
20050301,3.0298,3.0676,2.9789,3.0549,5283308,0
20050302,3.0486,3.0676,2.9977,3.0042,3069576,0
20050303,3.0298,3.0298,2.8775,2.928,4915394,0
20050304,2.9407,2.9407,2.776,2.7888,5326700,0
20050307,2.7825,2.8964,2.7825,2.8521,3568044,0
20050308,2.8775,2.9025,2.814,2.8267,1989369,0
20050309,2.814,2.8775,2.776,2.8584,4065592,0
20050310,2.871,2.8964,2.8205,2.871,1976757,0
20050311,2.8775,2.928,2.8521,2.89,2072529,0
20050314,2.89,3.4733,2.8775,3.302,12511318,0
20050315,3.4669,3.5682,3.3845,3.4798,21272049,0
20050316,3.4669,3.5367,3.3781,3.4224,4226822,0
20050317,3.4351,3.4351,3.3146,3.3654,2948488,0
20050318,3.3654,3.3654,3.245,3.2957,2985777,0
20050321,3.4733,3.4985,3.302,3.3211,4404815,0
20050322,3.3339,3.3781,3.3146,3.3339,1920829,0
20050323,3.245,3.3403,3.2325,3.283,2289488,0
20050324,3.3211,3.3971,3.302,3.3845,2865862,0
20050328,3.4035,3.4224,3.3146,3.3274,1997066,0
20050329,3.3339,3.3528,3.1564,3.1817,3057526,0
20050330,3.2006,3.2579,3.1817,3.2579,1793154,0
20050331,3.1943,3.2325,3.1056,3.2196,2470052,0
20050401,3.2325,3.2579,3.1184,3.1499,1780485,0
20050404,3.1184,3.1184,2.9852,3.0486,4414635,0
20050405,3.0549,3.1184,3.0424,3.1056,3380956,0
20050406,3.1184,3.2196,3.1119,3.1881,4334591,0
20050407,3.2069,3.245,3.1564,3.2134,2492267,0
20050408,3.2196,3.2196,3.1374,3.169,1285918,0
20050411,3.1754,3.2069,3.1434,3.1628,1082903,0
20050412,3.1184,3.1817,3.0803,3.1564,1659947,0
20050413,3.1754,3.2196,3.1499,3.169,1815748,0
20050414,3.1754,3.1943,3.0993,3.1119,1353351,0
20050415,3.2706,3.4162,3.2006,3.3781,13781197,0
20050418,3.4351,3.6317,3.3528,3.3971,8533836,0
20050419,3.4162,3.4543,3.3781,3.4099,2062993,0
20050420,3.4224,3.4605,3.3908,3.4035,2407134,0
20050421,3.4289,3.505,3.4289,3.4605,1433651,0
20050422,3.4415,3.4669,3.3781,3.4289,1142962,0
20050425,3.4543,3.4605,3.3781,3.4351,1309752,0
20050426,3.5682,3.7204,3.4985,3.6317,5993618,0
20050427,3.6189,3.6379,3.5429,3.6317,2800537,0
20050428,3.6697,3.7584,3.5746,3.5873,3128870,0
20050429,3.6126,3.6254,3.5176,3.6,2090014,0
20050502,3.6126,3.6443,3.5367,3.6189,2279133,0
20050503,3.5303,3.5873,3.4224,3.524,4018084,0
20050504,3.5495,3.6697,3.524,3.6189,4320998,0
20050505,3.6254,3.6887,3.5873,3.676,2495830,0
20050506,3.695,3.7204,3.6697,3.6697,2211337,0
20050509,3.6887,3.7523,3.6505,3.7394,1795215,0
20050510,3.746,3.8915,3.7266,3.866,2821124,0
20050511,3.8788,3.8788,3.7838,3.841,1918443,0
20050512,3.8596,3.9358,3.7901,3.822,4134467,0
20050513,3.822,3.8723,3.7014,3.7712,3283616,0
20050516,3.7266,3.822,3.6824,3.822,3002359,0
20050517,3.8027,3.822,3.7139,3.7775,1875608,0
20050518,3.7838,3.8596,3.7775,3.8346,3992286,0
20050519,3.8027,3.8027,3.7014,3.7584,4248568,0
20050520,3.7648,3.8723,3.7331,3.8092,3602726,0
20050523,3.8155,3.847,3.746,3.8092,2142518,0
20050524,3.8346,4.0246,3.8282,3.942,4631603,0
20050525,3.9296,3.9486,3.8027,3.847,2174078,0
20050526,3.866,3.9296,3.8346,3.9168,2198879,0
20050527,3.8979,3.9296,3.847,3.9042,2843004,0
20050531,3.9296,3.9296,3.8092,3.847,2199390,0
20050601,3.8282,3.9105,3.8282,3.9105,2203018,0
20050602,3.8851,3.9233,3.8723,3.9042,1321042,0
20050603,3.9105,3.9105,3.841,3.841,1872578,0
20050606,3.841,3.866,3.695,3.7523,2576558,0
20050607,3.7648,3.7648,3.6379,3.657,2147821,0
20050608,3.6443,3.7014,3.6379,3.676,1586624,0
20050609,3.6887,3.746,3.6317,3.7266,1440055,0
20050610,3.7584,3.7584,3.6887,3.7331,547314,0
20050613,3.7204,3.7331,3.676,3.7076,1322612,0
20050614,3.7076,3.7204,3.676,3.6887,1459110,0
20050615,3.7014,3.7076,3.6505,3.676,1354846,0
20050616,3.6824,3.8092,3.657,3.7964,2040007,0
20050617,3.7584,3.9674,3.7584,3.9296,4537511,0
20050620,3.9549,4.0691,3.9358,4.05,3203911,0
20050621,4.0625,4.0691,3.9929,4.0246,2026344,0
20050622,4.0753,4.1199,4.0182,4.0943,2851029,0
20050623,4.126,4.1385,4.0438,4.0625,2267622,0
20050624,4.05,4.0565,3.9549,4.0056,1875664,0
20050627,3.9741,3.9993,3.9233,3.9296,1046083,0
20050628,3.9486,4.0438,3.9358,4.0373,1037145,0
20050629,4.0438,4.0625,3.9993,4.0182,779323,0
20050630,4.0311,4.1199,4.0119,4.0691,1312354,0
20050701,4.0311,4.0691,4.0056,4.05,857642,0
20050705,4.0438,4.126,4.0056,4.1199,1116690,0
20050706,4.1068,4.2084,4.0565,4.1449,1636106,0
20050707,4.0753,4.2021,4.0373,4.1513,1242867,0
20050708,4.1576,4.354,4.1325,4.2844,2359178,0
20050711,4.3162,4.3606,4.2781,4.354,1679910,0
20050712,4.3477,4.5189,4.3353,4.4874,3694455,0
20050713,4.5,4.5128,4.3353,4.3732,3010545,0
20050714,4.4049,4.4112,4.3288,4.3668,1512471,0
20050715,4.3732,4.3795,4.3288,4.3477,1835408,0
20050718,4.3477,4.4049,4.3288,4.3606,1628216,0
20050719,4.354,4.3859,4.2972,4.3098,942712,0
20050720,4.2908,4.4937,4.2844,4.4685,3276292,0
20050721,4.5189,4.6583,4.4555,4.576,2950495,0
20050722,4.5633,4.614,4.4685,4.5446,2575641,0
20050725,4.538,4.557,4.4619,4.4937,1463193,0
20050726,4.4937,4.6903,4.4811,4.671,2252429,0
20050727,4.6775,4.6838,4.5823,4.6204,1257480,0
20050728,4.6014,4.614,4.5506,4.5823,2031691,0
20050729,4.595,4.614,4.538,4.5886,1581349,0
20050801,4.5697,4.7344,4.5697,4.6965,2108109,0
20050802,4.6838,4.728,4.576,4.6903,2130867,0
20050803,5.2543,5.5331,5.2033,5.2858,22860322,0
20050804,5.2732,5.2858,5.1337,5.2162,4325510,0
20050805,5.4889,5.6218,5.419,5.4823,11632922,0
20050808,5.438,5.4571,5.1592,5.2352,4657289,0
20050809,5.2795,5.305,5.1592,5.2098,3452574,0
20050810,5.2162,5.3175,5.2162,5.2478,4362843,0
20050811,5.2669,5.2922,5.1846,5.2606,3785443,0
20050812,5.2417,5.2795,5.1781,5.2417,1069569,0
20050815,5.2478,5.3555,5.1846,5.3302,1714049,0
20050816,5.3366,5.3366,5.2606,5.2795,1880616,0
20050817,5.2795,5.3366,5.1907,5.2984,1255311,0
20050818,5.2984,5.2984,5.2098,5.2543,1402435,0
20050819,5.2606,5.3492,5.2417,5.3239,1284518,0
20050822,5.3366,5.3872,5.2162,5.2606,1855112,0
20050823,5.2669,5.2669,5.1719,5.1846,1250069,0
20050824,5.1846,5.2224,5.0705,5.1462,2585468,0
20050825,5.1462,5.2732,5.1337,5.2669,1425040,0
20050826,5.2543,5.2606,5.1719,5.1972,1158801,0
20050829,5.1462,5.3428,5.1083,5.3428,1913012,0
20050830,5.3428,5.3428,5.2098,5.2288,1960806,0
20050831,5.2224,5.3872,5.2224,5.3872,1823452,0
20050901,5.3809,5.6091,5.3492,5.5394,2621432,0
20050902,5.5394,5.5394,5.3555,5.4252,1227284,0
20050906,5.6282,6.0528,5.6027,6.0274,13988236,0
20050907,6.0147,6.0212,5.926,6.0212,2817055,0
20050908,6.0212,6.0973,5.8626,5.8881,2537407,0
20050909,5.9007,5.9703,5.8246,5.9386,1301760,0
20050912,5.9323,5.9514,5.8626,5.8753,1293805,0
20050913,5.869,6.0212,5.8373,5.9895,3117406,0
20050914,6.0212,6.1986,5.8563,5.8816,5548990,0
20050915,5.9069,5.9069,5.7104,5.8058,2043522,0
20050916,5.8246,5.8816,5.5458,5.7169,3715087,0
20050919,5.7296,5.8184,5.6027,5.6218,1547719,0
20050920,5.6471,5.8499,5.6471,5.8373,2341267,0
20050921,5.8184,5.8373,5.6661,5.7169,2081049,0
20050922,5.6915,5.812,5.6915,5.7104,1245382,0
20050923,5.6915,5.7104,5.5899,5.6344,1454368,0
20050926,5.6471,5.6915,5.4697,5.5394,1805229,0
20050927,5.5203,5.6344,5.4762,5.571,3047171,0
20050928,5.5774,5.6407,5.4949,5.5899,1382802,0
20050929,5.6153,5.6344,5.5521,5.6091,1337308,0
20050930,5.6153,5.6407,5.5837,5.6407,1287789,0
20051003,5.6282,5.9578,5.6091,5.9007,3834014,0
20051004,5.9197,6.1416,5.8626,6.0212,3792922,0
20051005,6.0085,6.0339,5.8184,5.8626,2649603,0
20051006,5.8499,5.9007,5.5078,5.6282,4169280,0
20051007,5.6407,5.6725,5.4889,5.6407,2594689,0
20051010,5.6282,5.736,5.6091,5.6536,1355488,0
20051011,5.9007,5.964,5.4252,5.5078,3879533,0
20051012,5.5078,5.5458,5.1719,5.2606,4295391,0
20051013,5.2732,5.419,5.1972,5.3239,3295537,0
20051014,5.3809,5.5458,5.2795,5.5331,2298876,0
20051017,5.5078,5.5899,5.4571,5.4889,1389332,0
20051018,5.5078,5.5899,5.4444,5.5268,1796780,0
20051019,5.5015,5.5203,5.2984,5.5015,1835753,0
20051020,5.4889,5.5331,5.3302,5.3936,1372182,0
20051021,5.4063,5.4444,5.2669,5.3744,1901766,0
20051024,5.3872,5.4889,5.3744,5.4762,2063593,0
20051025,5.4762,5.6915,5.4507,5.6915,2640894,0
20051026,5.6471,5.7612,5.6218,5.6725,2230767,0
20051027,5.6536,5.6597,5.5015,5.5394,1393703,0
20051028,5.5394,5.6407,5.5203,5.5774,1593901,0
20051031,5.5964,5.6915,5.5837,5.6407,3006344,0
20051101,5.6027,5.6282,5.438,5.5394,2549307,0
20051102,5.4762,5.5394,5.1022,5.2795,7357991,0
20051103,5.305,5.4571,5.2606,5.3366,4811081,0
20051104,5.3744,5.3872,5.1719,5.2352,2715568,0
20051107,5.2224,5.2478,5.1781,5.2162,1944357,0
20051108,5.1781,5.2224,5.1402,5.1846,3697294,0
20051109,5.1719,5.1972,5.1337,5.1592,1533111,0
20051110,5.1528,5.2098,4.988,5.1719,3306629,0
20051111,5.1972,5.2098,5.1022,5.1462,1104461,0
20051114,5.1655,5.1655,5.1083,5.1337,1109148,0
20051115,5.1211,5.2732,5.1211,5.2162,3034060,0
20051116,5.2417,5.2543,5.1528,5.1907,2424728,0
20051117,5.2224,5.3175,5.1719,5.3175,1940559,0
20051118,5.4,5.6218,5.3175,5.5964,4476339,0
20051121,5.6153,5.7612,5.5837,5.7549,2902650,0
20051122,5.7612,5.8373,5.7104,5.736,2050214,0
20051123,5.7488,5.7993,5.7296,5.7739,1391409,0
20051125,5.793,5.8373,5.7488,5.7739,644558,0
20051128,5.7865,5.8309,5.5458,5.5964,1692145,0
20051129,5.6218,5.7169,5.5646,5.6091,1371102,0
20051130,5.6153,5.6787,5.5078,5.6091,3327385,0
20051201,5.5964,5.6661,5.5015,5.5899,2129129,0
20051202,5.5964,5.7488,5.5584,5.7169,2143092,0
20051205,5.6851,5.7104,5.571,5.5964,1586170,0
20051206,5.6027,5.6725,5.5521,5.5584,1599696,0
20051207,5.5521,5.6153,5.4823,5.5203,1113251,0
20051208,5.5521,5.6915,5.5268,5.6153,1334775,0
20051209,5.6344,5.7104,5.5964,5.6915,1398906,0
20051212,5.7169,5.736,5.5394,5.6153,1315661,0
20051213,5.6027,5.7676,5.5646,5.7104,2186485,0
20051214,5.6979,5.7549,5.5964,5.6218,882323,0
20051215,5.7234,5.9386,5.6915,5.8309,2747498,0
20051216,5.8753,5.9007,5.7169,5.8373,1591882,0
20051219,5.8499,5.9007,5.7549,5.7549,1212829,0
20051220,5.7865,5.9831,5.7612,5.9386,2209445,0
20051221,5.9386,5.9767,5.8626,5.9449,1624566,0
20051222,5.964,6.0339,5.8881,6.0274,1990206,0
20051223,6.0147,6.0464,6.0022,6.0022,911180,0
20051227,6.0274,6.0274,5.8373,5.8373,1448147,0
20051228,5.8436,5.8753,5.7612,5.8373,1109815,0
20051229,5.869,5.8816,5.7802,5.7993,889163,0
20051230,5.8626,5.8626,5.6661,5.7234,1356758,0
20060103,5.7234,5.7676,5.6091,5.7296,2087806,0
20060104,5.7549,6.1288,5.704,6.0339,4783656,0
20060105,6.0147,6.0973,5.926,6.0592,2686646,0
20060106,6.0781,6.1924,5.9895,6.1605,3823425,0
20060109,6.1605,6.3379,6.1097,6.2873,3096513,0
20060110,6.3063,6.376,6.243,6.3379,2420213,0
20060111,6.0528,6.1605,5.9578,6.0844,7619294,0
20060112,5.9386,5.9578,5.6851,5.7676,6124209,0
20060113,5.812,5.812,5.6471,5.6597,4133760,0
20060117,5.6471,5.7104,5.6344,5.6915,1834576,0
20060118,5.6344,5.7296,5.6344,5.6979,1481662,0
20060119,5.736,5.8058,5.6471,5.7296,1391610,0
20060120,5.7802,5.8184,5.6091,5.6153,2038378,0
20060123,5.6153,5.7234,5.4697,5.7169,2960113,0
20060124,5.7169,5.7296,5.6471,5.6851,1248755,0
20060125,5.7234,5.7612,5.6915,5.704,1343745,0
20060126,5.7549,5.812,5.6661,5.7549,1948220,0
20060127,5.7549,5.812,5.6851,5.812,1067947,0
20060130,5.8184,5.9323,5.7993,5.8943,1895824,0
20060131,5.8753,5.9386,5.7802,5.869,1402522,0
20060201,5.8626,5.9957,5.8436,5.964,1442876,0
20060202,5.9703,5.9831,5.8626,5.9449,3570587,0
20060203,5.9386,5.964,5.8058,5.9007,2932641,0
20060206,5.8943,5.9323,5.8184,5.8309,1017853,0
20060207,5.8309,5.9767,5.704,5.7234,2100009,0
20060208,5.7296,5.7676,5.6725,5.736,1083717,0
20060209,5.7488,5.9069,5.736,5.8184,2531761,0
20060210,5.8309,5.8753,5.6536,5.812,1135357,0
20060213,5.7296,5.7549,5.6282,5.6536,1408102,0
20060214,5.6851,5.7612,5.6471,5.7169,1851595,0
20060215,5.6979,5.7865,5.6344,5.7169,1485576,0
20060216,5.736,5.8626,5.6471,5.8626,1954076,0
20060217,5.8753,5.8753,5.7802,5.7865,2161944,0
20060221,5.812,5.869,5.7234,5.8626,1261155,0
20060222,5.9007,6.0147,5.8058,6.0147,1830726,0
20060223,6.0212,6.0339,5.9323,5.9767,1404520,0
20060224,5.964,6.224,5.9449,6.2177,2515257,0
20060227,6.2811,6.2811,6.0781,6.1541,2941204,0
20060228,6.376,6.4013,6.1035,6.3063,5455947,0
20060301,6.3001,6.4076,6.2494,6.3949,2229337,0
20060302,6.3127,6.376,6.2365,6.3697,1890036,0
20060303,6.3633,6.4965,6.3001,6.4141,1968965,0
20060306,6.4076,6.4265,6.2746,6.376,1517381,0
20060307,6.3313,6.3823,6.224,6.224,1467371,0
20060308,6.2049,6.7055,6.1097,6.5978,8503080,0
20060309,6.5978,6.6231,6.4775,6.5471,6421031,0
20060310,6.3949,6.4521,6.2301,6.376,5077792,0
20060313,6.319,6.4903,6.3127,6.4393,2102950,0
20060314,6.4458,6.4838,6.376,6.3823,1877162,0
20060315,6.4141,6.4586,6.3633,6.4141,1937896,0
20060316,6.4393,6.5283,6.3823,6.3888,2019904,0
20060317,6.4332,6.5598,6.4013,6.4965,2546974,0
20060320,6.4711,6.5407,6.4076,6.4838,1031476,0
20060321,6.4775,6.5217,6.3697,6.3949,2309103,0
