Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.702,23.05,22.634,23.05,3495,0
20050228,22.719,23.145,22.485,22.615,15940,0
20050301,22.835,23.581,22.59,23.528,15547,0
20050302,23.179,24.005,23.179,23.858,20826,0
20050303,24.023,24.023,22.842,23.188,41363,0
20050304,23.657,23.657,23.381,23.657,26727,0
20050307,23.641,23.657,23.293,23.467,9261,0
20050308,23.65,23.65,22.625,22.782,56753,0
20050309,22.59,22.791,22.225,22.521,27861,0
20050310,22.476,23.441,22.476,23.085,17332,0
20050311,23.269,23.293,22.92,23.179,21532,0
20050314,23.113,23.701,23.113,23.589,11719,0
20050315,23.745,23.849,23.284,23.284,23264,0
20050316,22.791,23.745,22.791,23.485,21950,0
20050317,23.215,23.953,23.188,23.858,18991,0
20050318,23.919,23.919,23.39,23.398,59434,0
20050321,23.345,23.45,22.842,22.947,32591,0
20050322,22.938,23.528,22.938,23.345,11147,0
20050323,23.113,23.269,22.791,22.791,14335,0
20050324,22.842,23.179,22.581,22.634,2756,0
20050328,22.999,23.007,22.755,23.007,3072,0
20050329,22.791,23.014,22.425,22.425,14746,0
20050330,22.738,23.441,22.399,23.441,12944,0
20050331,22.99,23.441,22.894,23.354,19220,0
20050401,23.433,23.433,22.148,22.39,49578,0
20050404,22.182,22.573,22.148,22.356,33014,0
20050405,22.573,23.26,22.269,22.912,18006,0
20050406,23.26,23.875,23.26,23.632,85853,0
20050407,23.78,24.076,23.493,23.883,4200,0
20050408,23.919,23.919,22.92,23.301,9963,0
20050411,22.99,23.467,22.791,23.441,14144,0
20050412,23.095,23.902,22.782,23.83,14951,0
20050413,23.962,23.962,22.982,23.13,8964,0
20050414,22.99,23.459,22.538,22.581,18027,0
20050415,22.808,22.999,22.121,22.148,17384,0
20050418,22.494,23.007,22.139,22.686,11315,0
20050419,22.746,22.928,22.251,22.417,43782,0
20050420,22.581,22.581,21.696,21.696,30401,0
20050421,22.182,22.547,21.705,22.547,35379,0
20050422,22.599,22.599,22.121,22.408,8032,0
20050425,22.599,23.113,22.33,23.113,7502,0
20050426,23.014,23.179,22.339,22.808,22436,0
20050427,22.791,23.224,22.408,23.014,5790,0
20050428,22.679,23.276,22.2,22.251,15403,0
20050429,22.192,22.738,21.965,22.53,10698,0
20050502,23.007,23.415,22.894,23.415,6888,0
20050503,23.014,23.615,22.835,23.179,8540,0
20050504,22.885,23.433,22.808,23.336,7095,0
20050505,23.336,23.336,22.903,23.26,8083,0
20050506,23.459,23.459,22.642,22.791,6593,0
20050509,22.772,22.965,22.615,22.965,4657,0
20050510,22.791,22.876,22.66,22.876,10678,0
20050511,22.876,23.345,22.373,23.269,8631,0
20050512,23.381,23.398,22.555,23.023,10085,0
20050513,22.642,23.162,22.547,22.8,16014,0
20050516,23.007,23.571,23.007,23.544,10249,0
20050517,23.433,23.911,22.894,23.822,27709,0
20050518,23.962,25.056,23.65,24.969,24189,0
20050519,24.708,24.969,24.171,24.465,34545,0
20050520,24.309,24.614,24.309,24.606,5349,0
20050523,24.927,24.927,23.78,24.674,22922,0
20050524,24.162,24.657,24.162,24.431,11242,0
20050525,24.309,24.309,23.771,24.118,8540,0
20050526,24.152,24.534,23.928,24.525,19122,0
20050527,24.578,24.578,24.126,24.518,17935,0
20050531,24.101,24.681,24.101,24.482,23414,0
20050601,24.588,24.657,24.206,24.657,12330,0
20050602,24.395,24.699,24.231,24.318,22746,0
20050603,24.214,24.449,24.214,24.352,10922,0
20050606,24.188,24.578,24.109,24.578,10501,0
20050607,24.639,24.95,23.883,24.05,66606,0
20050608,23.875,24.05,23.519,23.675,65038,0
20050609,23.485,23.519,23.023,23.441,27872,0
20050610,23.104,23.328,22.642,23.179,61240,0
20050613,22.85,22.973,22.408,22.679,16393,0
20050614,22.615,23.05,22.573,23.014,14878,0
20050615,22.71,22.876,22.485,22.782,28170,0
20050616,22.791,23.014,22.791,23.014,12726,0
20050617,23.26,23.372,22.738,22.825,43197,0
20050620,22.538,23.319,22.538,22.956,12428,0
20050621,22.842,23.328,22.842,23.224,12733,0
20050622,23.381,23.39,23.059,23.233,21028,0
20050623,23.233,23.233,22.425,22.46,20835,0
20050624,22.408,22.894,22.209,22.581,87480,0
20050627,22.738,22.782,22.251,22.364,17438,0
20050628,22.53,23.224,22.2,23.224,21580,0
20050629,23.224,23.26,22.808,23.26,9672,0
20050630,23.319,23.493,22.956,23.224,19875,0
20050701,23.39,23.502,23.13,23.476,6313,0
20050705,23.509,24.735,23.502,24.691,34906,0
20050706,24.621,24.648,24.413,24.543,9080,0
20050707,24.309,24.699,23.986,24.699,11998,0
20050708,24.171,25.82,24.101,25.749,31059,0
20050711,25.785,26.505,25.628,26.479,20022,0
20050712,26.263,26.263,25.854,26.124,9700,0
20050713,26.124,26.124,25.404,25.916,17369,0
20050714,26.046,26.046,24.986,25.239,26708,0
20050715,25.047,25.533,24.404,25.516,20925,0
20050718,25.257,25.655,24.352,24.674,20819,0
20050719,25.117,25.543,24.214,25.516,16572,0
20050720,25.231,25.741,25.168,25.708,23646,0
20050721,25.733,25.733,25.056,25.222,14643,0
