Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.97,15.01,14.97,15.01,3093,0
20050228,15,15,15,15,300,0
20050301,15,15.67,15,15.67,9358,0
20050303,15.33,16.33,15.33,15.33,3915,0
20050307,15.33,15.33,15.33,15.33,666,0
20050308,15.37,15.37,15.33,15.33,9675,0
20050309,15.33,15.33,15.33,15.33,300,0
20050310,15.33,15.33,15.33,15.33,1065,0
20050311,15.33,15.33,15.33,15.33,750,0
20050316,15.37,15.37,15.37,15.37,489,0
20050318,15.37,15.37,15.37,15.37,150,0
20050321,15.23,15.33,15.23,15.33,8025,0
20050322,15.2,15.33,15.2,15.33,1366,0
20050323,15.23,15.23,15.23,15.23,300,0
20050328,14.67,15.5,13.33,15,4443,0
20050329,15,15,15,15,699,0
20050331,14.33,14.67,14.33,14.67,559,0
20050401,14.67,14.67,14.67,14.67,150,0
20050404,15,15,15,15,150,0
20050407,14.33,14.67,14.2,14.2,1051,0
20050408,14.33,14.33,14.33,14.33,1200,0
20050411,14.2,14.2,14.2,14.2,258,0
20050412,14.2,14.2,14.2,14.2,697,0
20050413,14.67,14.67,14.67,14.67,547,0
20050414,15,15,14.67,14.9,2295,0
20050418,14.9,15.33,14.83,15.3,9411,0
20050419,14.83,15,14.83,15,597,0
20050420,14.83,15.13,14.83,15.13,9327,0
20050421,15.13,15.13,15.13,15.13,699,0
20050422,14.83,15,14.83,15,1350,0
20050426,15.1,15.13,15.1,15.13,1800,0
20050427,15.5,16,15.33,16,958,0
20050502,18,18,17.33,17.33,390,0
20050505,17.33,21.33,17.33,21.33,3766,0
20050506,18.67,18.67,17.67,17.67,2646,0
20050509,18,18,18,18,600,0
20050510,18,18,18,18,435,0
20050512,18,18,18,18,750,0
20050513,18,18,18,18,150,0
20050516,17.67,18,17.67,18,693,0
20050517,18,18,17.97,18,5697,0
20050518,18,18,17.33,17.5,7536,0
20050519,17.83,18,17.67,17.67,8167,0
20050520,18,18,18,18,960,0
20050523,18,18,17.93,18,2902,0
20050524,18,18,17.87,18,1378,0
20050525,17.54,17.54,17.52,17.52,600,0
20050526,17.99,17.99,17.83,17.83,4575,0
20050527,17.67,17.67,17.67,17.67,750,0
20050531,17.7,17.7,17.66,17.66,369,0
20050601,17.61,17.61,17.57,17.57,688,0
20050602,17.5,17.51,17.4,17.4,3858,0
20050606,17.47,18,17.47,18,675,0
20050607,18,18,18,18,1050,0
20050610,17.75,18,17.75,18,1350,0
20050613,17.87,17.87,17.4,17.4,600,0
20050614,17.37,17.37,17.37,17.37,229,0
20050616,17.78,17.78,17.78,17.78,262,0
20050617,18.58,18.58,17.37,17.37,1324,0
20050620,18.58,18.58,18.58,18.58,300,0
20050621,17.99,17.99,17.99,17.99,229,0
20050622,18,18,17.5,17.71,804,0
20050623,17.4,17.4,17.39,17.39,300,0
20050624,17.39,17.39,17.01,17.01,1897,0
20050628,17.03,17.03,16.84,16.87,2278,0
20050629,17.33,17.63,17.33,17.63,1005,0
20050630,17.63,18.59,17.63,18.59,450,0
20050701,18.31,18.31,18.02,18.02,387,0
20050705,18.58,18.58,17.34,17.34,1050,0
20050708,18,18,18,18,450,0
20050712,18,18,18,18,150,0
20050713,18,18.33,18,18.33,885,0
20050718,17.82,18.6,17.82,18.6,591,0
20050719,18.5,18.67,18,18.67,1837,0
20050720,18.67,18.67,18.67,18.67,150,0
20050722,18.67,18.67,18.67,18.67,150,0
20050725,18.67,18.67,18.67,18.67,300,0
20050727,18.67,18.67,17.41,18.63,4395,0
20050729,18.63,18.63,18.63,18.63,258,0
20050801,18.63,18.63,18.63,18.63,150,0
20050802,18.47,18.47,18.36,18.36,412,0
20050803,18.67,18.67,18.67,18.67,8115,0
20050804,18.67,19,18.67,19,1050,0
20050805,18.67,18.67,18.67,18.67,267,0
20050808,19.75,19.75,19.5,19.6,1074,0
20050809,19.93,19.93,19.93,19.93,502,0
20050810,19.53,20,19.53,20,1200,0
20050811,19.99,20.65,19.99,20.04,1050,0
20050812,20.58,20.58,19.35,19.35,402,0
20050815,20.3,20.3,19.67,19.67,393,0
20050816,19.33,20,19.33,20,607,0
20050817,19.83,19.83,19.83,19.83,450,0
20050818,19.47,20,19.47,20,4299,0
20050819,20,20.63,20,20,6325,0
20050822,20.67,20.67,20.07,20.39,2580,0
20050823,20.51,20.51,20.06,20.17,3315,0
20050824,20.23,20.23,20.07,20.07,750,0
20050825,20.19,20.23,20.18,20.18,1575,0
20050826,20.07,20.67,20,20.67,3907,0
20050829,21.22,22,20.87,22,10926,0
20050830,23.05,23.33,22.17,22.5,6324,0
20050831,23,23.12,22.61,22.63,5004,0
20050901,22.55,22.55,22.55,22.55,354,0
20050902,23.01,23.33,22.77,22.77,1950,0
20050906,23.76,23.76,23.76,23.76,211,0
20050907,23.75,23.75,23.68,23.68,511,0
20050908,22.93,22.93,22.93,22.93,532,0
20050909,23.33,23.65,23.33,23.57,750,0
20050912,23.79,24.45,23.57,23.57,3600,0
20050913,23.29,24.39,23.29,24.39,1812,0
20050914,24.31,25.6,24.31,25.24,9655,0
20050915,24.55,24.65,24.53,24.65,750,0
20050916,23.68,25.5,23.49,23.85,9384,0
20050919,23.92,25.43,23.92,25.3,3792,0
20050920,25.45,25.9,24.77,25.65,1527,0
20050921,25.94,26,24.11,24.29,7315,0
20050922,24.15,24.15,24,24,5860,0
20050923,24,24,23,23.81,3823,0
20050926,23.75,24,23.75,24,2100,0
20050927,24.04,24.04,24,24.04,1065,0
20050928,23.99,24.04,23,23,1301,0
20050929,23.49,24.23,23.49,24.23,500,0
20050930,24,26.07,24,26.07,3723,0
20051003,25.86,27,25.86,26.7,1603,0
20051004,26.25,26.25,26.14,26.14,438,0
20051005,25.72,25.72,25.3,25.3,4200,0
20051006,25.68,25.68,25.15,25.15,300,0
20051007,25.13,25.64,24.25,24.6,1500,0
20051010,24.27,24.27,24.25,24.25,276,0
20051011,24.25,24.25,24.25,24.25,300,0
20051013,24.25,24.25,24.25,24.25,150,0
20051017,24.25,24.76,24,24.76,934,0
20051018,24.75,24.75,24.5,24.5,1012,0
20051019,24.5,25,24,24.97,1148,0
20051021,23.5,23.5,23,23,1257,0
20051024,23.03,23.03,22.5,23,1510,0
20051025,23,23,23,23,100,0
20051026,23,23,22.99,22.99,300,0
20051027,22.99,22.99,22.5,22.5,900,0
20051028,22.5,22.53,22.5,22.5,375,0
20051031,22.6,22.6,22.6,22.6,300,0
20051101,22.6,22.6,22.6,22.6,210,0
20051102,22.39,23,22.39,23,1701,0
20051103,23,23,22.5,22.63,975,0
20051104,22.94,22.97,22.94,22.97,200,0
20051107,23,23,23,23,300,0
20051108,23,23,23,23,1117,0
20051109,22.52,22.52,22.52,22.52,450,0
20051110,22.75,22.75,22.75,22.75,175,0
20051111,22.85,22.85,21.89,22.77,1474,0
20051115,23,23,23,23,630,0
20051116,22.52,22.52,21.94,22.5,558,0
20051117,22.5,22.5,22.13,22.49,320,0
20051118,22.08,22.13,22.08,22.08,1801,0
20051121,21.89,21.89,21.89,21.89,1195,0
20051122,21.89,21.89,21.09,21.7,2431,0
20051123,21.7,21.7,21.16,21.16,600,0
20051125,21.34,21.34,21.34,21.34,233,0
20051128,21.4,21.4,21.4,21.4,500,0
20051129,21.88,21.89,20.77,21.84,950,0
20051130,21.85,21.85,21.33,21.33,635,0
20051201,21.51,21.59,20.56,21.59,600,0
20051202,21.6,21.6,20.85,21.58,650,0
20051205,21.33,22,21.32,22,1200,0
20051206,21.52,21.52,21.52,21.52,112,0
20051208,21.44,21.5,21.44,21.5,1300,0
20051209,21.5,21.5,21.5,21.5,214,0
20051212,21.5,21.5,21.5,21.5,1497,0
20051213,21.19,21.23,21.1,21.1,612,0
20051214,21.5,21.5,21.5,21.5,600,0
20051216,20.5,21.5,20.5,21.5,1431,0
