Date,Open,High,Low,Close,Volume,OpenInt
20110912,9.1897,9.1897,9.1897,9.1897,103268,0
20111003,9.1992,9.1992,9.1992,9.1992,103268,0
20111010,9.1992,9.2089,9.1992,9.2089,103785,0
20111012,9.1798,9.1992,9.1798,9.1992,150773,0
20111013,9.1509,9.1897,9.1509,9.1798,6609,0
20111014,9.1606,9.1606,9.1411,9.1509,98919,0
20111017,9.1509,9.2568,9.1411,9.2187,23248,0
20111018,9.1992,9.2187,9.1992,9.2089,103476,0
20111020,9.1897,9.1897,9.1897,9.1897,309,0
20111205,9.1992,9.2382,9.1992,9.1992,16522,0
20111212,9.2187,9.2382,9.2187,9.2382,14354,0
20120105,9.2481,9.2481,9.2187,9.2481,10326,0
20120111,9.3643,9.3643,9.3448,9.3448,2074,0
20120112,9.4517,9.4517,9.4517,9.4517,103,0
20120208,9.2283,9.3153,9.2187,9.3153,309,0
20120209,9.3153,9.3153,9.3153,9.3153,103,0
20120229,9.3252,9.3349,9.3153,9.3349,110601,0
20120301,9.2955,9.3252,9.2955,9.3053,1858,0
20120306,9.3053,9.3349,9.2187,9.3053,4649,0
20120308,9.3053,9.3252,9.2481,9.3153,724,0
20120326,9.4219,9.4219,9.4219,9.4219,103,0
20120327,9.3448,9.3448,9.3448,9.3448,5045,0
20120402,9.3252,9.3252,9.3053,9.3053,505,0
20120403,9.3153,9.3153,9.3153,9.3153,516,0
20120417,9.3736,9.412,9.3736,9.412,724,0
20120418,9.412,9.412,9.412,9.412,103,0
20120419,9.3923,9.4022,9.3923,9.4022,413,0
20120420,9.4894,9.4894,9.3053,9.3053,1135,0
20120423,9.3448,9.3448,9.3448,9.3448,103,0
20120425,9.3252,9.3252,9.3153,9.3153,619,0
20120426,9.2481,9.3546,9.2481,9.3546,2623,0
20120504,9.3546,9.3923,9.2955,9.3923,2582,0
20120508,9.3448,9.3736,9.3448,9.3736,1756,0
20120509,9.3923,9.3923,9.3736,9.3923,2374,0
20120516,9.3153,9.4319,9.3153,9.4319,4204,0
20120521,9.3153,9.3736,9.3153,9.3736,1446,0
20120523,9.3736,9.412,9.3736,9.412,1340,0
20120525,9.2955,9.3448,9.2955,9.3448,3098,0
20120529,9.2955,9.3448,9.2955,9.3448,1135,0
20120531,9.3252,9.3643,9.3252,9.3643,2272,0
20120605,9.3448,9.3923,9.3448,9.3923,724,0
20120606,9.2955,9.4319,9.2955,9.4319,1135,0
20120614,9.3643,9.412,9.2857,9.412,10741,0
20120619,9.3923,9.412,9.3923,9.412,826,0
20120621,9.528,9.528,9.4894,9.4894,2064,0
20120627,9.3923,9.4894,9.3923,9.4894,1549,0
20120706,9.3923,9.3923,9.3923,9.3923,10327,0
20120711,9.3923,9.4418,9.3923,9.4418,1653,0
20120716,9.0637,9.4418,9.0637,9.0928,309,0
20120717,9.4894,9.4894,9.3923,9.3923,1342,0
20120719,9.4805,9.4805,9.4805,9.4805,103,0
20120720,9.538,9.538,9.538,9.538,103,0
20120725,9.4418,9.548,9.4418,9.548,155007,0
20120726,9.4517,9.587,9.4517,9.587,136109,0
20120815,9.577,9.577,9.577,9.577,103,0
20120829,9.607,9.607,9.577,9.577,466,0
20120905,9.607,9.607,9.567,9.567,5268,0
20120910,9.567,10.148,9.4418,10.032,6974,0
20121010,9.508,9.508,9.508,9.508,103,0
20121011,9.597,9.597,9.597,9.597,103,0
20121023,9.607,9.607,9.597,9.597,1602,0
20121024,9.607,9.607,9.607,9.607,103,0
20121025,9.597,9.597,9.597,9.597,103,0
20121116,9.597,9.597,9.597,9.597,724,0
20121128,9.607,9.607,9.607,9.607,516,0
20121207,9.636,9.664,9.636,9.664,516,0
20121210,9.683,9.683,9.683,9.683,103,0
20121211,9.683,9.683,9.616,9.626,34532,0
20121212,9.626,9.636,9.616,9.626,20808,0
20121213,9.636,9.713,9.607,9.607,78691,0
20121214,9.616,9.616,9.607,9.616,13632,0
20121217,9.636,9.683,9.636,9.636,207,0
20121218,9.683,9.693,9.626,9.636,5782,0
20121219,9.636,9.703,9.636,9.636,10429,0
20121220,9.664,9.664,9.664,9.664,361,0
20121224,9.713,9.713,9.626,9.626,6517,0
20121226,9.713,9.713,9.713,9.713,516,0
20121227,9.713,9.713,9.683,9.713,3820,0
20121228,9.683,9.713,9.683,9.713,516,0
20121231,9.78,9.78,9.654,9.713,11359,0
20130102,9.713,9.713,9.713,9.713,305,0
20130103,12.094,12.104,9.644,9.673,2293,0
20130104,9.78,9.78,9.712,9.713,5230,0
20130107,9.713,9.713,9.713,9.713,516,0
20130108,9.713,9.713,9.713,9.713,103,0
20130109,9.713,9.713,9.683,9.713,2459,0
20130111,9.713,9.713,9.713,9.713,103,0
20130115,9.683,9.683,9.683,9.683,2064,0
20130118,9.733,9.733,9.733,9.733,309,0
20130122,9.693,9.693,9.693,9.693,309,0
20130123,9.78,9.799,9.693,9.693,1756,0
20130124,9.74,9.74,9.693,9.693,619,0
20130125,9.74,9.74,9.693,9.693,307,0
20130130,9.713,9.733,9.713,9.733,399135,0
20130201,9.733,9.733,9.733,9.733,724,0
20130212,9.1897,9.1897,9.1509,9.1509,36144,0
20130213,8.715,8.715,8.715,8.715,206,0
20130214,9.1509,9.963,8.716,9.723,19415,0
20130215,9.76,9.78,9.733,9.733,3243,0
20130219,9.733,9.733,9.683,9.683,2272,0
20130220,9.683,9.683,9.683,9.683,309,0
20130222,9.935,9.935,9.693,9.693,724,0
20130226,9.76,9.76,9.76,9.76,1858,0
20130304,9.76,9.76,9.76,9.76,103,0
20130306,9.76,9.76,9.76,9.76,1963,0
20130307,9.799,9.799,9.76,9.76,413,0
20130410,9.78,9.78,9.78,9.78,476,0
20130607,5.1322,5.8101,5.1322,5.8101,2064,0
20130610,5.7132,5.7132,5.6164,5.7036,516,0
20130611,5.7036,5.7036,5.7036,5.7036,103,0
20130613,7.2433,7.2433,6.2459,6.7785,413,0
20130614,9.1023,9.1023,6.7786,7.5532,814,0
20130617,8.6086,8.6086,8.2213,8.2213,207,0
20130618,6.6235,8.2115,6.6235,7.3728,1600,0
20130620,4.8418,4.9385,3.2342,3.7282,90430,0
20130621,4.3381,4.3381,3.3412,3.4085,68130,0
20130624,3.4763,3.4829,3.3117,3.4705,17049,0
20130625,3.3092,3.4666,3.2996,3.3892,12428,0
20130626,3.3021,3.3892,3.1868,3.3892,67108,0
20130627,3.1835,3.3794,3.1665,3.379,105424,0
20130628,3.3408,4.067,3.2053,4.067,17157,0
20130701,4.067,4.067,3.1955,3.7668,32976,0
20130702,3.7592,3.7592,3.3892,3.7184,37446,0
20130703,3.244,3.5247,3.244,3.5247,22422,0
20130705,3.5829,3.5829,3.4377,3.5538,7406,0
20130708,3.2149,3.3892,3.0987,3.0987,172844,0
20130709,3.1373,3.5152,3.1373,3.3794,17603,0
20130710,3.2924,3.3794,2.8276,2.905,82413,0
20130711,2.9544,3.1472,2.8663,2.9844,37341,0
