Date,Open,High,Low,Close,Volume,OpenInt
20050225,21.637,21.637,21.265,21.265,27537,0
20050228,21.46,21.46,21.168,21.217,47391,0
20050301,21.188,21.705,21.168,21.627,51179,0
20050302,21.637,22.622,21.637,22.388,9200,0
20050303,22.378,22.388,22.26,22.3,4879,0
20050304,22.378,22.446,22.191,22.437,27689,0
20050307,22.533,22.671,22.144,22.437,17245,0
20050308,22.309,22.671,22.309,22.484,56649,0
20050309,22.632,22.632,22.338,22.583,11276,0
20050310,22.211,22.348,21.772,21.812,4496,0
20050311,21.762,21.782,21.743,21.772,11415,0
20050314,21.743,21.743,21.265,21.363,29348,0
20050315,21.383,21.47,21.314,21.47,14432,0
20050316,21.373,21.647,21.324,21.558,10754,0
20050317,21.383,21.51,21.343,21.51,14648,0
20050318,21.51,21.802,21.46,21.49,15679,0
20050321,21.314,21.46,21.265,21.265,7983,0
20050322,21.656,21.656,20.387,20.738,80710,0
20050323,20.631,20.827,20.583,20.73,79138,0
20050324,20.738,21.539,20.661,21.12,13634,0
20050328,21.011,21.011,20.777,20.777,16795,0
20050329,20.69,20.797,20.495,20.505,20228,0
20050330,20.27,21.265,20.27,20.827,8597,0
20050331,20.777,20.827,20.212,20.212,3435,0
20050401,19.998,20.631,19.998,20.612,11553,0
20050404,20.622,20.622,20.241,20.495,7140,0
20050405,20.319,21.656,20.319,21.373,53807,0
20050406,21.138,21.188,21.031,21.12,1180,0
20050407,21.003,21.333,21.003,21.333,32804,0
20050408,21.021,21.304,21.021,21.168,8765,0
20050411,21.168,21.198,20.827,20.827,2769,0
20050412,20.69,20.925,20.69,20.875,4357,0
20050413,20.963,21.138,20.847,21.051,17006,0
20050414,21.051,21.08,20.993,20.993,7231,0
20050415,20.983,21.1,20.905,20.925,25134,0
20050418,20.895,21.071,20.895,21.061,75059,0
20050419,20.847,21.227,20.847,21.198,7692,0
20050420,21.08,21.198,21.031,21.198,3958,0
20050421,21.207,21.46,21.168,21.45,17159,0
