Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.1,16.52,16.01,16.5,318600,0
20050228,16.49,16.5,15.47,15.5,894500,0
20050301,15.51,15.98,15.5,15.96,434400,0
20050302,15.98,16.2,15.88,16.06,431700,0
20050303,16.23,16.54,16.2,16.5,529200,0
20050304,16.48,16.75,16.4,16.55,375000,0
20050307,16.5,16.76,16.25,16.44,390000,0
20050308,16.35,16.44,16,16.07,194400,0
20050309,16.08,16.11,15.65,16.02,228200,0
20050310,16,16.2,15.73,15.97,190000,0
20050311,15.95,16.22,15.74,15.93,126100,0
20050314,15.9,15.95,15.64,15.68,233800,0
20050315,15.75,15.85,15.55,15.63,378200,0
20050316,15.7,15.8,15.55,15.58,203200,0
20050317,15.58,15.58,15.46,15.51,279700,0
20050318,15.51,15.97,15.5,15.87,382800,0
20050321,15.85,15.9,15.65,15.76,256100,0
20050322,15.76,15.95,15.67,15.73,83800,0
20050323,15.65,16.7,15.31,16.23,913100,0
20050324,16.23,17.29,16.23,17.02,528100,0
20050328,17.1,17.36,16.64,16.75,296100,0
20050329,16.7,17.1,16.51,16.59,245000,0
20050330,16.55,16.83,16.46,16.64,193100,0
20050331,16.64,16.74,16.21,16.7,249600,0
20050401,16.8,16.85,16.25,16.54,254600,0
20050404,16.59,16.59,16.3,16.41,477200,0
20050405,16.48,16.6,16.38,16.54,241500,0
20050406,16.55,16.6,16.33,16.33,285300,0
20050407,16.37,16.5,16.02,16.48,222100,0
20050408,16.5,16.5,16.15,16.22,144400,0
20050411,16.3,16.4,16.05,16.26,175200,0
20050412,16.26,16.4,16.05,16.32,259500,0
20050413,16.35,16.35,16,16.2,230000,0
20050414,16.2,16.35,15.85,15.95,263900,0
20050415,15.96,16.11,15.32,15.44,126100,0
20050418,15.55,15.55,15.02,15.15,183900,0
20050419,15.22,15.55,15.22,15.37,186300,0
20050420,15.38,15.38,14.9,14.95,177200,0
20050421,15.25,15.46,14.99,15.41,204600,0
20050422,15.35,15.35,14.38,14.73,316400,0
20050425,14.8,14.8,14.52,14.71,328100,0
20050426,14.71,15.08,14.7,14.98,324600,0
20050427,14.98,15.31,14.75,15.11,272600,0
20050428,15.11,15.13,14.85,14.9,219000,0
20050429,14.96,15.19,14.95,15.16,316200,0
20050502,15.36,15.36,14.92,15.18,176200,0
20050503,15.32,15.32,14.66,14.7,441700,0
20050504,14.89,15.34,14.89,15.28,497500,0
20050505,15.35,15.6,15.35,15.51,335000,0
20050506,15.6,16,15.6,15.99,829700,0
20050509,15.99,16.29,15.73,16.27,317200,0
20050510,16.07,16.24,15.78,16.11,451800,0
20050511,16.15,16.42,15.83,16.34,361700,0
20050512,16.45,16.96,16.32,16.87,407600,0
20050513,16.75,16.75,16.2,16.61,552500,0
20050516,16.44,17,16.4,16.92,336000,0
20050517,16.87,17.14,16.77,17.09,354600,0
20050518,17,17.55,16.97,17.2,440500,0
20050519,17.23,17.34,17,17.29,296900,0
20050520,17.36,17.48,17.14,17.33,381000,0
20050523,17.37,17.54,17.2,17.45,232900,0
20050524,17.55,17.65,17.08,17.19,252100,0
20050525,17,17.25,16.78,17.07,306500,0
20050526,17.15,17.71,17.14,17.59,295200,0
20050527,17.7,17.75,17.3,17.46,222400,0
20050531,17.65,17.65,17.43,17.43,412300,0
20050601,17.43,17.91,17.18,17.84,516400,0
20050602,17.93,18.24,17.88,18.18,371600,0
20050603,18.32,18.37,18.15,18.22,189400,0
20050606,18.06,18.17,18,18.15,300900,0
20050607,18.25,18.67,18.12,18.15,200300,0
20050608,18.25,18.45,18,18.18,133800,0
20050609,18.2,18.4,17.7,18,389900,0
20050610,17.98,18.1,17.7,18.05,231400,0
20050613,18,18.15,17.84,18.1,226100,0
20050614,18.07,18.65,17.99,18.5,217300,0
20050615,18.5,18.84,18.3,18.73,236900,0
20050616,18.61,19.21,18.47,19.21,326400,0
20050617,19.37,19.37,18.85,18.87,270800,0
20050620,18.88,18.88,18.52,18.61,237000,0
20050621,18.7,19.21,18.69,19.1,489800,0
20050622,19.18,19.25,18.53,18.8,242300,0
20050623,18.8,18.98,18.5,18.6,131000,0
20050624,18.53,18.95,18.53,18.89,257600,0
20050627,18.85,18.85,18.5,18.6,150600,0
20050628,19.05,20.25,18.96,20.2,544200,0
20050629,20.08,20.33,19.8,20.1,444000,0
20050630,20.2,20.23,19.51,19.56,194800,0
20050701,19.64,20.13,19.45,20.13,254700,0
20050705,20.15,20.75,19.9,20.75,520900,0
20050706,20.66,20.98,20.45,20.56,333800,0
20050707,20.46,20.59,20.25,20.41,204100,0
20050708,20.42,21.42,20.26,21.25,525300,0
20050711,21.5,21.86,21.23,21.45,314300,0
20050712,21.4,21.4,21.11,21.21,165700,0
20050713,21.2,21.38,20.7,21.31,471600,0
20050714,21.41,21.45,20.73,20.89,140700,0
20050715,20.77,21.15,20.55,20.99,191100,0
20050718,21,21.2,20.9,21.11,182700,0
20050719,21.3,22.27,21.25,21.39,782900,0
20050720,21.38,21.45,21.17,21.42,275100,0
20050721,21.43,21.44,20.85,21.11,307000,0
20050722,21.11,21.55,21.02,21.52,373100,0
20050725,21.49,21.6,21.15,21.16,299300,0
20050726,21.32,21.36,21,21.26,252300,0
20050727,21.32,21.49,21.09,21.25,245800,0
20050728,21.28,22.15,21.14,21.98,201100,0
20050729,21.85,21.9,21.54,21.6,134900,0
20050801,21.56,21.6,20.9,21.01,604900,0
20050802,21.12,21.39,21.09,21.36,543200,0
20050803,23.25,24.6,23.01,24.1,2712500,0
20050804,23.75,24.89,23.3,24.66,748100,0
20050805,24.72,24.98,24.1,24.55,288700,0
20050808,24.45,24.69,24.23,24.65,363100,0
20050809,24.6,25.08,24.6,25,306900,0
20050810,24.9,25.67,24.74,25.05,356100,0
20050811,25,25.58,24.99,25.5,350000,0
20050812,25.47,25.6,24.64,24.96,270600,0
20050815,24.98,24.99,24.38,24.43,333600,0
