Date,Open,High,Low,Close,Volume,OpenInt
20050225,30.266,30.266,29.989,30.198,30353,0
20050228,30.266,30.266,28.123,29.64,12289,0
20050301,30.266,30.266,29.658,30.249,7153,0
20050302,28.58,29.423,26.965,29.008,5007,0
20050303,28.847,29.024,28.716,28.99,838,0
20050304,29.457,29.749,29.214,29.222,3851,0
20050307,29.74,29.773,28.525,28.739,6144,0
20050308,26.848,28.764,26.848,28.416,6982,0
20050309,28.048,28.924,28.048,28.672,3543,0
20050310,27.972,29.522,27.972,28.49,8868,0
20050311,28.982,29.781,28.982,29.391,7302,0
20050314,29.582,30.464,29.539,30.34,17981,0
20050315,29.897,30.464,29.897,30.148,6635,0
20050316,30.464,30.464,29.882,30.38,3122,0
20050317,30.464,30.464,28.573,30.181,5927,0
20050318,27.773,29.658,27.773,28.855,3719,0
20050321,28.831,29.183,28.573,28.982,3006,0
20050322,28.14,30.181,28.14,29.383,4565,0
20050323,29.781,30.464,29.383,30.424,7664,0
20050324,30.464,30.464,29.292,30.181,4717,0
20050328,30.424,30.424,28.982,29.697,2172,0
20050329,30.266,30.266,28.982,29.673,4492,0
20050330,29.781,29.781,28.982,29.457,4585,0
20050331,28.739,29.457,28.739,29.457,4223,0
20050401,29.756,29.781,28.982,29.631,7438,0
20050404,29.781,29.781,28.864,28.899,1920,0
20050405,28.58,29.773,28.58,29.539,3299,0
20050406,29.765,29.781,28.982,29.405,2953,0
20050407,28.982,29.383,28.573,29.174,21566,0
20050408,29.383,29.383,28.272,29.1,9154,0
20050411,28.573,28.573,28.173,28.173,3239,0
20050412,29.339,29.339,27.524,28.099,9465,0
20050413,28.707,28.707,27.773,28.173,2616,0
20050414,27.376,28.481,27.376,28.481,6719,0
20050415,27.376,28.531,27.376,27.925,2883,0
20050418,27.366,27.773,26.564,27.366,12865,0
20050419,26.974,27.889,26.974,27.123,3084,0
20050420,27.03,27.381,27.03,27.166,902,0
20050421,26.974,27.541,26.816,27.323,4665,0
20050422,26.965,27.231,26.965,27.091,1800,0
20050425,26.655,27.047,26.655,27.047,290,0
20050426,26.655,27.03,26.655,27.03,1730,0
20050427,26.655,27.039,26.655,27.039,3720,0
20050428,26.882,27.03,25.64,27.03,15395,0
20050429,27.056,27.366,25.756,27.366,4612,0
20050502,27.489,27.489,25.964,26.683,3238,0
20050503,26.683,27.123,26.683,26.955,2845,0
20050504,27.123,27.123,26.564,26.564,1623,0
20050505,26.564,27.157,26.564,27.148,1781,0
20050506,26.365,27.366,26.365,27.366,2109,0
20050509,27.065,27.357,27.056,27.123,2215,0
20050510,26.582,27.123,26.564,26.983,4175,0
20050511,26.974,26.974,26.965,26.974,3404,0
20050512,27.489,27.566,26.857,27.566,1061,0
20050513,28.173,28.173,27.972,28.131,3477,0
20050516,28.131,28.982,27.473,28.29,12175,0
20050517,28.773,28.773,28.091,28.091,1128,0
20050518,27.55,27.716,27.55,27.689,6441,0
20050519,27.615,27.698,27.615,27.689,2976,0
20050520,28.131,28.131,27.916,27.916,242,0
