Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.672,20.722,19.632,20.541,751555,0
20050228,20.684,21.206,20.259,20.511,624844,0
20050301,20.443,21.341,20.443,21.206,671456,0
20050302,20.811,21.545,20.665,20.781,516294,0
20050303,20.791,20.917,20.192,20.551,347194,0
20050304,20.704,20.907,20.231,20.482,385456,0
20050307,20.347,21.216,20.347,20.859,204683,0
20050308,20.704,21.13,20.376,20.376,279615,0
20050309,20.297,20.762,20.202,20.376,363751,0
20050310,20.541,21.052,20.356,20.771,378854,0
20050311,20.811,20.878,20.018,20.136,455636,0
20050314,20.184,20.722,20.184,20.722,611517,0
20050315,20.762,21.042,20.502,20.599,667350,0
20050316,20.433,20.975,20.192,20.356,496963,0
20050317,20.376,20.462,20.184,20.278,257597,0
20050318,20.317,20.347,19.652,19.672,491844,0
20050321,19.71,20.347,19.603,20.202,478966,0
20050322,20.184,20.541,19.844,19.874,202260,0
20050323,19.796,20.472,19.796,19.931,260692,0
20050324,19.893,20.222,19.854,19.874,133520,0
20050328,19.97,20.155,19.71,19.844,311859,0
20050329,19.834,20.057,19.652,19.68,273370,0
20050330,19.778,20.307,19.778,20.057,271680,0
20050331,20.146,20.366,19.874,20.175,383651,0
20050401,20.396,20.694,20.155,20.386,402932,0
20050404,20.453,20.599,20.192,20.492,256807,0
20050405,20.609,20.811,20.327,20.386,237375,0
20050406,20.57,20.955,20.561,20.627,352881,0
20050407,20.599,20.859,20.561,20.742,211549,0
20050408,20.674,20.927,20.561,20.58,173473,0
20050411,20.57,20.684,20.269,20.307,173242,0
20050412,20.231,20.327,19.796,20.116,402861,0
20050413,20.077,20.155,19.526,19.526,448223,0
20050414,19.507,19.825,19.159,19.198,469722,0
20050415,19.159,19.227,18.743,18.995,916879,0
20050418,18.811,19.227,18.686,19.227,753371,0
20050419,19.169,20.278,19.141,20.097,592922,0
20050420,20.231,20.317,18.647,19.033,654223,0
20050421,19.786,23.321,19.786,21.418,3213892,0
20050422,20.869,21.535,20.869,21.159,1104567,0
20050425,21.264,21.428,21.072,21.293,647262,0
20050426,21.254,21.882,21.149,21.284,483725,0
20050427,21.197,21.796,21.11,21.39,418783,0
20050428,21.245,21.824,21.245,21.264,523400,0
20050429,21.254,21.737,20.376,21.003,728313,0
20050502,20.955,21.38,20.955,21.226,299192,0
20050503,21.042,21.467,20.762,20.839,279068,0
20050504,20.821,21.95,20.821,21.698,429418,0
20050505,21.623,21.97,21.467,21.535,485527,0
20050506,21.535,21.911,21.487,21.806,234255,0
20050509,21.727,21.94,21.584,21.767,150079,0
