Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.077,25.248,24.871,25.204,12187,0
20050228,25.095,25.507,24.989,25.239,15639,0
20050301,25.58,25.58,25.176,25.507,18386,0
20050302,25.58,25.67,25.212,25.276,8775,0
20050303,25.715,25.767,25.42,25.499,24834,0
20050304,25.472,26.02,25.472,25.93,7084,0
20050307,25.93,26.199,25.733,26.037,5845,0
20050308,26.171,26.171,25.805,25.833,15440,0
20050309,25.805,25.814,25.573,25.814,8668,0
20050310,26.046,26.171,25.824,26.136,23505,0
20050311,26.103,26.163,25.814,25.814,4411,0
20050314,26.074,26.306,25.893,26.306,15658,0
20050315,26.46,26.479,26.255,26.479,7745,0
20050316,26.127,26.306,26.037,26.306,18477,0
20050317,26.046,26.711,25.92,26.711,8480,0
20050318,26.766,26.766,26.288,26.576,24312,0
20050321,26.836,26.92,26.631,26.818,6320,0
20050322,26.738,26.927,26.567,26.692,9798,0
20050323,26.487,26.682,26.39,26.682,10939,0
20050324,26.719,26.927,26.719,26.927,8289,0
20050328,26.794,26.892,26.209,26.882,15904,0
20050329,26.613,27.222,26.613,27.097,16364,0
20050330,26.927,27.79,26.927,27.67,9432,0
20050331,27.196,27.447,26.405,26.692,25414,0
20050401,26.864,26.864,26.372,26.659,18610,0
20050404,26.757,26.757,25.893,26.046,20407,0
20050405,26.171,26.181,25.805,25.814,11566,0
20050406,26.028,26.145,25.267,25.911,26743,0
20050407,26.028,26.701,26.028,26.701,6689,0
20050408,26.515,26.748,26.218,26.28,8498,0
20050411,26.585,26.585,25.805,26.02,7403,0
20050412,25.92,25.92,25.573,25.699,73414,0
20050413,25.992,26.065,25.642,25.68,6785,0
20050414,25.986,25.986,24.637,24.71,19779,0
20050415,25.014,25.446,24.692,24.989,12985,0
20050418,24.593,25.07,24.593,24.763,8732,0
20050419,25.132,25.545,24.989,25.545,20131,0
20050420,25.707,25.707,24.342,24.342,23256,0
20050421,25.085,25.085,24.234,24.234,7647,0
20050422,24.215,24.234,22.977,23.111,45260,0
20050425,23.587,24.135,23.417,24.126,32500,0
20050426,23.921,24.279,23.921,24.135,53962,0
20050427,24.072,24.314,23.973,24.314,11144,0
20050428,24.01,24.907,24.01,24.71,9697,0
20050429,24.637,24.71,23.965,24.215,6966,0
20050502,24.072,24.674,24.072,24.674,3362,0
20050503,24.674,25.23,24.674,25.23,10358,0
20050504,24.916,25.464,24.916,25.085,13642,0
20050505,25.085,25.329,24.854,24.997,20706,0
20050506,25.382,25.401,25.176,25.401,7125,0
20050509,25.05,25.346,24.916,24.916,2526,0
20050510,25.159,25.392,24.27,24.432,9279,0
20050511,24.368,24.683,24.234,24.683,14519,0
20050512,25.114,25.401,24.628,24.628,12259,0
20050513,24.584,24.628,24.153,24.153,5648,0
20050516,24.288,24.288,23.965,23.965,5647,0
20050517,24.199,24.342,24.037,24.199,3670,0
20050518,25.077,25.355,24.493,25.07,13046,0
20050519,24.172,24.763,24.046,24.297,20823,0
20050520,24.628,24.781,24.189,24.485,55950,0
20050523,24.862,24.862,24.619,24.619,4576,0
20050524,24.414,24.719,24.414,24.71,4679,0
20050525,24.253,25.114,24.253,25.114,42398,0
20050526,24.619,25.014,24.619,24.8,3565,0
20050527,24.854,24.989,24.854,24.989,2669,0
20050531,24.952,25.06,24.889,24.97,7594,0
20050601,24.54,25.105,24.54,25.105,4764,0
20050602,24.907,25.114,24.907,25.014,7192,0
20050603,25.132,25.132,24.907,25.095,5183,0
20050606,25.141,25.355,25.123,25.355,10699,0
20050607,25.302,25.355,25.132,25.132,9709,0
20050608,25.132,25.346,25.132,25.294,13293,0
20050609,25.346,25.795,25.132,25.741,8147,0
20050610,25.824,25.93,25.59,25.715,17202,0
20050613,25.741,25.851,25.141,25.159,5665,0
20050614,25.507,25.564,25.085,25.085,10639,0
20050615,25.041,25.339,24.907,25.248,10093,0
20050616,25.67,25.885,25.257,25.885,3889,0
20050617,25.992,26.011,25.267,25.294,27350,0
20050620,25.22,25.31,25.06,25.085,16380,0
20050621,25.077,25.077,24.324,24.745,21951,0
20050622,24.916,25.05,24.701,25.041,3527,0
20050623,25.132,25.159,24.503,24.871,8109,0
20050624,24.728,24.925,24.719,24.862,53771,0
20050627,24.728,24.728,24.368,24.441,28205,0
20050628,24.637,24.935,24.558,24.935,26936,0
20050629,24.942,25.392,24.728,25.392,13072,0
20050630,25.302,25.401,24.979,25.23,30421,0
20050701,25.014,25.902,25.014,25.786,13789,0
20050705,25.902,26.298,25.68,26.154,25520,0
20050706,26.343,26.353,26.065,26.228,10707,0
20050707,25.733,26.524,25.733,26.524,5180,0
20050708,26.567,26.92,26.237,26.92,11767,0
20050711,26.927,27.752,26.927,27.375,15392,0
20050712,27.384,27.554,26.953,27.24,7831,0
20050713,27.054,27.062,26.766,26.766,1671,0
20050714,26.927,26.998,26.255,26.334,9394,0
20050715,25.93,26.343,25.93,26.343,1696,0
20050718,26.255,26.255,25.902,25.902,4415,0
20050719,26.515,26.738,26.028,26.738,1810,0
20050720,26.711,27.439,26.711,27.439,8001,0
20050721,27.349,27.375,27.231,27.231,5628,0
20050722,27.349,27.439,26.98,27.439,5972,0
20050725,27.087,27.366,26.8,26.892,18130,0
20050726,27.087,27.105,26.826,26.864,8855,0
20050727,27.151,27.151,26.298,26.92,6193,0
20050728,26.944,27.035,26.882,26.927,8329,0
20050729,27.017,27.375,26.882,26.882,3788,0
20050801,26.927,27.105,26.882,26.91,6611,0
20050802,26.882,27.105,26.882,26.953,15577,0
20050803,26.971,26.971,26.882,26.892,1565,0
20050804,26.971,27.007,26.892,26.892,26505,0
20050805,26.864,26.882,26.065,26.181,21726,0
20050808,26.037,26.738,25.843,26.738,20937,0
20050809,26.469,26.65,25.885,26.065,17014,0
20050810,26.515,26.659,25.024,25.024,28170,0
20050811,25.014,25.32,24.907,25.033,21805,0
20050812,24.862,24.862,24.378,24.441,18563,0
20050815,24.253,25.033,24.253,24.979,6981,0
20050816,24.575,24.979,24.575,24.8,5227,0
20050817,24.8,25.033,24.683,24.817,4655,0
20050818,24.692,25.346,24.611,25.346,25791,0
20050819,25.204,26.02,25.204,26.02,10609,0
20050822,25.526,25.958,25.355,25.958,5215,0
20050823,25.545,25.615,25.41,25.536,4679,0
20050824,25.977,25.977,25.364,25.499,7324,0
20050825,25.902,26.037,25.598,25.885,6767,0
20050826,25.805,26.103,25.401,25.776,5344,0
20050829,25.851,26.39,25.758,25.992,3186,0
20050830,26.298,26.316,26.074,26.316,3049,0
20050831,26.255,26.405,26.255,26.343,5075,0
20050901,26.432,26.432,26.237,26.237,18684,0
20050902,25.93,26.594,25.93,26.594,4908,0
20050906,26.372,26.854,26.372,26.659,3710,0
20050907,26.784,26.927,26.674,26.836,5004,0
20050908,26.532,26.532,26.055,26.306,4575,0
20050909,26.39,26.479,26.127,26.479,3767,0
20050912,26.228,26.228,26.209,26.228,2342,0
20050913,25.977,26.127,25.805,25.805,2636,0
20050914,25.75,25.93,25.05,25.185,4553,0
20050915,25.185,25.526,25.085,25.374,51606,0
20050916,25.58,26.136,25.526,26.136,25272,0
20050919,26.343,26.343,26.074,26.209,1463,0
20050920,25.75,26.298,25.75,26.136,12022,0
20050921,25.833,25.94,25.276,25.276,5375,0
20050922,25.59,25.776,25.374,25.615,5366,0
20050923,25.92,25.986,25.536,25.986,2431,0
20050926,25.843,26.055,25.843,25.876,1114,0
20050927,25.545,25.545,24.8,25.024,11534,0
20050928,25.364,25.364,24.162,24.396,10058,0
20050929,24.754,24.889,24.378,24.889,4231,0
20050930,25.176,25.176,24.925,25.176,1899,0
20051003,24.942,25.014,24.745,24.8,6494,0
20051004,24.432,24.907,24.432,24.781,9025,0
20051005,24.485,24.647,23.193,23.453,24402,0
20051006,23.578,23.695,23.337,23.382,13453,0
20051007,23.686,23.741,23.587,23.623,1477,0
20051010,23.616,24.046,23.561,23.777,11713,0
20051011,24,24.181,23.517,23.561,11460,0
20051012,23.345,23.462,23.337,23.382,4722,0
20051013,23.274,23.75,23.274,23.471,3389,0
20051014,23.902,24.064,23.652,24.064,1613,0
20051017,23.542,23.712,23.337,23.363,8598,0
20051018,23.561,23.561,23.337,23.337,5728,0
20051019,23.337,23.777,23.337,23.777,1814,0
20051020,23.821,24.54,23.821,24.54,6772,0
20051021,24.207,25.159,24.207,25.159,3966,0
20051024,24.871,24.916,24.736,24.862,62485,0
20051025,25.105,25.105,24.324,24.324,9908,0
20051026,25.014,25.014,23.947,24.028,4959,0
20051027,23.741,23.741,23.201,23.201,6264,0
20051028,23.237,23.525,22.986,23.345,22097,0
20051031,23.686,23.741,23.471,23.741,10807,0
20051101,23.517,23.597,22.986,23.22,9225,0
20051102,23.318,23.337,23.067,23.337,9431,0
20051103,23.139,23.337,23.139,23.328,11463,0
20051104,23.184,23.184,23.031,23.093,6000,0
20051107,23.093,23.193,22.842,23.023,12844,0
20051108,22.797,22.996,22.619,22.619,4454,0
20051109,22.781,23.111,22.573,22.592,12518,0
20051110,22.619,22.861,22.475,22.763,24141,0
20051111,22.529,22.968,22.529,22.968,7650,0
20051114,22.959,23.382,22.959,23.382,23999,0
20051115,23.4,23.623,23.4,23.517,21629,0
20051116,23.578,23.606,23.004,23.111,18857,0
20051117,23.4,23.4,22.986,23.274,12175,0
20051118,23.561,23.561,22.95,23.265,15444,0
20051121,23.058,24.01,23.058,23.965,9959,0
20051122,23.938,24.199,23.856,24.199,9928,0
20051123,24.207,24.378,24.207,24.378,5605,0
20051125,24.45,24.503,24.45,24.503,2560,0
20051128,24.199,24.548,24.199,24.548,15637,0
20051129,24.548,24.593,24.476,24.476,18428,0
20051130,24.674,24.674,24.674,24.674,1455,0
20051201,24.566,24.683,24.493,24.619,26110,0
20051202,24.683,24.683,24.566,24.637,99968,0
20051205,24.628,24.674,24.414,24.414,10893,0
20051206,24.378,24.656,24.378,24.53,13816,0
20051207,24.728,24.754,24.378,24.387,14230,0
20051208,24.324,24.476,23.911,23.911,14162,0
20051209,23.633,24.307,23.633,24.108,33467,0
20051212,23.938,24.01,23.48,23.704,20367,0
20051213,23.695,24,23.471,24,12491,0
20051214,23.786,24.243,23.597,24.099,22365,0
20051215,24.288,24.593,23.875,24.593,78447,0
20051216,24.468,24.637,24.396,24.619,33861,0
20051219,24.458,24.458,23.786,24.09,9484,0
20051220,23.921,24.118,23.777,23.777,6474,0
20051221,23.642,23.981,23.561,23.606,8250,0
