Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.414,13.473,13.197,13.235,8292,0
20050228,13.349,13.482,13.235,13.244,7138,0
20050301,13.235,13.34,13.12,13.33,3672,0
20050302,13.235,13.51,13.235,13.51,18681,0
20050303,13.606,14.722,13.606,14.435,21412,0
20050304,14.339,14.577,14.339,14.484,7347,0
20050307,14.577,14.673,14.435,14.435,6611,0
20050308,14.53,15.397,14.53,14.817,16058,0
20050309,14.911,15.005,14.339,14.339,12387,0
20050310,14.435,14.693,14.339,14.693,1992,0
20050311,14.76,14.76,14.596,14.722,4512,0
20050314,14.817,14.863,14.558,14.654,5246,0
20050315,14.558,14.712,14.558,14.644,630,0
20050316,14.722,14.722,14.177,14.293,5877,0
20050317,14.339,14.425,13.91,14.244,5771,0
20050318,14.006,14.006,13.691,13.73,13434,0
20050321,13.73,13.816,13.538,13.577,4093,0
20050322,13.387,13.664,13.387,13.625,3672,0
20050323,13.625,14.177,13.538,14.168,3990,0
20050324,14.168,14.673,14.168,14.577,5771,0
20050328,14.722,14.722,14.13,14.254,8922,0
20050329,14.158,14.234,13.816,13.816,5564,0
20050330,13.91,13.91,13.063,13.34,13224,0
20050331,13.206,13.301,12.387,12.672,38517,0
20050401,12.672,12.853,12.643,12.643,2309,0
20050404,12.74,12.862,12.387,12.434,9026,0
20050405,12.483,12.577,12.483,12.577,3150,0
20050406,12.586,12.862,12.586,12.768,4825,0
20050407,12.816,12.958,12.778,12.862,2100,0
20050408,12.834,13.292,12.834,13.149,3150,0
20050411,13.244,13.244,13.158,13.158,1154,0
20050412,13.33,13.33,13.063,13.072,7447,0
20050413,13.167,13.226,12.816,13.091,8922,0
20050414,13.197,13.387,13.197,13.292,3672,0
20050415,13.387,13.453,12.624,12.701,8396,0
20050418,12.624,12.72,12.586,12.672,3884,0
20050419,12.672,12.872,12.605,12.788,3045,0
20050420,12.872,12.995,12.72,12.72,3464,0
20050421,12.816,13.235,12.816,13.235,3990,0
20050422,13.235,13.244,13.235,13.244,1049,0
20050425,13.301,13.33,13.216,13.292,1049,0
20050426,13.33,13.33,13.206,13.206,1049,0
20050427,13.101,13.139,12.958,13.139,2729,0
20050428,13.139,13.167,12.958,13.167,1891,0
20050429,13.053,13.053,12.891,12.977,1364,0
20050502,12.862,12.93,12.825,12.872,2832,0
20050503,12.921,13.053,12.921,12.995,3045,0
20050504,13.091,13.11,13.053,13.053,630,0
20050505,13.014,13.014,12.711,12.807,9865,0
20050506,12.711,12.911,12.711,12.911,1992,0
20050509,12.816,12.816,12.528,12.672,4304,0
20050510,12.577,12.652,12.557,12.624,1891,0
20050511,12.72,12.862,12.483,12.624,7347,0
20050512,12.672,12.672,12.624,12.624,630,0
20050513,12.72,12.816,12.577,12.577,841,0
20050516,12.483,12.483,12.483,12.483,419,0
20050517,12.387,12.454,12.34,12.387,2309,0
20050518,12.528,12.624,12.528,12.624,944,0
20050519,12.72,12.72,12.519,12.519,2729,0
20050520,12.444,12.444,12.444,12.444,211,0
20050523,12.387,12.387,11.911,12.1,8081,0
20050524,12.194,12.243,12.052,12.243,1992,0
20050525,12.243,12.243,11.92,12.015,5982,0
20050526,12.071,12.281,12.052,12.281,3776,0
20050527,12.281,12.416,12.281,12.416,5669,0
20050531,12.492,12.624,12.473,12.624,3464,0
20050601,12.701,13.101,12.701,13.005,3150,0
20050602,13.053,13.577,13.053,13.558,3571,0
20050603,13.482,13.482,13.482,13.482,419,0
20050606,13.577,13.711,13.434,13.711,3356,0
20050607,13.769,14.14,13.769,14.006,11649,0
20050608,13.91,13.91,13.816,13.816,419,0
20050609,13.871,14.103,13.816,14.103,6088,0
20050610,14.196,14.264,13.816,13.816,2518,0
20050613,13.816,13.825,13.482,13.482,3045,0
20050614,13.577,14.006,13.568,14.006,1469,0
20050615,13.816,13.816,13.816,13.816,319,0
20050616,13.816,14.035,13.816,14.025,2414,0
20050617,14.12,14.12,13.72,13.72,737,0
20050620,13.891,13.891,13.34,13.434,5246,0
20050621,13.434,13.434,13.254,13.349,2518,0
20050622,13.11,13.177,12.94,13.177,5246,0
20050623,13.101,13.167,12.872,12.949,2518,0
20050624,13.053,13.101,12.862,13.101,737,0
20050627,13.11,13.11,13.11,13.11,319,0
20050628,12.995,13.043,12.93,13.043,1891,0
20050629,13.101,13.244,13.014,13.034,4618,0
20050630,13.13,13.558,13.13,13.558,3150,0
20050701,13.625,13.625,13.625,13.625,100,0
20050705,13.568,13.568,13.51,13.51,1154,0
20050706,13.625,14.006,13.625,13.816,6299,0
20050707,13.72,13.807,13.529,13.807,1891,0
20050708,13.863,13.863,13.72,13.816,6299,0
20050711,14.054,14.054,13.93,13.93,2205,0
20050712,14.168,14.293,14.149,14.205,3776,0
20050713,14.283,14.293,13.987,13.987,3571,0
20050714,13.891,14.149,13.825,14.149,4408,0
20050715,14.054,14.054,13.577,13.577,2100,0
20050718,13.529,13.529,13.101,13.197,3045,0
20050719,13.034,13.149,13.034,13.149,419,0
20050720,13.053,13.34,12.958,13.34,2205,0
20050721,13.424,13.424,13.424,13.424,211,0
20050722,13.424,13.577,13.282,13.577,1891,0
20050725,13.587,13.587,13.577,13.577,1154,0
20050726,13.816,13.816,13.482,13.482,841,0
20050727,13.387,14.025,13.387,14.025,1574,0
20050728,13.9,13.91,13.816,13.91,2832,0
