Date,Open,High,Low,Close,Volume,OpenInt
20090716,1,1,0.3,0.55,91666,0
20090717,0.45,0.6,0.45,0.6,16000,0
20090720,0.7,0.9,0.7,0.75,12000,0
20090721,0.725,0.725,0.725,0.725,1000,0
20090722,0.75,0.8,0.65,0.75,5400,0
20090723,0.8,0.95,0.725,0.9,20333,0
20090724,0.95,0.95,0.85,0.9,8000,0
20090727,0.9,0.9,0.8,0.9,10000,0
20090728,0.85,0.85,0.85,0.85,6100,0
20090729,0.8,0.85,0.75,0.85,12600,0
20090730,0.85,0.85,0.85,0.85,3000,0
20090731,0.825,0.825,0.825,0.825,1000,0
20090803,0.75,0.825,0.65,0.65,8400,0
20090804,0.7,0.725,0.7,0.725,4000,0
20090805,0.75,0.75,0.75,0.75,100,0
20090810,0.725,0.725,0.725,0.725,2000,0
20090811,0.7,0.7,0.7,0.7,5000,0
20090812,0.7,0.7,0.7,0.7,5600,0
20090814,0.75,0.75,0.75,0.75,100,0
20090817,0.6,0.6,0.6,0.6,1000,0
20090818,0.65,0.65,0.575,0.575,2600,0
20090826,0.6,0.6,0.6,0.6,1000,0
20090827,0.75,0.8,0.75,0.8,14013,0
20090828,0.75,0.75,0.65,0.65,1400,0
20090911,0.6,0.6,0.6,0.6,200,0
20090914,0.6,0.6,0.5,0.5,6200,0
20090915,0.575,0.575,0.525,0.525,2700,0
20090916,0.525,0.525,0.525,0.525,500,0
20090917,0.675,0.675,0.675,0.675,1600,0
20090918,0.7,0.7,0.6,0.6,12000,0
20090922,0.75,0.75,0.65,0.75,6000,0
20090928,0.675,0.675,0.675,0.675,1750,0
20090930,0.75,0.75,0.75,0.75,11000,0
20091002,0.65,0.65,0.65,0.65,1000,0
20091005,0.6,0.6,0.6,0.6,1000,0
20091007,0.7,0.7,0.675,0.7,10840,0
20091008,0.7,0.75,0.7,0.75,6700,0
20091012,0.675,0.675,0.675,0.675,1000,0
20091014,0.7,0.7,0.7,0.7,1000,0
20091019,0.75,0.75,0.75,0.75,2000,0
20091020,0.8,0.8,0.8,0.8,1250,0
20091021,0.8,0.8,0.8,0.8,1250,0
20091022,0.825,1.025,0.825,1.025,12180,0
20091023,0.9,1,0.9,0.9,3400,0
20091026,1,1.2,1,1.15,37900,0
20091027,1.2,1.2,1.2,1.2,1240,0
20091028,1,1.15,1,1.05,50800,0
20091029,1.15,1.25,1.1,1.25,59000,0
20091030,1.1,1.15,1.1,1.15,33840,0
20091102,1.25,1.425,1.25,1.425,160,0
20091103,1.15,1.25,1.15,1.25,680,0
20091105,1,1.25,1,1.25,2860,0
20091106,1,1.15,1,1,3000,0
20091111,1.1,1.2,1.05,1.2,10000,0
20091112,1.25,1.25,1.25,1.25,150,0
20091113,1.25,1.25,1.25,1.25,240,0
20091116,1.2,1.2,1.165,1.165,1940,0
20091120,1.15,1.25,1.15,1.25,10270,0
20091123,1.15,1.15,1.15,1.15,2000,0
20091124,1.1,1.1,1.1,1.1,2930,0
20091125,1,1.425,0.9,1.425,3200,0
20091130,1.05,1.05,1.05,1.05,1200,0
20091202,1.05,1.475,1.05,1.475,1000,0
20091203,1.3,1.4,1.25,1.4,4250,0
20091207,0.95,1.15,0.9,1.15,3000,0
20091208,1.4,1.4,1.25,1.35,2400,0
20091209,1.25,1.25,1.25,1.25,1000,0
20091210,1.1,1.25,1.1,1.25,2000,0
20091211,1.2,1.25,1.2,1.25,11460,0
20091214,1.25,1.35,1.25,1.35,8300,0
20091215,1.25,1.25,1.25,1.25,12500,0
20091217,1.25,1.375,1.1,1.35,14480,0
20091218,1.35,1.45,1.25,1.25,6138,0
20091221,1.425,1.475,1,1.25,9015,0
20091222,1.2,1.2,1.2,1.2,2000,0
20091224,1.175,1.25,1.175,1.2,2620,0
20091229,1.15,1.25,0.8,1.25,13200,0
20091230,1.25,1.4,1.25,1.4,5400,0
20091231,1.4,1.4,1.25,1.35,13800,0
20100105,1.15,1.5,1.15,1.5,5200,0
20100106,1.35,1.35,1.35,1.35,2000,0
20100107,1,1.4,1,1.4,24322,0
20100111,1.35,1.35,1.35,1.35,3000,0
20100112,1,1.3,1,1.3,3630,0
20100113,1.1,1.25,1.1,1.25,7000,0
20100119,1,1.2,1,1.2,12579,0
20100122,1.2,1.2,1.2,1.2,200,0
20100125,1.15,1.15,1.15,1.15,8800,0
20100127,1.15,1.15,1.15,1.15,2000,0
20100128,1.1,1.25,1.1,1.25,9699,0
20100129,1.25,1.25,1,1.15,10992,0
20100202,1,1.1,1,1.1,6200,0
20100203,1,1.15,0.95,1.15,22000,0
20100205,1.025,1.4,1.025,1.4,12540,0
20100208,1.2,1.2,1,1.15,52492,0
20100209,1.2,1.2,1.2,1.2,2000,0
20100211,1,1.175,1,1.175,4000,0
20100212,1.1,1.1,1.1,1.1,2100,0
20100216,1.1,1.45,1.05,1.45,4600,0
20100217,1.25,1.3,1.25,1.25,4300,0
20100218,1.2,1.2,1.2,1.2,1000,0
20100219,1.2,1.25,1.05,1.225,22900,0
20100222,1.25,1.45,1.25,1.45,3540,0
20100223,1.3,1.5,1.15,1.35,27019,0
20100224,1.15,1.35,1.15,1.35,6700,0
20100225,1.15,1.3,1.05,1.3,10230,0
20100226,1.15,1.25,1.15,1.25,9220,0
20100301,1.3,1.5,1.2,1.5,18328,0
20100302,1.4,1.4,1.4,1.4,240,0
20100304,1.15,1.35,1.15,1.35,37150,0
20100305,1.4,1.4,1.4,1.4,400,0
20100308,1.3,1.3,1.3,1.3,400,0
20100309,1.4,1.5,1.4,1.5,460,0
20100310,1.45,1.45,1.45,1.45,200,0
20100311,1.3,1.5,1.3,1.5,3000,0
