Date,Open,High,Low,Close,Volume,OpenInt
20050225,21.763,21.837,21.439,21.656,1055898,0
20050228,21.609,21.837,21.295,21.6,1009228,0
20050301,21.763,21.763,21.077,21.258,1100186,0
20050302,21.402,21.402,20.255,20.544,1399658,0
20050303,20.742,20.752,19.144,20.436,2347623,0
20050304,20.544,21.195,20.427,20.681,680061,0
20050307,20.553,20.761,20.445,20.491,529757,0
20050308,20.617,20.969,20.327,20.382,516371,0
20050309,20.319,20.778,19.831,19.92,368150,0
20050310,19.975,20.544,19.731,20.049,668407,0
20050311,20.058,20.066,19.659,19.785,721813,0
20050314,19.767,20.091,19.577,19.785,921264,0
20050315,19.965,20.165,19.641,19.886,802373,0
20050316,20.049,20.049,19.641,19.739,334846,0
20050317,19.877,20.853,19.767,20.681,848040,0
20050318,20.761,20.888,19.848,20.263,817760,0
20050321,20.445,20.688,20.082,20.688,551261,0
20050322,20.697,21.429,20.608,20.761,852347,0
20050323,20.761,20.761,20.183,20.363,471721,0
20050324,20.5,20.5,20.002,20.04,535944,0
20050328,19.984,20.418,19.37,20.301,699030,0
20050329,20.228,20.534,19.641,20.011,1855163,0
20050330,19.569,19.659,17.834,17.897,6642488,0
20050331,17.871,18.404,17.871,18.167,2055073,0
20050401,18.061,18.602,17.69,18.195,1474148,0
20050404,17.958,18.575,17.958,18.285,568319,0
20050405,18.285,18.7,18.223,18.511,803608,0
20050406,18.511,19.126,18.278,18.295,610962,0
20050407,18.269,18.774,18.26,18.7,517405,0
20050408,18.693,18.693,18.357,18.439,364710,0
20050411,18.302,18.484,17.672,17.716,799524,0
20050412,17.635,17.889,17.364,17.88,781968,0
20050413,17.907,17.968,17.591,17.708,440912,0
20050414,17.663,17.777,17.202,17.419,649002,0
20050415,17.383,17.445,17.101,17.212,981820,0
20050418,17.156,17.364,16.86,17.319,1033480,0
20050419,17.3,17.49,17.041,17.364,865592,0
20050420,17.364,17.708,17.212,17.445,647119,0
20050421,17.472,17.672,17.355,17.606,645055,0
20050422,17.482,17.606,16.851,17.066,503480,0
20050425,17.229,17.437,17.013,17.437,628296,0
20050426,17.283,17.427,17.041,17.092,365571,0
20050427,16.957,17.247,16.903,17.032,445535,0
20050428,16.93,17.032,16.289,16.495,700807,0
20050429,16.47,16.678,16.08,16.588,454426,0
20050502,16.542,16.768,16.407,16.659,376832,0
20050503,16.578,16.588,16.233,16.488,685091,0
20050504,16.606,16.678,16.063,16.181,686825,0
20050505,16.063,16.252,15.567,15.621,1598261,0
20050506,15.674,15.819,15.107,15.368,3280996,0
20050509,15.476,16.089,15.368,16.089,1159527,0
20050510,16.089,16.19,15.757,16.08,696388,0
20050511,16.063,16.325,16.045,16.063,695748,0
20050512,16.181,16.415,16.108,16.334,1170262,0
20050513,16.334,16.561,16.19,16.532,850331,0
20050516,16.524,16.588,16.252,16.495,780763,0
20050517,16.407,16.759,16.243,16.596,514663,0
20050518,16.659,16.957,16.615,16.93,353905,0
20050519,16.759,17.247,16.588,17.229,872986,0
20050520,17.193,17.472,17.058,17.175,727123,0
20050523,17.309,17.427,17.003,17.066,892267,0
20050524,16.984,17.291,16.759,16.975,678735,0
20050525,16.804,16.994,16.686,16.732,220025,0
20050526,16.686,17.49,16.678,17.437,458419,0
20050527,17.419,17.535,17.355,17.437,133797,0
20050531,17.526,17.583,17.265,17.291,770871,0
20050601,17.427,18.006,17.274,17.844,595161,0
20050602,17.95,18.052,17.708,18.006,407646,0
20050603,17.853,18.157,17.815,17.897,513665,0
20050606,17.88,18.042,17.635,17.916,470223,0
20050607,17.958,18.558,17.777,18.423,935814,0
20050608,18.466,18.62,18.233,18.501,1751615,0
20050609,18.457,19.497,18.457,19.226,1972541,0
20050610,19.126,19.27,19.008,19.063,688763,0
20050613,19.045,19.244,18.973,19.153,391889,0
20050614,19.153,19.432,19.072,19.37,343645,0
20050615,19.432,19.488,19.008,19.442,494210,0
20050616,19.442,20.363,19.244,20.119,989693,0
20050617,20.119,20.399,19.957,20.165,682855,0
20050620,20.173,20.173,19.632,19.813,260302,0
20050621,19.947,19.947,19.604,19.758,170049,0
20050622,19.749,20.082,19.749,19.957,230440,0
20050623,19.813,19.975,19.397,19.397,268833,0
20050624,19.407,19.515,19.244,19.334,274527,0
20050627,19.189,19.524,18.909,19.144,488715,0
20050628,19.216,19.929,19.053,19.92,459561,0
20050629,19.92,20.119,19.54,19.659,435057,0
20050630,19.867,20.31,19.623,20.165,662889,0
20050701,20.272,20.752,20.011,20.391,875068,0
20050705,20.742,20.914,20.354,20.491,818189,0
20050706,20.491,20.834,20.049,20.345,486749,0
20050707,20.066,20.534,19.984,20.5,531910,0
20050708,20.534,21.212,20.473,21.086,800080,0
20050711,21.123,21.656,20.733,20.788,1108979,0
20050712,20.897,21.178,20.418,20.707,1280061,0
20050713,24.709,26.027,24.485,25.477,10597877,0
20050714,24.827,25.351,24.193,24.699,2433909,0
20050715,24.517,25.486,24.476,25.369,1016505,0
20050718,25.395,25.775,24.972,25.214,699571,0
20050719,25.55,25.638,25.061,25.269,530578,0
20050720,25.333,25.568,25.061,25.532,362430,0
20050721,25.611,25.611,25.079,25.323,472129,0
20050722,25.431,26.85,25.323,26.001,1172946,0
20050725,26.046,26.173,25.279,25.45,649751,0
20050726,25.648,25.847,25.196,25.46,469481,0
20050727,25.594,25.792,25.306,25.666,554391,0
20050728,25.648,26.001,25.486,26.001,784739,0
20050729,25.875,26.353,25.875,26.046,655805,0
20050801,26.137,26.399,25.957,26.146,442260,0
20050802,26.227,26.317,26.101,26.282,324157,0
20050803,26.236,26.308,26.146,26.155,219626,0
20050804,26.208,26.417,25.585,25.704,384602,0
20050805,26.128,26.128,25.694,25.801,211773,0
20050808,26.036,26.507,25.377,25.377,400188,0
20050809,25.694,25.875,25.46,25.585,427904,0
20050810,25.568,26.082,24.872,25.288,478496,0
20050811,25.043,25.56,25.043,25.395,183446,0
20050812,25.205,25.441,24.611,24.89,487628,0
20050815,24.954,25.052,24.287,24.836,473424,0
20050816,24.764,24.764,24.364,24.402,336985,0
20050817,24.356,24.926,24.268,24.43,373018,0
20050818,24.221,24.546,23.725,24.294,395993,0
20050819,24.158,24.364,23.967,24.287,243974,0
20050822,24.467,24.476,23.887,24.105,290040,0
20050823,24.041,24.184,23.943,24.05,457027,0
20050824,24.05,24.699,24.003,24.277,372460,0
20050825,24.268,24.509,24.149,24.184,314819,0
20050826,24.096,24.347,24.022,24.14,259187,0
20050829,24.003,24.294,23.916,24.277,271326,0
20050830,24.709,24.935,24.096,24.727,501295,0
20050831,24.62,25.25,24.62,25.179,415391,0
20050901,25.306,25.63,25.017,25.187,567498,0
20050902,25.306,25.55,24.755,24.772,200161,0
20050906,24.746,25.759,24.746,25.568,373345,0
20050907,25.532,25.829,24.836,25.477,292245,0
20050908,25.306,25.576,25.107,25.152,295109,0
20050909,25.395,25.93,25.26,25.74,243106,0
20050912,25.694,26.299,25.694,26.146,373649,0
20050913,26.009,26.372,25.611,25.975,362328,0
20050914,25.847,26.128,25.731,25.81,862771,0
20050915,25.801,25.875,25.205,25.594,289185,0
20050916,25.694,26.046,25.568,25.991,476686,0
20050919,26.055,26.065,24.998,25.568,658110,0
20050920,25.713,26.57,25.611,25.975,712169,0
20050921,25.893,26.389,25.306,25.829,485461,0
20050922,25.829,25.983,25.25,25.413,346174,0
20050923,25.36,25.611,24.989,25.594,245929,0
20050926,25.829,25.911,25.413,25.792,385139,0
20050927,25.74,27.094,25.56,26.761,1325468,0
20050928,27.319,27.348,26.273,26.923,1384118,0
20050929,26.344,26.381,24.347,25.594,1779163,0
20050930,25.431,25.948,25.233,25.723,449548,0
20051003,25.675,25.723,25.342,25.413,481730,0
20051004,25.342,25.576,25.179,25.269,615157,0
20051005,25.179,25.279,24.5,24.791,693337,0
20051006,24.781,25.052,24.096,24.421,462148,0
20051007,24.373,25.196,24.373,24.772,412644,0
20051010,24.917,24.972,24.32,24.476,496053,0
20051011,24.536,24.664,23.426,23.48,921025,0
20051012,23.434,23.661,22.83,22.993,555052,0
20051013,22.884,22.993,22.352,22.559,706487,0
20051014,22.83,23.174,22.506,23.137,994610,0
20051017,23.083,23.128,22.812,23.091,293488,0
20051018,23.028,23.261,22.523,22.875,462056,0
20051019,22.757,23.426,22.252,23.346,567782,0
20051020,23.219,23.354,22.451,22.92,524268,0
20051021,22.794,24.05,22.794,23.985,861757,0
20051024,24.069,24.347,23.615,24.258,363899,0
20051025,24.165,24.23,23.624,23.916,326137,0
20051026,23.761,23.761,23.452,23.653,428362,0
20051027,23.599,23.688,23.391,23.443,328281,0
20051028,23.59,24.611,23.526,24.43,530215,0
20051031,24.476,25.007,24.392,24.781,475923,0
20051101,24.844,24.881,24.536,24.681,237500,0
20051102,24.664,25.306,24.637,25.306,284104,0
20051103,25.468,25.576,25.342,25.46,243799,0
20051104,25.441,25.74,25.025,25.316,209303,0
20051107,25.63,25.713,25.377,25.504,233971,0
20051108,25.351,25.351,24.347,24.836,258721,0
20051109,24.899,24.989,24.546,24.781,188414,0
20051110,24.909,25.36,24.5,25.25,262625,0
20051111,25.205,25.423,24.963,25.143,157508,0
20051114,25.306,25.316,24.853,25.107,395681,0
20051115,25.107,25.107,24.509,24.611,142058,0
20051116,24.449,24.5,24.268,24.43,204221,0
20051117,24.32,25.767,24.32,25.749,490496,0
20051118,25.948,26.046,25.288,25.704,263435,0
20051121,25.694,26.246,25.052,26.246,266049,0
20051122,27.13,27.139,26.236,26.443,507135,0
20051123,26.652,26.796,26.092,26.128,372916,0
20051125,26.137,26.199,25.759,26.036,87734,0
20051128,25.152,25.504,24.781,25.007,531690,0
20051129,25.107,25.504,24.863,25.395,959393,0
20051130,25.288,25.386,24.836,25.179,510718,0
20051201,25.179,26.146,25.179,26.001,519994,0
20051202,25.939,25.991,25.323,25.468,286275,0
20051205,25.504,25.594,25.043,25.179,161268,0
20051206,25.179,25.223,25.025,25.043,210023,0
20051207,24.935,25.179,23.661,24.022,730019,0
20051208,23.916,24.564,23.916,24.303,306706,0
20051209,24.303,24.592,24.096,24.383,226279,0
