Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.784,10.183,9.739,10.174,26383,0
20050228,10.21,10.21,9.56,10.041,50980,0
20050301,9.802,10.041,9.687,10.041,37259,0
20050302,9.845,9.863,9.4002,9.598,118670,0
20050303,9.659,9.668,9.3835,9.3835,70155,0
20050304,8.939,8.9569,8.575,8.8415,346140,0
20050307,8.9569,9.925,8.9306,9.641,196065,0
20050308,9.615,9.687,9.2061,9.3473,41033,0
20050309,9.259,9.4822,9.1705,9.3306,62512,0
20050310,9.0997,9.4289,8.7438,9.2493,19147,0
20050311,9.1974,9.3473,9.1438,9.2861,12536,0
20050314,9.2945,9.3306,9.0812,9.2493,33917,0
20050315,9.3306,9.3306,9.0278,9.1083,19477,0
20050316,8.9569,9.2677,8.8683,9.1782,25371,0
20050317,9.2677,9.2945,8.9662,9.224,25968,0
20050318,9.0278,9.3306,9.0278,9.1342,32170,0
20050321,9.1782,9.1782,8.886,8.993,13992,0
20050322,8.797,9.1619,8.797,9.0109,16726,0
20050323,9.0462,9.1083,8.6637,8.6637,29416,0
20050324,8.5306,9.3218,8.5306,9.0014,26593,0
20050328,8.9747,8.9747,8.4061,8.4864,37485,0
20050329,8.3796,9.2677,8.3796,9.0547,26522,0
20050330,8.9127,9.0547,8.6104,8.9569,38256,0
20050331,8.6637,9.2415,8.2284,9.1265,112837,0
20050401,9.4377,9.551,8.8949,9.1619,48120,0
20050404,9.259,9.2945,9.0642,9.1532,71545,0
20050405,9.0642,9.1705,8.8236,9.0902,21155,0
20050406,9.0014,9.0642,8.7084,8.886,73184,0
20050407,8.8949,8.9569,8.8506,8.8949,39803,0
20050408,8.9038,8.9484,8.8683,8.9216,32080,0
20050411,8.886,8.9747,8.5572,8.6637,15583,0
20050412,8.5306,8.5306,7.9973,8.0861,70411,0
20050413,8.0508,8.2106,7.9973,8.0685,60194,0
20050414,8.1664,8.1751,7.7663,7.9262,23743,0
20050415,7.7486,7.8465,7.7042,7.8197,12104,0
20050418,7.784,8.0954,7.7663,7.7663,10043,0
20050419,7.7663,8.0685,7.7486,7.9797,8636,0
20050420,7.9707,7.9973,7.5532,7.9973,36581,0
20050421,7.9973,7.9973,7.4998,7.7221,25983,0
20050422,7.4731,7.9973,7.4731,7.9973,67735,0
20050425,7.8288,7.9973,7.8197,7.8642,23688,0
20050426,7.9973,8.2195,7.8818,7.9884,35825,0
20050427,7.873,7.9973,7.8197,7.9973,1482,0
20050428,7.9973,7.9973,7.4731,7.642,12965,0
20050429,7.8019,7.9973,7.5621,7.9973,7180,0
20050502,7.9442,8.1664,7.6597,7.9797,28892,0
20050503,7.7486,7.9884,7.3752,7.3932,26384,0
20050504,7.6954,7.8465,6.8066,7.2065,25617,0
20050505,7.2065,7.4197,6.94,6.9487,37856,0
20050506,7.1444,7.1444,6.629,7.0734,31152,0
20050509,7.1533,7.8909,7.0201,7.7663,10031,0
20050510,7.5621,7.9973,7.1178,7.7931,18170,0
20050511,8.015,8.015,7.6864,7.873,2438,0
20050512,7.5532,7.5532,6.94,7.0911,82661,0
20050513,8.015,8.015,7.2687,7.2687,28343,0
20050516,7.1887,7.4642,7.1801,7.2777,12401,0
20050517,7.3221,7.5532,7.3221,7.5532,1196,0
20050518,7.6152,7.9353,7.3485,7.6776,17780,0
20050519,7.6776,7.7931,7.5532,7.5621,5830,0
20050520,7.5975,7.9442,7.2865,7.6864,9393,0
20050523,7.9884,7.9884,7.482,7.5087,5727,0
20050524,7.7663,7.7663,7.2331,7.482,27902,0
20050525,7.5975,7.7307,7.1265,7.5355,26578,0
20050526,7.8197,7.9623,7.7753,7.8642,17828,0
20050527,7.8642,7.873,7.5975,7.8197,23406,0
20050531,7.6511,8.264,7.5444,7.9085,31818,0
20050601,7.5975,8.3352,7.4731,7.8019,18279,0
20050602,7.6066,7.8019,7.6066,7.7307,14915,0
20050603,7.7307,7.7663,7.5887,7.5887,24136,0
20050606,7.4911,7.642,7.2957,7.5355,25373,0
20050607,7.1977,7.5355,7.1977,7.5355,23534,0
20050608,7.3752,7.4642,7.2957,7.4465,15495,0
20050609,7.4021,7.7931,7.1887,7.1887,5662,0
20050610,7.1977,7.4021,7.0911,7.4021,16114,0
20050613,7.2331,7.5087,7.1265,7.5087,60512,0
20050614,7.3576,7.7398,7.3576,7.6687,25943,0
20050615,7.5532,7.5532,7.2511,7.3308,110388,0
20050616,7.1887,7.3843,7.0734,7.3843,30125,0
20050617,7.3752,7.3752,7.1355,7.2597,16852,0
20050620,7.2065,7.2065,7.0998,7.0998,21672,0
20050621,7.0465,7.0911,6.8066,7.0201,25442,0
20050622,7.0823,7.0911,6.7089,6.7537,266691,0
20050623,6.7445,6.7888,6.6913,6.7445,5616,0
20050624,6.7978,6.7978,6.2823,6.4868,36735,0
