Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.333,14.667,14.179,14.495,291498,0
20050228,14.599,14.642,14.333,14.419,220500,0
20050301,14.504,14.548,13.846,14.077,189757,0
20050302,13.769,13.974,13.238,13.659,284000,0
20050303,13.581,14.17,13.53,14.111,105408,0
20050304,14.186,14.342,14.085,14.137,79723,0
20050307,14.24,14.24,13.325,13.794,165404,0
20050308,13.545,13.922,13.409,13.744,59800,0
20050309,13.785,14.333,13.717,13.905,140852,0
20050310,13.769,14.155,13.333,13.872,299506,0
20050311,13.794,14.042,13.479,13.599,195040,0
20050314,13.744,13.744,13.093,13.667,160740,0
20050315,13.752,13.896,13.401,13.659,95816,0
20050316,13.537,13.717,13.401,13.563,81965,0
20050317,13.495,13.769,13.495,13.691,56910,0
20050318,13.726,13.769,13.479,13.607,144098,0
20050321,13.599,13.614,13.426,13.495,68541,0
20050322,13.426,13.632,13.417,13.512,48597,0
20050323,13.444,13.545,13.172,13.358,119010,0
20050324,13.453,13.495,13.219,13.291,56308,0
20050328,13.247,13.273,12.93,12.973,72529,0
20050329,12.862,12.947,12.339,12.476,276824,0
20050330,12.348,12.819,12.339,12.691,150983,0
20050331,12.768,12.992,12.58,12.795,162164,0
20050401,12.819,13.675,12.819,13.495,172011,0
20050404,13.59,13.913,13.512,13.52,108245,0
20050405,13.649,13.659,13.325,13.503,89577,0
20050406,13.563,13.623,13.341,13.487,72787,0
20050407,13.35,13.691,13.35,13.479,78250,0
20050408,13.392,13.392,13.145,13.188,50846,0
20050411,13.127,13.195,12.93,13.075,46989,0
20050412,12.93,13.145,12.725,13.067,91161,0
20050413,13.008,13.127,12.862,12.89,41493,0
20050414,12.759,13.042,12.597,12.648,106043,0
20050415,12.666,12.666,12.264,12.348,98907,0
20050418,12.222,12.324,11.656,12.248,137488,0
20050419,12.23,12.597,12.23,12.468,111695,0
20050420,12.443,12.468,12.264,12.419,68353,0
20050421,12.468,12.545,12.28,12.528,58196,0
20050422,12.572,12.639,12.419,12.597,122612,0
20050425,12.648,12.709,12.451,12.528,84334,0
20050426,12.324,12.545,12.289,12.419,62620,0
20050427,12.419,12.419,12.049,12.16,66625,0
20050428,12.085,12.143,11.947,11.989,121027,0
20050429,11.955,12.143,11.869,11.998,60131,0
20050502,11.972,12.16,11.947,12.135,87982,0
20050503,12.067,12.118,11.947,12.085,53477,0
20050504,11.998,12.143,11.998,12.143,82574,0
20050505,12.143,12.521,12.094,12.513,92634,0
20050506,12.666,12.735,12.513,12.666,38912,0
20050509,12.639,12.921,12.537,12.921,77107,0
20050510,12.965,12.973,12.743,12.973,119671,0
20050511,12.905,12.93,12.657,12.835,50310,0
20050512,12.725,12.743,12.16,12.195,141138,0
20050513,12.376,12.394,11.758,12.007,107953,0
20050516,11.964,11.964,11.794,11.914,79870,0
20050517,11.955,12.067,11.665,11.897,112347,0
20050518,11.845,12.034,11.845,11.981,62831,0
20050519,12.041,12.041,11.879,11.989,42216,0
20050520,12.007,12.007,11.851,11.938,22053,0
20050523,11.828,11.972,11.828,11.947,85104,0
20050524,11.869,11.964,11.869,11.955,45761,0
20050525,11.897,11.93,11.785,11.922,142807,0
20050526,11.86,11.955,11.86,11.938,65128,0
20050527,11.955,12.067,11.914,12.049,74158,0
20050531,12.049,12.434,11.587,12.41,273436,0
20050601,12.451,12.597,12.315,12.58,74182,0
20050602,12.513,12.777,12.468,12.657,102922,0
20050603,12.683,12.717,12.615,12.666,64868,0
20050606,12.683,12.709,12.607,12.709,37802,0
20050607,12.717,12.717,12.495,12.607,64893,0
20050608,12.607,12.725,12.554,12.7,95105,0
20050609,12.657,12.983,12.657,12.956,78904,0
20050610,13.016,13.016,12.872,12.905,46676,0
20050613,12.973,13.145,12.938,13.093,56528,0
20050614,13.034,13.417,13.034,13.409,92654,0
20050615,13.435,13.512,13.35,13.512,114334,0
20050616,13.512,13.649,13.503,13.572,43059,0
20050617,13.495,13.649,13.495,13.599,88356,0
20050620,13.599,13.691,13.512,13.581,33728,0
20050621,13.64,13.659,13.401,13.479,65404,0
20050622,13.503,13.614,13.325,13.495,63908,0
20050623,13.462,13.462,13.325,13.435,76526,0
20050624,13.392,13.471,13.325,13.325,137516,0
20050627,13.273,13.64,13.273,13.375,92310,0
20050628,13.417,13.572,13.219,13.545,124829,0
20050629,13.563,13.563,13.375,13.471,31336,0
20050630,13.462,14.119,13.256,14.068,672203,0
20050701,14.736,14.736,13.563,14.249,129131,0
20050705,14.223,14.692,14.196,14.504,161112,0
20050706,14.614,14.837,14.539,14.837,236588,0
20050707,14.539,14.683,14.186,14.486,120666,0
20050708,14.504,14.881,14.289,14.762,93235,0
20050711,14.77,15.29,14.736,15.257,96859,0
20050712,15.333,15.539,14.959,15.498,106651,0
20050713,15.498,15.786,15.462,15.745,183927,0
20050714,15.831,15.873,14.709,14.718,129143,0
20050715,14.607,14.966,14.469,14.837,49668,0
20050718,14.77,14.897,14.495,14.623,73912,0
20050719,14.786,14.974,14.531,14.974,45702,0
20050720,14.897,14.897,14.667,14.813,44619,0
20050721,14.736,14.932,14.514,14.623,54781,0
20050722,14.623,15.281,14.623,15.179,89054,0
20050725,15.137,15.402,15.018,15.333,34135,0
20050726,15.393,15.393,15.137,15.265,23188,0
20050727,15.386,15.506,15.24,15.506,51181,0
