Date,Open,High,Low,Close,Volume,OpenInt
20070724,11,11,11,11,0,0
20070725,11,11.05,9.75,10.13,1743478,0
20070726,10.25,10.49,9.98,10.3,274281,0
20070727,10.25,10.6,10.15,10.15,26081,0
20070730,10.75,10.75,10.22,10.4,31741,0
20070731,10.7,10.7,10.3,10.35,230330,0
20070801,10.35,10.36,10.16,10.35,30136,0
20070802,10.45,10.45,10.15,10.45,182379,0
20070803,10.35,10.45,10.15,10.35,9380,0
20070806,10.26,10.26,10,10,91891,0
20070807,10.26,10.28,10,10.01,19821,0
20070808,10,10.26,10,10.04,31714,0
20070809,10.24,10.25,10,10.1,10358,0
20070810,10,10.07,9.75,10,68079,0
20070813,9.91,9.91,9.25,9.75,64282,0
20070814,9.89,9.99,8.9,9.5,35344,0
20070815,9.11,9.11,8.75,9,90127,0
20070816,9.38,9.39,8.8,9,43820,0
20070817,9.01,10,9,9.25,30099,0
20070820,9.1,9.5,9,9.09,13573,0
20070821,9.09,9.43,9.04,9.1,3580,0
20070822,9.23,9.93,8.86,8.9,106607,0
20070823,9.25,9.25,8.7,8.71,167152,0
20070824,8.96,8.96,8.7,8.7,14988,0
20070827,8.7,8.78,8.6,8.69,56819,0
20070828,8.74,8.74,8.51,8.65,26368,0
20070829,8.6,8.6,8.41,8.6,15008,0
20070830,8.61,8.61,8.34,8.6,11710,0
20070831,8.55,8.61,8.4,8.61,17801,0
20070904,8.87,9.24,8.76,8.84,67966,0
20070905,9,9,7.88,8.06,75917,0
20070906,8.25,8.5,7.98,8.14,136987,0
20070907,8.14,8.15,7.81,8.15,35795,0
20070910,8.35,8.36,7.96,8,46372,0
20070911,8,8.24,7.75,7.75,562708,0
20070912,8.12,8.15,7.75,8.11,78747,0
20070913,8.12,8.17,7.79,7.82,558509,0
20070914,7.87,8.1,7.55,8.1,71501,0
20070917,8.2,8.41,8.13,8.38,117422,0
20070918,8.49,9,8.46,8.74,61767,0
20070919,8.8,9.25,8.55,9.08,122717,0
20070920,9.23,9.23,8.62,8.88,65722,0
20070921,8.99,9.2,8.8,9.1,88119,0
20070924,9.23,9.74,9.01,9.01,28946,0
20070925,8.94,9.54,8.76,8.82,29631,0
20070926,8.71,9.35,8.5,8.71,27223,0
20070927,8.63,8.79,8.19,8.44,123556,0
20070928,8.58,9,8.05,8.05,880615,0
20071001,8.11,8.52,8.08,8.25,102223,0
20071002,8.27,8.69,8.12,8.69,121221,0
20071003,8.65,8.95,8.25,8.84,96921,0
20071004,8.76,8.95,8.51,8.86,119566,0
20071005,8.9,9.36,8.75,9.36,23586,0
20071008,9.32,9.37,8.88,9.24,30655,0
20071009,9.36,9.75,9.26,9.7,102494,0
20071010,9.65,9.95,9.5,9.95,67427,0
20071011,9.93,10.16,9.93,9.98,116146,0
20071012,10,10.23,9.87,9.99,41245,0
20071015,10.03,10.1,9.53,9.72,90657,0
20071016,9.71,10.1,9.66,9.96,47330,0
20071017,9.97,10.1,9.77,9.83,22053,0
20071018,9.62,10,9.28,9.86,37234,0
