Date,Open,High,Low,Close,Volume,OpenInt
20131216,5.19,5.4,4.8499,4.86,513727,0
20131217,4.78,4.94,4.43,4.71,232838,0
20131218,4.71,4.92,4.25,4.561,174602,0
20131219,4.85,4.85,4.4,4.61,58258,0
20131220,4.73,4.73,4.47,4.55,74268,0
20131223,4.6001,4.77,4.5101,4.75,63629,0
20131224,4.67,4.74,4.67,4.7,35951,0
20131226,4.7,5.446,4.61,5.2,447247,0
20131227,5.4,5.53,5.081,5.25,470489,0
20131230,5.35,5.35,5.1,5.121,101993,0
20131231,5.3673,5.39,4.88,4.99,208488,0
20140102,5.15,5.25,5.01,5.16,65630,0
20140103,5.43,5.74,5.2601,5.484,334733,0
20140106,5.58,5.58,4.89,5.34,102199,0
20140107,5.78,5.79,5.45,5.6601,286458,0
20140108,5.77,5.7999,5.36,5.5,173981,0
20140109,5.5394,5.68,5.38,5.5,98805,0
20140110,5.52,5.5599,5.36,5.45,138905,0
20140113,5.4001,5.5,5.05,5.2491,93650,0
20140114,5.21,5.63,5.2,5.63,149293,0
20140115,5.412,6.22,5.412,6.15,444520,0
20140116,6.78,6.95,6.0164,6.1,888874,0
20140117,5.91,6.37,5.9,6.15,220792,0
20140121,6.56,6.56,6.001,6.2499,116496,0
20140122,6.379,6.379,6.1,6.23,64689,0
20140123,6.2864,6.2864,5.8,5.92,140382,0
20140124,5.9029,6.1881,5.4199,5.55,130017,0
20140127,5.64,5.64,5.0113,5.3,96756,0
20140128,5.32,5.474,5.05,5.36,55681,0
20140129,5.3499,5.3499,5.22,5.27,32226,0
20140130,5.5,5.59,5.28,5.3,40828,0
20140131,5.44,5.4799,5.15,5.23,48943,0
20140203,5.15,5.34,4.8001,4.93,67735,0
20140204,5.0699,5.0699,4.72,4.96,49263,0
20140205,4.96,4.96,4.65,4.87,40588,0
20140206,5.149,5.149,4.9401,4.992,21235,0
20140207,5.08,5.1,4.8601,4.97,36398,0
20140210,5,5,4.65,4.73,41444,0
20140211,4.79,4.97,4.79,4.95,33300,0
20140212,5,5.2499,4.97,5.21,35338,0
20140213,5.2,5.21,5.1,5.13,16524,0
20140214,5.2,5.3,5.1001,5.23,23768,0
20140218,5.18,5.18,5.07,5.1,8913,0
20140219,5.15,5.15,4.96,5.02,10961,0
20140220,5.1,5.1,4.9657,5.05,3470,0
20140221,4.96,5.07,4.96,4.96,14551,0
20140224,5.0789,5.0789,4.77,4.78,32621,0
20140225,4.91,5.05,4.8128,4.9,18733,0
20140226,5.0297,5.0297,4.83,4.91,20400,0
20140227,4.8699,4.93,4.8001,4.88,14266,0
20140228,4.92,4.92,4.77,4.83,12205,0
20140303,4.95,4.95,4.77,4.86,12850,0
20140304,5,5,4.8,4.94,9863,0
20140305,4.8999,4.9,4.7972,4.8865,10778,0
20140306,4.9,4.9399,4.81,4.9201,6847,0
20140307,4.8899,4.8899,4.8,4.869,11186,0
20140310,4.82,5.0025,4.8,4.89,12780,0
20140311,4.89,5.07,4.89,4.95,55715,0
20140312,4.94,4.94,4.75,4.79,35169,0
20140313,4.92,4.92,4.75,4.87,16158,0
20140314,4.8999,4.8999,4.77,4.8499,3337,0
20140317,4.81,4.97,4.7,4.83,34857,0
20140318,5.15,5.2,4.7001,5.2,44296,0
20140319,5.19,5.19,5.03,5.14,11840,0
20140320,5.14,5.15,5,5.09,6105,0
20140321,5,5.06,4.45,4.62,47830,0
20140324,4.53,4.77,4.45,4.46,33895,0
20140325,4.78,4.78,4.4,4.41,22979,0
20140326,4.42,4.53,4.25,4.27,27300,0
20140327,4.3299,4.3299,4.05,4.1,41598,0
20140328,4.3,4.3,4.06,4.1899,28762,0
20140331,4.09,4.19,4.0459,4.15,24133,0
20140401,3.9799,4.2625,3.56,4.03,83030,0
20140402,4,4.1772,4,4.09,20486,0
20140403,4,4.2,4,4.2,7088,0
20140404,4.06,4.1699,3.8001,3.98,27898,0
20140407,4.1125,4.14,3.9701,4.13,7714,0
20140408,4.0601,4.1465,4.06,4.08,4027,0
20140409,4.113,4.113,4,4.04,5130,0
20140410,4.0499,4.08,3.85,3.9619,15478,0
20140411,4.0158,4.0158,3.91,3.97,14207,0
20140414,4.0222,4.41,4.0222,4.249,31718,0
20140415,4.05,4.3914,4.05,4.33,11596,0
20140416,4.24,4.499,4.05,4.25,3183,0
20140417,4.519,4.519,4.1363,4.3712,8654,0
20140421,4.071,4.399,4.071,4.27,25440,0
20140422,4.36,4.93,4.36,4.64,86866,0
20140423,4.73,4.77,4.43,4.47,16273,0
20140424,4.639,4.639,4.27,4.359,41333,0
20140425,4.14,4.389,4.08,4.22,28160,0
20140428,4.3865,4.3865,4.1888,4.22,15434,0
20140429,4.23,4.24,4.11,4.21,8258,0
20140430,4.3284,4.3425,4.21,4.23,23124,0
20140501,4.2399,4.499,4.2399,4.499,71586,0
20140502,4.6525,4.72,4.455,4.54,14133,0
20140505,4.65,5.1,4.5,4.839,93915,0
20140506,4.789,4.7999,4.6184,4.75,9570,0
20140507,5.09,5.1125,4.75,4.856,18020,0
20140508,4.91,4.99,4.838,4.8942,5447,0
20140509,4.8471,4.8471,4.6201,4.8176,10522,0
20140512,4.788,5.16,4.788,5.07,30637,0
20140513,5.09,5.8996,5.042,5.6,102551,0
20140514,6.19,6.349,5.7,5.7899,74064,0
20140515,5.8,5.936,5.03,5.29,78399,0
20140516,5.3,6.2999,5.28,5.975,237029,0
20140519,5.98,7,5.98,6.68,239119,0
20140520,6.75,6.78,6.31,6.6,31704,0
20140521,6.7,6.75,6.09,6.2,93728,0
20140522,6.02,6.73,6.0101,6.51,36597,0
20140523,6.56,7.18,6.56,7,244248,0
20140527,7.18,7.33,6.8,7.18,103402,0
20140528,7.38,7.45,6.9999,7.06,42513,0
20140529,7.01,7.22,6.9,7.22,36722,0
20140530,7.2,7.22,6.8713,7.19,38060,0
20140602,7.18,7.2,6.83,6.98,23365,0
20140603,6.95,6.95,6.83,6.87,17599,0
20140604,6.83,6.8599,5.66,5.932,169649,0
20140605,5.97,6.05,5.73,5.74,39574,0
20140606,5.78,6.16,5.68,5.89,29937,0
20140609,5.87,6.16,5.8,6.06,34620,0
20140610,6.02,6.12,5.93,6.1,23800,0
20140611,6.12,6.36,6.061,6.35,48116,0
20140612,6.46,6.75,6.27,6.695,51597,0
20140613,6.78,6.96,6.67,6.94,33446,0
20140616,6.7416,6.882,6.19,6.31,43281,0
20140617,6.23,6.359,5.951,6,44283,0
20140618,6,6,5.64,5.69,79050,0
20140619,5.67,6.11,5.63,5.87,35497,0
20140620,5.29,5.3999,5.2,5.31,259102,0
20140623,5.31,5.31,5.08,5.16,42344,0
20140624,5.13,5.3511,5.12,5.18,94194,0
20140625,5.1601,5.2999,5.1601,5.17,11507,0
20140626,5.15,5.26,5.15,5.24,32710,0
20140627,5.24,5.26,5.2,5.21,5494,0
20140630,5.21,5.29,5.13,5.28,29945,0
20140701,5.29,5.37,5.18,5.28,43510,0
20140702,5.18,5.5,5.18,5.43,143600,0
20140703,5.46,5.59,5.4,5.4,111942,0
20140707,5.45,5.45,5.13,5.295,50985,0
20140708,5.24,5.3,5.12,5.225,40704,0
20140709,5.3,5.35,5.15,5.29,30264,0
20140710,5.2001,5.3899,5.2,5.35,45156,0
20140711,5.44,5.599,5.21,5.21,60384,0
20140714,5.25,5.36,5.15,5.25,35290,0
20140715,5.27,5.3,5.1,5.1,110007,0
20140716,5.278,5.278,5.17,5.18,37938,0
20140717,5.2,5.23,5.1299,5.14,28803,0
20140718,5.15,5.234,5.12,5.18,80330,0
20140721,5.16,5.25,5.14,5.19,52074,0
20140722,5.2,5.33,5.18,5.23,115635,0
20140723,5.25,5.26,5.11,5.15,102733,0
20140724,5.24,5.24,5.15,5.19,29776,0
20140725,5.18,5.21,5.16,5.18,16253,0
20140728,5.16,5.21,5.1505,5.2,31114,0
20140729,5.25,5.29,5.05,5.09,75914,0
20140730,5.0975,5.19,5.0975,5.17,34015,0
20140731,5.17,5.24,4.921,5.19,143101,0
20140801,5.19,5.19,5.03,5.04,83664,0
20140804,5.1,5.1,4.99,5.05,19112,0
20140805,5.08,5.1,4.86,5.04,60266,0
20140806,5,5.1,4.87,4.89,56579,0
20140807,4.92,5.0264,4.88,4.88,21031,0
20140808,4.88,4.91,4.74,4.83,52656,0
20140811,4.87,4.89,4.75,4.78,66288,0
20140812,4.89,4.89,4.7,4.73,94743,0
20140813,4.75,5.08,4.28,5,318395,0
20140814,5.0001,5.0001,4.7,4.76,49189,0
20140815,4.8,5.2,4.76,4.79,116845,0
20140818,4.94,5,4.9,4.93,27138,0
20140819,4.98,5.02,4.76,4.91,72211,0
20140820,4.84,5.15,4.81,5.1,148626,0
20140821,5.2,5.45,5.2,5.37,225393,0
20140822,5.49,5.49,5.3,5.38,133239,0
20140825,5.42,5.4999,5.34,5.42,112282,0
20140826,5.43,5.46,5.4,5.437,76040,0
